# {"t_start": 1564952822.506448, "env_id": "highway-continuous-intrinsic-rew-v0"} 
r,l,t
-639.834859,45,4.442673
228.417575,138,8.852879
-556.429136,37,10.057744
-164.590074,46,11.529492
-445.130296,32,12.562319
-534.174923,26,13.394379
-336.379443,82,16.087452
-468.097706,49,17.690896
-790.205581,72,20.02796
-464.772207,31,21.054799
2576.989898,136,25.518161
34.417269,164,30.88308
-83.602547,74,33.226055
-320.833291,60,35.151631
-550.761405,31,37.831841
-484.677981,47,39.345718
-441.527049,27,40.222434
-299.958821,47,41.718121
-655.300676,121,45.695276
-595.194508,83,49.177239
-554.764555,166,54.521563
-564.751627,69,56.747538
-855.169009,83,59.403681
-544.274169,256,67.637382
-633.424374,64,72.995964
-649.633332,208,79.749295
-687.955014,64,81.815708
-632.129188,89,84.762493
-551.889406,45,86.232697
-657.510563,60,88.154664
-656.24219,27,89.031668
-699.86019,114,92.657887
-742.031316,80,95.218745
-504.184864,150,100.00622
-652.274044,49,101.561652
-623.718564,37,105.427328
-640.905005,116,109.165363
-581.694537,53,110.857285
-744.54694,67,113.895492
-766.53435,124,117.927546
-629.116626,73,120.304914
-670.456578,43,121.684292
-731.674224,146,126.270527
-670.116881,72,128.584768
-628.594721,61,130.527152
-715.249559,110,134.028951
-564.016484,58,135.873785
-634.77385,46,137.38017
-662.222705,49,139.895919
-685.43775,50,141.530284
-745.690972,157,146.669059
-660.549212,69,148.917448
-588.968317,61,150.87377
-736.209184,194,157.084167
-589.626544,125,161.073798
-565.37275,102,164.333698
-658.239374,119,168.243119
-647.904576,70,171.222071
-650.924036,42,173.775648
-799.396972,167,179.215926
-671.851493,64,181.275008
-825.405439,59,183.178424
-587.438557,108,186.72142
-722.007954,127,190.745691
-723.497093,91,193.65527
-647.97922,93,196.693356
-636.504631,50,198.249704
-693.219058,30,199.208847
-595.561356,116,202.89326
-668.492789,58,204.736514
-674.186505,120,209.524099
-600.759932,45,210.962777
-597.336057,33,212.003319
-961.052597,156,217.097983
-652.038221,78,219.607554
-673.441592,133,223.872197
-702.863869,44,226.099801
-592.86215,31,227.132722
-959.390198,183,232.885491
-678.356441,83,235.538418
-607.199567,254,248.12076
-599.902586,123,252.022845
-681.256357,55,253.785531
-654.398608,62,255.809927
-604.617794,160,260.989342
-651.323122,44,262.395066
-1334.80121,250,270.596132
-676.35315,52,272.219454
-596.131062,39,274.616445
-1020.679981,139,279.166982
-612.222411,30,280.182529
-704.621207,137,284.644808
-644.817281,154,289.522106
-613.013404,124,293.447474
-899.928639,231,300.894659
-591.984958,70,303.950297
-664.569633,41,305.288778
-700.246482,162,312.811793
-10.119955,300,322.404462
-1045.089799,220,329.430391
-393.479979,300,338.898749
-937.99583,238,348.258444
-762.368961,106,351.673953
-650.190194,65,353.698293
-805.086499,239,361.498283
-646.701903,89,364.356499
-756.130953,126,368.488579
-716.205905,103,371.807449
-598.211505,43,373.177328
-605.160361,75,376.47134
-599.590738,63,378.463137
-684.204098,191,384.576684
-586.587263,119,388.358421
-598.685507,58,390.194638
-605.949738,51,392.672624
-611.102977,92,395.689313
-668.923208,90,398.601992
-693.843939,85,401.357922
-592.173274,34,409.130194
