# {"t_start": 1564952999.454876, "env_id": "highway-continuous-intrinsic-rew-v0"} 
r,l,t
-743.263559,84,5.588183
-50.291719,51,7.288477
-322.749915,47,8.816802
-209.527431,45,10.308149
-41.508816,98,13.567738
-392.624045,47,15.056151
-39.732483,70,17.310875
665.515025,203,23.83441
-192.609006,57,25.685938
-103.994018,73,28.025753
-311.368757,25,28.811048
-489.099249,35,29.939695
166.859943,82,32.555224
-340.946064,28,37.526602
235.960341,66,39.63067
9.569721,97,42.76562
-7.954151,68,44.988819
-618.897437,26,45.809722
-708.619814,46,47.280721
-204.371681,74,50.355969
-606.866747,59,52.2824
-564.346705,88,55.033754
-675.534239,129,59.163747
-602.158284,168,64.716779
-573.651927,35,65.828201
-636.255418,35,66.982072
-695.031441,81,69.597726
-660.244768,204,77.307128
-565.62486,65,79.420943
-617.938584,41,80.751334
-706.303726,106,84.238046
-503.116665,141,88.917211
-550.180738,97,92.040998
-823.036232,119,95.793635
-551.737367,143,100.436122
-695.562688,41,101.788237
-552.938651,156,109.454896
-919.383708,154,114.498844
-659.705774,52,116.945961
-582.342726,52,118.633778
-606.600312,156,123.700429
-656.832439,72,126.083008
-689.041575,61,128.027634
-577.184853,57,129.93394
-621.949268,72,132.27573
-557.353077,78,134.788441
-563.873235,45,136.227021
-565.064061,65,138.36133
-607.957803,80,141.444942
-595.670149,137,145.903549
-643.420747,86,148.699484
-731.969252,86,151.511723
-637.40065,30,152.468158
-718.431566,45,153.911494
-659.348251,188,160.086474
-579.486242,33,161.148509
-680.721476,55,162.953149
-601.32387,122,167.736185
-593.623652,78,170.235169
-693.111797,42,174.69852
-690.124948,32,175.728663
-743.119486,40,177.021652
-580.332071,53,178.730258
-596.954733,31,179.759341
-589.104406,68,181.994796
-650.9468,159,187.185103
-641.245894,67,189.419722
-748.805763,86,192.227197
-1362.668904,169,197.666289
-595.56527,41,198.990922
-804.198929,116,202.72124
-820.006912,66,204.92193
-679.74331,36,208.161867
-683.550407,150,213.083264
-625.097279,54,214.874615
-789.794776,71,217.142044
-983.361157,101,221.098327
-596.070404,49,222.668381
-591.773288,101,225.928021
-539.0866,118,229.700183
-681.381496,28,230.599197
-603.131415,98,233.785964
-701.408886,34,234.892505
-663.208495,133,239.255527
-747.127311,58,243.086776
-640.29754,84,245.81716
-598.127348,40,247.142854
-630.359434,89,250.031125
-962.340643,229,257.614011
-692.188984,96,260.688148
-683.54099,73,263.001388
-567.93855,97,266.153559
-604.714321,197,272.480491
-593.676287,35,275.926736
-598.654241,52,277.621195
-782.738081,105,281.792571
-665.031794,39,283.030245
-693.947482,62,285.037785
-118.877827,300,294.598182
-692.523151,113,298.282749
-738.087344,62,300.271481
-599.518038,53,302.021413
-798.752492,94,312.071891
-1089.407706,147,316.849078
-599.670336,45,318.292032
-660.045139,37,319.47283
-600.73738,95,322.513003
-591.448935,36,323.673582
-610.782586,206,330.396733
-597.14192,37,331.582175
-597.780381,52,333.269836
-604.376571,83,336.025563
-597.696879,40,337.349873
-602.160518,52,339.0234
-711.040466,175,349.123223
-599.448476,38,350.374161
-678.705152,63,352.345344
-694.65019,31,353.351795
-613.932235,131,357.672929
-783.850547,148,362.427552
-739.721334,132,366.698651
-655.44698,46,368.147908
-653.955748,79,370.708096
-601.727878,58,372.590459
-598.445195,31,373.596532
-660.578187,112,380.502409
-616.661232,87,383.369513
-1190.681561,248,391.379208
-960.267564,89,394.235224
-672.735993,59,396.165936
-1083.912991,201,402.783171
-643.835967,39,404.006733
-859.248657,78,406.493922
-608.441661,70,413.406285
-779.62898,47,414.852943
-778.940827,39,416.157514
-605.801629,66,418.211411
-722.814449,81,420.844115
-604.881874,30,421.836823
-607.551265,59,423.729735
-659.796343,64,425.762111
-599.97516,24,426.581709
-611.129708,50,428.156473
-602.684713,40,429.542411
-661.249325,48,431.070321
-61.274797,300,440.891855
-686.29355,61,442.861521
-659.53255,46,446.169782
-603.405813,300,455.782078
-611.633978,64,457.818308
-659.371833,40,459.090703
-1078.457303,272,467.868402
-626.62379,90,471.414991
-883.877654,77,473.886089
-611.471457,43,475.274664
-626.069566,150,483.633215
-619.592926,122,487.559184
-631.324328,84,490.290862
-706.692714,98,493.446539
-674.065568,103,496.727439
-819.580257,227,504.018125
-730.591878,65,506.128484
-610.031318,99,509.284222
-605.594342,35,513.257802
-614.72307,94,516.258388
-607.05144,45,517.6918
-551.712871,300,527.416227
-603.927302,30,528.364694
-604.987874,44,529.80129
-823.665168,226,537.113862
-656.307419,60,539.002036
-600.807147,51,541.383544
-719.738751,82,548.841881
-771.631326,140,553.226187
-605.667175,33,554.309442
-692.442634,55,556.078497
-652.39629,170,561.581366
-600.958388,31,562.599462
-886.314994,80,565.221162
-844.734318,109,568.938537
-621.976029,117,572.678502
-624.405959,142,577.279566
-607.287733,50,581.400677
-697.677413,120,585.35272
-645.589468,203,591.989705
-426.319672,300,601.805333
-637.688218,187,607.775223
-683.659647,58,615.332156
-603.50818,35,616.442525
-73.139198,300,626.417799
-743.533146,92,630.070319
-618.294153,65,632.158106
-611.839568,67,634.360047
-608.69573,58,636.236455
-967.12065,202,642.874135
-604.022237,26,643.69768
-721.842582,54,645.491253
-745.822795,244,655.999777
-619.267628,85,658.69447
-628.0523,101,661.99105
-70.058362,300,671.968233
-904.195348,145,676.611873
-615.690152,56,683.655223
-601.134781,27,684.508914
-687.686022,60,686.508952
-617.981219,71,688.770849
-620.852798,115,692.413827
-610.692361,43,693.788332
-619.099684,112,697.446718
-711.315659,99,701.328233
-808.362012,60,703.306493
-738.763751,99,706.514993
-670.597453,141,711.222453
-620.212673,97,719.451306
-607.767673,45,720.897236
-904.206161,84,723.635162
-607.030985,37,724.85078
-687.527446,71,727.171347
-616.71878,78,729.702976
-603.049248,38,730.908445
-734.959364,140,735.402248
-606.779181,30,736.359009
-659.310679,224,743.664154
-697.511305,62,745.689455
-72.789951,300,759.069974
-616.140745,61,761.066799
-81.037072,300,771.074091
-730.074319,31,772.091278
-1004.741746,150,777.733806
-727.98249,130,788.25965
-628.774295,84,791.016177
-894.687344,76,793.440599
-752.491002,74,795.784337
-614.84741,61,797.769686
-666.10275,238,805.241254
-769.064238,162,810.369287
-64.067032,300,827.04075
-641.595943,162,832.179074
-925.42681,224,839.35359
-619.39809,79,841.859328
-643.272205,155,846.865614
-648.580438,205,857.332981
-631.033837,79,859.905771
-104.762234,300,868.96132
-838.247753,218,876.126146
-608.569477,41,884.846152
-619.716675,99,888.013979
-969.243487,151,893.739058
-612.21024,45,895.199436
-604.689936,31,896.22864
-87.408156,300,906.207875
-807.211192,217,913.141179
-603.531641,87,920.968537
-770.838179,109,924.448889
-604.525774,23,925.205263
-873.552501,211,932.067755
-307.836144,52,933.777705
-93.95307,300,943.464014
-622.431554,84,954.401675
-637.842291,144,958.983038
-610.881324,34,960.117604
-604.824709,48,961.713799
-622.041942,117,965.553386
-733.884692,161,970.680575
-836.106491,180,976.223892
-612.388488,59,978.098351
-713.485647,115,989.370071
