# {"t_start": 1564987443.5532057, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-602.877294,31,2.601885
-561.7484,38,5.027357
-374.69715,89,7.870994
-560.600234,27,8.75072
326.524652,197,15.022853
-443.972121,68,17.238286
-483.846671,24,18.032987
1219.770545,300,27.810184
-467.093306,41,29.139121
-479.76322,19,29.785016
-534.663284,19,30.417923
-515.946146,17,30.971621
-287.422082,77,33.468411
-504.317348,35,34.594376
-422.115786,40,35.917099
-402.288527,55,38.418562
-337.977019,65,40.513811
-474.141789,44,41.937686
-490.252698,49,43.578321
-495.161649,28,45.24581
-586.477144,85,47.967365
-581.19001,163,53.374641
-600.3914,36,54.544095
-303.830116,100,57.80813
-602.999221,58,59.649363
-597.125954,26,60.499496
-573.663159,93,63.496914
-598.957236,57,65.303285
-593.642981,21,65.994484
-592.172767,50,67.599355
-567.887288,79,70.15783
-592.656883,67,73.150544
-588.709862,102,76.497576
-586.940756,50,78.096254
-603.845141,22,78.808193
-589.919006,20,79.455279
-589.103355,111,82.987274
-591.389558,42,84.325193
44.421424,300,94.559972
-627.029543,104,97.941024
-609.514903,60,99.879719
-607.135282,34,100.986159
-610.53837,58,102.836387
-610.204066,34,105.949239
-594.551197,34,107.038745
-602.896274,26,107.864158
-600.536366,41,109.169565
-597.399291,40,110.443288
-605.766805,27,111.315363
-599.317284,131,115.506108
-612.474859,80,118.096895
-611.171357,89,120.94158
-608.155458,45,122.396607
-595.371559,24,123.169222
-617.236981,85,125.885578
-603.275188,37,127.076736
-601.489987,81,129.633844
-620.517033,79,132.953759
-606.091453,76,135.396218
-597.718224,33,136.468019
-608.247418,21,137.143901
-600.148167,20,137.785594
-606.434043,33,139.866243
-607.621608,55,141.628023
-591.80026,26,142.486134
-603.556547,26,143.327548
-524.372002,104,146.714936
-617.058959,88,149.580318
-609.212394,26,150.40916
-664.618845,211,157.058665
-613.032732,38,158.31857
-612.44642,40,159.597143
-660.865527,212,166.262115
-599.512718,18,166.845844
-597.677733,24,167.630064
-632.47311,121,171.534151
-617.578627,53,174.332063
-693.173969,278,183.282669
-603.532898,41,184.607732
-603.439601,26,185.445838
-598.644498,32,186.460895
-599.985176,21,187.176106
-602.655056,53,188.876197
-609.748205,29,189.813184
-604.948831,84,192.556836
-607.13158,15,193.056804
-602.647493,24,193.806623
-609.340043,36,194.993504
-613.820411,51,196.632516
-608.924395,35,197.749995
-545.839564,129,201.886669
-610.02315,35,202.996014
-619.18314,60,204.899533
-598.184429,31,207.002198
-666.062017,167,212.310938
-615.266337,30,214.072527
-634.460694,83,216.735149
-685.945685,255,224.817914
-606.900632,42,226.186375
-618.51395,57,227.988638
-606.48594,30,228.921986
-613.484919,41,230.264901
-603.038908,31,231.281091
-637.479828,94,234.27884
-612.014607,70,236.506868
-623.074209,71,238.79072
-605.886905,36,240.943291
-599.516486,16,241.459611
-629.270845,117,245.164213
-639.958662,89,248.019263
-682.647538,201,254.465218
-683.916446,196,260.751895
-634.39561,139,265.16679
-619.921602,43,266.544126
-606.452539,36,268.470048
-612.531925,57,270.290394
-612.002938,38,271.525367
-651.76024,203,280.192456
-692.842069,198,286.766373
-611.854394,22,287.471609
-654.188586,113,291.079674
-621.344711,58,292.920223
-660.289255,111,296.544052
-610.54871,37,297.694298
-630.435203,57,299.589425
-605.125857,21,300.273708
-630.124208,99,303.434677
-603.616386,34,304.522752
-614.933883,40,308.411656
-609.94937,28,309.31142
-622.319076,71,311.557578
-604.570556,37,312.778936
-620.429295,81,315.303006
-611.485612,33,317.10894
-616.772317,53,318.805941
-642.437314,134,322.92818
-624.469478,70,325.157603
