EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
0.0,85.33333333333333,-10.735085256224506,12,-672.4548613596708,12,0.0,22.05470633506775,1024,0.0,2.8392022,-6.0558319091796875e-05,0.0008804179,0.008807009,0.008807009
0.0,75.85185185185185,-11.553630011075244,15,-674.0725605184281,27,0.0,43.65383005142212,2048,0.0,2.852975,0.00022178888320922852,0.00088936894,0.010153374,0.010153374
0.0,78.76923076923077,-11.297675668642956,12,-682.3799482987096,39,0.0,65.70070338249207,3072,0.0,2.8483555,9.78708267211914e-05,0.0008535968,0.008903109,0.008903109
0.0,76.8,-11.831749093586165,13,-677.8895834300668,52,0.0,87.29936909675598,4096,0.0,2.8537374,-0.0006080865859985352,0.0008197975,0.007161905,0.007161905
0.0,87.025,-10.848937329841018,8,-646.7543498208746,60,0.0,108.73030304908752,5120,0.0,2.8617468,2.5987625122070312e-05,0.0008687906,0.010178991,0.010178991
0.0,89.875,-9.819371116291006,12,-655.7348297245801,72,0.0,130.2728443145752,6144,0.0,2.8568113,0.0003432631492614746,0.00095639366,0.009734184,0.009734184
0.0,99.975,-9.250264005291402,8,-639.6935959892347,80,0.0,152.04098176956177,7168,0.0,2.8639214,-0.0004813671112060547,0.0008619375,0.00896514,0.00896514
0.0,112.525,-8.115845586764827,8,-622.9040710855276,88,0.0,173.84094667434692,8192,0.0,2.8640661,-0.0006496906280517578,0.0009788966,0.010634122,0.010634122
0.0,97.025,-9.465308565909016,14,-608.1072658140213,102,0.0,195.33195877075195,9216,0.0,2.8641026,-0.0004305839538574219,0.0010893713,0.009646939,0.009646939
0.0,104.25,-8.411185041669633,9,-584.7546389270574,111,0.0,217.00290608406067,10240,0.0,2.8685305,8.940696716308594e-06,0.00090026314,0.011395626,0.011395626
0.0,101.35,-8.575493835147673,10,-597.8747505497188,121,0.0,238.6860270500183,11264,0.0,2.8529947,-0.0002459287643432617,0.0009220591,0.008011176,0.008011176
0.0,102.4,-8.62958620675264,7,-610.6771764857695,128,0.0,261.0983889102936,12288,0.0,2.8666463,0.00035887956619262695,0.0008756792,0.009278115,0.009278115
0.0,117.4,-7.121466374133961,7,-589.8200929615647,135,0.0,282.8643193244934,13312,0.0,2.87439,-0.0007578134536743164,0.00093111355,0.0105087655,0.0105087655
0.0,122.05,-7.194880276177417,9,-598.559536167793,144,0.0,304.2928023338318,14336,0.0,2.8780909,0.00023603439331054688,0.00094742444,0.010986156,0.010986156
0.0,128.0,-7.268103176078242,7,-578.9591577900574,151,0.0,325.91633915901184,15360,0.0,2.8770754,-0.00044167041778564453,0.00088519976,0.009372667,0.009372667
0.0,128.0,-7.174919123526294,10,-581.4724120916799,161,0.0,347.31375455856323,16384,0.0,2.8793647,-0.0012420415878295898,0.0009278087,0.011299426,0.011299426
0.0,125.075,-6.946777390221551,8,-552.473877348192,169,0.0,368.9987483024597,17408,0.0,2.8765037,-0.0003230571746826172,0.0008887825,0.011813425,0.011813425
0.0,126.575,-6.649855475218601,7,-563.9404598688707,176,0.0,391.6899743080139,18432,0.0,2.8759542,-0.0030732154846191406,0.0008984259,0.008023575,0.008023575
0.0,128.05,-6.041765794244841,7,-547.5079865213484,183,0.0,414.325847864151,19456,0.0,2.875333,-0.0002505779266357422,0.00085371244,0.0076408773,0.0076408773
0.0,135.65,-5.745645623985975,6,-552.9238797139376,189,0.0,435.9743592739105,20480,0.0,2.8764548,-0.0015314817428588867,0.0009809483,0.012246135,0.012246135
0.0,142.725,-5.500077248137869,6,-536.5786773130297,195,0.0,457.933141708374,21504,0.0,2.8694372,0.0004093050956726074,0.00092216796,0.0076383124,0.0076383124
0.0,151.475,-4.857140045681827,7,-519.5907774042338,202,0.0,479.6752414703369,22528,0.0,2.8621209,0.006090939044952393,0.0009822457,0.00869351,0.00869351
0.0,155.35,-4.468287270311817,6,-498.6739368179813,208,0.0,501.6135358810425,23552,0.0,2.848666,-0.00020384788513183594,0.0010127237,0.009144779,0.009144779
0.0,158.1,-4.504958239941059,7,-502.9020604835823,215,0.0,523.0157599449158,24576,0.0,2.844513,0.00030553340911865234,0.0009908698,0.010696233,0.010696233
0.0,153.6,-4.758139315834008,8,-490.602689663507,223,0.0,544.8722679615021,25600,0.0,2.8526943,-0.0005614757537841797,0.00091548776,0.008837695,0.008837695
0.0,149.325,-4.5417685553594875,7,-472.39698745459316,230,0.0,566.811820268631,26624,0.0,2.841786,0.0046669840812683105,0.0009433933,0.008536404,0.008536404
0.0,151.325,-4.770866470654958,6,-473.32623901218176,236,0.0,588.3002219200134,27648,0.0,2.8413172,0.00040394067764282227,0.00087748753,0.011402997,0.011402997
0.0,163.575,-4.342436237266112,4,-437.33932327311487,240,0.0,610.585875749588,28672,0.0,2.8352866,0.00022608041763305664,0.0010086244,0.011663372,0.011663372
0.0,153.925,-4.801923168922478,7,-456.9713299645111,247,0.0,632.7656400203705,29696,0.0,2.8343594,-0.0012351274490356445,0.00096872397,0.007854095,0.007854095
0.0,154.425,-4.807853853865517,7,-435.7410902645439,254,0.0,654.903614282608,30720,0.0,2.8256829,-0.00022864341735839844,0.0009406981,0.008395668,0.008395668
0.0,156.025,-4.600763977217463,7,-466.2510313032195,261,0.0,676.5479023456573,31744,0.0,2.8246846,-0.0016622543334960938,0.00089850643,0.009472895,0.009472895
0.0,158.975,-4.698102690713278,6,-474.86538686305283,267,0.0,698.6443319320679,32768,0.0,2.8324788,0.0010720491409301758,0.00089168013,0.008353379,0.008353379
0.0,168.125,-4.4816955043184095,5,-453.03511602897197,272,0.0,720.5448670387268,33792,0.0,2.8341682,0.0018849968910217285,0.0009321487,0.009078488,0.009078488
0.0,166.725,-4.0856296223777155,6,-448.6653108906001,278,0.0,742.3576240539551,34816,0.0,2.834878,-0.0006773471832275391,0.0009367184,0.0094097685,0.0094097685
0.0,166.0,-4.253850323246075,7,-441.62123802583665,285,0.0,764.079071521759,35840,0.0,2.8444924,-0.00037348270416259766,0.00090942066,0.008313376,0.008313376
0.0,172.7,-4.08145872815804,5,-444.1453191777691,290,0.0,785.876660823822,36864,0.0,2.8437803,-0.0013518333435058594,0.0009767007,0.011213627,0.011213627
0.0,170.175,-4.24598554000369,7,-428.339343187958,297,0.0,808.5927445888519,37888,0.0,2.8393054,0.0010914802551269531,0.0010000919,0.008886491,0.008886491
0.0,160.9,-5.047552646279103,7,-418.2919960765168,304,0.0,830.6479618549347,38912,0.0,2.8413475,-0.0021734237670898438,0.00090818224,0.009387817,0.009387817
0.0,156.85,-5.165507497138058,6,-448.59751941375436,310,0.0,852.8659117221832,39936,0.0,2.8438413,-0.00043320655822753906,0.0009150182,0.0083287405,0.0083287405
0.0,165.7,-5.290512248627467,5,-421.5494213620201,315,0.0,874.5110700130463,40960,0.0,2.8457131,-0.0005866289138793945,0.00083074346,0.010593455,0.010593455
0.0,165.0,-5.311810494605162,7,-441.6053317725658,322,0.0,896.2129049301147,41984,0.0,2.839506,-0.0002040863037109375,0.0010012797,0.009964272,0.009964272
0.0,163.9,-5.216591462184356,6,-437.2877922007814,328,0.0,917.9316413402557,43008,0.0,2.842385,-0.0009062290191650391,0.0009347684,0.006840164,0.006840164
0.0,159.95,-5.41861848324497,5,-451.0801774960011,333,0.0,939.9013743400574,44032,0.0,2.8538182,-0.004410266876220703,0.0009522259,0.008746931,0.008746931
0.0,171.7,-4.779732684294554,5,-442.57648240476846,338,0.0,961.6716449260712,45056,0.0,2.851075,0.00038695335388183594,0.00097198883,0.0074435147,0.0074435147
0.0,182.1,-3.758211536018693,5,-431.47803494744005,343,0.0,983.4955229759216,46080,0.0,2.8333137,5.0902366638183594e-05,0.000953399,0.00684114,0.00684114
0.0,189.575,-3.4317959086435565,5,-416.19742501489816,348,0.0,1006.2054088115692,47104,0.0,2.826041,-0.0011745691299438477,0.0010388783,0.01138181,0.01138181
