# {"t_start": 1564929559.9601712, "env_id": "highway-continuous-v0"} 
r,l,t
-689.022158,68,3.362911
-691.910117,59,4.559064
-821.106025,38,5.338972
-676.490896,51,6.364443
-667.12647,28,6.928923
-604.646177,31,7.545344
-614.004707,39,8.323319
-680.496479,45,9.231043
-673.690453,33,9.893005
-931.791141,104,11.929654
-691.618924,34,12.608436
-675.780855,131,15.207267
-822.305412,246,20.162059
-170.307452,300,29.094339
-816.780085,202,33.126001
-612.708993,50,34.160583
-1158.666437,248,39.135372
-659.015812,54,40.274845
-675.851323,55,41.442306
-679.109066,64,42.814412
-829.069738,120,46.560895
-926.524579,93,48.469077
-637.782495,111,50.731605
-612.376436,57,51.89212
-633.404657,90,53.673123
-621.572817,72,55.088194
-617.799463,48,56.031093
-689.533622,76,57.603971
-651.865697,42,58.448772
-692.056448,41,59.272611
-738.546553,95,61.164407
-610.030278,32,61.818963
-644.546124,107,63.936073
-630.795625,92,66.863633
-612.028742,33,67.523367
-668.157055,78,69.084772
-630.734374,77,70.614527
-707.388887,62,71.866056
-925.676863,133,74.568867
-1082.404078,152,77.707421
-652.992141,137,80.461282
-794.74793,87,82.197105
-743.020817,54,87.047896
-957.94028,159,90.256305
-653.043288,31,90.878374
-688.397016,52,91.92013
-651.216541,144,94.776836
-744.422926,229,99.448095
-924.190209,116,101.776433
-721.867333,99,103.736596
-698.390696,65,105.020732
-670.167187,63,106.273846
-612.930793,43,107.701328
-674.842355,32,108.342847
-654.769414,43,109.205602
-1037.069663,86,110.89938
-734.442705,120,113.282154
-732.901668,113,115.543666
-703.649634,111,117.788561
-851.651616,164,121.128191
-766.424083,272,126.753824
-697.982878,73,129.318363
-676.70604,76,130.872995
-662.319572,55,131.986462
-613.051505,48,132.986356
-613.956676,53,134.04452
-707.510696,81,135.690543
-730.042406,211,139.863105
-611.481117,32,140.500335
-690.138555,94,142.407147
-1161.699483,98,144.35696
-706.732229,52,145.428715
-609.471022,28,146.002088
-694.469929,43,146.852477
-657.180704,24,147.34383
-738.966936,114,151.068569
-803.919872,156,154.138603
-759.917889,30,154.744225
-707.933728,82,156.383079
-710.727962,81,158.013103
-650.265182,56,159.136355
-688.309422,136,161.814183
-616.31587,37,162.55591
-654.815906,129,165.086976
-624.046702,67,166.473497
-707.780523,66,167.782583
-613.959619,40,170.424497
-728.301368,98,172.396653
-630.297265,74,173.904879
-1511.105951,254,178.944796
-724.48605,144,181.98437
-683.304574,63,183.242856
-1110.121215,113,185.461898
-610.633244,40,186.278428
-658.572312,58,187.451941
-867.787773,149,193.585277
-974.865913,98,195.595474
-756.402,113,197.868057
-975.312655,165,201.259628
-1014.328091,100,203.48035
-807.025363,142,206.639559
-762.485449,31,207.263755
-619.834189,44,208.160077
-831.243359,61,209.373582
-617.077889,44,210.273411
-725.071679,92,214.204301
-708.923037,65,215.506933
-107.39157,300,221.741946
-714.903337,101,223.869077
-722.576499,266,229.196024
-699.059033,198,233.494632
-373.001731,300,239.916899
-781.300544,123,242.355157
-643.185618,127,244.908741
-130.24053,300,250.948689
-610.350231,46,251.872883
-157.583286,300,260.839624
-933.395953,132,263.547173
-737.306442,140,266.33124
-647.535371,44,267.210428
-797.680954,60,268.418839
-160.203229,300,273.948591
-787.259204,215,279.719717
-736.882653,32,280.36407
-767.430934,154,283.515744
-734.211958,74,285.002384
-710.629819,76,286.535749
