# {"t_start": 1564929559.9596038, "env_id": "highway-continuous-v0"} 
r,l,t
-625.59046,73,3.813983
-608.047365,26,4.336743
-709.986694,58,5.514688
-627.913086,90,7.570016
-609.033453,33,8.287458
-623.773179,81,10.102473
-609.673747,31,10.752848
-676.005585,62,12.021433
-725.876817,45,12.938927
-889.128972,152,16.045058
-701.956067,42,16.901382
-639.252712,98,18.916662
-1040.246415,107,21.000913
-744.27866,67,22.396172
-746.736155,97,26.102884
-789.805806,82,27.754514
-1171.533572,92,29.592895
-708.224513,63,30.85071
-617.658148,62,32.079031
-688.917004,24,32.571253
-647.988469,19,32.970464
-1085.976977,231,37.827341
-610.032058,36,38.565897
-715.756763,33,39.245665
-686.941469,65,40.574308
-830.375494,135,43.35428
-638.730915,39,44.153374
-622.777642,64,46.691505
-620.15151,80,48.296429
-763.588122,48,49.270909
-690.680625,47,50.240177
-610.365699,51,51.259734
-687.020434,98,53.335154
-678.538004,73,54.814218
-754.631435,81,56.470268
-685.869278,137,59.246727
-680.278844,83,60.856294
-610.490817,42,61.742964
-689.400236,97,63.674869
-628.851272,86,65.40725
-668.561735,37,66.188201
-613.413949,45,67.426366
-623.460453,65,68.750642
-646.072412,37,69.510438
-694.318322,127,72.106547
-609.959956,32,72.773064
-735.477572,44,73.706437
-625.88508,66,75.033883
-692.134677,37,75.786661
-705.77671,63,77.083173
-675.232494,95,78.995505
-689.097066,31,79.686527
-684.165754,74,81.194707
-677.403928,57,82.364634
-611.437347,39,83.183887
-866.758835,68,84.598044
-618.158566,61,85.846175
-623.964292,81,89.581321
-925.710568,154,92.746377
-611.419502,42,93.594752
-787.902334,167,96.990845
-641.238083,35,97.732193
-809.935877,85,99.486885
-666.195569,36,100.222038
-700.85712,48,101.202441
-626.732882,85,102.939606
-620.256926,62,104.222741
-636.819508,97,106.164515
-632.824287,103,108.252103
-672.927807,45,110.061282
-774.802351,126,112.633233
-606.68242,29,113.236303
-627.242257,87,114.94668
-739.195043,189,118.826177
-957.352418,171,122.383255
-708.310863,96,124.361388
-621.447351,56,125.504908
-615.695661,50,126.509474
-616.209823,41,127.343207
-727.228786,53,128.428632
-735.245049,56,129.561409
-657.829979,19,130.780661
-664.977214,46,131.755112
-754.845554,168,135.236093
-819.861126,169,138.693439
-687.301278,53,139.778944
-695.016854,98,141.732246
-621.830052,91,143.57976
-898.580663,63,144.882355
-605.759495,24,145.38447
-1140.971401,259,150.702987
-620.804097,45,152.614377
-769.595104,74,154.122812
-621.633884,78,155.68878
-615.918137,45,156.623782
-995.094064,158,159.872191
-674.486732,62,161.114769
-605.086112,26,161.657433
-613.11657,41,162.501089
-624.303705,67,163.876911
-667.458216,72,165.344726
-672.441583,58,166.518357
-623.101394,82,168.176322
-616.578237,69,169.576189
-614.512099,44,170.460779
-736.979136,61,174.125222
