# {"t_start": 1564929610.4206371, "env_id": "highway-discrete-v0"} 
r,l,t
-652.275261,105,3.838865
-621.828637,56,4.967298
-649.762811,86,6.801816
-610.041718,24,7.310299
-652.840978,117,9.71292
-640.874797,70,11.157013
-630.259517,77,12.725764
-623.399301,46,13.671884
-621.796969,39,14.526353
-629.655204,67,15.89185
-617.656542,51,16.949105
-623.950561,48,17.961
-614.279021,29,18.551973
-617.907736,43,19.450736
-612.857009,41,20.304754
-603.927127,21,20.768049
-605.28129,20,21.197949
-607.945546,20,21.617874
-615.781213,45,22.549313
-617.24319,35,24.270107
-631.209165,91,26.309134
-623.915657,42,27.181394
-666.954091,134,29.904876
-636.039833,49,30.9357
-625.637221,42,31.801603
-617.427255,43,32.688695
-621.152011,51,33.768847
-650.490088,104,35.934055
-605.497758,17,36.29778
-614.488163,49,37.324478
-687.953076,155,40.559444
-632.758856,66,41.933164
-637.785622,78,43.585733
-616.109341,44,44.493546
-624.163554,38,46.187487
-611.928264,28,46.790256
-612.258052,25,47.314256
-645.481032,89,49.18675
-613.151254,40,50.013448
-628.72597,56,51.152699
-627.236803,61,52.479341
-619.375435,33,53.193943
-603.492244,14,53.503432
-607.45138,32,54.159172
-711.254504,216,58.699637
-605.473585,22,59.172807
-623.543867,44,60.090769
-649.856167,88,61.974021
-664.78425,127,64.686792
-632.391426,55,65.874293
-617.076527,41,66.725324
-615.450482,28,67.955916
-611.606226,19,68.374129
-632.535689,64,69.745313
-609.388232,32,70.422413
-608.091459,32,71.099465
-606.283309,19,71.505822
-629.805787,80,73.182115
-624.382181,66,74.581133
-625.882564,49,75.636493
-691.06913,171,79.319567
-704.030102,206,83.752118
-634.921379,75,85.290741
-653.587964,102,87.416046
-607.312002,22,89.923126
-617.157903,29,90.535616
-635.218957,77,92.183502
-615.982442,39,93.020642
-603.02406,20,93.441956
-603.16714,21,93.894812
-632.021537,66,95.253686
-621.176909,60,96.536852
-650.113648,95,98.556541
-613.335048,36,99.328728
-617.125616,32,99.994847
-644.864072,78,101.579937
-718.409236,248,106.708282
-619.638153,34,107.398151
-650.482199,88,109.251597
-610.8506,29,109.886424
-603.749225,16,110.236168
-606.758371,20,110.654743
-669.310444,121,113.825833
-615.296187,47,114.793716
-638.88371,80,116.554636
-733.333305,246,121.806157
