EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain,,,,,,,,,,,,
0,113.7777778,-8.861335936,9,-449.2151481,9,0,22.82790995,1024,0,1.6086721,-0.00071466,0.000698871,0.012597936,0.012597936,,,,,,,,,,,,
0,102.4,-9.954001226,10,-520.8522134,30,0,67.96373963,3072,0,1.6066682,1.61E-06,0.000681182,0.010061723,0.010061723,,,,,,,,,,,,
0,89.675,-10.52841677,15,-531.7030116,45,0,91.05222178,4096,0,1.6059208,-0.000486016,0.000697836,0.009985013,0.009985013,,,,,,,,,,,,
0,91.175,-11.18347222,10,-547.6505419,55,0,113.4409854,5120,0,1.6034949,7.37E-05,0.000743343,0.010653096,0.010653096,,,,,,,,,,,,
0,96.35,-10.59905831,11,-550.1470043,66,0,135.8626313,6144,0,1.6034359,-0.000195622,0.000719019,0.011284664,0.011284664,,,,,,,,,,,,
0,96.45,-10.50660431,9,-520.918675,75,0,157.9875517,7168,0,1.6044701,-0.000110626,0.00073735,0.011832532,0.011832532,,,,,,,,,,,,
0,102.4,-9.614158478,10,-521.9889574,85,0,180.598047,8192,0,1.5975598,-8.68E-05,0.000794819,0.010684467,0.010684467,,,,,,,,,,,,
0,115.45,-8.647234386,6,-482.9037904,91,0,202.8522556,9216,0,1.5948818,-0.000301242,0.000782448,0.011412719,0.011412719,,,,,,,,,,,,
0,117.025,-7.674169881,8,-482.9944642,99,0,225.3347375,10240,0,1.600441,-0.00047195,0.000768093,0.010455689,0.010455689,,,,,,,,,,,,
0,127.125,-7.55728701,8,-458.0244956,107,0,248.1439297,11264,0,1.5953703,-0.000693202,0.000721579,0.012024935,0.012024935,,,,,,,,,,,,
0,134,-6.670050562,6,-445.9686209,113,0,270.5757039,12288,0,1.5946169,-0.001073956,0.000645104,0.008275806,0.008275806,,,,,,,,,,,,
0,145.525,-6.185109255,6,-421.8170762,119,0,292.4421847,13312,0,1.5882797,-0.000100017,0.000608225,0.009265589,0.009265589,,,,,,,,,,,,
0,143.025,-6.418071694,8,-421.6736535,127,0,314.5333889,14336,0,1.5878038,-0.000505209,0.000707891,0.010814581,0.010814581,,,,,,,,,,,,
0,139.575,-6.555621962,7,-421.6160015,134,0,336.8365064,15360,0,1.5863147,-0.000223041,0.000677956,0.011469924,0.011469924,,,,,,,,,,,,
0,154.45,-5.493535494,4,-368.067297,138,0,359.0188451,16384,0,1.5754983,-0.014679432,0.000720608,0.010627775,0.010627775,,,,,,,,,,,,
0,153.875,-5.023890183,8,-366.8265218,146,0,381.7523079,17408,0,1.5785351,-0.000914335,0.000652997,0.00986839,0.00986839,,,,,,,,,,,,
0,150.775,-5.409612185,8,-381.0989467,154,0,403.231812,18432,0,1.5810133,-0.000107527,0.000749567,0.011568777,0.011568777,,,,,,,,,,,,
0,132.175,-6.817643249,10,-402.4653124,164,0,424.8816712,19456,0,1.5811875,-0.000602245,0.000693557,0.011320219,0.011320219,,,,,,,,,,,,
0,145.225,-5.970939924,5,-392.9765705,169,0,447.5103335,20480,0,1.5732061,-0.000799417,0.000766013,0.012848793,0.012848793,,,,,,,,,,,,
0,138.6,-6.178542583,7,-404.583851,176,0,469.7780278,21504,0,1.575899,2.54E-05,0.000699881,0.011474045,0.011474045,,,,,,,,,,,,
0,131.55,-6.358765016,8,-432.0801507,184,0,492.4533842,22528,0,1.570332,-0.000550389,0.00084457,0.012164298,0.012164298,,,,,,,,,,,,
0,129.625,-7.278606271,9,-445.3887544,193,0,515.3558106,23552,0,1.5583291,0.002912998,0.00080034,0.010962475,0.010962475,,,,,,,,,,,,
0,128.3,-7.189142364,10,-460.4246519,203,0,538.1431501,24576,0,1.5558138,0.0082165,0.000819674,0.009488666,0.009488666,,,,,,,,,,,,
0,116.225,-8.649338868,9,-484.7750602,212,0,560.5571878,25600,0,1.5447074,0.00309664,0.000795789,0.012502002,0.012502002,,,,,,,,,,,,
0,124.85,-8.418208417,5,-488.6916239,217,0,583.1175125,26624,0,1.5527306,0.003970087,0.000812902,0.012949585,0.012949585,,,,,,,,,,,,
0,128,-8.363628586,7,-474.603862,224,0,606.0367515,27648,0,1.5585045,-0.000269055,0.000711189,0.009897947,0.009897947,,,,,,,,,,,,
0,134.175,-7.467222555,7,-462.1702123,231,0,629.0897379,28672,0,1.565691,-0.000703216,0.000795097,0.011499459,0.011499459,,,,,,,,,,,,
0,132.1,-6.884400695,11,-476.2208767,242,0,651.188055,29696,0,1.5614364,-0.001054525,0.000749207,0.009222508,0.009222508,,,,,,,,,,,,
0,128,-7.25675314,10,-504.7180301,252,0,673.6200709,30720,0,1.516643,0.01254046,0.000884167,0.012144797,0.012144797,,,,,,,,,,,,
0,128,-7.370602489,5,-504.1113684,257,0,695.6560211,31744,0,1.5547086,-0.000543118,0.000797935,0.010946911,0.010946911,,,,,,,,,,,,
0,119.225,-8.083085335,9,-515.2659143,266,0,718.5578048,32768,0,1.5513687,0.000257969,0.000725221,0.011646658,0.011646658,,,,,,,,,,,,
0,121.75,-9.146015451,8,-486.6460966,274,0,740.2630088,33792,0,1.5539334,-0.000395417,0.000722472,0.012253695,0.012253695,,,,,,,,,,,,
0,138.375,-8.146152384,5,-448.5116034,279,0,761.9233391,34816,0,1.549512,-0.000397444,0.000846844,0.013229672,0.013229672,,,,,,,,,,,,
0,142.275,-7.677364718,7,-435.385015,286,0,784.23139,35840,0,1.5450312,-0.000898004,0.000819908,0.012867969,0.012867969,,,,,,,,,,,,
0,148.375,-8.121163258,7,-408.3878322,293,0,806.6571214,36864,0,1.5483134,-0.000799179,0.000764585,0.013224046,0.013224046,,,,,,,,,,,,
