# {"t_start": 1564705799.1496675, "env_id": "highway-discrete-v0"} 
r,l,t
-633.246464,74,3.248408
-666.92341,184,7.340512
-609.167502,22,7.807909
-620.299664,44,8.71557
-131.257564,300,15.407632
-621.056019,80,17.153296
-615.967885,46,18.149295
-609.881021,23,18.650925
-627.6536,61,19.948231
-625.144817,74,21.539608
-608.062871,29,22.161196
-609.398891,31,22.826845
-622.636688,52,23.911038
-142.552935,300,31.112368
-639.228491,99,33.213931
-724.630168,265,38.782075
-639.848703,80,40.52797
-679.552196,182,44.418084
-628.281176,67,45.89583
-621.672014,54,48.062496
-623.220267,65,49.46889
-628.714969,66,50.899529
-631.473524,65,52.329308
-615.335503,37,53.123187
-616.096537,39,53.963111
-643.574899,111,56.370395
-627.0748,63,57.735738
-623.473154,55,58.938467
-632.238712,62,60.304761
-132.814152,300,66.383579
-610.035978,25,66.913895
-132.098045,300,75.196451
-666.187674,178,79.017552
-120.37531,300,85.698974
-639.997645,84,87.502246
-631.095428,69,89.024685
-624.120916,65,90.455061
-634.551055,83,93.111568
-120.000593,300,99.545544
-622.750217,56,100.775248
-649.543725,116,103.272432
-626.340088,73,104.887368
-696.87677,199,109.374187
-608.464103,25,109.905181
-612.613653,30,110.528719
-620.788523,45,111.4539
-634.367556,67,112.896199
-118.138594,300,120.265762
-631.133346,71,121.783851
-129.124285,300,128.465627
-629.180926,66,129.860881
-671.425995,186,133.756262
-635.096214,71,135.214821
-612.443919,41,137.068439
-615.536485,38,137.889077
-625.532708,54,139.063308
-686.809057,219,143.573305
-680.822771,209,148.025084
-651.86193,137,151.102711
-657.47681,141,154.104022
-622.602767,55,155.320936
-638.409488,109,157.69182
-648.435018,110,160.820004
-699.39499,227,165.670234
-661.173915,127,168.304141
-630.861616,58,169.542907
-635.011733,74,171.117419
-620.283224,41,171.967459
-643.177496,94,174.013124
-707.974884,238,179.101267
-134.452626,300,186.770623
-664.623744,147,189.967571
-667.744808,200,194.044608
-621.104469,44,194.947631
-121.08963,300,201.285017
-612.944005,33,201.986828
-625.110048,67,203.735967
-117.705393,300,210.055566
-635.296303,84,211.802967
-612.87856,24,212.317151
-637.857002,89,214.18265
-619.467206,62,215.483698
-619.047285,50,216.571271
