# {"t_start": 1565634397.1575656, "env_id": "highway-continuous-v0"} 
r,l,t
-641.666911,15,2.121544
-654.935008,58,2.963279
-859.820103,63,4.186319
-635.349183,27,4.583071
-640.279418,38,5.309095
-634.071226,28,5.738113
-647.00493,16,5.986653
-611.68516,31,6.463326
-646.446354,56,7.438696
-659.994407,45,8.099097
-646.242923,17,8.355689
-643.841639,35,9.033824
-634.229982,21,9.347736
-638.214737,14,9.563786
-637.231239,14,9.776646
-605.435852,26,10.314253
-647.051749,17,10.574389
-633.671543,37,11.130389
-660.883298,26,11.554936
-624.809473,24,12.102592
-638.45948,17,12.368975
-668.238162,54,13.191387
-640.365014,37,13.947977
-634.669357,21,14.26458
-637.102462,36,14.793522
-638.134613,45,15.616685
-667.78467,43,16.259515
-677.109722,31,16.721711
-624.876668,34,17.370845
-625.38684,33,17.87024
-633.064052,21,18.192603
-642.808691,43,18.990646
-649.206822,17,19.240497
-641.051836,31,19.701972
-633.204618,27,20.103597
-637.338543,34,20.749062
-645.936547,18,21.019887
-635.645997,14,21.231578
-640.07409,16,21.473646
-647.42464,42,22.253398
-640.940719,31,22.715035
-632.326711,21,23.030489
-642.363285,15,23.257618
-677.504537,30,23.867219
-642.539656,45,24.546021
-606.508379,27,24.949584
-804.899014,62,26.020369
-629.049766,37,26.559652
-667.158554,25,27.089077
-671.620502,32,27.574642
-667.465136,37,28.132522
-633.557411,78,29.465017
-630.937435,41,30.221366
-607.703829,29,30.646987
-661.430021,26,31.028111
-637.249451,14,31.240591
-639.536579,34,31.882926
-631.900138,21,32.193551
-860.582445,77,33.506174
-636.53822,33,34.004043
-610.029015,31,34.463963
-623.717535,26,34.852063
-647.82368,36,35.566441
-630.444227,25,35.936712
-634.042692,25,36.299451
-645.760883,29,36.867528
-635.772504,31,37.316862
-624.056101,20,37.614764
-798.422479,70,38.795164
-640.547972,53,39.565966
-715.694739,65,40.673525
-638.428832,31,41.141048
-756.57741,51,42.045333
-637.261517,15,42.273409
-878.580935,39,42.859817
-637.841662,16,43.109516
-635.505166,40,43.858403
-674.158745,20,44.162218
-646.594438,31,44.626892
-792.45206,139,47.056682
-640.863308,33,47.554664
-682.131522,66,48.709785
-626.7271,30,49.163268
-715.483679,49,50.050548
-641.846142,62,50.975233
-649.895535,40,51.719943
-632.227676,26,52.109803
-632.324509,99,53.755547
-659.232115,50,54.510183
-642.92331,26,55.046047
-630.483532,39,55.614323
-658.891899,27,56.006979
-610.743798,37,56.716541
-626.966388,27,57.121437
-635.245458,53,57.899059
-649.818201,35,58.562071
-619.844358,59,59.429838
-640.337083,33,60.064809
-762.796449,89,61.526346
-854.420136,59,62.384544
-877.756283,136,64.700271
-652.112997,44,65.348265
-618.41503,53,66.278686
-618.886246,58,67.137677
-848.683494,205,70.578272
-150.353343,300,75.931471
-692.191354,90,77.395055
-656.132569,39,77.96427
-1184.678768,141,80.327908
-632.546308,89,81.792688
-619.013986,55,82.596625
-678.774561,31,83.255237
-231.863823,300,88.234246
-618.623645,46,88.930145
-159.380552,300,93.784194
-693.0195,42,94.404998
-852.765057,123,96.571642
-613.5431,49,97.295361
-645.133028,117,99.199214
-175.710294,300,104.098094
-619.599628,49,104.963057
-688.44983,106,106.69048
-737.646886,190,109.709078
-609.707649,38,110.264473
-625.088206,81,111.616739
