# {"t_start": 1565634397.1620483, "env_id": "highway-continuous-v0"} 
r,l,t
-628.736781,45,2.458727
-640.228326,15,2.707143
-640.466659,16,2.976737
-663.990496,19,3.277346
-632.764075,29,4.015561
-686.785016,57,4.957277
-635.545783,21,5.43471
-693.22082,40,6.047671
-637.372448,14,6.265307
-765.396012,68,7.435132
-635.575458,43,8.083121
-677.04285,20,8.389671
-629.105585,29,9.034417
-638.468986,28,9.480904
-605.875502,23,9.857361
-637.945322,14,10.093785
-626.829935,32,10.763726
-650.68035,17,11.023026
-634.624605,24,11.387912
-629.051593,54,12.395992
-671.177615,36,12.953872
-638.756329,60,14.065483
-653.435152,64,15.155065
-635.358101,28,15.61651
-633.890935,26,16.189749
-633.430771,35,16.771465
-661.973511,17,17.056707
-642.793396,16,17.323938
-633.784679,27,17.945099
-631.099592,21,18.294418
-646.115201,34,18.847076
-705.356157,74,20.259009
-626.757005,34,20.8164
-655.641291,74,22.228223
-638.001701,14,22.489636
-633.125972,27,22.953779
-636.918855,14,23.356208
-681.613447,37,23.968524
-627.583751,32,24.510755
-640.933006,34,25.2095
-640.888737,16,25.45016
-655.324706,32,25.928208
-624.159812,29,26.355373
-658.431987,39,27.104543
-644.301362,15,27.338132
-657.40004,25,27.722559
-639.342922,37,28.454908
-623.336668,19,28.755282
-642.814606,57,29.710595
-624.930179,24,30.276031
-641.996997,28,30.739389
-638.208042,28,31.196617
-634.389872,28,31.665548
-643.963482,33,32.367055
-629.329985,25,32.792979
-628.216483,24,33.205974
-636.557756,22,33.571855
-959.390452,56,34.705773
-631.241609,43,35.384918
-618.852769,46,36.306804
-644.226826,31,36.818213
-617.834857,55,37.90734
-623.573513,25,38.322814
-637.548305,14,38.557993
-614.536672,46,39.483989
-633.4067,20,39.816108
-632.127811,25,40.23094
-624.588119,20,40.560372
-636.657588,15,40.798318
-844.305788,52,41.837652
-667.81139,41,42.487101
-635.96051,16,42.734395
-627.536829,26,43.298148
-638.347177,23,43.649078
-639.84387,42,44.297436
-641.934154,40,45.115771
-657.646971,61,46.067486
-655.609052,25,46.605858
-637.233668,15,46.841346
-658.063066,18,47.124138
-636.783667,30,47.584142
-635.859535,28,48.174086
-635.060504,26,48.575949
-642.088393,18,48.85378
-692.465282,21,49.178063
-647.803531,27,49.587026
-607.027378,26,50.139079
-626.868842,32,50.628529
-649.396895,17,50.894439
-623.510773,19,51.191553
-625.025881,26,51.742696
-636.695581,23,52.095705
-633.474209,28,52.517145
-628.361683,35,53.211057
-640.042737,15,53.447005
-631.072567,25,53.828122
-607.276196,24,54.19536
-611.45606,38,54.954744
-629.14354,31,55.409846
-627.182211,41,56.017888
-626.717418,41,56.800409
-639.169959,20,57.107891
-834.146314,67,58.281685
-622.554813,23,58.624921
-700.825441,50,59.386778
-647.701114,18,59.65553
-660.831341,69,60.838526
-657.024105,30,61.291018
-634.736914,28,61.884392
-675.475057,20,62.184624
-632.090533,20,62.491279
-678.35762,44,63.309657
-625.193315,25,63.67945
-660.078319,38,64.24526
-640.478448,21,64.559397
-624.74256,33,65.218584
-636.837691,18,65.488659
-635.808654,28,65.90574
-640.111178,21,66.224462
-634.941789,35,66.952327
-657.614489,39,67.540462
-654.578976,83,69.022838
-645.669743,15,69.272869
-626.302054,27,69.712898
-647.33598,52,70.802703
-636.543111,22,71.164989
-635.418923,50,72.104468
-647.01763,18,72.403748
-638.234992,21,72.751907
