#{"t_start": 1571343794.4524927, "env_id": "highway-discrete-v0"}
r,l,t
-679.404964,170,26.657571
-26.695857,49,33.710336
-17.969738,43,40.017891
-21.493432,50,47.207802
-21.035862,56,55.289758
-632.538558,64,64.484977
-17.419212,36,69.682079
-24.528115,51,77.096036
-38.996677,87,89.752217
-22.329307,55,97.573719
-35.266382,81,109.066763
-39.881247,68,118.990633
-17.609333,32,123.656812
-21.383626,34,128.728725
-9.928633,30,133.130541
-16.003503,40,139.323056
-57.602267,79,151.421866
-27.215898,66,161.915873
-616.639963,25,166.878773
-16.567123,55,175.753508
-12.490922,38,183.212568
-50.677881,108,201.251968
-6.669352,18,204.170756
-19.665741,32,209.597437
-613.322372,22,213.138586
-26.175181,63,224.529122
-629.625602,54,234.116841
-44.610628,100,251.13479
-32.962675,67,261.892105
-58.487816,136,285.282497
-22.237847,46,292.893894
-8.038783,46,301.131185
-14.631096,43,308.049506
-80.877349,144,331.934025
-26.520714,60,342.832933
-4.859263,19,345.954026
-33.295249,92,361.777075
-4.209344,19,364.937442
-29.968259,52,374.148321
-614.519679,31,379.102266
-111.481999,195,411.871522
-82.007298,164,439.870817
-41.904123,114,459.134326
-60.058696,116,479.091225
-33.224759,60,489.542519
-57.059566,100,506.158744
-9.894675,23,509.820928
-6.152066,22,513.892344
-33.880686,59,523.959926
-14.131764,41,530.768948
-16.023901,49,539.809282
-9.276065,35,545.45428
-40.984542,100,562.738028
-6.962374,22,566.314501
-621.271313,50,575.146734
-34.126721,71,587.267547
-45.799335,141,612.17897
-22.414505,42,618.832957
-15.696025,25,622.734047
-30.421404,49,631.546381
-21.313861,64,642.406158
-618.324782,31,647.578716
-49.462045,120,667.483006
-23.376513,47,675.797582
-29.679381,80,688.419714
-45.976248,91,703.595402
-46.82537,123,723.741478
-17.38476,36,730.682617
-24.158736,58,740.468071
-14.969642,37,747.504152
-24.279389,44,754.291324
-10.494698,27,758.631469
-30.04461,109,777.914996
-18.771445,39,784.195411
-623.691743,40,790.375055
-10.905507,32,796.749621
-13.097786,33,802.129018
-5.789581,19,805.169901
-30.144668,51,814.382672
-28.093035,52,822.723763
-16.421907,33,828.909898
-22.707496,58,839.22326
-41.03879,87,854.001035
-12.037509,30,858.665738
-6.413792,18,861.589926
-12.162795,38,868.709151
-38.67459,91,884.410768
-8.738033,32,889.532209
-27.542277,73,902.105253
-56.019254,128,923.96607
-609.355331,17,926.665109
-9.846694,33,933.032339
-23.668493,39,939.122997
-9.054462,26,943.529811
-13.35233,36,951.060164
-25.662873,56,959.722041
-18.372109,45,967.866491
-27.498709,66,978.106237
-22.05729,50,987.320816
-614.318149,29,991.809343
-15.86609,53,1001.3444
-26.2902,63,1011.074924
-621.245473,39,1018.504432
-19.413894,30,1023.194304
-52.019342,105,1042.537168
-17.613934,47,1050.028293
-7.022904,20,1055.349568
-9.285826,18,1058.324844
-10.730827,24,1062.135916
-14.794253,30,1066.916707
-49.237932,115,1089.000516
-36.234016,103,1106.877475
-27.334598,60,1116.082781
-15.534261,42,1125.296033
-36.693117,85,1138.369856
-40.65496,78,1151.862905
-32.467269,82,1165.48644
-8.204614,20,1168.673128
-23.779337,55,1178.477134
-10.845105,21,1181.782783
-13.791946,28,1186.122324
-9.523283,29,1191.698293
-26.923149,40,1198.278418
-12.832358,43,1204.824393
-9.540796,55,1214.61359
-10.379777,20,1217.820835
-5.528481,19,1220.861826
-15.034628,41,1228.812389
-26.393438,63,1238.545152
-22.324304,73,1251.425591
-12.948255,30,1256.077051
-12.770811,34,1262.681245
-22.069904,43,1269.700491
-12.604071,45,1277.73701
-30.185984,99,1294.446607
-32.518261,80,1307.297215
-99.874044,237,1347.73164
-3.081635,20,1350.935415
-12.128513,32,1355.896487
-32.542255,88,1371.534483
-15.499382,35,1378.10301
-6.778811,20,1381.372704
-22.783185,40,1388.2919
-19.631091,64,1400.868391
-5.732715,19,1404.491263
-51.918181,123,1425.317261
-13.165032,44,1434.000686
-34.809067,79,1446.090435
-645.834493,86,1462.845612
-24.153977,58,1473.681708
-20.010057,50,1481.709421
-9.489549,20,1486.023122
-8.77893,23,1489.795838
-9.434799,27,1494.031674
-13.934361,54,1503.936943
-5.810877,20,1507.190803
-6.12391,23,1510.905473
-38.257531,77,1524.214982
-50.258132,91,1539.722271
-5.680063,18,1542.593858
-25.250219,60,1552.208229
-11.766932,29,1558.044132
-12.368973,42,1564.575245
-64.474656,135,1587.747866
-51.707842,116,1608.553681
-43.433647,106,1626.186585
-4.491325,14,1628.540241
-28.950178,84,1642.831959
-9.041092,25,1646.750278
-14.351433,40,1652.828982
-23.179429,47,1661.346766
-8.467205,17,1664.123227
-18.617485,44,1671.071148
-3.94003,18,1675.927667
-22.777501,65,1686.515681
-13.465324,38,1693.745909
-26.130896,100,1710.685222
-24.032177,54,1719.251913
-15.391284,32,1725.608957
-30.440699,62,1735.462559
-20.205076,44,1744.692254
-21.898977,75,1756.741895
-8.036971,18,1761.042161
-6.700184,17,1763.792055
-613.278933,27,1768.187086
-7.015231,21,1772.553772
-41.118273,115,1792.091027
-16.309515,36,1798.780342
-8.813918,21,1802.085757
-7.783263,18,1804.923675
-22.634822,55,1814.822805
-10.273649,27,1818.995098
-31.830527,70,1831.064814
-10.217601,34,1836.453462
-6.924267,21,1839.839242
-11.401596,32,1844.932473
-23.325772,66,1856.388737
-15.614951,41,1864.381586
-20.828646,73,1875.631441
-19.214548,41,1883.094236
-23.636282,54,1891.647481
-35.478119,77,1904.819139
-55.08162,144,1928.784969
-27.583569,61,1939.367652
-16.806363,48,1948.459405
-6.625292,20,1951.636341
-7.816378,23,1955.261042
-38.492244,85,1970.197804
-41.114759,82,1983.993063
-32.371871,65,1994.368399
-9.149124,28,1999.981632
-8.609157,34,2005.327387
-23.230002,41,2011.609599
-17.7574,62,2023.147198
-11.15738,39,2029.522577
-35.505975,82,2044.768056
-22.037649,61,2055.50944
-12.776107,53,2064.155858
-12.232315,39,2071.146842
-6.458706,25,2075.133898
-10.339207,29,2079.668841
-5.849188,18,2082.827421
-28.616612,82,2096.653993
-23.908148,66,2108.228665
-17.10948,48,2115.966506
-6.383408,26,2121.07874
-8.960585,31,2125.942976
-19.301701,46,2133.115158
-7.25326,18,2137.034809
-9.205518,26,2141.359303
-16.560103,52,2149.611421
-18.54136,37,2156.396879
-7.20551,25,2160.358933
-11.757062,28,2164.74345
-7.584416,18,2167.897038
-34.80934,104,2185.269722
-61.279275,118,2205.893175
-7.07431,26,2210.067391
-27.656396,66,2223.019341
-10.248451,27,2227.197534
-17.623638,55,2235.942002
-28.375154,61,2246.528429
