mean 100 episode reward,mean 100 episode reward per step,steps,% time spent exploring,episodes
-inf,-inf,0,100,1
-inf,-inf,100,99,1
-679.4,-3.9964997837771934,200,99,2
-241.4,-1.6530713584535508,300,99,4
-153.3,-1.1529446217386494,400,99,6
-202.4,-2.304572153027112,500,99,8
-180.1,-2.0766185628894696,600,98,9
-150.2,-1.7467173562121974,700,98,11
-139.8,-1.627505544830318,800,98,12
-115.5,-1.404876553580302,900,98,15
-102.7,-1.274957110805421,1000,98,17
-96.0,-1.1967121381158998,1100,97,19
-118.0,-2.3253818709642635,1200,97,21
-113.0,-2.230302185538546,1300,97,22
-122.5,-3.046757965714809,1400,97,26
-118.8,-2.945554931249056,1500,97,27
-137.7,-3.268302280927535,1600,96,28
-130.9,-3.0752499339112247,1700,96,30
-130.9,-3.0752499339112247,1800,96,30
-121.4,-2.8209529110600124,1900,96,33
-118.2,-2.7457803393426072,2000,96,34
-117.1,-2.681541160444826,2100,95,35
-111.5,-2.5519489451980917,2200,95,37
-106.6,-2.432989772277811,2300,95,39
-117.4,-2.821328486968671,2400,95,41
-117.4,-2.821328486968671,2500,95,41
-117.2,-2.766459561885455,2600,94,42
-117.2,-2.766459561885455,2700,94,42
-116.4,-2.7124972984207183,2800,94,43
-114.6,-2.6579643385900487,2900,94,44
-113.4,-2.6093230440507167,3000,94,45
-111.6,-2.5636435538613194,3100,93,46
-106.2,-2.4300916292674413,3200,93,49
-102.9,-2.351266485929125,3300,93,51
-99.4,-2.2722187139032624,3400,93,53
-96.6,-2.201512779292133,3500,93,55
-104.9,-2.3533531142545554,3600,92,57
-104.9,-2.3533531142545554,3700,92,57
-101.0,-2.2588832558091823,3800,92,60
-99.8,-2.2315826178584146,3900,92,61
-106.9,-2.4866765623173164,4000,92,63
-104.7,-2.423179737346663,4100,91,65
-103.5,-2.3916076223543716,4200,91,66
-102.7,-2.363026196129844,4300,91,67
-101.8,-2.333439149346679,4400,91,68
-99.5,-2.2788385931773334,4500,91,70
-96.0,-2.2025686759581578,4600,90,73
-96.0,-2.2025686759581578,4700,90,73
-101.1,-2.3324559463860854,4800,90,76
-97.6,-2.256110390615823,4900,90,79
-95.9,-2.21384916328108,5000,90,81
-94.1,-2.170696038514892,5100,90,83
-91.4,-2.1085453819232463,5200,89,86
-90.5,-2.0877491979956604,5300,89,87
-89.0,-2.048232841700987,5400,89,89
-88.3,-2.029458219516661,5500,89,90
-93.7,-2.383558936331228,5600,89,92
-91.1,-2.3208232007904233,5700,88,95
-89.7,-2.281109838715475,5800,88,97
-88.3,-2.2429740890579946,5900,88,99
-92.9,-2.41435990961784,6000,88,101
-86.2,-2.376113427087568,6100,88,103
-92.3,-2.5334007409825103,6200,87,105
-86.4,-2.4395120559274126,6300,87,107
-85.8,-2.439394540708029,6400,87,111
-85.9,-2.4393222257217246,6500,87,112
-85.9,-2.4393222257217246,6600,87,112
-86.0,-2.4360280517730124,6700,86,114
-86.2,-2.4344446765901426,6800,86,116
-86.5,-2.435655975204203,6900,86,117
-86.0,-2.432302658205362,7000,86,119
-80.0,-2.1937609308617967,7100,86,122
-79.8,-2.19221674211452,7200,85,125
-67.3,-1.8025160269388092,7300,85,128
-67.0,-1.800991578967058,7400,85,130
-66.5,-1.7992308985676206,7500,85,132
-66.6,-1.8029694133953507,7600,85,134
-66.0,-1.8001538354885873,7700,84,135
-66.3,-1.800290081603106,7800,84,137
-66.3,-1.800290081603106,7900,84,137
-66.3,-1.800290081603106,8000,84,137
-66.7,-1.7982375338145788,8100,84,140
-60.0,-1.6024147320605042,8200,83,142
-59.0,-1.6028236883006877,8300,83,144
-58.3,-1.5981933310879288,8400,83,146
-58.3,-1.5967083647051192,8500,83,147
-58.6,-1.597008202189281,8600,83,149
-64.7,-1.6663627469584283,8700,82,150
-64.9,-1.6678122817476506,8800,82,152
-64.6,-1.669954878320648,8900,82,155
-57.8,-1.5457943008807604,9000,82,158
-58.0,-1.5454260244774627,9100,82,159
-58.1,-1.5424957054802957,9200,81,162
-51.7,-1.345916817598667,9300,81,164
-51.7,-1.345916817598667,9400,81,164
-52.1,-1.3457189917837815,9500,81,165
-52.3,-1.3464666417741729,9600,81,166
-51.9,-1.3449129694369455,9700,80,168
-51.8,-1.3425234658824325,9800,80,171
-51.7,-1.3445058598707416,9900,80,174
-45.5,-1.18946286963029,10000,80,176
-45.5,-1.1895984050178072,10100,80,177
-45.9,-1.1896457237269813,10200,80,179
-45.7,-1.1880520640589964,10300,79,181
-45.8,-1.1866725693384315,10400,79,183
-51.4,-1.4100662111607374,10500,79,187
-51.4,-1.40939175819666,10600,79,188
-50.8,-1.4115632639155908,10700,79,191
-45.0,-1.0580555819402484,10800,78,193
-44.9,-1.0546252795236952,10900,78,197
-44.9,-1.0540767963937787,11000,78,198
-44.8,-1.0521606311478058,11100,78,200
-38.9,-0.8463967491514472,11200,78,202
-39.0,-0.846831249359366,11300,77,203
-33.3,-0.6913626509958252,11400,77,204
-33.1,-0.6879603521471503,11500,77,206
-33.0,-0.6874123262338273,11600,77,208
-33.2,-0.6867820331080656,11700,77,209
-33.7,-0.6873737205836781,11800,76,211
-33.0,-0.6864840327030745,11900,76,214
-32.8,-0.6841935251848313,12000,76,216
-32.7,-0.6833113477295025,12100,76,217
-32.7,-0.6812729332611286,12200,76,219
-32.4,-0.6761102621892706,12300,75,223
-32.5,-0.672869305797681,12400,75,224
-32.6,-0.6753372679217436,12500,75,226
-32.7,-0.6731123600257891,12600,75,229
-32.4,-0.6723035246151325,12700,75,232
-32.1,-0.6738707714234609,12800,74,236
-32.1,-0.6731530408158831,12900,74,237
-32.1,-0.6731530408158831,13000,74,237
-31.7,-0.6753121761960789,13100,74,239
-31.7,-0.6745860210032139,13200,74,242
-31.8,-0.6740502755506932,13300,73,244
-31.3,-0.6741067337167012,13400,73,247
-24.6,-0.5993282664496671,13500,73,250
-24.6,-0.5985745855355208,13600,73,251
-30.6,-1.0949536530097466,13700,73,255
-30.5,-1.0948666779291036,13800,72,256
-30.0,-1.0942636397047323,13900,72,260
-30.1,-1.0949707178639327,14000,72,261
-30.4,-1.0951061675064657,14100,72,263
-29.5,-1.092846293587855,14200,72,266
-29.5,-1.092846293587855,14300,71,266
-29.3,-1.0904253637307009,14400,71,269
-29.2,-1.0896802625164277,14500,71,273
-29.3,-1.089486276944858,14600,71,274
-29.3,-1.0900033598434904,14700,71,276
-29.1,-1.0905883141042871,14800,70,279
-29.2,-1.0886828146866612,14900,70,280
-29.0,-1.0841092016695422,15000,70,282
-29.0,-1.0834166281459645,15100,70,285
-23.0,-0.8588299299061443,15200,70,287
-22.7,-0.8568329991532819,15300,70,289
-22.9,-0.8550416890091727,15400,69,292
-23.1,-0.8555663769028048,15500,69,293
-23.0,-0.8547478470652269,15600,69,295
-23.2,-0.85351713811051,15700,69,297
-23.1,-0.8529301298139299,15800,69,298
-23.2,-0.8536800334029612,15900,68,300
-22.8,-0.8496446824990271,16000,68,303
-22.8,-0.8496446824990271,16100,68,303
-22.8,-0.8496446824990271,16200,68,303
-22.8,-0.8468382349365712,16300,68,305
-23.0,-0.8476027998379254,16400,67,307
-23.0,-0.8476027998379254,16500,67,307
-23.2,-0.845659355453192,16600,67,309
-22.7,-0.8419905977354305,16700,67,311
-22.6,-0.8382218904918922,16800,67,314
-22.6,-0.8379054171007021,16900,66,315
-22.7,-0.8392108188457083,17000,66,316
-22.5,-0.8394969446238347,17100,66,320
-22.5,-0.8390502900872066,17200,66,322
-22.4,-0.8382469629789074,17300,66,325
-22.4,-0.8373935249059223,17400,65,326
-22.5,-0.8373205346765658,17500,65,329
-22.5,-0.8353059527544573,17600,65,331
-22.6,-0.8350689261252522,17700,65,334
-22.6,-0.8324235464449751,17800,65,336
-22.5,-0.8322322824998988,17900,64,337
-22.0,-0.829763574922658,18000,64,339
-22.1,-0.8284086176876777,18100,64,341
-22.0,-0.8267713279669087,18200,64,343
-22.0,-0.8266667010359484,18300,64,346
-22.2,-0.8254576801640117,18400,63,347
-22.2,-0.8264151048713579,18500,63,350
-15.9,-0.32424359833906635,18600,63,353
-16.1,-0.3255996668559657,18700,63,355
-16.3,-0.3256543486930228,18800,63,356
-16.5,-0.32725577569412834,18900,62,357
-16.6,-0.32608479895268194,19000,62,358
-16.7,-0.32401236273290474,19100,62,360
-16.2,-0.31929898369273474,19200,62,363
-16.4,-0.320295597162024,19300,62,365
-16.1,-0.3186273627698741,19400,61,368
-16.0,-0.31688568083267105,19500,61,370
-15.9,-0.3152977601484478,19600,61,371
-15.9,-0.31209867681998665,19700,61,375
-16.1,-0.31215423691868766,19800,61,376
-16.0,-0.308767681095885,19900,60,379
-15.7,-0.30922040548951174,20000,60,382
-15.5,-0.30768175559586375,20100,60,385
-15.6,-0.3087197854943241,20200,60,387
-15.8,-0.30812443017566993,20300,60,388
-15.7,-0.30736005685716644,20400,60,390
-15.5,-0.30716147373372443,20500,59,393
-15.5,-0.30719621265775154,20600,59,396
-15.1,-0.30860270094309067,20700,59,399
-14.9,-0.3055024933314357,20800,59,401
-14.5,-0.3084869846033956,20900,59,404
