#{"t_start": 1571163600.4939384, "env_id": "highway-discrete-v0"}
r,l,t
-621.784519,35,6.313664
-615.200421,51,13.213363
-604.492817,23,16.392529
-622.884688,37,21.325788
-659.998691,127,38.093616
-619.40899,51,44.900661
-612.926639,30,48.954952
-667.210618,132,66.019852
-618.719637,33,70.357267
-613.208081,67,79.149535
-620.899323,63,87.323932
-605.140246,21,90.131617
-628.776374,69,99.09712
-604.474997,24,102.284281
-603.131261,21,105.096772
-627.368847,58,112.605644
-633.719657,83,123.08566
-707.349624,262,159.303333
-612.296273,19,163.179476
-606.134517,32,169.755047
-605.931304,26,173.656561
-613.017279,29,178.320691
-637.457978,64,190.428072
-606.044632,21,193.361083
-608.040065,26,198.659304
-619.618371,53,205.948549
-611.959826,35,210.653196
-624.602616,39,218.534568
-610.458835,34,223.297256
-608.527974,36,229.205125
-647.218827,93,242.022897
-615.172168,30,247.086656
-617.08783,33,251.627857
-603.923333,18,254.309907
-614.718718,24,257.970352
-609.313654,26,262.408707
-606.730511,26,266.084595
-612.265267,25,269.586889
-615.253224,31,274.687975
-639.876075,87,286.591613
-656.97685,147,308.490316
-609.245113,18,311.007704
-627.800966,67,320.975913
-634.69075,65,329.974895
-628.352024,49,337.487884
-609.141669,24,340.752849
-611.153906,37,346.786777
-603.147383,16,349.026319
-661.326467,145,369.478048
-612.552168,37,374.476375
-635.708619,64,383.952781
-635.257231,80,395.6108
-620.13789,58,404.228528
-613.478819,39,409.613265
-661.722187,136,428.59942
-608.218349,21,431.494006
-602.569383,32,436.952883
-615.324514,28,440.897581
-638.023451,69,454.368189
-616.32665,52,461.447146
-611.309479,19,464.04762
-609.040329,40,471.146657
-617.937114,47,478.726132
-625.165861,62,487.819972
-652.744685,150,509.0822
-622.905411,38,515.211398
-637.351183,104,529.874597
-626.903384,50,536.594878
-606.673776,27,541.215651
-608.070233,36,546.159232
-619.609436,71,556.746623
-615.983328,54,564.326511
-657.823122,91,577.380113
-651.652302,80,588.892015
-653.292296,96,603.671733
-638.395429,79,616.001154
-639.868931,67,624.691763
-607.042976,25,628.867526
-629.263923,100,642.949789
-605.82788,26,646.477731
-602.920999,17,648.858757
-636.639978,75,659.99363
-630.627246,64,668.521092
-628.174487,48,675.935277
-613.258363,39,681.111838
-626.745075,65,690.470854
-612.258739,28,694.201482
-664.518441,135,713.637363
-620.039143,48,720.060892
-619.000484,47,727.272712
-615.816752,52,734.406753
-628.170961,68,744.316898
-637.610076,87,756.709757
-604.401711,20,759.493986
-651.768566,94,772.563365
-635.209434,87,785.408599
-633.125087,51,792.185648
-626.072898,50,799.732997
-603.612738,15,801.808017
-607.279075,33,806.275807
-620.628345,52,813.989553
-680.951717,143,833.849007
-625.760247,66,843.440249
-605.288572,17,845.730095
-657.056119,110,861.181237
-636.227462,70,871.248061
-615.222015,26,874.744393
-601.387439,21,877.662128
-610.104148,63,886.938286
-638.104229,81,898.517385
-626.681816,47,905.163126
-616.024712,42,911.752583
-603.91333,19,914.381607
-605.952776,38,919.540843
-609.118394,22,922.545119
-618.750544,54,931.071548
-613.204646,49,938.189278
-611.525314,33,943.490245
-606.364114,23,946.658297
-606.352861,22,949.626792
-641.911887,67,959.664616
-611.537476,50,966.40378
-652.769017,130,985.573546
-604.989098,28,989.347113
-611.915097,36,995.128412
-617.075663,40,1001.877844
-621.583926,87,1013.44583
-604.685629,20,1017.099969
-622.867029,76,1027.182469
-643.431881,107,1043.457802
-626.591957,51,1050.339003
-614.921916,46,1056.679029
-613.870694,59,1065.423391
-605.494959,16,1067.674721
-611.498077,36,1073.41444
-606.228627,33,1077.982179
-606.749737,27,1081.659938
-628.027549,61,1090.434108
-648.778474,94,1103.767776
-625.270686,80,1115.22564
-614.137879,36,1121.724303
-609.101808,32,1126.136799
-615.280816,46,1133.260951
-610.294028,29,1137.178112
-622.29144,51,1143.985753
-603.075098,20,1147.489074
-651.470366,113,1163.306697
-623.496987,68,1172.569911
-620.968656,61,1181.395925
-616.735213,41,1187.565917
-609.249744,33,1192.069376
-640.890361,119,1208.664459
-618.13336,49,1215.946269
-637.47323,79,1226.540751
-606.739229,45,1233.373827
-697.337143,199,1261.321745
-601.928322,30,1265.385048
-614.280518,25,1268.748247
-639.818783,85,1280.910133
-616.873594,33,1285.426628
-623.987654,66,1294.948351
-630.839096,60,1303.889917
-614.248863,44,1309.882509
-625.405673,77,1321.590872
-605.520715,17,1323.91403
-638.712825,88,1336.620931
-614.410918,29,1340.510048
-616.715781,49,1347.851647
-622.992589,52,1354.949443
-602.72279,20,1358.478258
-629.076865,68,1367.703418
-631.930263,71,1377.948028
-611.996196,40,1383.626235
-667.220117,151,1405.597326
-603.167928,38,1410.784855
-601.959618,17,1413.400951
-617.47158,51,1421.682614
-625.005531,82,1433.795785
-626.559121,92,1447.148618
-604.598458,27,1450.952145
-632.34214,62,1459.447826
-619.192803,65,1469.145705
-634.952613,98,1483.089694
-602.649026,16,1485.36048
-612.043202,46,1492.533032
-615.83731,44,1498.443109
-616.384143,37,1504.194491
-629.929418,76,1514.460891
-606.148609,19,1517.983968
-616.376616,32,1522.33819
-616.268217,41,1527.958252
-604.943476,21,1530.77098
-621.274422,52,1539.445479
-621.242275,50,1546.107371
-630.263692,67,1555.696785
-605.811854,19,1558.330507
-625.438657,66,1567.773711
-602.443544,23,1570.824541
-611.955462,44,1577.389509
-610.828777,26,1580.874731
-611.847874,33,1585.297423
-604.590297,23,1588.650725
-612.472028,48,1596.210334
-647.289869,95,1609.870982
-619.75652,65,1619.293905
-616.435538,42,1624.964803
-609.761789,45,1631.017246
-653.449123,158,1655.259833
-610.084468,30,1659.374592
-604.542062,16,1661.580556
-652.405918,134,1680.829266
-628.100926,60,1688.835317
-606.154655,28,1693.339336
-607.962804,33,1697.718953
-604.365006,21,1700.579142
-638.897885,118,1717.018394
-613.156703,47,1724.127039
-603.067774,19,1726.726182
-623.062475,40,1732.068815
-615.461321,42,1738.578559
-630.666632,64,1748.186875
-614.047106,49,1754.671688
-622.073045,91,1768.883774
-612.116858,32,1775.080343
-616.973197,45,1784.107837
-616.868526,68,1793.284771
-608.95604,29,1797.860603
-608.707755,27,1801.622578
-604.348552,23,1804.795376
-602.795856,18,1807.372647
-606.48312,20,1810.909274
-619.168562,99,1824.711862
-608.637362,29,1828.580977
-617.715013,57,1836.223804
-616.846562,45,1843.026796
-602.592713,13,1844.802694
-603.983466,16,1846.959068
-615.583087,49,1854.976539
-608.113175,32,1859.322387
-612.729754,59,1867.985546
-604.816835,22,1870.967632
-613.395988,49,1877.662684
-606.94071,19,1880.304823
-614.883225,55,1889.293646
-603.747924,52,1900.308056
-602.282829,19,1902.959244
-628.041645,116,1919.280889
-610.767231,31,1923.440588
-609.563829,41,1929.69308
-604.448813,21,1932.595387
-603.372705,16,1934.805687
-624.974298,84,1946.695589
-615.390018,36,1951.556825
-615.996868,40,1957.87176
-608.298852,23,1961.021186
-629.718596,80,1972.516674
-611.687559,32,1976.932132
-624.852283,48,1983.48923
-630.158071,77,1994.801157
-612.301001,51,2002.527046
-603.805883,14,2004.534497
-616.033095,43,2010.394414
-603.724502,16,2012.589666
-604.164598,19,2016.003698
-613.049485,38,2021.201206
-611.541535,28,2025.055138
-606.182763,22,2028.097708
-620.177308,69,2038.074064
-605.372537,31,2042.329397
-609.481481,36,2047.93318
-646.835853,130,2066.477352
-615.229362,45,2073.831031
-613.202175,49,2081.139283
-604.747466,28,2085.158025
-607.191607,30,2090.600008
-623.51912,97,2105.768459
-609.679628,29,2109.816479
-635.009329,110,2125.523697
-610.490224,32,2130.026915
-604.138694,18,2133.766295
-615.83148,45,2140.930051
-610.151186,36,2145.841532
-606.587016,29,2152.432098
-624.277357,71,2162.46013
-607.176704,40,2169.300867
-632.138602,131,2188.915316
-607.00061,26,2192.414665
-622.668408,77,2203.850913
-640.120915,142,2223.703989
-609.111135,33,2228.957483
-647.255908,105,2243.933271
-616.320712,37,2248.848578
