#{"t_start": 1571153887.8170702, "env_id": "highway-discrete-v0"}
r,l,t
-619.174269,33,6.830321
-605.635858,22,9.997022
-612.769825,30,14.224164
-612.459917,24,17.600704
-645.782458,91,29.969398
-627.606184,71,39.948003
-619.703595,34,44.734136
-617.342731,54,52.081884
-640.828528,71,61.725505
-604.15394,20,64.509582
-628.429514,67,73.559543
-613.978577,54,80.927339
-677.403877,140,99.515221
-613.116834,31,103.716146
-614.48653,38,109.125478
-639.205962,91,121.790264
-630.297126,56,129.346403
-612.742786,23,132.559721
-622.705961,60,141.052392
-678.586656,157,164.085993
-609.490534,37,169.621029
-620.130267,39,175.404168
-617.741449,51,182.902944
-640.411037,82,194.904947
-613.074817,38,200.47395
-607.43573,38,206.038486
-605.45495,28,210.247198
-654.385397,91,224.456758
-620.345505,43,232.008634
-616.682647,30,237.098086
-652.845386,95,253.403887
-613.990606,41,260.598962
-648.533934,81,274.188303
-640.16083,72,284.580739
-687.312331,161,306.307809
-633.668311,101,320.091823
-610.182717,28,323.978875
-614.416879,25,327.45896
-613.897579,51,334.424381
-602.953832,18,336.975289
-644.616095,104,351.375291
-607.492919,18,354.038688
-632.452112,61,362.482276
-662.402467,121,380.264102
-624.199208,49,387.559489
-614.839535,33,392.48515
-602.662644,24,396.077337
-608.923015,30,400.652212
-651.802053,113,417.331498
-606.980697,21,420.543261
-616.294561,55,428.672952
-616.288024,47,435.597896
-606.344868,18,438.302092
-701.814793,222,470.686875
-645.397542,93,484.345915
-629.050436,62,493.484936
-654.598255,93,507.249029
-621.218179,30,511.681526
-610.419114,28,515.847211
-662.66458,128,535.780434
-642.487427,88,548.718579
-622.189884,60,558.490989
-607.349099,27,562.460312
-617.989052,40,568.357152
-614.1971,41,574.358925
-616.115299,34,580.092422
-604.991048,23,583.56678
-624.950835,64,592.993885
-602.902429,13,594.992426
-631.115177,59,603.723449
-606.424208,22,607.102745
-623.157242,65,616.714995
-654.659246,109,632.591511
-636.960973,89,645.442461
-613.020231,36,650.720398
-628.431033,65,660.268126
-616.121525,39,666.034234
-147.697741,300,726.578813
-605.009311,16,728.994486
-606.218944,26,732.88658
-615.550255,55,741.032789
-608.279808,26,744.895007
-613.175144,35,750.172646
-604.573573,18,752.886579
-655.62552,138,773.042232
-611.223597,32,777.882974
-661.234884,135,797.378084
-678.981917,166,821.554799
-619.616049,38,827.257063
-604.76654,18,829.968699
-637.594945,88,842.93728
-606.683599,26,846.854858
-656.908902,117,864.161635
-661.700509,120,881.692004
-636.099269,89,894.755885
-622.614084,41,900.902525
-616.22493,63,910.169604
-620.584663,41,916.237119
-608.975006,28,920.456676
-636.698189,64,930.44618
-683.958895,182,957.328145
-632.408598,84,969.654844
-608.11245,40,975.499231
-619.284796,35,980.64013
-630.412162,59,989.335576
-611.566017,39,995.023699
-608.732271,30,999.545563
-613.729451,40,1005.446179
-607.704865,27,1009.503212
-611.467488,35,1014.81459
-621.000428,62,1023.916745
-606.208124,31,1028.521532
-624.398684,60,1037.251515
-623.490833,56,1045.538795
-618.646413,52,1053.198595
-605.134906,22,1056.464447
-620.213935,69,1066.650458
-607.828644,26,1070.451718
-607.824613,29,1074.764451
-648.366254,103,1089.927901
-606.262196,29,1094.255884
-618.405572,57,1102.686765
-606.966511,35,1107.820821
-609.316426,29,1112.205358
-614.7859,46,1119.120211
-627.76594,55,1127.248134
-602.724218,15,1129.587872
-649.367291,118,1146.839003
-607.185791,26,1150.779679
-603.150497,21,1153.891171
-613.547854,37,1159.433735
-613.276551,47,1166.571329
-603.360455,15,1168.86384
-609.434365,27,1172.779524
-613.45775,41,1178.749921
-608.954017,31,1183.375261
-612.370473,37,1188.960974
-648.593667,130,1208.033944
-613.582177,37,1213.463524
-623.029928,58,1222.217865
-632.863575,111,1238.56652
-622.482604,63,1247.923468
-609.721169,39,1253.723843
-620.607485,45,1260.469306
-622.00627,43,1266.814161
-622.635107,56,1275.235172
-653.093562,118,1292.37282
-614.525142,50,1299.6828
-634.388971,84,1311.978852
-605.012865,25,1315.670954
-603.283075,36,1320.959625
-607.227201,26,1324.821144
-604.206949,15,1327.125418
-619.226259,55,1335.164377
-631.988836,72,1345.861827
-620.786696,46,1352.646258
-610.617305,33,1357.530883
-620.964559,47,1364.490818
-626.011571,61,1373.452519
-605.243106,21,1376.595069
-609.644567,39,1382.3644
-610.369973,43,1388.721235
-662.469625,126,1407.086616
-632.694346,84,1419.599551
-631.253422,96,1434.085362
-604.970241,30,1438.502171
-638.431958,104,1453.700409
-609.118933,29,1458.116756
-611.54046,41,1464.241577
-609.052579,37,1469.75386
-622.802252,54,1477.729066
-613.235915,33,1482.532424
-610.324877,24,1486.220911
-614.72846,45,1492.894994
-614.485015,37,1498.329929
-611.440573,49,1505.576555
-609.644376,34,1510.635184
-618.387178,47,1517.517235
-604.281543,18,1520.288821
-630.621047,108,1536.019686
-605.043068,20,1538.937817
-618.216028,46,1545.770537
-605.132628,15,1548.001179
-602.175787,16,1550.399976
-631.961385,85,1562.664306
-614.338973,39,1568.727155
-619.172193,44,1575.253246
-608.731323,20,1578.331928
-622.033317,53,1586.133017
-627.446959,70,1596.647699
-634.610028,86,1609.183838
-602.933092,16,1611.706136
-618.886961,51,1619.116859
-606.254349,21,1622.31648
-605.647303,21,1625.444615
-615.992718,65,1635.013728
-607.129882,28,1639.206151
-624.994462,105,1654.716911
-608.172446,28,1658.89635
-619.354833,53,1667.627634
-621.466843,70,1677.961087
-605.338739,25,1681.754291
-612.190392,32,1686.636711
-605.263124,22,1689.973344
-603.798135,19,1692.899273
-602.218649,22,1696.142534
-613.027147,32,1700.807181
-601.88347,15,1703.158912
-603.945966,28,1707.380224
-606.513461,34,1712.536997
-629.584264,79,1724.137342
-604.29914,17,1726.756079
-609.152754,26,1730.598399
-618.017042,66,1740.297157
-625.660053,73,1751.013457
-607.128341,24,1754.677327
-607.553763,25,1758.409059
-605.477381,30,1762.9489
-611.175488,34,1768.001333
-617.898062,71,1778.488087
-637.775724,82,1790.476264
-612.941327,48,1797.571752
-635.696862,115,1814.401481
-606.192247,26,1818.303933
-616.85013,41,1824.333968
-610.892301,31,1828.993985
-638.818755,84,1841.363335
-607.515786,30,1845.868541
-612.56866,32,1850.638215
-609.790014,51,1858.212766
-638.357766,124,1876.213302
-604.594103,18,1878.90412
-617.176341,46,1885.736606
-639.77137,97,1900.849203
-605.537177,36,1906.189726
-626.355903,54,1914.20708
-609.650493,29,1918.51799
-623.021395,65,1927.945982
-604.82561,19,1930.842616
-612.716957,37,1936.407228
-613.034821,49,1943.655966
-611.754943,42,1949.872581
-613.046573,32,1954.947078
-602.975844,25,1958.713098
-605.350063,23,1962.126975
-619.323865,54,1970.080467
-603.403076,18,1972.841279
-616.908709,54,1980.646392
-608.813175,28,1984.746981
-610.602726,42,1990.977145
-619.836807,63,2000.271939
-606.42175,21,2003.454709
-605.356238,19,2006.379002
-611.315619,28,2010.615512
-609.142333,24,2014.262292
-614.415294,46,2021.057579
-609.669306,46,2027.863573
-603.491643,17,2030.426208
-613.597661,40,2036.878929
-608.290199,28,2041.057543
-603.769112,23,2044.555445
-603.992314,35,2049.736331
-607.187371,33,2054.75017
-605.346346,18,2057.47926
-616.150769,70,2068.013977
-615.407231,57,2076.214151
-617.663987,59,2084.88198
-609.595933,54,2092.707787
-622.392823,57,2101.716937
-607.491421,22,2105.066823
-611.109791,44,2111.735187
-638.635379,95,2125.661051
-654.970686,156,2149.749821
-624.654894,66,2159.52298
-605.419289,25,2163.3187
-605.339266,27,2167.407956
-618.237921,59,2176.14444
-623.804359,55,2185.526845
-659.568608,189,2213.018867
-636.346937,80,2224.760917
-637.245947,90,2237.838305
-621.460298,48,2244.769484
-603.402043,22,2248.077644
-621.560094,52,2255.905998
-612.767846,32,2260.57137
-604.858441,18,2263.303143
-136.987176,300,2328.716388
-608.141975,34,2333.769275
-622.497044,61,2342.85661
-605.087725,27,2346.915148
-606.441661,22,2350.241903
-610.280465,47,2357.249815
-604.166895,25,2361.055319
-623.656217,69,2371.295916
-616.234598,55,2379.357446
-605.331826,21,2382.533986
-622.271834,73,2393.184743
-613.047795,36,2398.542957
-634.562481,132,2417.652042
-605.495506,25,2421.442672
-607.785455,53,2429.176624
-622.724209,72,2439.811476
-608.136017,60,2448.93117
-615.955038,50,2456.871326
-627.555198,65,2466.421131
-617.635749,56,2474.545671
-609.426089,36,2479.856134
-605.127932,17,2482.448404
-623.028081,80,2494.215015
-614.082481,35,2499.36102
-609.763774,52,2507.042951
-610.126124,53,2514.744927
-620.464681,68,2524.83852
-616.430645,61,2534.057923
-616.533026,59,2542.626335
-605.272522,26,2546.457551
-684.095416,220,2578.460325
-629.000801,101,2593.304471
-602.960871,40,2599.272461
-623.277147,67,2609.207939
-618.841133,57,2617.64723
-605.289194,22,2621.069384
-603.852683,18,2623.785861
-613.661681,27,2627.786688
-605.510297,18,2630.540415
-651.739165,114,2647.243833
-603.908709,27,2651.375868
-606.625807,16,2653.768963
-623.274365,82,2665.99435
-605.577764,42,2672.238005
-613.230791,63,2681.776255
-610.541009,30,2686.243155
-616.128339,62,2695.437723
-611.194279,80,2707.27978
-621.94959,87,2720.050457
-627.633948,130,2739.425676
-631.950103,100,2754.377559
-607.322926,22,2757.67091
-606.960958,50,2765.876125
