% time spent exploring,episodes,mean 100 episode reward,mean 100 episode reward per step,steps
99,1,nan,nan,100
99,3,-628.2,-11.97154334458438,200
99,4,-639.4,-9.93044791188692,300
99,6,-639.4,-10.91787149412377,400
99,9,-630.9,-15.19509433733652,500
98,10,-632.2,-14.290588343060024,600
98,13,-628.2,-15.13154793133618,700
98,14,-627.8,-14.966370142142193,800
98,16,-628.4,-15.112948651016849,900
98,17,-629.5,-14.55811771354944,1000
97,20,-627.7,-14.936555707998009,1100
97,22,-626.8,-15.017651028354777,1200
97,24,-625.4,-15.466944412074312,1300
97,26,-624.8,-15.8901250549193,1400
97,26,-624.8,-15.8901250549193,1500
96,29,-626.7,-15.657133974671265,1600
96,30,-627.0,-15.472114404532022,1700
96,33,-626.0,-15.703258001211635,1800
96,33,-626.0,-15.703258001211635,1900
96,35,-627.8,-16.000421558791306,2000
95,37,-626.9,-16.11355931961816,2100
95,39,-626.9,-15.800885404538167,2200
95,41,-626.5,-15.866255083907781,2300
95,41,-626.5,-15.866255083907781,2400
95,43,-627.2,-15.493054702682922,2500
94,45,-627.2,-15.294142692495859,2600
94,46,-627.6,-15.098295341257165,2700
94,49,-627.2,-15.392305073519939,2800
94,52,-626.2,-15.769986525734621,2900
94,54,-625.6,-15.968642907029425,3000
93,56,-625.3,-16.25537548046758,3100
93,58,-625.7,-16.021109623235073,3200
93,58,-625.7,-16.021109623235073,3300
93,61,-626.1,-16.032770675676876,3400
93,62,-626.1,-15.933461946753592,3500
92,62,-626.1,-15.933461946753592,3600
92,65,-626.5,-16.020127843309325,3700
92,67,-626.7,-16.0671808810493,3800
92,69,-626.5,-16.124168704236972,3900
92,71,-626.3,-16.216242722641653,4000
91,74,-625.8,-16.16294704527746,4100
91,74,-625.8,-16.16294704527746,4200
91,76,-626.5,-15.925348776767189,4300
91,78,-626.3,-15.905335863361788,4400
91,81,-625.8,-16.065329411521898,4500
90,84,-625.2,-16.185215032602564,4600
90,86,-624.8,-16.349987507974333,4700
90,88,-624.8,-16.251370791142634,4800
90,90,-624.9,-16.126098901603534,4900
90,93,-624.5,-16.20109747691731,5000
90,96,-623.9,-16.459028909567902,5100
89,98,-624.0,-16.43810004059044,5200
89,100,-624.0,-16.38306948560518,5300
89,102,-623.7,-16.428554836409923,5400
89,104,-623.3,-16.656357728997055,5500
89,107,-622.8,-16.591554573507032,5600
88,109,-622.9,-16.55010547211901,5700
88,112,-622.7,-16.59059299964101,5800
88,113,-622.7,-16.52700268544311,5900
88,116,-622.4,-16.59463824129018,6000
88,117,-622.3,-16.614359542174967,6100
87,119,-622.3,-16.578738000449828,6200
87,122,-622.1,-16.67568771122517,6300
87,125,-622.0,-16.721072664901904,6400
87,127,-621.1,-16.780996771782256,6500
87,130,-621.1,-16.760187413187143,6600
86,132,-621.1,-16.75154760672483,6700
86,134,-620.1,-16.837640329575088,6800
86,137,-620.3,-16.601520872679103,6900
86,139,-620.3,-16.709605515612928,7000
86,141,-620.3,-16.763956183367377,7100
85,143,-619.8,-16.934704887500818,7200
85,147,-619.2,-17.39079611368234,7300
85,148,-619.2,-17.259085676048297,7400
85,148,-619.2,-17.259085676048297,7500
85,151,-619.6,-17.28530375580394,7600
84,154,-619.7,-17.32148097615665,7700
