steps,mean 100 episode reward per step,episodes,% time spent exploring,mean 100 episode reward
0,-inf,1,100,-inf
100,-0.2351422914408846,3,99,-11.6
200,-0.2351422914408846,3,99,-11.6
300,-0.21551083715137936,5,99,-15.3
400,-0.20979170391670315,6,99,-14.4
500,-0.1975480979483157,8,99,-13.7
600,-0.1975480979483157,8,98,-13.7
700,-0.19133767730675838,10,98,-14.0
800,-0.19133767730675838,10,98,-14.0
900,-0.18732123332728967,11,98,-15.6
1000,-0.18849860531551102,12,98,-15.9
1100,-0.18683178027752576,13,97,-15.1
1200,-0.1839190658490268,15,97,-15.1
1300,-0.18804374420534015,16,97,-14.7
1400,-0.18804374420534015,16,97,-14.7
1500,-0.18108756667018344,18,97,-15.0
1600,-0.18265996628912973,19,96,-15.1
1700,-0.18265996628912973,19,96,-15.1
1800,-0.17881509315781496,20,96,-15.5
1900,-0.1792700713182012,21,96,-15.5
2000,-0.1792700713182012,21,96,-15.5
2100,-0.17880755786197242,23,95,-15.8
2200,-0.17982212853020352,25,95,-15.4
2300,-0.1814246928018637,26,95,-15.2
2400,-0.1814246928018637,26,95,-15.2
2500,-0.18004106357533176,27,95,-15.6
2600,-0.18004106357533176,27,94,-15.6
2700,-0.18413064111185198,30,94,-15.5
2800,-0.18389643252022803,31,94,-15.6
2900,-0.18389643252022803,31,94,-15.6
3000,-0.18063830938351297,33,94,-15.4
3100,-0.18059471006913533,34,93,-15.2
3200,-0.17965258405901152,35,93,-15.1
3300,-0.18079481586729507,36,93,-15.3
3400,-0.18224323118223706,38,93,-15.3
3500,-0.18190852940005695,39,93,-15.4
3600,-0.1832491921299119,41,92,-15.1
3700,-0.1832491921299119,41,92,-15.1
3800,-0.1820784293511744,42,92,-15.2
3900,-0.18085843430317652,43,92,-15.1
4000,-0.18085843430317652,43,92,-15.1
4100,-0.17926036765912348,45,91,-15.3
4200,-0.17911300704001284,46,91,-15.4
4300,-0.17911300704001284,46,91,-15.4
4400,-0.1788768413713287,47,91,-15.7
4500,-0.17991154758467842,49,91,-15.5
4600,-0.18115162532023743,51,90,-15.1
4700,-0.18091242128516555,52,90,-15.1
4800,-0.1801401453283779,53,90,-15.2
4900,-0.18045502243960043,54,90,-15.2
5000,-0.17985478083177261,55,90,-15.1
5100,-0.17905915970599848,57,90,-15.0
5200,-0.17816153046103136,58,89,-15.0
5300,-0.17897765675513685,60,89,-14.8
5400,-0.17962000865494915,61,89,-14.8
5500,-0.17962000865494915,61,89,-14.8
5600,-0.17903898481914737,63,89,-14.8
5700,-0.17903898481914737,63,88,-14.8
5800,-0.1782100192924756,64,88,-15.0
5900,-0.1782100192924756,64,88,-15.0
6000,-0.1780841124985385,65,88,-15.2
6100,-0.17733182333238337,66,88,-15.1
6200,-0.1767180170309802,67,87,-15.2
6300,-0.17734232058292046,69,87,-15.1
6400,-0.17734232058292046,69,87,-15.1
6500,-0.17791614762922606,71,87,-15.1
6600,-0.1784938526523932,73,87,-15.0
6700,-0.17756242614907133,74,86,-14.8
6800,-0.17845622051287044,76,86,-14.8
6900,-0.17772291674471855,77,86,-14.8
7000,-0.1776335579180524,78,86,-14.8
7100,-0.17793125465978787,79,86,-14.8
7200,-0.17853479103667863,80,85,-14.9
7300,-0.17853479103667863,80,85,-14.9
7400,-0.1780198797912365,81,85,-15.1
7500,-0.1780198797912365,81,85,-15.1
7600,-0.17753706865201882,82,85,-15.2
7700,-0.17753706865201882,82,84,-15.2
