#{"env_id": "highway-discrete-v0", "t_start": 1573009165.0868542}
r,l,t
-1.381175,78,6.202699
4.18997,173,17.520746
0.821314,37,20.008147
1.92041,58,36.687939
-0.360152,114,44.016089
0.35412,45,46.961673
4.51279,99,53.377598
-0.0096,22,54.873328
-2.249084,63,58.978265
-1.704082,26,60.709924
0.188251,163,71.402372
0.117873,78,156.362959
2.282626,137,165.536099
0.27148,88,171.409606
4.589502,191,183.922531
-4.640766,91,190.085353
-0.301279,37,192.637608
0.893095,30,221.289138
1.161077,51,251.462187
-3.805602,57,255.370493
8.59803,119,276.648355
-2.155209,54,280.339765
3.550646,84,286.055247
1.665297,34,288.416791
0.251453,75,293.479356
-0.537099,23,295.134946
1.702197,71,299.947774
8.593447,150,336.590887
-3.209974,31,351.922791
4.355891,103,385.404378
4.462261,76,390.544048
2.021261,149,414.36049
-2.209961,35,416.923801
-1.007427,28,418.913899
1.476055,39,421.747446
4.97821,84,427.749141
2.311289,56,431.682262
1.829935,32,434.097742
6.855879,34,436.570344
11.26332,190,450.181964
-1.884022,63,469.061343
16.000019,185,496.134854
0.864797,74,529.045948
5.738364,77,548.754529
-0.181831,146,559.053918
5.952289,113,581.091285
0.206852,25,596.542434
4.923101,80,602.054052
0.834763,50,619.20083
0.938355,61,623.363514
3.716829,50,626.806655
7.861973,144,636.435707
0.58321,129,657.980561
5.804359,95,664.369695
1.117266,46,680.828132
-1.61586,45,683.917142
10.759914,117,692.183325
0.679356,92,698.678514
-0.452752,49,729.267754
3.101592,40,732.13596
5.625043,62,736.721511
0.76008,39,766.837892
2.69372,56,800.01895
16.742737,123,808.761487
3.206738,47,812.173186
3.021254,30,814.45949
14.019589,159,825.933822
2.443259,39,828.845484
1.680243,33,845.646709
-0.427148,62,864.210087
7.696821,78,869.857405
6.170755,51,873.59545
-0.305294,32,890.854067
2.380187,43,894.016171
16.014918,170,906.181306
5.903853,138,915.791879
-1.737248,56,933.724727
0.353288,24,935.512878
2.436039,24,937.349768
14.556063,138,975.627094
12.627909,130,1013.513551
25.708483,112,1021.797307
7.737031,80,1027.577812
5.219137,47,1031.241423
4.30326,32,1033.654808
-1.02082,21,1050.337509
6.891171,112,1058.56591
-1.089313,55,1062.556215
1.767029,49,1066.097544
5.99487,64,1085.022093
-0.066452,29,1087.151827
1.727031,47,1090.676475
1.995801,34,1093.200862
20.535347,140,1103.021547
3.887156,54,1134.061668
5.726869,39,1136.849713
5.492939,60,1181.477932
12.752436,109,1188.873655
6.445727,55,1233.276372
5.809775,75,1265.281599
8.715841,76,1270.677218
25.555567,173,1310.141924
11.52278,64,1314.638211
6.456659,74,1319.858971
4.323187,46,1337.00969
1.803043,26,1339.007603
13.703492,86,1344.98173
18.460094,113,1353.000836
21.529148,146,1362.860863
26.217928,117,1384.433162
5.379467,32,1386.69912
3.29795,33,1389.060559
26.995304,181,1401.464553
1.543019,28,1403.457456
9.724408,80,1409.002764
5.701265,40,1411.853164
1.438493,66,1443.914074
20.666682,191,1456.96841
7.765619,45,1460.069114
5.137189,69,1478.324573
1.165117,27,1480.306132
6.105396,61,1484.604863
20.61056,188,1497.531534
1.1242,64,1501.97796
0.662297,26,1503.850498
7.835522,72,1508.837976
16.537728,105,1584.193785
4.853817,53,1615.013875
16.625786,138,1638.304693
1.428553,22,1653.736436
5.24207,44,1656.814531
16.483467,133,1665.910586
15.877708,129,1674.704434
23.374323,157,1685.5593
3.470079,23,1687.23768
23.638607,161,1725.702309
3.400544,41,1742.225971
8.214022,43,1759.088033
20.398076,138,1795.771664
23.313012,113,1871.900481
1.745544,40,1874.731186
4.129583,37,1877.453655
30.470625,190,1890.579259
-0.062175,29,1892.641866
11.473606,53,1923.841173
18.716238,131,1960.018326
2.667988,29,1962.098219
12.949292,87,1981.736754
3.589447,28,1983.766675
26.71198,103,1990.853644
10.370733,82,2050.687642
28.901107,144,2074.608185
8.333784,65,2079.458382
-0.226134,25,2094.941772
34.150079,158,2105.717146
1.515581,32,2107.972451
24.943972,130,2116.876349
2.518374,44,2120.021912
23.862122,102,2127.013062
14.852746,62,2131.388408
4.202787,32,2133.641831
2.650431,31,2149.402207
40.367858,172,2161.168121
16.000251,69,2165.946644
5.999709,44,2169.067728
25.425506,129,2177.925411
21.446349,99,2225.887798
4.032919,46,2242.576032
26.88221,111,2250.328595
33.540046,146,2288.153333
24.567715,101,2336.141836
17.886509,105,2343.424911
31.388001,150,2367.490072
25.496244,97,2400.88869
48.398659,196,2441.168574
22.577661,104,2448.393881
27.172729,130,2471.018035
