mean 100 episode reward,episodes,% time spent exploring,steps,mean 100 episode reward per step
-inf,1,100,0,-inf
-1.4,2,99,100,-0.017707377253778817
-1.4,2,99,200,-0.017707377253778817
1.2,4,99,300,0.009569925479429824
1.2,4,99,400,0.009569925479429824
1.8,5,99,500,0.011499602703159674
1.8,6,98,600,0.015821786148009793
1.4,7,98,700,0.012658284220580357
1.3,8,98,800,0.011974149295449434
1.1,11,98,900,0.009326666651954313
0.9,12,98,1000,0.002520457894549279
0.8,13,97,1100,0.0024066627833510385
0.8,13,97,1200,0.0024066627833510385
0.8,14,97,1300,0.0023620112731433693
0.8,14,97,1400,0.0023620112731433693
1.0,15,97,1500,0.0035676911557694876
1.0,15,96,1600,0.0035676911557694876
1.5,16,96,1700,0.006280690810252034
1.5,16,96,1800,0.006280690810252034
1.9,17,96,1900,0.008329896064516552
1.9,17,96,2000,0.008329896064516552
2.1,18,95,2100,0.00952968108420612
2.1,18,95,2200,0.00952968108420612
2.5,19,95,2300,0.011555516776805259
2.4,20,95,2400,0.011026868374563278
2.4,21,95,2500,0.011308600112246148
2.3,22,94,2600,0.010916999950355485
2.3,22,94,2700,0.010916999950355485
2.4,23,94,2800,0.011512991145971518
2.0,25,94,2900,0.008089404405024399
2.0,25,94,3000,0.008089404405024399
2.1,26,93,3100,0.008879369016753584
2.1,26,93,3200,0.008879369016753584
2.3,27,93,3300,0.009568673741732514
2.2,28,93,3400,0.010316864967323413
2.2,28,93,3500,0.010316864967323413
2.4,29,92,3600,0.011300923738113925
2.4,29,92,3700,0.011300923738113925
2.4,31,92,3800,0.011996742260887563
2.2,32,92,3900,0.009456042848706938
2.2,32,92,4000,0.009456042848706938
2.5,33,91,4100,0.01072333290488336
2.5,35,91,4200,0.011043756820621635
2.5,36,91,4300,0.011935923532897415
2.4,38,91,4400,0.012705117261086002
2.3,40,91,4500,0.012069533461484426
2.3,40,90,4600,0.012069533461484426
2.6,41,90,4700,0.013438772852598414
2.6,41,90,4800,0.013438772852598414
2.7,42,90,4900,0.014058425026618335
2.7,42,90,5000,0.014058425026618335
2.9,43,90,5100,0.015087739784316222
2.9,43,89,5200,0.015087739784316222
3.1,45,89,5300,0.014305946309290052
3.1,45,89,5400,0.014305946309290052
3.3,46,89,5500,0.014992167304463037
