# {"t_start": 1565706903.2908518, "env_id": "highway-discrete-v0"} 
r,l,t
-660.127796,113,3.233775
-668.721004,120,5.141267
-628.333708,44,5.81987
-612.034531,24,6.197359
-603.741383,17,6.482141
-617.495079,31,7.022956
-612.900477,39,7.706226
-623.465923,39,8.348778
-607.762998,21,8.691708
-622.463661,67,9.735193
-617.244327,30,10.245393
-618.280619,42,10.926447
-605.670255,20,11.264317
-645.355365,99,12.933789
-611.691724,32,13.459446
-612.298853,57,14.380279
-612.727897,38,14.995512
-661.380161,97,16.566659
-618.789323,44,17.29635
-652.020869,139,19.718131
-612.148752,25,20.141147
-612.809257,38,20.756346
-614.125945,45,21.494246
-610.018586,25,21.910428
-618.021705,31,22.418841
-637.847176,97,23.974152
-603.691217,22,24.32579
-608.944703,37,24.924641
-612.315738,29,25.38645
-613.333266,28,25.835449
-622.03917,63,26.860593
-604.190831,22,27.20527
-644.921444,91,28.675025
-609.5273,30,29.146511
-629.179474,89,30.477422
-614.3928,23,30.823581
-614.650873,24,31.187953
-603.563216,18,31.46257
-617.577383,31,31.941462
-635.509072,66,32.970289
-612.682994,26,33.363591
-602.711754,21,33.678999
-614.851622,29,34.104856
-621.879278,43,34.740844
-619.144255,39,35.317877
-670.586635,130,37.31563
-608.173767,34,37.82428
-647.727607,87,39.062547
-621.447204,65,40.036389
-604.698638,19,40.326033
-651.602513,79,41.519697
-604.346293,16,41.776261
-607.326771,30,42.224831
-617.654373,30,42.683694
-643.998015,74,43.801452
-616.371299,43,44.47456
-635.051933,106,46.067244
-605.083706,35,46.593082
-616.776658,36,47.134251
-630.348502,56,47.978557
-616.330266,42,48.594518
-619.837883,53,49.392681
-610.489439,16,49.642133
-609.953135,32,50.125557
-621.261149,32,50.605839
-668.765643,142,52.772664
-612.93613,34,53.307962
-699.793155,159,55.734533
-640.569231,71,56.798408
-681.549665,140,58.92472
-609.247791,31,59.393286
-625.830691,45,60.067537
-639.056054,77,61.241814
-606.17387,22,61.579159
-616.288654,36,62.123147
-146.18941,300,66.409631
-626.81827,61,67.304867
-616.234357,44,67.961938
-635.750382,76,69.090429
-646.133918,93,70.491542
-604.844592,21,70.812406
-622.470856,59,71.701228
-610.508594,38,72.273402
-664.920094,163,74.519149
-615.321026,46,75.205443
-668.62596,155,77.503545
-604.155671,15,77.736185
-622.034992,58,78.596584
-636.321885,75,79.779688
-610.087785,18,80.072681
-630.295924,59,81.027503
-608.095036,44,81.680634
-611.114514,43,82.32948
-614.799432,43,82.966755
-614.60356,22,83.306524
-636.295707,74,84.460401
-603.951175,26,84.858722
-605.631273,23,85.203737
-603.118625,19,85.493421
-615.768844,53,86.290066
-607.325768,35,86.819369
-613.381037,23,87.177507
-630.867877,52,88.005354
-608.847651,28,88.419168
-603.894925,28,88.844488
-636.136603,111,90.496305
-616.204152,24,90.868747
-610.370042,20,91.172394
-629.931142,53,91.95505
-624.723722,47,92.669662
-604.306286,22,93.002588
-641.694329,77,94.153966
-618.102947,30,94.606189
-612.064291,31,95.074377
-616.966804,43,95.71977
-607.41964,33,96.212832
-617.184779,44,96.867829
-640.430822,79,98.04887
-609.305804,32,98.537738
-605.063604,22,98.870464
-624.212739,52,99.648745
-661.708581,146,101.886677
-617.736436,71,102.975859
-610.304654,39,103.5689
-635.874041,80,104.779053
-610.16757,40,105.412171
-618.325626,52,106.220993
-613.91948,38,106.819742
-616.340722,51,107.58305
-655.355544,111,109.267958
-609.851461,27,109.671967
-641.216882,89,111.006327
-603.787398,21,111.330907
-616.903433,39,111.934901
-613.547455,33,112.455237
-610.206398,28,112.891494
-625.671222,67,113.900281
-606.144869,29,114.339622
-642.726755,84,115.614213
-607.159917,27,116.01848
-604.293796,21,116.338816
-609.664745,25,116.724332
-633.730836,86,118.019081
-624.785896,52,118.804916
-670.928365,139,120.699206
-616.893717,42,121.324055
-628.245568,46,122.015957
-663.97432,148,124.257189
-609.724988,24,124.636196
-647.4017,97,126.119123
-646.036917,127,128.034715
-606.686584,43,128.679937
-614.73729,44,129.343273
-609.818897,36,129.882182
-663.128712,128,131.824962
-609.177723,49,132.55808
-608.81855,37,133.110671
-610.790274,25,133.483224
-614.181175,25,133.853463
-609.644952,34,134.378847
-620.394502,55,135.185269
-613.11943,30,135.645941
-603.531859,16,135.894903
-609.418256,41,136.52659
-610.062275,29,136.985038
-625.138237,72,138.127309
-639.005209,90,139.423771
-607.579427,31,139.90073
-655.77064,122,141.728258
-607.87477,27,142.138123
-619.080176,62,143.090094
-606.971542,26,143.499088
-618.082605,50,144.303041
-608.768998,27,144.720458
-626.539216,60,145.62252
-604.930791,21,145.941557
-606.810804,24,146.305619
-613.334727,35,146.850794
-609.35047,33,147.357721
-649.986933,103,148.899748
-608.35467,23,149.245301
-611.389258,41,149.860727
-610.208452,28,150.282062
-621.195543,54,151.070487
-604.890534,18,151.357033
-625.84194,50,152.132659
-602.870755,18,152.411071
-622.248055,52,153.202885
-606.956211,20,153.502987
-619.294336,54,154.322805
-630.020514,55,155.151156
-608.701244,28,155.568688
-642.172935,97,157.01187
-603.136793,17,157.270388
-623.73593,59,158.175164
-613.663267,26,158.564586
-607.835978,23,158.915127
-657.330133,127,160.807189
-609.140391,26,161.198971
-614.409768,33,161.68543
-609.459551,25,162.068047
-641.240838,87,163.364139
-612.484355,24,163.73027
-619.764699,47,164.441733
-619.596059,61,165.375088
-610.511899,26,165.766579
-613.987667,27,166.174313
-629.883721,87,167.484692
-637.835099,79,168.672314
-615.210858,35,169.204673
-603.565541,16,169.455236
-617.595006,52,170.240449
-614.169632,50,171.017841
-623.749136,55,171.842801
-608.559664,22,172.176358
-638.355568,94,173.599396
-634.185788,69,174.689443
-615.703549,41,175.301051
-609.981724,30,175.758949
-617.046539,40,176.355305
-605.263838,16,176.599779
-613.951142,49,177.313682
-632.241069,64,178.258502
-607.058377,30,178.714031
-604.715075,21,179.031902
-602.411546,18,179.307599
-638.952148,85,180.58521
-623.97366,60,181.489438
-604.723071,17,181.75507
-603.927714,13,181.956194
-610.173825,30,182.412125
-603.751457,25,182.791413
-605.022886,34,183.321344
-619.998077,52,184.094528
-621.823696,59,184.987353
-616.490287,42,185.615645
-616.245571,37,186.178454
-732.214373,288,190.471312
-611.952398,44,191.14153
-619.885636,38,191.714174
-604.524634,18,191.987922
-623.96689,48,192.70362
-627.200767,67,193.732939
-692.364491,191,196.538977
-614.667861,32,197.027044
-655.518304,114,198.675331
-608.225917,23,199.026868
-608.797087,37,199.575956
-616.795532,33,200.072276
-605.686921,22,200.40515
-609.085035,25,200.779641
-602.371322,15,201.015719
-625.945295,56,201.859944
-610.289745,24,202.218141
-605.166325,40,202.809375
-673.609543,137,204.866389
-630.56259,85,206.172307
-615.244248,43,206.828029
-611.719135,35,207.3512
-614.461682,49,208.088258
-606.704495,22,208.41748
-611.702388,35,208.947686
-608.294403,28,209.374577
-614.119497,36,209.916862
-606.747207,26,210.311489
-618.238197,64,211.307367
-603.639727,15,211.54295
-612.58165,30,211.986633
-621.192573,56,212.821065
-627.331565,71,213.887791
-612.274046,39,214.495896
-604.282883,19,214.790572
-617.596356,45,215.468375
-603.778733,14,215.683313
-607.691747,39,216.28642
-641.526373,92,217.684548
-638.068727,94,219.096064
-619.191208,39,219.690049
-605.437066,17,219.950042
-603.690608,25,220.321606
-609.900621,29,220.755445
-614.405389,40,221.351218
-604.839898,20,221.649703
-655.688006,104,223.363784
-641.664133,82,224.627647
