% time spent exploring,episodes,mean 100 episode reward,mean 100 episode reward per step,steps
99,3,-616.8,-16.24146100630023,100
99,3,-616.8,-16.24146100630023,200
99,4,-640.2,-12.573303204739522,300
99,5,-638.1,-11.852698499286074,400
99,7,-641.1,-10.608588818404629,500
98,10,-632.2,-13.267359525875834,600
98,11,-631.9,-12.87920482866651,700
98,14,-629.9,-15.57105444052709,800
98,15,-629.3,-15.278908088234848,900
98,17,-628.2,-14.73956027961598,1000
97,19,-628.1,-14.926260008863999,1100
97,21,-627.2,-14.594746961985198,1200
97,23,-626.4,-15.232939928250632,1300
97,25,-626.6,-14.930966885517117,1400
97,27,-626.1,-15.376295865438182,1500
96,28,-626.7,-15.091056927918684,1600
96,30,-626.2,-14.829752339996817,1700
96,32,-626.1,-14.677959022329897,1800
96,34,-625.5,-14.854673465522438,1900
96,37,-625.0,-14.854668867829176,2000
95,39,-624.5,-15.321520063009554,2100
95,42,-624.1,-15.471174405806947,2200
95,43,-624.3,-15.26175798914931,2300
95,44,-625.1,-15.065171910033452,2400
95,45,-625.3,-14.917460458828694,2500
94,47,-625.1,-14.700985782239806,2600
94,48,-625.1,-14.628307529009776,2700
94,50,-625.2,-14.465256886024482,2800
94,52,-625.2,-14.345204501328158,2900
94,54,-625.0,-14.203466248944672,3000
93,56,-624.7,-14.372313638316273,3100
93,56,-624.7,-14.372313638316273,3200
93,56,-624.7,-14.372313638316273,3300
93,60,-625.8,-14.72614095257786,3400
93,61,-625.5,-14.859536346470168,3500
92,64,-625.5,-15.180397373024444,3600
92,66,-625.6,-15.02738158748424,3700
92,69,-625.0,-15.349920755707316,3800
92,72,-624.3,-15.617141851758603,3900
92,72,-624.3,-15.617141851758603,4000
91,75,-624.5,-15.661014618152096,4100
91,77,-624.4,-15.627785705497944,4200
91,79,-624.3,-15.544544480469474,4300
91,81,-624.1,-15.653838724352841,4400
91,82,-624.3,-15.545418647197241,4500
90,84,-624.4,-15.462324391804943,4600
90,86,-624.6,-15.327614884636287,4700
90,88,-624.3,-15.28236946172258,4800
90,90,-624.2,-15.198979097460514,4900
90,92,-623.9,-15.202943483813346,5000
90,92,-623.9,-15.202943483813346,5100
89,94,-624.4,-15.067527583537009,5200
89,94,-624.4,-15.067527583537009,5300
89,97,-624.3,-15.044011725971233,5400
89,98,-624.2,-15.065215130132314,5500
89,101,-624.3,-14.998729620138462,5600
88,104,-623.5,-15.313641878540663,5700
88,105,-623.4,-15.347441157841436,5800
88,105,-623.4,-15.347441157841436,5900
88,109,-623.1,-15.550570697829261,6000
88,109,-623.1,-15.550570697829261,6100
87,111,-623.8,-15.418017461501973,6200
87,113,-623.4,-15.531680229118935,6300
87,116,-623.7,-15.342607768540782,6400
87,116,-623.7,-15.342607768540782,6500
87,118,-624.2,-15.316533924367224,6600
86,120,-623.9,-15.38274910621704,6700
86,123,-623.7,-15.425797475286457,6800
86,125,-623.5,-15.594440280908962,6900
86,126,-623.5,-15.563332318085005,7000
86,128,-623.6,-15.404224089706142,7100
85,130,-623.8,-15.428135431823012,7200
85,132,-623.7,-15.438277651876207,7300
85,133,-623.9,-15.3160054666548,7400
85,135,-624.3,-15.27954012876635,7500
85,136,-624.1,-15.299338805667983,7600
84,136,-624.1,-15.299338805667983,7700
84,139,-624.9,-15.031653721348167,7800
84,141,-624.7,-15.027523883354556,7900
84,143,-624.8,-15.045995688911479,8000
84,144,-624.3,-15.152204731903366,8100
83,147,-624.2,-15.340686354546202,8200
83,148,-624.5,-15.297905535970633,8300
83,150,-624.4,-15.370265224376665,8400
83,152,-624.2,-15.596257530868469,8500
83,153,-624.4,-15.56882571590028,8600
82,156,-624.4,-15.59017185232174,8700
82,159,-623.3,-15.636882503821873,8800
82,161,-623.3,-15.543542170617407,8900
82,164,-622.9,-15.60390895741299,9000
82,165,-623.0,-15.588653098854769,9100
81,168,-623.1,-15.714434050170146,9200
81,172,-623.1,-15.902338355808583,9300
81,175,-622.5,-15.955870515654574,9400
81,177,-622.2,-16.287301412049896,9500
81,179,-622.6,-16.273090318387784,9600
80,180,-622.4,-16.315993258793803,9700
80,181,-622.9,-16.104759895881568,9800
80,183,-622.6,-16.200335528610882,9900
80,185,-622.4,-16.32293368975472,10000
80,187,-622.6,-16.298217241460087,10100
80,187,-622.6,-16.298217241460087,10200
79,188,-623.3,-16.217431684790675,10300
79,188,-623.3,-16.217431684790675,10400
79,189,-624.2,-16.137028580628446,10500
79,190,-624.3,-16.156936578368924,10600
79,193,-623.9,-16.212804635777346,10700
78,194,-623.9,-16.244408029019073,10800
78,197,-624.1,-16.385701567636815,10900
78,199,-623.7,-16.473271653916587,11000
78,201,-623.7,-16.372312051366798,11100
78,202,-623.9,-16.27255034746313,11200
77,203,-624.2,-15.935166588040275,11300
77,206,-623.7,-16.170371689213088,11400
77,209,-624.0,-15.958636107016687,11500
77,211,-623.2,-16.260568537551233,11600
77,213,-623.2,-16.183448136198557,11700
76,213,-623.2,-16.183448136198557,11800
76,213,-623.2,-16.183448136198557,11900
76,214,-618.3,-15.97316733597268,12000
76,216,-618.2,-15.90250682062375,12100
76,217,-617.9,-15.929326116590003,12200
75,217,-617.9,-15.929326116590003,12300
75,218,-618.8,-15.658745142896308,12400
75,219,-618.8,-15.699613104517619,12500
75,221,-619.2,-15.62029909715128,12600
75,224,-619.1,-15.698371822428292,12700
74,226,-619.2,-15.815191637065288,12800
74,228,-618.9,-15.891482381649958,12900
74,231,-618.5,-16.216543526874634,13000
74,234,-618.0,-16.523164708097326,13100
74,236,-618.0,-16.6548738553528,13200
73,237,-617.7,-16.664127222021158,13300
73,240,-617.7,-16.757019294284905,13400
73,244,-617.4,-17.284975658255163,13500
73,246,-617.4,-17.185874672871847,13600
73,249,-616.9,-17.45873505306785,13700
72,252,-616.6,-17.640558198288346,13800
72,255,-616.0,-17.950580455977843,13900
72,257,-616.0,-17.955572294120273,14000
72,259,-616.3,-17.824996680274957,14100
72,262,-616.2,-17.855541905890863,14200
71,263,-616.3,-17.810676468900574,14300
71,267,-616.0,-17.70516829628501,14400
71,269,-616.3,-17.42422536030559,14500
71,271,-616.5,-17.272018668106632,14600
71,274,-616.7,-17.249392122882902,14700
70,276,-616.9,-17.08865772616569,14800
70,277,-617.1,-16.83452501291926,14900
70,280,-616.9,-17.087832572964157,15000
70,286,-615.7,-18.432941808953725,15100
70,291,-613.3,-19.78913148853774,15200
70,296,-612.6,-20.86562134524208,15300
69,298,-612.9,-20.582102628362865,15400
69,302,-612.6,-21.14830323418803,15500
69,302,-612.6,-21.14830323418803,15600
69,303,-612.7,-21.130733925820607,15700
69,305,-612.8,-21.004371260993693,15800
68,306,-613.2,-20.905274341045782,15900
68,308,-613.4,-20.877827083729144,16000
68,311,-613.1,-20.777579711061257,16100
68,314,-618.0,-21.060977712999627,16200
68,315,-618.0,-21.15022031505097,16300
67,318,-617.1,-21.456353378824772,16400
67,320,-616.7,-21.478414880817294,16500
67,324,-616.4,-21.668619979790964,16600
67,328,-615.9,-22.150944318814908,16700
67,329,-615.7,-22.166635033212412,16800
66,331,-616.0,-22.046863997745373,16900
66,331,-616.0,-22.046863997745373,17000
66,333,-616.3,-21.981996185846928,17100
66,337,-615.8,-21.95636872182566,17200
66,337,-615.8,-21.95636872182566,17300
65,338,-616.4,-21.855513757571146,17400
65,340,-616.3,-21.895736177124682,17500
65,341,-617.0,-21.76859393410496,17600
65,341,-617.0,-21.76859393410496,17700
65,341,-617.0,-21.76859393410496,17800
64,344,-617.8,-21.295830392671995,17900
64,345,-617.7,-21.264977121693285,18000
64,345,-617.7,-21.264977121693285,18100
64,345,-617.7,-21.264977121693285,18200
64,347,-618.5,-20.976267498377297,18300
63,349,-618.4,-21.13769026525079,18400
63,353,-618.5,-21.111294644943335,18500
63,357,-618.4,-21.056213680145486,18600
63,359,-618.2,-21.167428138461272,18700
63,362,-618.1,-21.455668218884913,18800
62,368,-617.3,-22.261371959691147,18900
62,370,-617.2,-22.32470573304988,19000
62,374,-616.9,-22.619229202972328,19100
62,378,-616.2,-23.349450081972126,19200
62,381,-616.2,-23.039930131925065,19300
61,383,-616.4,-22.651421587601018,19400
61,385,-616.8,-22.17808983599518,19500
61,390,-616.7,-21.81026606462952,19600
61,392,-616.8,-21.38035067624871,19700
61,394,-617.0,-21.01093707425037,19800
60,397,-616.8,-20.97074415491896,19900
60,398,-616.7,-20.995326892903037,20000
60,401,-617.3,-20.747918117856695,20100
60,403,-617.0,-20.89501266140758,20200
60,405,-616.8,-20.882593888134377,20300
60,406,-616.5,-20.999650686591416,20400
59,408,-616.8,-20.85688018790676,20500
59,408,-616.8,-20.85688018790676,20600
59,410,-617.0,-20.80560965627706,20700
59,412,-617.2,-20.763306037377397,20800
59,414,-617.4,-20.699512474221535,20900
58,415,-617.5,-20.602175369615395,21000
58,421,-617.3,-21.58404106756818,21100
58,421,-617.3,-21.58404106756818,21200
58,422,-617.9,-21.471306600261943,21300
58,423,-618.0,-21.39028986678113,21400
57,426,-618.2,-21.237214029845177,21500
57,427,-618.9,-20.832140319222532,21600
57,427,-618.9,-20.832140319222532,21700
57,429,-619.5,-20.446987146148302,21800
57,432,-618.6,-20.570959938868867,21900
56,434,-618.6,-20.5856296368676,22000
56,436,-618.6,-20.45148607541599,22100
56,440,-617.9,-20.678463052065794,22200
56,442,-616.2,-21.038704334638474,22300
56,443,-616.6,-20.853745823517286,22400
55,443,-616.6,-20.853745823517286,22500
55,445,-617.3,-20.78709666174984,22600
55,446,-616.9,-20.85087880003138,22700
55,447,-617.0,-20.821620141664578,22800
55,448,-617.1,-20.526645469909457,22900
54,449,-617.2,-20.472045753858676,23000
54,450,-617.6,-20.408294527099308,23100
54,452,-617.6,-20.173999604572128,23200
54,456,-617.6,-20.150110372407646,23300
54,460,-617.4,-20.74853227802668,23400
53,464,-617.5,-20.62707875407184,23500
53,468,-617.6,-20.48998841042419,23600
53,472,-617.4,-20.59235713390037,23700
53,474,-617.5,-20.28188269307599,23800
53,479,-617.5,-20.305738049988395,23900
52,482,-617.2,-20.635772759444055,24000
52,487,-616.9,-20.844797142928524,24100
52,490,-616.9,-21.004969663804847,24200
52,496,-616.5,-21.55694133572272,24300
52,499,-615.9,-22.094221695669397,24400
51,503,-615.8,-21.98243359661826,24500
51,507,-614.9,-22.783116669732294,24600
51,510,-614.6,-22.929441798490735,24700
51,512,-614.4,-22.949824176633175,24800
51,513,-614.2,-23.017730771209916,24900
51,514,-614.6,-22.858169150131197,25000
50,517,-614.2,-22.813726328824657,25100
50,521,-614.1,-22.543072623139988,25200
50,525,-613.0,-23.049043946434598,25300
50,528,-612.2,-23.239997450525543,25400
50,533,-611.9,-23.968852700261223,25500
49,536,-611.9,-24.13286886678941,25600
49,539,-611.9,-24.015035205936048,25700
49,540,-611.9,-23.911396512725506,25800
49,542,-612.2,-23.59355632149123,25900
49,544,-611.2,-23.942024255206093,26000
48,545,-611.3,-23.91075046146547,26100
48,548,-610.9,-24.055967526995808,26200
48,550,-610.3,-24.496249274241077,26300
48,554,-610.4,-24.737386291653923,26400
48,556,-610.4,-24.613967993873263,26500
47,560,-610.6,-24.34952676125765,26600
47,562,-610.5,-24.45023702643469,26700
47,563,-610.7,-24.21941080262099,26800
47,564,-611.4,-23.877107089008224,26900
47,565,-611.8,-23.732583411780436,27000
46,565,-611.8,-23.732583411780436,27100
46,565,-611.8,-23.732583411780436,27200
46,566,-606.7,-23.313750094393058,27300
46,566,-606.7,-23.313750094393058,27400
46,569,-606.9,-22.765171130040468,27500
45,571,-607.0,-22.61074902104826,27600
45,573,-607.3,-22.457314466307253,27700
45,576,-607.3,-22.277368319278764,27800
45,579,-607.4,-22.180969733497033,27900
45,583,-607.5,-22.192020509010867,28000
44,586,-607.6,-22.035290027633298,28100
44,589,-607.8,-21.61364310348082,28200
44,592,-607.7,-21.555566817499262,28300
44,595,-607.9,-21.329291155266834,28400
44,598,-608.1,-20.79111624449637,28500
43,601,-608.2,-20.75538583680631,28600
43,606,-608.1,-20.726533288745667,28700
43,607,-608.3,-20.452615229344396,28800
43,610,-608.2,-20.547252950091472,28900
43,613,-607.9,-20.642425542434655,29000
42,614,-607.5,-20.67619474085732,29100
42,617,-607.5,-20.96070962520694,29200
42,617,-607.5,-20.96070962520694,29300
42,617,-607.5,-20.96070962520694,29400
42,619,-608.2,-20.761636663375835,29500
41,620,-608.5,-20.384182721214692,29600
41,622,-608.7,-19.79728085531083,29700
41,623,-608.8,-19.699628248826198,29800
41,625,-609.0,-19.41781664018768,29900
41,628,-608.8,-19.573878789322542,30000
41,629,-608.9,-19.318058567279007,30100
40,632,-608.8,-19.083693995388494,30200
40,634,-608.9,-18.76240381712458,30300
40,636,-609.1,-18.499744525069403,30400
40,639,-609.2,-18.622489304107933,30500
40,642,-608.9,-18.85372446949577,30600
39,644,-609.1,-18.890015032228334,30700
39,645,-608.8,-18.990401936765704,30800
39,646,-608.9,-18.90912741257546,30900
39,650,-609.0,-18.761731164955226,31000
39,650,-609.0,-18.761731164955226,31100
38,651,-609.1,-18.702579618165704,31200
38,652,-609.5,-18.557894705485698,31300
38,652,-609.5,-18.557894705485698,31400
38,654,-610.4,-18.488893979317947,31500
38,655,-610.6,-18.39760876803912,31600
37,655,-610.6,-18.39760876803912,31700
37,657,-610.9,-18.05334783531768,31800
37,661,-611.0,-17.97769031403036,31900
37,664,-610.3,-18.358579580107065,32000
37,667,-614.8,-19.200263875809043,32100
36,669,-615.1,-19.01054474720449,32200
36,671,-615.1,-19.17250078404373,32300
36,675,-614.9,-19.56131551144225,32400
36,678,-614.8,-19.75945460256824,32500
36,680,-614.9,-19.661637825307267,32600
35,683,-615.2,-19.246662948881678,32700
35,686,-615.2,-19.238583218912403,32800
35,689,-615.0,-19.577366414779537,32900
35,693,-614.9,-19.69069441126664,33000
35,698,-614.8,-19.970653107722587,33100
34,701,-614.7,-20.197981254459123,33200
34,706,-614.6,-20.47945895409797,33300
34,711,-614.4,-21.02150697137639,33400
34,713,-614.5,-20.94703254233605,33500
34,715,-614.5,-21.208549047137865,33600
33,717,-614.7,-20.929371182397222,33700
33,719,-613.9,-20.912618174977826,33800
33,721,-613.5,-21.263733258078783,33900
