# {"t_start": 1565015067.9329174, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-586.688703,271,10.464411
-368.239847,162,15.251722
-491.03234,95,18.08991
-529.502703,82,20.638435
-430.797562,109,23.9553
-570.092765,26,24.742057
-416.830025,62,26.631855
-542.146305,47,28.073611
-526.899908,73,30.299496
-523.539257,86,32.91155
-488.152284,93,36.694606
-550.226493,48,38.152623
-424.314049,126,42.008057
380.505007,300,51.510234
-546.211684,31,52.450222
-577.666777,47,53.90256
-517.515427,56,55.623877
-540.817836,61,57.461654
-471.547804,112,60.881357
-447.167856,108,64.735932
-613.221107,79,68.688586
-597.516429,47,70.111995
-595.376533,27,70.927718
-39.341357,300,79.760393
-596.210594,30,80.685825
-592.438314,61,82.546065
-597.922015,25,83.296971
-648.024928,268,91.551661
-590.586172,55,93.24287
-571.344642,27,94.059498
-594.623316,29,94.944987
-595.170643,30,98.43377
-597.520836,41,99.685796
-598.67941,127,103.559128
-596.099656,28,104.416788
27.865002,300,113.2777
-603.307521,46,114.679589
-575.747262,56,116.366705
-71.845213,300,126.307408
-527.486935,27,127.140465
-604.514247,51,128.679055
-69.613963,300,138.913042
-602.019385,71,141.112901
-597.003255,24,141.844715
-620.770302,130,145.835441
-603.802016,30,146.745104
-605.463916,36,147.828863
-615.42288,58,149.59449
-601.153423,63,151.47092
-609.285437,67,153.482445
-617.175269,89,156.205531
-607.289355,78,163.723904
-603.68334,34,164.748061
-602.355481,53,166.339118
-36.806562,300,175.74675
-80.618542,300,184.868652
-603.335592,57,186.591529
-613.302269,59,188.969545
-602.063316,44,194.879188
-85.373132,300,203.887893
-614.801416,69,205.979671
-610.232629,61,207.817351
-127.261509,300,217.024043
-595.815088,35,218.086132
-609.792662,36,219.170071
-634.554606,112,222.565202
-27.864448,300,234.154648
-601.528877,38,235.300026
-93.766374,300,244.060494
-603.391747,24,244.790436
-630.227585,110,248.144394
-619.416711,91,250.903679
-600.039528,38,252.06711
-607.148322,32,253.032037
-603.58984,40,257.284003
-88.925772,300,266.537463
-606.812887,66,269.091617
-601.488123,23,269.788369
-610.528889,62,271.665097
-639.980058,208,277.921124
-627.369384,89,280.6472
-623.113424,100,283.591123
-607.512005,38,289.103213
-605.578459,32,290.07688
-107.898549,300,299.115916
-607.380363,31,300.064607
-714.951286,280,308.555604
-609.552139,51,310.091964
-616.038261,64,312.008138
-597.69196,30,312.927111
-634.648495,101,316.004097
-665.110079,297,328.247049
-125.648706,300,337.22133
-627.685554,86,339.856739
-91.320535,300,348.761129
-617.32105,96,353.884734
-609.490047,53,355.518156
-621.007484,67,357.546896
-631.598177,111,360.97068
-631.183316,100,363.946824
-140.912366,300,373.068159
-604.008178,32,374.051526
-610.980471,59,375.84102
-614.658169,44,383.661843
-602.960672,24,384.390514
-679.854188,190,390.269315
-635.71663,93,393.094261
-603.505207,37,394.216173
-614.989384,61,396.040536
-605.265529,28,396.879613
-610.413454,33,397.877536
-699.945621,219,404.741011
-620.27458,72,406.960132
-614.627624,44,408.329401
-615.956379,48,410.472442
-635.266334,92,413.262706
-696.169569,218,421.094664
-158.901893,300,429.906118
-641.452926,114,433.264367
-610.139731,27,434.080401
-609.140058,37,435.216686
-624.310495,85,437.77885
-616.667049,136,441.834735
-604.310839,27,442.664046
-608.09214,35,446.424952
-696.101274,201,452.552259
-611.119649,39,453.748843
-640.475807,154,458.413409
-630.026972,95,461.313968
-96.796145,300,470.652806
-631.631719,91,479.987616
-621.784857,107,483.29232
-707.081318,225,490.237743
-612.798143,70,493.119732
-615.657652,59,494.978038
-612.05663,67,497.00646
-166.813276,300,506.396849
-141.695048,300,519.285909
-605.688985,37,520.422763
-617.929275,72,522.615215
-615.055003,49,524.144716
-612.419413,90,526.952007
-128.709337,300,536.568212
-620.452183,91,539.374498
-624.13707,73,544.541843
-637.259064,118,548.175065
-398.122125,93,551.052557
-637.457402,95,553.89651
-616.098709,96,556.780508
-639.860497,114,560.235435
-143.026973,300,569.562764
-139.08131,300,583.193888
-132.662288,300,592.872879
-157.328903,300,601.899279
-631.293965,108,605.218089
-615.177078,63,607.94811
-642.108302,158,612.725448
-130.956452,300,621.809053
-133.495056,300,630.94097
-622.197724,54,632.569215
-610.279184,33,633.574512
-621.354759,56,639.128846
-625.354191,104,642.249297
-635.190638,82,644.696017
-611.84699,77,647.050908
-624.612662,87,649.658242
-736.547411,246,657.11732
-613.990625,70,659.210954
-130.829003,300,668.264189
-603.569789,68,670.950253
-608.588568,37,672.054456
-662.795042,256,680.705611
-670.97726,149,685.208202
-615.687847,47,686.621782
-621.162472,59,688.400768
-613.048137,47,689.819646
-700.120068,213,696.255856
-610.145494,46,697.650282
-614.06894,63,699.536093
-611.742024,27,701.845285
-609.046872,26,702.634808
-607.720863,28,703.475354
-615.091279,50,704.977276
-625.433275,105,708.140278
-120.665956,300,716.352776
-618.811716,71,718.521374
-627.494164,85,721.04702
-744.804346,264,729.087777
-150.562175,300,740.659928
-696.186338,186,746.3187
-172.138117,300,756.271405
-622.235749,68,758.312288
-629.681717,106,761.400196
-146.861025,300,772.721317
-635.811964,100,775.81705
-157.13344,300,784.88492
-613.204471,41,786.12489
-628.378689,73,788.33833
-620.503508,54,796.691698
-617.918411,64,798.601271
-140.444468,300,807.114582
-123.696717,300,816.096621
-627.67688,88,818.742151
-692.915933,184,824.295519
-609.811353,33,825.289585
-612.415205,40,826.876288
-617.730894,50,828.375155
-718.183189,230,835.276124
-169.567664,300,844.299843
-607.630291,26,845.720654
-616.298575,55,847.376385
-642.354453,120,850.992105
-166.384292,300,866.953398
-702.230671,199,872.988855
-621.787445,59,874.760686
-642.04074,134,878.810376
-684.843185,266,886.869584
-151.842147,300,898.293086
-717.401386,215,904.360631
-625.160226,78,906.649351
-127.501481,300,915.725363
-617.974451,43,917.035073
-616.784952,46,918.436452
-608.1661,30,920.947628
-152.492262,300,930.265878
-682.860192,148,934.788227
-633.936692,85,937.313577
-617.277254,68,939.356652
-633.090454,65,941.913689
-610.957166,31,942.868111
-657.360387,114,946.268863
-612.265792,46,953.224071
-734.369328,259,961.118211
-153.657213,300,969.741287
-139.699613,300,978.67571
-625.358696,69,980.771775
-614.033085,41,983.859343
-610.200057,47,985.278703
-608.003966,45,986.622116
-110.94649,300,995.595704
-613.195757,44,996.940999
-152.926476,300,1006.129631
-609.594194,40,1015.134527
-111.030515,300,1024.340317
-701.295068,184,1029.866466
-147.425435,300,1038.996146
-615.935337,46,1046.701094
-651.682087,120,1050.775236
-610.846808,46,1052.164617
-625.462487,64,1054.087652
-178.177856,300,1063.585946
-112.332924,300,1072.738523
-636.282868,89,1075.419966
-621.587285,49,1076.876533
-641.457128,135,1081.620121
-731.165495,290,1090.668369
-145.5265,300,1099.799161
-613.374359,53,1110.978236
-611.07663,35,1112.025557
-690.536161,217,1118.845521
-136.652074,300,1127.878017
-145.521313,300,1136.922163
-624.81082,71,1139.031478
-172.382337,300,1150.029896
-160.065183,300,1158.975315
-622.924137,65,1160.92517
-713.18156,226,1168.400343
-614.561889,45,1174.09885
-156.233384,300,1183.45983
-634.751185,96,1186.330811
-612.277116,39,1187.526585
-637.749507,85,1190.077432
-173.475913,300,1199.31574
-622.922258,68,1201.329893
-150.364018,300,1213.840913
-687.818473,153,1218.471598
-155.036033,300,1227.661634
-608.2686,24,1236.949094
-631.354026,76,1239.19106
-716.932537,239,1246.457029
-611.475773,42,1247.736887
-632.140722,91,1250.493844
-174.556934,300,1259.593237
-612.830149,41,1260.823518
-177.969148,300,1277.019655
-647.985448,102,1280.631159
-156.217762,300,1289.288013
-167.148387,300,1298.385304
-609.34402,32,1300.405149
-141.256211,300,1309.604269
-636.658259,91,1312.33896
-641.699709,156,1317.273145
-105.748087,300,1326.374951
-626.792018,77,1328.728426
-176.746238,300,1340.279558
-156.69516,300,1349.38408
-169.052368,300,1358.52001
-645.544005,111,1361.866998
-610.040901,27,1363.474033
-140.402942,300,1372.261498
-656.320902,113,1375.713249
-750.953635,287,1384.416947
-611.002617,30,1394.711236
-671.314565,156,1399.366121
-160.032955,300,1409.281305
-165.638012,300,1418.499466
-612.195006,43,1427.422705
-175.951947,300,1436.684614
-112.130156,300,1445.640042
-742.958969,250,1453.194439
-607.697478,23,1453.887262
-620.651976,68,1459.591041
-162.333783,300,1468.756827
-608.809606,27,1469.567153
-620.815285,63,1471.442636
-770.248394,281,1479.907942
-619.239765,57,1481.632281
-613.915043,43,1490.222745
-609.730641,31,1491.160605
-607.56885,32,1492.118963
-159.579464,300,1501.019593
-615.37285,43,1502.314073
-713.323988,213,1508.717628
-607.330448,23,1510.044673
-184.549863,300,1519.180305
-650.854755,133,1524.715374
-616.316517,55,1526.374473
-622.738298,69,1528.625804
-612.374999,34,1529.661348
-620.900981,91,1532.432883
-677.215014,261,1540.492926
-607.219991,26,1541.29467
-167.021794,300,1550.24891
-621.388546,51,1551.835847
-756.129454,281,1561.074297
-157.619009,300,1570.210175
-750.2893,269,1578.302921
-657.624604,132,1582.336461
-616.696708,38,1585.148387
-730.100557,216,1591.816467
-615.722296,53,1593.404661
-605.806846,25,1594.157079
-156.88667,300,1604.021127
-133.959683,300,1613.238081
-620.312615,48,1614.69042
-152.764696,300,1625.527335
-688.460904,223,1632.313279
