# {"t_start": 1565015067.9177241, "env_id": "highway-discrete-v0"} 
r,l,t
-641.566882,117,4.24556
-608.692669,28,4.856207
-606.865296,33,5.543526
-673.225672,142,8.549261
-613.388012,41,9.409224
-633.923215,70,10.875154
-607.257585,33,11.573455
-642.332065,125,14.200667
-109.154769,300,20.497145
-614.936848,51,21.565893
-623.900406,54,24.949247
-159.927306,300,31.647331
-150.694539,300,38.999385
-619.288159,51,40.125746
-631.620903,98,42.096191
-670.939022,154,45.342489
-640.933652,126,49.681291
-137.158364,300,55.971124
-628.081054,95,57.949459
-617.026816,51,59.043853
-160.372197,300,65.452054
-625.295161,76,67.085287
-610.451769,34,69.701936
-727.837652,202,73.987684
-615.277714,62,75.309759
-617.016192,43,76.216638
-141.416008,300,82.38973
-648.23473,171,85.98326
-634.566917,94,88.042385
-625.841928,92,92.761687
-615.897775,48,93.778374
-159.034758,300,100.124569
-146.776455,300,106.421141
-615.984331,43,107.320058
-624.265893,55,108.516508
-618.260414,59,109.773326
-123.570504,300,119.15568
-647.01667,144,122.167243
-135.462258,300,128.462034
-614.668745,49,129.484531
-632.019335,85,131.26796
-626.255285,66,136.054228
-613.605539,37,136.821937
-621.307352,65,138.193161
-623.161628,51,139.259181
-620.299531,57,140.476913
-150.770534,300,146.84677
-623.741416,60,148.079109
-646.596802,96,150.083443
-156.50141,300,163.081717
-641.260027,91,165.023153
-156.891092,300,171.342109
-624.27193,55,172.531427
-641.574451,101,174.652545
-624.877739,71,176.187255
-609.205757,27,176.7577
-642.769177,146,181.753736
-615.655817,59,182.996819
-173.286683,300,189.462096
-144.108385,300,195.783376
-605.396491,22,196.296356
-605.322165,28,196.949847
-618.268379,54,198.214373
-624.252642,61,199.625214
-616.515773,32,201.83143
-636.039771,77,203.439944
-173.17745,300,209.947072
-724.802744,215,214.287968
-626.654091,86,216.11871
-657.460143,165,219.725984
-618.731163,61,224.476732
-110.09466,300,230.521842
-614.095767,37,231.292601
-652.488696,103,233.494718
-614.219914,40,234.327561
-645.63861,132,237.071506
-663.597232,160,240.346908
-630.180878,93,242.291726
-632.107002,80,243.982151
-144.247048,300,251.245538
-616.45897,47,252.233942
-614.459379,50,253.266872
-655.476387,144,256.41062
-624.986536,76,257.999589
-141.837722,300,264.385244
-613.38656,39,267.830594
-613.638468,46,268.812488
-613.693841,37,269.578049
-159.255433,300,275.841483
-120.119615,300,282.058897
-611.552565,33,282.757491
-617.089952,55,283.91079
-627.103963,58,285.121689
-609.428684,29,285.729219
-644.935177,106,287.963861
-155.780855,300,294.812636
-645.453818,90,296.692836
-632.17131,97,298.719193
-173.956679,300,305.172376
-734.221036,226,310.084408
-123.219057,300,317.195333
-622.665592,57,318.509056
-163.79214,300,325.405493
-625.396117,69,326.964893
-659.533807,159,330.757145
-637.000381,118,337.082246
-614.70584,50,338.189196
-609.992973,31,338.866988
-165.560149,300,345.388526
-625.798385,67,346.81946
-615.937296,43,347.707825
-624.272473,68,349.140135
-632.903165,91,351.054031
-614.808735,40,351.907214
-753.276113,272,362.59602
-634.699967,101,364.737027
-652.309682,156,368.008892
-176.569292,300,374.642205
-618.130812,50,375.695639
-617.487599,52,376.784204
-607.386347,33,379.744825
-636.048035,115,382.134232
-612.126535,32,382.818758
-176.591877,300,389.466068
-730.797452,245,394.72665
-638.814009,116,397.133313
-611.336201,37,397.919916
-621.619503,50,398.987472
-611.402813,29,399.614202
-624.448344,64,400.955605
-156.595769,300,408.158066
-161.431405,300,414.683353
-164.363029,300,421.286492
-634.122214,75,422.884779
-612.781498,65,425.600824
-123.972272,300,431.790445
-165.480246,300,438.32244
-157.25171,300,444.50867
-645.369001,105,448.323254
-709.33455,222,452.820275
-642.986721,97,454.876767
-618.610123,42,455.762081
-131.282159,300,461.872063
-611.949218,44,462.787551
-621.408479,61,464.055247
-626.210004,62,468.892207
-152.865472,300,475.175739
-147.213331,300,482.138758
-160.283809,300,488.174264
-627.359568,60,489.396789
-160.32071,300,496.154361
-611.692153,31,496.80159
-623.058173,57,498.021863
-610.433357,34,498.757698
-109.693151,300,505.349371
-623.46175,79,506.976722
-608.629439,27,507.540108
-673.04306,168,510.967762
-628.277287,67,513.437279
-131.516484,300,519.953609
-140.479023,300,526.378294
-142.197343,300,532.007566
-607.245729,28,534.153949
-622.28179,56,535.320029
-753.915864,264,541.130465
-149.614385,300,547.460073
-146.455113,300,554.465926
-647.543976,102,558.630332
-621.381768,64,560.111162
-621.443312,59,561.490034
-623.132335,60,562.886052
-688.632826,212,567.458933
-163.600101,300,573.900895
-639.94266,125,576.603058
-618.272998,52,580.214247
-698.905736,261,585.792995
-138.228796,300,591.820559
-605.552812,27,592.383836
-628.417323,71,593.856332
-167.63821,300,600.354148
-108.173233,300,606.917874
-128.244447,300,613.192824
-107.845739,300,618.981809
-615.592887,48,622.934683
-636.731312,81,624.6395
-632.977709,80,626.3398
-609.004135,34,627.053299
-145.458198,300,633.595786
-618.090312,50,634.697557
-156.228494,300,641.508242
-621.548145,58,642.711696
-165.923911,300,651.62125
-622.211307,54,652.748473
-633.748766,91,654.608633
-709.021354,213,659.166895
-146.740228,300,665.794415
-629.719437,59,667.047392
-614.095659,60,668.828315
-620.031025,55,669.964237
-138.886089,300,676.654731
-168.44755,300,682.548181
-673.627188,127,685.201653
-637.569489,98,687.228933
-618.960742,75,690.907169
-610.902295,27,691.478442
-640.729776,81,693.121962
-610.530026,25,693.646592
-617.365451,38,694.441209
-129.036272,300,700.881604
-630.264826,73,702.429218
-697.647263,187,706.409996
-173.695282,300,718.226792
-627.151882,51,719.323795
-153.990257,300,725.765252
-133.223734,300,732.227432
-614.331775,38,734.972341
-134.417348,300,740.564387
-159.271611,300,747.008862
-147.862511,300,753.42778
-722.104308,252,760.98463
-145.553913,300,766.704846
-162.371211,300,773.173414
-616.51603,46,774.147814
-160.085138,300,783.524037
-609.435774,33,784.224676
-132.868421,300,790.365773
-635.773274,90,792.24298
-614.235247,37,793.02069
-636.829005,101,795.094798
-682.629896,154,798.306535
-158.460151,300,805.451666
-141.931652,300,812.134891
-614.186627,41,812.990346
-657.120329,121,815.551305
-610.55731,31,816.20473
-143.438415,300,827.997752
-612.663796,32,828.668154
-651.810244,131,831.382056
-714.309688,215,836.019269
-678.033099,173,839.577748
-687.294319,168,847.149432
-691.035419,205,851.614424
-717.10266,224,856.266195
-624.191193,63,857.584598
-171.344392,300,863.98725
-143.544657,300,872.088567
-620.362322,61,873.395158
-620.562844,53,874.502463
-160.574957,300,880.763951
-180.368002,300,887.013443
-140.718175,300,894.071457
-167.36792,300,900.445653
-614.478106,40,901.286425
-637.450398,83,903.105011
-170.704825,300,909.552552
-140.17599,300,916.492828
-730.477199,240,921.389961
-689.675957,192,925.485967
-654.956701,129,928.138507
-652.522958,104,930.394908
-609.682417,32,932.728294
-639.29976,94,934.733167
-625.213501,74,936.299025
-151.320664,300,942.557157
-167.116205,300,948.978021
-626.565605,59,955.506646
-654.493986,111,957.866482
-137.158566,300,964.126954
-609.622546,29,964.731208
-139.040823,300,971.093618
-619.252564,63,977.719035
-134.35954,300,983.951601
-719.847395,299,990.325861
-138.753755,300,996.515101
-138.312906,300,1004.534098
-156.882566,300,1011.028648
-693.274885,180,1014.855502
-630.349925,94,1022.083834
-173.323407,300,1028.479802
-143.804312,300,1034.625293
-173.225014,300,1040.515326
-641.062778,75,1043.152886
-612.262742,35,1043.893641
-748.980892,281,1049.853075
-620.227622,55,1051.021393
-190.395849,300,1057.573558
-716.884521,199,1061.857316
-127.355109,300,1070.02245
-144.084603,300,1076.235136
-736.526722,237,1081.260356
-613.871395,33,1086.315891
-630.160041,72,1087.821249
-637.008571,107,1090.133493
-121.816896,300,1096.434458
-118.987581,300,1102.807384
-115.628161,300,1114.250801
-145.568419,300,1120.64006
-608.266009,33,1121.32096
-686.176104,167,1124.686283
-710.659665,245,1135.236529
-636.784667,96,1137.221151
-121.675998,300,1143.646116
-673.186266,180,1147.552731
-624.991168,85,1149.381342
-95.588738,300,1158.229195
-615.39914,47,1159.207709
-144.854661,300,1165.477568
-154.127469,300,1171.743048
-650.305043,177,1177.679533
-176.092119,300,1184.093678
-617.409696,65,1185.464311
-165.825779,300,1191.791815
-124.154647,300,1202.42276
-622.794361,75,1203.978742
-147.99227,300,1210.38111
-640.325853,98,1212.426219
-611.57362,33,1218.867682
-135.657189,300,1225.236349
-725.51417,245,1230.353962
-153.61195,300,1236.8586
-641.249888,81,1238.581912
-148.65496,300,1246.647745
-668.375837,192,1250.685497
-609.057114,39,1251.495712
-136.424226,300,1257.878112
-622.198,51,1258.935174
-616.307087,53,1260.027379
-622.490739,80,1261.749768
-142.18107,300,1268.724189
-178.257624,300,1274.604782
-646.361064,120,1277.122372
-125.138759,300,1283.454982
-614.128897,51,1285.102351
-619.750186,48,1286.136358
-181.126638,300,1292.606665
-622.72763,64,1293.969699
-614.822982,42,1294.857292
-614.370258,49,1295.873428
-651.021301,116,1298.322294
-639.882332,122,1300.845774
-711.046823,240,1311.476551
-614.318033,56,1312.647399
-733.995973,265,1318.282322
-141.443118,300,1324.664362
-610.52996,32,1325.341485
-606.644292,28,1329.190534
-166.584324,300,1335.668681
-611.210102,38,1336.486667
-609.339198,29,1337.080759
-104.092109,300,1343.544076
-142.52197,300,1350.101687
-146.00924,300,1356.918233
-637.898156,110,1359.206384
-675.562596,152,1362.490376
-617.816801,51,1363.554032
-650.471724,91,1365.467681
-147.233884,300,1371.905029
