EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
0.0,93.0909090909091,-10.072023673743058,11,-526.3644625639373,11,0.0,22.096933841705322,1024,0.0,1.6087507,0.0003930330276489258,0.00071782793,0.010689982,0.010689982
0.0,113.77777777777777,-8.878036727013958,7,-481.6373271085322,18,0.0,45.27380847930908,2048,0.0,1.6080968,-0.0006515979766845703,0.0006045104,0.010661153,0.010661153
0.0,122.88,-7.029007917781705,7,-460.39519671231506,25,0.0,67.22620034217834,3072,0.0,1.607302,0.00035500526428222656,0.0005858993,0.009596828,0.009596828
0.0,124.12121212121212,-6.768157762551449,8,-471.08947153028214,33,0.0,89.06878328323364,4096,0.0,1.6059293,-0.0004639625549316406,0.0006817208,0.010128749,0.010128749
0.0,125.075,-7.228676170888915,8,-459.43624815754595,41,0.0,111.05827140808105,5120,0.0,1.6057082,0.0006425380706787109,0.00062790007,0.010571453,0.010571453
0.0,142.0,-5.688530365286338,6,-420.9343353342265,47,0.0,132.91942596435547,6144,0.0,1.6024684,0.0002250075340270996,0.0007583917,0.01172764,0.01172764
0.0,133.525,-6.37969146273061,9,-447.8027668546885,56,0.0,154.97281432151794,7168,0.0,1.5988383,0.00031495094299316406,0.0007871134,0.01080548,0.01080548
0.0,129.9,-6.878506366097838,8,-447.60549665093424,64,0.0,176.92675852775574,8192,0.0,1.5972306,-0.0004976987838745117,0.0005440196,0.0092740655,0.0092740655
0.0,128.0,-7.61522335442189,9,-447.1303153905668,73,0.0,199.41160416603088,9216,0.0,1.5928887,-0.004565238952636719,0.0008214123,0.014516018,0.014516018
0.0,131.175,-7.276084386630629,7,-449.69281402729683,80,0.0,221.39757776260376,10240,0.0,1.5946589,0.0004725456237792969,0.0007375786,0.010054225,0.010054225
0.0,123.8,-7.552442248423825,10,-476.1073333177366,90,0.0,242.9048056602478,11264,0.0,1.5944511,-0.0007560253143310547,0.00064939086,0.008894869,0.008894869
0.0,120.5,-7.4979469983802005,7,-473.1533309964114,97,0.0,265.213374376297,12288,0.0,1.595624,-0.0005071163177490234,0.0006930999,0.011363226,0.011363226
0.0,107.875,-8.536947201859999,11,-481.2368747906759,108,0.0,286.9453749656677,13312,0.0,1.5914035,-0.0005944967269897461,0.00069205835,0.011424024,0.011424024
0.0,127.2,-6.737004293419645,6,-462.6575715272687,114,0.0,308.8619565963745,14336,0.0,1.5879123,-0.0006012916564941406,0.00070183177,0.010515625,0.010515625
0.0,128.0,-6.776383934921384,6,-446.8160100325011,120,0.0,332.3750538825989,15360,0.0,1.5895941,-0.0015368461608886719,0.0006922921,0.010043604,0.010043604
0.0,128.0,-7.294287875680328,10,-448.4492516496219,130,0.0,355.03749656677246,16384,0.0,1.5877428,-0.001701951026916504,0.0007272694,0.009705065,0.009705065
0.0,128.0,-7.2694155817216055,7,-464.8599048425443,137,0.0,377.25850343704224,17408,0.0,1.5845162,3.707408905029297e-05,0.0007848697,0.011143101,0.011143101
0.0,128.0,-7.208971353556871,11,-480.7010129954666,148,0.0,399.5820677280426,18432,0.0,1.5776305,-0.0023932456970214844,0.00078176986,0.012652989,0.012652989
0.0,128.275,-7.017751449857974,5,-450.4724827184342,153,0.0,422.45792603492737,19456,0.0,1.5897325,-0.0016052722930908203,0.00080540247,0.0136229135,0.0136229135
0.0,135.45,-6.765782398273447,5,-439.0037919671275,158,0.0,444.3147141933441,20480,0.0,1.5843552,0.0003300309181213379,0.0007367518,0.009736088,0.009736088
0.0,138.375,-6.505503747359256,8,-440.82299334099514,166,0.0,465.7845435142517,21504,0.0,1.5734203,0.009222447872161865,0.00090248743,0.013694069,0.013694069
0.0,144.275,-6.034980908338858,6,-399.3712349782698,172,0.0,487.99336671829224,22528,0.0,1.58809,-0.0003699064254760742,0.0008359023,0.011050283,0.011050283
0.0,141.6,-6.313966101883912,9,-396.5576951329596,181,0.0,510.15205430984497,23552,0.0,1.5905885,-0.00029647350311279297,0.00075165613,0.011711316,0.011711316
0.0,155.275,-5.132415936602004,5,-342.9937961340882,186,0.0,531.7386319637299,24576,0.0,1.5916893,-0.0011066198348999023,0.0007729521,0.0126502,0.0126502
0.0,154.825,-5.555868054285511,6,-357.12882969444615,192,0.0,554.5956304073334,25600,0.0,1.5845927,-0.0012021064758300781,0.00070931384,0.012289946,0.012289946
