# {"t_start": 1565015202.7675934, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-581.486037,79,5.251012
-555.899998,61,7.119779
-209.274126,172,12.328387
-532.783442,48,13.774942
-530.045628,37,14.914601
-320.51934,115,18.458172
-435.037195,80,20.869963
-472.647704,198,27.094982
-473.621612,90,37.5488
-568.877978,31,38.496951
-560.602234,70,40.641359
294.310044,300,49.649583
3793.759359,290,58.670778
-455.960995,90,69.132105
-548.562675,57,70.88926
-522.699714,57,72.6228
-541.431336,144,76.97638
-580.463374,28,77.836553
-378.212041,196,83.613554
-425.73638,133,88.31751
-584.411611,118,91.81742
-595.538263,63,93.725139
-606.269758,137,97.862885
-590.479248,67,100.235668
-594.313329,65,102.22065
-596.132431,81,104.682914
-25.910013,300,113.715542
-601.055759,52,115.295174
-584.687316,25,116.06389
-598.247932,26,116.862504
-596.576835,56,118.543587
-578.054299,62,120.430758
-592.835143,31,121.368047
-616.605019,146,125.799503
-590.525594,76,131.796637
-601.101822,38,132.954795
-602.395188,146,137.36585
-603.444185,89,140.042494
-613.713999,142,144.955874
-611.794642,91,147.734936
-607.863776,154,152.438745
-598.769009,39,153.619516
-639.54309,200,160.183803
-609.678228,98,165.144575
-60.805996,300,174.28358
-598.836873,73,176.654748
-609.677438,261,185.285828
-588.571788,47,186.712571
-599.734873,45,188.073858
-614.773211,68,190.126453
-596.888544,84,192.711378
-601.968777,45,195.886642
-74.56815,300,204.978473
-616.516405,69,207.076694
-604.845833,50,208.599607
-605.610482,72,210.776727
-594.570577,41,212.008973
-596.627842,48,214.144583
-613.180221,67,216.177592
-594.884644,67,218.196711
-607.851401,90,220.91127
-623.477449,120,224.54308
-601.374233,41,225.797849
-618.911845,152,231.14735
-649.439826,219,237.881536
-598.75504,88,240.594119
-603.291184,43,241.904529
-611.829746,82,244.415776
-108.000977,300,253.530846
-599.43614,111,256.899762
-604.777764,59,259.886685
-635.699534,140,264.109598
-601.787703,60,265.939311
-650.57194,170,271.088906
-625.101906,146,275.626491
-309.651487,149,280.252751
-579.489023,173,286.089084
-601.046359,32,287.06745
-600.124873,39,291.465703
-608.15726,35,292.522451
-603.249814,65,294.519983
-127.661932,300,303.671853
-100.851079,300,312.817065
-640.64988,147,317.330243
-631.990871,138,321.494963
-99.747017,300,331.07745
-702.704229,248,338.692871
-602.016167,44,340.026509
-614.101334,87,342.677721
-619.916784,64,344.614226
-564.072359,211,351.098942
-622.253279,81,355.964204
-632.248203,121,359.72081
-640.283004,124,363.521245
-117.897161,300,372.693162
-615.416875,94,376.212514
-89.798818,300,385.31669
-609.18681,124,389.524942
-659.281228,190,395.224279
