# {"t_start": 1565015202.7668228, "env_id": "highway-discrete-v0"} 
r,l,t
-613.503884,42,2.856583
-155.023747,300,9.03074
-617.701073,65,10.346399
-620.742376,51,11.388574
-610.729619,32,12.056861
-632.071622,83,13.742688
-661.070423,161,17.100317
-617.94568,51,18.123907
-616.479567,61,19.367096
-617.277768,39,20.148319
-629.545114,76,21.665565
-610.048992,36,22.392985
-676.452153,124,25.93332
-143.849729,300,32.046893
-637.665534,81,33.689453
-642.225805,113,35.95118
-147.900946,300,42.382477
-614.397762,51,43.423232
-608.099884,42,44.264567
-613.939993,49,45.819003
-124.271737,300,51.957895
-668.343878,195,55.87827
-611.865998,31,56.514073
-619.634279,52,57.568
-621.471358,60,58.774041
-640.744854,123,61.255152
-615.480043,43,62.118995
-637.027981,107,64.305948
-619.429472,51,65.326329
-642.048934,107,68.054429
-620.601139,59,69.24063
-617.108066,60,70.447778
-637.889907,96,72.379241
-642.848365,124,74.898953
-638.557389,92,76.713107
-647.676697,111,78.929045
-609.279914,25,79.437094
-643.904924,95,81.36243
-625.860555,67,82.705907
-624.573023,82,84.386912
-614.102743,42,85.227067
-139.829214,300,92.881582
-615.002248,54,93.965865
-619.176515,54,95.0564
-627.446047,70,96.48243
-671.825316,200,100.631511
-620.135292,62,101.87585
-624.858264,70,109.477848
-613.850969,35,110.18987
-624.30696,141,113.083825
-634.585608,102,115.12065
-649.730131,156,118.345197
-610.59273,28,118.907211
-614.399362,44,119.790112
-174.768151,300,126.083787
-626.541047,93,127.952347
-111.400706,300,135.689607
-626.067555,76,137.224919
-650.128739,102,139.338688
-646.363344,116,141.68827
-623.282941,151,144.760785
-620.545763,58,145.940082
-129.774801,300,156.911544
-181.709193,300,162.94382
-620.288648,54,164.043341
-674.839098,153,167.118176
-164.388021,300,177.799982
-619.049135,81,179.435125
-641.20857,114,181.718734
-175.757616,300,187.843695
-616.565269,53,188.89599
-663.206881,145,191.929256
-614.21781,46,193.821848
-634.131488,161,197.106526
-623.842531,71,198.523194
-625.814538,86,200.24023
-171.792543,300,206.405743
-675.703674,135,209.129251
-632.758539,88,210.888615
-619.190706,69,215.296961
-708.263676,254,220.482936
-607.815539,27,221.036558
-616.983686,72,222.485107
-629.293832,88,224.306363
-614.172083,54,225.403439
-621.55866,61,226.614112
-632.283413,79,228.197449
-614.193377,35,228.900692
-652.84363,120,231.399117
-614.712236,33,232.064148
-620.860232,60,236.271579
-616.726225,72,237.71167
-146.048126,300,243.839118
-642.786598,122,246.292157
-709.845602,191,250.128121
-617.301103,53,251.192676
-617.567975,44,252.080413
-643.993817,110,254.27336
-616.197151,65,255.601103
-100.57884,300,262.156869
-608.03238,27,262.70381
-624.494287,87,264.511325
-641.848458,101,266.525715
-133.676447,300,272.655707
-648.487852,91,274.510845
-132.936831,300,283.326243
-651.690564,107,285.505038
-650.85278,165,288.843192
-135.01047,300,294.983646
-611.849829,38,299.110081
-134.733417,300,305.236448
-628.417362,74,306.728712
-160.169614,300,313.05179
-618.612896,54,314.128713
-681.886633,192,318.03842
-136.761438,300,325.7666
-632.613143,83,327.452676
-170.008007,300,333.588197
-163.667904,300,340.027772
