# {"t_start": 1565015067.9175298, "env_id": "highway-discrete-v0"} 
r,l,t
-630.859363,72,3.100146
-704.589937,225,7.836881
-644.848509,113,10.189136
-666.384707,163,13.572367
-149.066787,300,19.825285
-607.442646,37,20.590626
-610.581369,24,23.984971
-628.508837,100,26.076883
-662.23588,215,30.422209
-616.444107,45,31.331404
-620.654024,68,32.726517
-609.874978,37,33.510974
-624.158031,60,34.741499
-626.444975,92,36.643839
-613.542177,42,37.501151
-613.184894,42,38.353672
-614.688456,39,45.706348
-639.54048,128,48.315373
-612.152784,35,49.04619
-702.667039,194,53.065984
-663.279433,145,55.916832
-631.534241,80,57.516772
-147.781206,300,63.99984
-619.68993,62,68.054176
-643.865662,114,70.618623
-139.708568,300,77.260484
-633.72996,67,78.607187
-84.653791,300,84.779184
-612.788174,50,85.82486
-624.271925,76,87.421012
-626.254062,61,90.063165
-628.574671,80,91.695579
-613.599146,44,92.600199
-619.077745,67,93.970807
-681.875981,205,98.177622
-629.648699,84,99.878403
-633.020617,73,101.361688
-136.433888,300,107.771305
-610.202795,31,108.430941
-635.869799,103,112.479456
-623.883216,98,114.561863
-680.824629,189,118.483077
-620.787449,50,119.512587
-614.681714,51,120.569461
-603.783833,24,121.075703
-619.999469,48,122.0274
-622.391591,96,124.016335
-620.111902,48,125.018756
-694.364309,224,129.771269
-614.575248,42,130.643741
-606.73377,25,131.154301
-681.817639,258,137.37829
-652.260733,137,140.152634
-623.881852,57,141.312606
-609.262845,32,141.961804
-176.835942,300,148.356728
-629.888428,83,150.057563
-617.826664,64,151.402271
-153.570221,300,159.975127
-643.850049,112,162.291482
-620.034864,80,163.957009
-613.976128,67,165.347969
-609.187997,28,165.920414
-164.589377,300,172.162145
-626.24133,100,174.176524
-120.583491,300,181.274171
-610.717139,31,181.9214
-622.062251,90,183.819992
-610.293316,31,184.451525
-625.361892,65,185.777434
-626.388477,64,187.081737
-118.872265,300,193.267967
-616.038275,53,194.351191
-625.915805,64,195.674694
-620.48246,65,197.841753
-129.644617,300,203.95502
-605.25443,29,204.548736
-622.225938,51,205.593419
-609.967926,33,206.266037
-609.983778,25,206.767077
-121.827076,300,212.843672
-607.641225,29,213.437751
-626.484097,64,214.748777
-614.339036,83,216.3836
-145.966549,300,224.029362
-638.242652,116,226.413039
-628.582299,97,228.437078
-618.4764,60,229.659476
-645.874827,90,231.549237
-644.323209,108,233.761634
-613.995283,43,240.15803
-655.412081,207,244.165778
-608.958386,26,244.753998
-614.111929,44,245.764139
-615.119761,42,246.699095
-620.263242,55,247.925877
-110.154416,300,254.103485
-626.933415,69,255.532108
-644.838207,110,257.757028
-170.594441,300,267.184374
-627.691612,95,269.097245
-610.740926,26,269.62409
-122.327536,300,275.699923
-613.264092,38,276.478616
-110.910398,300,288.484384
-119.901709,300,294.609852
-702.896024,186,298.438426
-638.878773,120,300.871181
-608.143052,27,304.342297
-650.21527,100,306.353063
-605.310967,26,306.90404
-612.1758,43,307.777864
-613.358156,43,308.654338
-677.381956,197,312.682577
-146.254083,300,318.977162
-630.375049,85,320.769353
-617.893458,45,321.689934
-613.682341,30,325.805706
-134.918867,300,332.066678
-610.450198,31,332.725539
-130.184186,300,338.945387
-638.899309,88,340.737016
-159.313818,300,353.530367
-619.063388,46,354.448316
-657.414111,169,357.863759
-131.496033,300,364.080055
-643.654787,157,367.346802
-619.610605,77,370.408834
-627.204456,67,371.775798
-634.199784,110,374.091577
-627.513554,80,375.709227
-607.171745,24,376.206571
-612.158609,47,377.171058
-618.358058,56,378.319067
-674.395344,174,381.94128
