# {"t_start": 1565275148.8628273, "env_id": "highway-continuous-intrinsic-rew-v0"} 
r,l,t
-625.210217,40,4.055466
-544.867418,50,5.578542
557.101891,86,8.169045
111.179898,78,10.633071
-469.755855,25,11.411717
-216.828868,56,13.211732
-236.226727,123,17.248412
236.757579,134,21.6591
-150.797883,45,23.10893
-102.808088,28,24.03396
-449.880408,37,25.151774
105.50395,65,27.26546
381.192065,79,29.7808
-544.945855,33,30.775471
72.595184,68,32.835177
-0.538156,40,34.066238
-477.833673,28,35.026634
175.446847,161,41.155852
-91.440524,77,43.748042
-315.395828,52,46.094048
-534.08908,94,48.934325
-677.048389,58,50.671314
-749.480503,95,53.523602
-619.14444,97,56.471012
-661.680627,77,58.787952
-675.508161,26,59.588956
-670.986091,51,61.12341
-1062.245008,82,63.561103
-669.563659,26,64.355278
-617.222017,20,64.970403
-652.40927,142,72.565509
-577.268433,42,73.830235
-559.47953,47,75.245959
-700.325456,63,77.151176
-654.751452,29,78.032176
-550.323059,47,79.450277
-729.381258,93,82.237362
-569.519421,41,83.465572
-650.738338,47,85.619744
-885.136141,63,87.487484
-667.916677,70,89.605826
-648.032974,107,92.862517
-779.14999,139,97.018894
-589.992523,45,98.374394
-582.69233,38,101.11513
-645.236136,58,102.867648
-641.172039,76,105.159701
-767.302244,48,106.601086
-595.080102,47,108.035517
-579.147715,27,108.863693
-592.201743,85,111.653761
-591.604077,131,115.97523
-629.286651,109,119.294189
-588.856824,47,120.727913
-604.372363,126,124.431006
-821.983542,104,127.569654
-617.111793,52,129.139403
-591.364027,48,131.389589
-587.71057,24,133.10347
-641.184948,42,134.37847
-878.363198,73,136.560839
-602.801463,44,137.899599
-839.887128,134,141.919519
-599.11711,201,148.003048
-730.729082,93,150.806214
-677.594363,81,153.260948
-647.193249,161,158.156965
-591.353549,148,162.631496
-612.191853,139,167.775779
-579.955417,94,170.622781
-626.293144,212,177.081689
-591.654808,155,181.736774
-590.775974,183,187.265225
-600.696576,83,197.203545
-656.826722,48,198.647578
-578.829219,62,200.489968
-1156.049034,132,205.086094
-644.044676,38,206.229978
-827.43918,46,207.619035
-667.645342,25,208.378173
-677.687608,71,210.682977
-666.818186,70,212.994578
-682.822412,78,215.56277
-752.60921,274,223.943064
-738.05912,82,226.397092
-65.241214,300,235.935445
-586.153494,163,240.800437
-679.272951,62,242.650198
-719.739446,64,244.589276
-732.540204,75,246.842627
-918.292398,143,251.137605
-1446.815032,193,257.06853
-682.096255,66,259.892734
-573.51484,144,264.194551
-539.822214,167,269.184448
-658.119609,59,271.601079
-686.42132,68,273.648042
-597.760172,45,275.020844
-601.6651,50,276.546253
-702.039445,47,277.966794
-1032.509625,124,281.769747
-908.848635,195,287.833339
-690.325378,26,290.530345
-682.292681,51,292.063704
-793.085229,35,293.120374
-682.252501,34,294.142977
-758.798764,146,298.557121
-659.071404,99,301.511641
-669.409242,40,302.712789
-39.743318,300,311.749508
-652.635313,125,315.629198
-601.221196,42,321.983196
-599.857824,185,327.48135
-727.845587,109,330.739071
-603.481559,222,338.116505
-716.993599,96,341.006993
-678.742713,93,343.809549
-676.059916,46,345.18606
-939.814631,214,351.747548
-45.690768,300,361.526505
-222.914287,300,370.481308
-773.897516,194,376.392174
-1073.57331,204,382.594099
-685.453297,63,385.413182
-719.84362,69,387.494036
-602.173989,34,388.519686
-693.570051,121,392.158429
-142.917254,300,401.145456
-650.992452,227,407.903231
-780.608932,108,411.124057
-605.630383,55,412.76917
-759.686833,135,418.380948
-598.967297,46,419.763316
-603.4181,84,422.954376
-660.639771,200,429.079361
-728.147556,212,435.507663
-613.105683,77,437.823162
-777.979021,108,441.050376
-599.829929,31,441.981946
-613.60317,137,450.117275
-632.257472,269,458.179632
-641.11901,151,462.757947
-602.791406,35,463.847076
-699.973382,167,468.885706
-607.521348,94,471.744968
-600.27706,47,478.369357
-764.419621,161,483.234918
-612.935732,56,484.942497
-611.103794,71,487.096868
-627.581957,143,491.41996
-56.400027,300,500.562065
-52.351723,300,517.292465
-613.155361,101,520.986478
-624.269155,72,523.16917
-667.26037,78,525.547083
-501.884066,300,535.008156
-636.783527,136,539.543786
-608.447752,49,542.530179
-599.151675,89,545.462041
-620.068091,110,549.104857
-607.505756,79,551.741356
-239.222828,300,561.610379
-483.459562,300,571.446477
-615.873323,63,576.712286
-633.719029,296,585.467987
-24.849037,300,594.572132
-624.270563,153,599.141
