# {"t_start": 1565275150.3591342, "env_id": "highway-continuous-intrinsic-rew-v0"} 
r,l,t
-635.529408,46,4.093042
-380.500104,41,5.379521
42.175493,131,9.543845
-721.824618,76,12.012308
-318.908447,49,13.551042
-173.328111,88,16.338803
-640.096014,36,17.489578
154.296492,112,20.997263
-556.910981,26,21.826038
82.291395,133,26.125013
-516.156073,57,27.960942
488.903476,180,33.748455
-269.669986,61,37.635883
-696.797362,149,42.22212
-386.34095,29,43.137176
-209.301711,87,45.839451
-324.003441,54,47.524406
-604.580623,36,48.639088
-425.20246,50,50.239454
292.669431,221,58.228048
-677.838079,73,60.652486
-599.308244,40,61.985142
-611.494023,139,66.300996
-666.104051,35,67.402551
-742.266417,35,70.238997
-794.146026,44,71.728909
-676.377845,27,72.648056
-490.514096,263,81.232448
-695.5993,37,82.390347
-569.638053,37,83.545067
-567.546853,137,87.808536
-614.14137,40,89.040798
-645.697672,64,91.021243
-536.769356,45,92.428943
-575.612915,25,93.200688
91.747027,196,99.336552
-595.768604,63,101.361304
-627.71874,40,103.153442
-624.233063,107,107.220051
-642.578032,38,108.430434
-142.209839,165,113.734356
-589.575841,86,116.409431
-711.373996,84,119.220175
-661.987976,44,120.713023
-598.401974,190,126.69265
-625.506234,92,129.656128
-703.545976,40,130.924195
-691.649904,76,133.337149
-589.778076,211,142.05945
-594.234331,32,143.049669
-656.977293,156,148.095974
-693.743183,40,149.376782
-632.956557,48,150.98297
-581.872097,73,153.226584
-574.552185,60,155.065944
-728.4044,103,158.298275
-1050.839525,158,163.283455
-636.459813,73,166.427925
-598.189903,46,170.34135
-592.183732,144,175.166684
-770.576007,35,176.354885
-590.794999,38,177.639711
-573.668995,64,179.842498
-760.889138,35,181.01802
-674.413558,117,184.907535
-653.914296,25,185.753449
-1202.243915,196,192.091959
-659.811742,207,198.569957
-594.28044,34,199.622815
-588.771103,23,200.339462
-590.028461,41,203.63673
-588.353131,25,204.417838
-587.011788,69,206.55537
-697.316354,107,209.91375
-591.287106,35,210.999521
-589.573538,63,212.94842
-1211.135835,105,216.869234
-598.165301,45,218.280342
-599.354322,101,221.609885
-762.832226,71,224.011067
-601.032469,26,224.884705
-787.436223,69,227.09271
-680.939267,21,227.747213
-818.069425,173,233.133623
-975.618926,181,241.033468
-598.870913,45,242.439216
-608.700276,112,246.14476
-600.380782,133,250.478461
-711.815883,192,256.653769
-671.103421,124,260.760709
-691.167412,48,262.369627
-587.907956,31,263.4163
-617.027389,102,266.914008
-1603.480689,214,275.348702
-595.905395,25,276.201943
-1413.982912,174,282.689846
-662.852306,38,283.869765
