# {"t_start": 1565097737.042366, "env_id": "highway-continuous-v0"} 
r,l,t
-680.364575,26,2.523087
-640.005329,32,3.166054
-623.613673,20,3.574011
-656.385236,49,4.969852
-646.910716,15,5.283352
-618.257042,53,6.36189
-664.482913,35,7.243062
-636.935058,30,7.845226
-631.077297,20,8.254931
-681.244897,37,9.208756
-637.600179,14,9.497122
-638.460158,32,10.150052
-641.843088,45,11.251564
-635.28741,26,11.78165
-642.894152,24,12.274552
-622.948222,19,12.664329
-634.542763,27,13.415487
-678.232795,27,13.962063
-645.832052,28,14.52515
-633.749852,31,15.175753
-634.105024,50,16.388611
-640.291839,15,16.700888
-645.905366,45,17.60509
-624.91614,21,18.23478
-624.898695,25,18.742049
-656.186538,38,19.505579
-655.7979,56,20.83258
-634.695571,23,21.301063
-637.230778,16,21.635316
-646.145505,15,21.944035
-624.021988,25,22.671082
-626.848666,24,23.162572
-674.966768,28,23.735763
-638.218929,27,24.279544
-678.499109,41,25.29834
-667.167085,34,25.981815
-624.527709,20,26.386684
-640.024789,19,26.991456
-655.148483,49,27.98533
-634.467238,25,28.49148
-624.385201,20,29.109605
-627.100583,27,29.663793
-635.277556,14,29.955831
-639.52184,57,31.290157
-641.484319,50,32.307029
-632.854797,28,32.869295
-641.545793,15,33.17686
-631.291851,20,33.783026
-646.728303,15,34.092618
-694.489072,43,34.963835
-642.590552,25,35.469613
-625.252348,26,36.197835
-665.590053,21,36.627594
-627.198928,25,37.135344
-668.699408,54,38.427064
-625.433347,20,38.839566
-663.22865,52,39.88445
-650.091401,49,41.066923
-624.737195,19,41.453796
-636.853251,15,41.761062
-626.451721,26,42.486129
-634.392774,25,42.989374
-698.780952,37,43.727915
-646.896016,15,44.032241
-653.998211,82,45.90893
-612.678762,51,47.15007
-641.697346,28,47.70952
-716.108903,71,49.378588
-622.446508,19,49.76637
-628.016224,32,50.405993
-635.682112,31,51.040838
-630.04284,24,51.709709
-636.661777,14,52.00265
-643.902139,17,52.356232
-641.169062,16,52.690188
-630.456559,30,53.294418
-623.65103,82,55.098574
-681.816797,26,55.824099
-630.58217,20,56.234069
-649.631104,17,56.583797
-704.858328,50,57.594872
-622.808669,23,58.242997
-608.250548,45,59.142882
-700.833723,60,60.535472
-665.600608,24,61.019639
-624.820856,21,61.44512
-680.137762,30,62.04995
-665.357232,22,62.683394
-635.317082,25,63.189273
-649.106317,18,63.556694
-638.945515,43,64.598044
-634.365893,14,64.888018
-634.344115,30,65.517593
-645.503684,18,65.884803
-634.835903,26,66.410701
-629.605962,22,67.04093
-626.796263,34,67.7191
-623.250542,25,68.222705
-635.389675,14,68.505047
-608.05389,29,69.258013
-623.414896,24,69.744896
-640.769855,15,70.053555
-629.474805,24,70.545952
-611.840228,40,71.559882
-665.80182,21,71.990222
-633.220519,22,72.436478
-634.812635,24,72.926994
-628.095799,24,73.606965
-655.050696,35,74.311012
-743.715144,40,75.111558
-643.318209,24,75.798754
-637.175544,49,76.772486
-646.952633,42,77.814805
-633.517313,28,78.381577
-634.254377,30,78.985533
-631.578768,20,79.391957
-630.6907,21,79.819268
-661.52938,42,80.862783
-629.816662,22,81.308973
-637.137363,16,81.647385
-624.158346,20,82.052211
-636.576897,29,82.824179
-647.732524,68,84.203425
-637.259357,17,84.737392
-653.624969,28,85.309652
-632.266115,23,85.780957
-625.74203,25,86.292669
-642.212892,25,86.979484
-624.383904,24,87.466009
-787.608784,40,88.263478
-635.132437,14,88.558454
-638.937204,15,89.079659
-648.74257,17,89.433339
-631.182232,54,90.534082
-668.614465,43,91.583462
-630.212136,21,92.011474
-636.344031,15,92.315609
-689.224168,78,94.111627
-626.762224,26,94.635346
-631.545217,30,95.249952
-637.142835,37,96.183722
-658.532471,48,97.142025
-649.423743,17,97.493359
-635.020189,14,97.966202
-631.324739,21,98.394916
-638.648778,15,98.702842
-633.984999,29,99.287533
-623.212123,25,99.788925
-624.515361,20,100.38542
-626.939816,43,101.251676
-644.997433,16,101.58513
-630.51825,20,101.988916
-643.397286,28,102.729186
-609.08319,36,103.449701
-628.319529,29,104.03306
-633.587295,20,104.646791
-624.139012,19,105.034367
-628.271003,24,105.540408
-638.850427,16,105.869598
-640.414833,15,106.17972
-667.290822,33,107.03206
-631.762889,24,107.510498
-634.765502,28,108.072759
-644.744572,40,109.073843
-659.042919,23,109.543047
-629.47451,22,109.993702
-634.581079,21,110.417771
-638.266589,15,110.720891
-656.159336,19,111.290893
-638.400897,16,111.616041
-628.101761,27,112.157403
-636.191603,32,112.797935
-635.717657,14,113.084751
-636.678902,30,113.881835
-645.017842,16,114.217336
-635.078785,14,114.506567
-629.247355,25,115.018021
-664.826805,24,115.691366
-630.217707,28,116.251779
-624.724947,24,116.734801
-626.184304,24,117.215755
-634.285059,14,117.506941
-632.2729,20,118.105634
-639.28606,14,118.39489
-621.565355,23,118.88294
-623.169445,20,119.337097
-632.921435,32,120.220892
-634.2724,21,120.650014
-627.88129,25,121.169831
-638.322838,16,121.535385
-636.923781,14,121.857383
-627.873954,30,122.683337
-642.075189,15,122.993003
-636.906424,14,123.285597
-626.392436,24,123.782302
-624.328074,24,124.302854
-627.376543,24,125.033984
-638.656332,14,125.354569
-637.032033,14,125.687754
-651.162722,26,126.279522
-631.507497,20,126.716745
-628.810919,24,127.385932
-625.853128,24,127.870743
-642.444562,15,128.177748
-622.354329,23,128.646576
-633.57017,21,129.072938
-645.004006,16,129.601972
-628.119069,28,130.164687
-633.913643,22,130.609735
-629.757885,19,131.000829
-626.614215,24,131.682712
-629.183367,24,132.226774
-637.761838,14,132.548678
-637.893927,14,132.848976
-629.090043,31,133.470065
-621.413838,24,134.165644
-646.798978,15,134.474016
-624.271865,19,134.863895
-644.033925,17,135.209374
-635.292358,22,135.662364
-630.926065,20,136.285946
-634.507853,21,136.711384
-636.394782,22,137.154579
-635.740765,29,137.743723
-628.316989,25,138.248512
-629.715663,25,138.939308
-747.56683,72,140.382709
-636.818359,14,140.884335
-637.14417,15,141.19455
-628.9999,14,141.481309
-647.237791,18,141.851603
-632.011436,23,142.323616
-694.508293,29,143.100696
-627.615519,24,143.584682
-624.899385,20,143.993776
-637.829939,14,144.288341
-637.600206,35,145.1866
-623.889371,24,145.697013
-625.238346,24,146.180898
-634.162023,14,146.47162
-626.858215,28,147.035205
-637.849712,15,147.531739
-639.254627,24,148.021357
-652.722402,21,148.448094
-640.455563,14,148.741512
-639.21505,35,149.629166
-635.084661,25,150.138324
-653.799682,38,150.903252
-698.320316,98,153.060962
-627.685324,26,153.58635
-638.167568,14,154.060333
-642.490444,15,154.371299
-634.968927,29,154.95816
-631.756862,20,155.363439
-621.7159,19,155.753901
-635.101514,14,156.046212
-614.112828,38,157.013547
-624.086992,24,157.49581
-639.978151,16,157.825762
-737.848531,41,158.836377
-635.163445,14,159.121706
-627.427673,24,159.602548
-634.267835,14,159.888179
-623.929612,19,160.271594
-639.46438,14,160.746731
-630.349985,20,161.155922
-625.599426,25,161.663303
-627.595798,26,162.196753
-639.166864,16,162.527234
-638.432449,14,163.012468
-622.584622,19,163.395503
-628.481666,28,163.961275
-633.996154,20,164.369345
-623.671274,20,164.780128
-629.815009,20,165.385182
-649.592955,18,165.751436
-642.139639,15,166.060414
-624.656114,20,166.469656
-622.40282,19,166.854997
-640.01715,14,167.150734
-622.579085,23,167.855849
-656.619668,19,168.283462
-673.145558,28,168.855801
-637.843967,15,169.165678
-699.772331,90,171.139158
-624.77858,24,171.621716
-640.20103,14,172.092813
-635.691411,21,172.523195
-631.841085,21,172.950505
-624.363167,20,173.356092
-624.434561,23,173.82258
-626.820232,24,174.500098
-637.982022,14,174.792159
-634.56013,25,175.301978
-628.789678,25,175.805667
-638.971981,31,176.610831
-624.471565,20,177.021097
-635.461115,14,177.310224
-640.350692,15,177.635463
-627.984927,24,178.181175
-623.852238,20,178.824667
-627.886626,24,179.370222
-630.310851,20,179.827049
-635.621847,14,180.151887
-635.186806,14,180.441841
-630.131706,20,180.853951
-637.358208,14,181.352623
-639.783409,15,181.662109
-635.890408,15,181.970794
-638.334213,15,182.279989
-635.505713,14,182.579916
-635.305584,25,183.084303
-624.872291,20,183.683038
-631.446585,20,184.088544
-625.134368,20,184.494879
-674.007641,22,184.93903
-687.122047,103,187.274815
-645.956028,45,188.36257
-626.836459,25,188.874233
-632.597808,103,191.194804
-634.092435,14,191.484974
-649.116853,31,192.294991
-624.148034,20,192.710246
-624.359255,20,193.117756
-636.280495,14,193.411175
-649.551657,49,194.588261
-674.290676,26,195.118263
-633.275516,26,195.64243
-623.342194,22,196.092671
-636.513109,27,196.841682
-686.367669,32,197.486201
-694.339425,28,198.060636
-647.00432,15,198.371792
-636.619278,14,198.671771
-656.77867,36,199.594531
-621.877089,23,200.060075
-638.545351,15,200.373717
-649.424728,41,201.397552
-635.7044,31,202.025573
-626.531117,27,202.577469
-644.999469,18,202.948933
-621.985582,19,203.520452
-624.279471,20,203.92648
-623.695968,19,204.312972
-645.96716,16,204.64015
-637.46986,33,205.308081
-623.809296,19,205.929085
-627.961486,28,206.567687
-622.946508,24,207.082518
-632.270093,20,207.494385
-631.434523,20,208.089135
-623.108623,24,208.580436
-628.174482,30,209.19902
-628.075661,24,209.691122
-625.526952,25,210.44101
-634.304475,29,211.025223
-623.504454,25,211.531184
-635.217136,14,211.828228
-631.775056,20,212.233126
-640.676174,15,212.741344
-650.214841,18,213.119978
-634.57594,35,213.83253
-666.662522,61,215.279008
-638.81667,15,215.591118
-627.44209,27,216.145745
-634.873948,14,216.437082
-667.281503,55,217.730987
-638.524628,16,218.063928
-633.406869,21,218.490846
-638.792956,33,219.349243
-645.88026,19,219.741851
-629.924617,20,220.149121
-630.625058,21,220.580384
-633.767301,21,221.014973
-647.607855,38,221.978836
-644.886476,29,222.571537
-644.25226,30,223.179952
-648.346602,17,223.529224
-704.950966,73,225.188926
-627.880174,25,225.695347
-635.47156,25,226.409675
-633.765042,21,226.840081
-634.408918,26,227.363924
-636.231213,26,227.892149
-633.80659,22,228.514995
-621.901742,23,228.977925
-623.824327,21,229.40388
-628.756319,24,229.896383
-1144.968865,109,232.330372
-636.623905,15,232.832762
-626.117597,24,233.323883
-638.373671,14,233.615561
-635.847737,14,233.908319
-635.85839,21,234.346767
-635.715103,28,235.102324
-632.538026,20,235.504533
-637.296394,22,235.957399
-627.848441,25,236.468232
-630.246833,20,236.880394
-635.716486,21,237.515315
-634.119451,28,238.084972
-630.349071,20,238.492154
-642.096242,15,238.804561
-640.60803,15,239.110521
-635.955332,21,239.723523
-629.013054,24,240.203691
-634.525796,14,240.492946
-638.967017,15,240.80005
-624.41335,20,241.206374
-639.41286,14,241.681264
-636.164982,14,241.971083
-634.884227,14,242.262837
-640.235998,15,242.57551
-656.834217,20,242.985968
-632.078787,21,243.411922
-622.761448,19,244.002488
-635.195724,14,244.29544
-626.935591,25,244.811165
-648.267469,16,245.139724
-635.53746,25,245.653311
-621.499955,23,246.336277
-646.721906,16,246.670776
-623.961697,19,247.059165
-633.854069,24,247.543969
-674.229912,29,248.125084
-639.455099,16,248.644748
-624.719724,25,249.147108
-633.259909,20,249.567675
-635.151562,14,249.855018
-637.581543,15,250.160213
-639.753837,14,250.63429
-628.777324,25,251.147449
-634.146156,21,251.580485
-635.656129,21,252.003293
-625.452833,26,252.527468
-662.051399,25,253.221129
-623.41219,19,253.610379
-634.925681,22,254.059256
-647.321985,36,254.798323
-639.327801,14,255.270837
-639.767041,15,255.582729
-628.775605,24,256.067487
-622.199592,19,256.456438
-656.890097,19,256.840452
-636.085605,14,257.313362
-627.154625,25,257.817571
-637.987923,14,258.108807
-623.838893,20,258.51772
-626.031755,27,259.069599
-628.676001,25,259.767203
-644.718563,26,260.293809
-631.784171,21,260.726953
-629.143545,26,261.260176
-628.942881,26,261.980514
-640.278249,15,262.288746
-638.182806,14,262.578039
-636.464436,24,263.065304
-639.302503,14,263.357395
-639.415405,14,263.651624
-634.963141,14,264.146652
-633.205115,24,264.637648
-627.893323,24,265.128258
-635.012496,14,265.419394
-637.178318,15,265.73072
-638.187055,14,266.021823
-624.3754,25,266.715862
-646.714143,15,267.025606
-623.362203,20,267.443596
-627.16647,28,268.024366
-640.954017,15,268.521093
-628.447512,24,269.006561
-627.218329,25,269.510597
-640.449553,15,269.817997
-634.73782,25,270.323857
-624.871465,24,271.013393
-635.699541,14,271.300992
-639.056727,31,271.928008
-640.462849,15,272.241235
-627.179533,25,272.748009
-647.385225,16,273.264652
-630.648825,20,273.67139
-623.619549,20,274.077281
-646.727915,15,274.38917
-637.963171,14,274.68049
-633.847031,21,275.292783
-640.230101,15,275.605302
-658.167639,23,276.074769
-631.713012,20,276.483519
-642.559327,30,277.08243
-793.262446,87,279.030765
-635.069985,14,279.319861
-648.972687,43,280.363933
-635.341065,21,280.794753
-636.927457,14,281.084507
-635.398849,14,281.377371
-622.439138,24,282.049652
-638.225404,14,282.337902
-634.378703,21,282.764153
-624.245216,21,283.191898
-636.774085,22,283.643161
-633.373282,21,284.262503
-635.149246,14,284.550604
-638.834839,15,284.857882
-630.350583,20,285.267594
-642.496998,35,285.975128
-636.159179,21,286.609071
-639.732065,15,286.921911
-630.526645,20,287.341139
-627.721263,25,287.855315
-634.475617,20,288.266875
-629.591752,25,288.982739
-635.302964,30,289.596993
-633.77581,20,290.045398
-638.699368,14,290.36922
-641.64224,15,290.698353
-627.988339,25,291.426019
-635.045327,14,291.715349
-641.281981,15,292.026441
-630.456579,20,292.437753
-645.100031,32,293.281535
-633.721732,21,293.721774
-636.477915,21,294.151315
-641.733691,15,294.466801
-636.682117,26,294.990815
-626.604259,25,295.689197
-655.258784,21,296.119481
-621.956254,19,296.511341
-629.76471,27,297.063948
-630.487675,20,297.476119
-638.287911,15,297.984889
-629.295662,26,298.513953
-626.063457,25,299.020549
-625.54391,25,299.53897
-625.525838,24,300.212228
-634.186555,14,300.508393
-624.120877,20,300.91737
-636.409669,23,301.385018
-646.454235,37,302.341644
-629.679726,25,302.850797
-638.886787,14,303.143196
-624.282251,25,303.660406
-624.531332,20,304.075234
-634.676215,20,304.70147
-621.886218,23,305.178612
-636.904354,14,305.472416
-648.984678,17,305.824241
-639.611107,14,306.118776
-630.280243,30,306.917424
-637.324045,14,307.212199
-637.899418,15,307.526996
-632.825365,20,307.933251
-632.532016,22,308.376966
-624.370582,20,308.99324
-654.560497,37,309.732842
-622.835916,24,310.217038
-635.596811,21,310.643848
-644.349563,16,310.980063
-635.573373,21,311.593649
-628.95275,25,312.098757
-644.020371,24,312.590921
-625.163311,25,313.102409
-628.220099,24,313.779109
-637.183211,22,314.225229
-634.946587,27,314.773622
-635.948357,23,315.245125
-638.981301,14,315.762492
-628.138845,28,316.32902
-641.550548,28,316.898087
-638.101487,15,317.210756
-625.724432,24,317.700357
-624.673661,27,318.431259
-674.135455,94,320.546659
-636.337407,15,320.856178
-625.481055,24,321.346388
-632.490675,93,323.424518
-649.184657,38,324.194905
-638.627934,15,324.687199
-628.659032,24,325.177658
-636.712632,15,325.492398
-634.383129,27,326.046903
-624.217822,20,326.452175
-626.302817,24,327.126945
-634.607006,14,327.416874
-634.516775,20,327.828936
-663.394112,37,328.580009
-634.383766,22,329.21771
-634.426789,14,329.510692
-629.018962,30,330.117026
-624.635435,20,330.528351
-625.17073,23,331.004645
-624.997759,24,331.674046
-632.233244,20,332.082544
-634.419556,29,332.66623
-630.133901,20,333.080464
-627.230225,24,333.782325
-643.180617,28,334.353147
-633.979169,31,335.018858
-624.649465,21,335.502386
-622.022619,19,336.10593
-649.03417,18,336.482062
-624.04828,20,336.892396
-628.942999,25,337.40624
-627.097291,24,337.902767
-640.216624,14,338.396692
-636.49388,14,338.684814
-628.516877,24,339.171264
-634.031362,14,339.463437
-620.875845,23,339.941426
-625.63149,24,340.614872
-627.887587,25,341.126097
-634.472598,25,341.637335
-637.048318,14,341.93128
-639.369115,26,342.667894
-629.741542,25,343.176783
-627.697657,24,343.666945
-638.187647,14,343.960634
-632.448914,22,344.41333
-630.514194,21,345.031876
-637.824064,30,345.637779
-628.73202,25,346.138385
-622.844273,23,346.609461
-649.972394,17,347.137683
-623.562596,24,347.628261
-627.244459,26,348.163341
-645.014376,16,348.489232
-635.688409,38,349.481415
-621.612646,23,349.951532
-624.77561,24,350.444314
-622.834934,23,350.914424
-638.565957,14,351.204931
-631.956666,22,351.882693
-637.063445,40,352.789179
-634.446463,26,353.326721
-626.523061,24,354.007029
-638.834879,15,354.317888
-627.418275,24,354.82324
-634.810715,14,355.115042
-626.074154,25,355.666665
-624.081843,20,356.126238
-624.599929,24,356.861352
-630.880941,24,357.366278
-640.471987,17,357.719047
-637.198075,14,358.00786
-648.261193,17,358.360573
-633.169571,20,358.962772
-638.559982,15,359.272586
-627.180436,24,359.76093
-633.515003,20,360.176359
-633.387801,20,360.596345
-631.688012,25,361.329101
-659.152989,47,362.281566
