# {"t_start": 1565097737.0430887, "env_id": "highway-continuous-v0"} 
r,l,t
-637.55907,33,3.091328
-639.76392,14,3.384986
-627.505658,24,3.864871
-636.191843,21,4.295484
-844.802551,54,5.828488
-657.520133,23,6.297675
-632.525346,21,6.718066
-653.312183,26,7.478739
-644.097854,17,7.8253
-637.753817,14,8.117334
-714.756584,26,8.649647
-647.156847,29,9.452147
-633.873061,22,9.898852
-633.231733,20,10.306823
-627.002278,25,10.811433
-637.102594,14,11.100101
-642.814845,42,12.166864
-644.218788,23,12.63296
-651.024592,17,12.986978
-646.504911,16,13.314339
-666.144042,25,14.036035
-648.261349,17,14.417864
-630.620192,34,15.115647
-628.879808,27,15.662686
-644.510065,17,16.224166
-631.294607,78,17.814303
-624.292807,20,18.225755
-634.24224,26,18.962013
-628.556913,27,19.510129
-623.643644,24,19.998329
-627.527889,24,20.480508
-640.286681,15,20.99661
-608.883898,26,21.529307
-633.589971,23,21.998344
-638.125474,17,22.34933
-629.144029,21,23.011869
-660.222604,31,23.634194
-645.507191,17,23.986855
-636.574141,16,24.321491
-625.867073,24,24.816514
-634.635451,23,25.482093
-645.666585,24,25.970232
-649.883273,44,26.915099
-640.038616,15,27.255213
-624.17992,22,27.907905
-639.072579,15,28.220876
-630.18637,20,28.634832
-628.461479,26,29.16191
-624.821585,26,29.882938
-636.55711,15,30.195413
-646.883887,15,30.529692
-634.500444,22,30.982034
-641.648705,15,31.296184
-628.964763,24,31.785663
-639.988702,14,32.283588
-636.55836,28,32.855325
-636.206995,14,33.14673
-621.659089,19,33.538353
-703.497605,46,34.783087
-629.27102,30,35.397225
-767.304651,105,37.723919
-633.410502,26,38.261126
-629.165693,37,39.22898
-634.874882,14,39.521436
-648.853672,26,40.051074
-651.552836,48,41.237367
-635.667163,29,41.846992
-646.971216,18,42.221049
-606.819787,25,42.722655
-641.154281,15,43.031437
-627.306325,31,43.847517
-636.324841,32,44.500442
-696.323451,53,45.801231
-647.5398,19,46.190219
-646.286468,17,46.54136
-627.808148,33,47.202505
-658.787575,64,48.713913
-625.95079,24,49.199178
-633.992442,20,49.608643
-637.713452,14,49.905349
-629.603645,30,50.695239
-636.952988,23,51.171252
-626.22272,29,51.758642
-667.230123,30,52.568731
-631.323013,34,53.251393
-603.875098,25,53.763714
-644.279047,42,54.823714
-634.759403,25,55.330595
-656.50715,36,56.070412
-630.331932,21,56.496637
-639.093076,15,56.99911
-628.035083,31,57.628369
-642.627775,31,58.259578
-639.809543,16,58.587854
-714.368776,33,59.460195
-625.742579,25,59.966543
-634.010408,21,60.390426
-672.365784,49,61.625482
-645.428537,17,61.970774
-645.418604,39,62.776026
-691.797237,58,64.153087
-636.526348,15,64.464082
-627.660443,27,65.012906
-646.118062,27,65.560138
-644.051714,29,66.369092
-647.754582,34,67.056449
-666.244222,78,68.893123
-638.592672,33,69.574043
-625.339337,25,70.076627
-629.433189,20,70.681852
-634.795141,32,71.340344
-625.432417,22,71.794911
-633.356214,22,72.28808
-634.493914,14,72.827965
-653.081954,60,74.167968
-640.550351,16,74.52566
-644.521495,25,75.220385
-650.462142,44,76.105211
-626.269348,26,76.62955
-648.561523,16,76.955895
-684.275428,35,77.937315
-630.111294,27,78.537615
-624.552037,70,80.162991
-627.606383,26,80.690474
-647.055599,16,81.016979
-608.860493,33,81.678406
-608.429041,31,82.499634
-639.163653,34,83.176656
-627.556748,25,83.685937
-634.310367,14,84.179692
-633.040895,21,84.609133
-657.128509,36,85.360658
-629.954541,27,85.901727
-648.405088,41,86.928452
-628.649875,26,87.449595
-639.635935,15,87.759856
-621.734754,19,88.148424
-636.332172,14,88.626144
-764.785992,87,90.36795
-609.389621,29,91.159595
-639.615505,15,91.471465
-693.774212,32,92.114457
-631.113231,20,92.521505
-624.947652,24,93.203351
-652.444065,47,94.144332
-651.632842,30,94.761181
-627.39731,25,95.454188
-631.246146,20,95.863354
-675.774772,23,96.327014
-640.609432,15,96.636447
-636.8509,14,96.928708
-626.085912,26,97.672298
-635.258172,34,98.353475
-639.486789,43,99.243822
-626.432243,24,99.91153
-618.418763,61,101.152461
-633.349473,22,101.603234
-629.166109,26,102.404253
-720.130043,90,104.600649
-682.575756,53,105.673064
-674.287488,27,106.225977
-629.903014,25,106.920676
-607.613684,24,107.410298
-636.186041,16,107.743467
-644.904798,29,108.323583
-636.290356,14,108.614083
-655.368474,19,109.227836
-634.074473,21,109.699567
-630.012425,22,110.148226
-614.022724,44,111.241796
-656.384054,19,111.627153
-635.37548,14,111.919213
-640.069345,37,112.716002
-634.444156,26,113.237667
-634.764911,21,113.848253
-665.848998,68,115.234242
-619.675987,59,116.628791
-649.774778,17,116.973668
-630.159419,22,117.418031
-634.252935,20,118.013307
-647.76687,19,118.398001
-639.273898,16,118.726882
-636.267334,26,119.253486
-649.543346,19,119.640995
-632.459415,21,120.254138
-646.711356,17,120.605886
-666.967195,25,121.122098
-637.326972,15,121.431698
-633.008312,20,121.843242
-623.093833,24,122.513697
-636.192624,14,122.803273
-629.556207,26,123.329776
-645.834273,17,123.680273
-625.906059,25,124.188886
-639.995418,15,124.683221
-646.580878,17,125.029915
-630.235496,23,125.500658
-625.690276,26,126.024051
-647.377907,17,126.373731
-635.048152,14,126.844566
-623.922584,20,127.251408
-682.149264,31,127.884491
-633.001587,28,128.446624
-629.996056,22,129.08834
-629.040933,24,129.573735
-627.747054,26,130.100945
-624.635262,24,130.590091
-634.664896,20,130.996517
-635.322805,23,131.652475
-623.519096,19,132.045796
-722.7556,43,132.949832
-633.04779,21,133.612303
-636.04957,28,134.196844
-974.555285,130,137.053817
-648.973011,20,137.459568
-659.094521,23,138.130697
-656.662833,40,138.945061
-631.693557,22,139.396789
-631.065539,20,139.803587
-636.880747,31,140.60741
-624.945562,25,141.114568
-624.765599,21,141.538611
-631.664953,20,141.946836
-638.562493,14,142.236645
-646.952442,15,142.732407
-627.635726,30,143.352892
-627.258639,27,143.902226
-667.543608,54,145.15741
-638.842977,94,147.243606
-642.105909,15,147.550199
-639.596269,15,147.856158
-645.424413,17,148.205392
-658.292025,81,150.018927
-646.844489,15,150.334122
-668.198247,26,150.890111
-646.680787,17,151.418577
-655.823534,43,152.300276
-632.056464,21,152.726703
-640.807022,15,153.035479
-633.679146,31,153.867009
-647.722631,16,154.19414
-635.551605,21,154.618937
-626.39099,26,155.142748
-712.755015,32,155.979922
-651.111038,19,156.363253
-623.096806,19,156.746068
-653.731372,29,157.336232
-625.828264,25,157.843057
-632.638867,21,158.461142
-665.808318,41,159.302856
-621.050351,23,159.768255
-634.362324,30,160.551293
-643.032401,17,160.899777
-638.106501,14,161.188384
-646.623032,17,161.539415
-635.600139,14,161.828935
-645.913334,34,162.701298
-636.895099,14,162.993492
-635.081043,22,163.443478
-637.178496,15,163.763093
-742.802538,50,164.966609
-633.934778,25,165.466833
-651.377309,33,166.161203
-633.014147,21,166.619834
-627.688848,30,167.405242
-646.295977,28,167.968506
