% time spent exploring,episodes,mean 100 episode reward,mean 100 episode reward per step,steps
99,2,-628.5,-8.05796148838141,100
99,3,-622.6,-11.583770570641684,200
99,6,-621.5,-16.805279819226442,300
99,9,-623.1,-16.33101396698352,400
99,9,-623.1,-16.33101396698352,500
98,10,-624.9,-15.16314636401438,600
98,13,-626.3,-15.120370742122,700
98,14,-626.1,-14.957125923746647,800
98,17,-624.5,-16.2837138281474,900
98,18,-624.2,-16.024615174822586,1000
97,19,-626.2,-15.459537763757323,1100
97,20,-627.3,-14.949244507248393,1200
97,23,-626.4,-15.13206878182392,1300
97,26,-624.9,-15.81841005686697,1400
97,26,-624.9,-15.81841005686697,1500
96,27,-627.0,-15.410679904558863,1600
96,30,-626.6,-15.216759293260925,1700
96,31,-627.3,-14.929974181996098,1800
96,33,-626.6,-14.962818989846081,1900
96,35,-625.9,-14.842103836920312,2000
95,38,-625.2,-15.120347832773442,2100
95,39,-624.9,-15.032804919658815,2200
95,42,-624.5,-15.473172260266,2300
95,43,-625.2,-15.277027054771002,2400
95,45,-625.4,-15.09358712691732,2500
94,46,-625.8,-14.953162567072011,2600
94,48,-625.8,-14.797124184352825,2700
94,50,-625.7,-14.869534699137569,2800
94,53,-625.3,-15.08962558357671,2900
94,54,-625.2,-15.09781757409168,3000
93,56,-626.2,-15.1726844197746,3100
93,58,-625.9,-15.351888833500572,3200
93,59,-626.4,-15.217660186192662,3300
93,59,-626.4,-15.217660186192662,3400
93,60,-627.2,-15.043194455518986,3500
92,63,-626.9,-15.108556340394982,3600
92,64,-627.2,-15.006603923913193,3700
92,66,-627.2,-15.12322613780833,3800
92,70,-626.4,-15.766373427719365,3900
92,72,-625.9,-15.910992327933268,4000
91,74,-625.8,-15.825022506225785,4100
91,75,-626.0,-15.72417364643811,4200
91,76,-625.9,-15.618192621153025,4300
91,76,-625.9,-15.618192621153025,4400
91,77,-626.7,-15.469712162276718,4500
90,79,-626.4,-15.484570412698128,4600
