# {"t_start": 1565715835.498142, "env_id": "highway-discrete-v0"} 
r,l,t
-647.537054,128,4.328764
-608.80576,33,5.059384
-661.962087,118,7.558567
-656.962015,85,9.331276
-621.511016,37,10.095132
-616.275347,25,10.620153
-614.77625,24,11.120231
-619.076841,39,11.945335
-642.854801,93,13.860308
-619.412004,28,14.441866
-619.792437,51,15.494797
-608.87176,33,16.175103
-623.862299,48,17.169914
-653.140308,109,19.395283
-611.3326,24,19.897551
-646.445123,108,22.117887
-625.570937,42,22.982824
-611.284567,40,23.803259
-616.149864,30,24.434841
-623.226406,80,26.257549
-614.962412,26,26.807607
-610.377099,29,27.427213
-609.54089,32,28.108963
-628.358833,59,29.359937
-608.432286,20,29.784316
-700.206848,171,33.409576
-605.186299,25,33.939152
-622.802556,56,35.11284
-634.150111,62,36.405532
-630.795902,61,37.698954
-610.099141,31,38.353306
-607.939424,26,38.903323
-712.218957,202,43.459875
-602.077401,17,43.840362
-611.898976,35,44.59715
-609.164723,33,45.372762
-624.283564,58,46.663202
-631.013581,66,48.119359
-624.339977,74,49.73456
-614.615717,24,50.254835
-643.459712,126,53.252916
-635.650434,60,54.612141
-617.849712,50,55.729237
-638.19557,65,57.115488
-643.476019,103,59.308835
-614.992686,32,60.014589
-608.89215,21,60.474261
-643.49548,61,61.831665
-606.114828,28,62.440602
-617.860983,31,63.126317
-605.29689,26,63.705526
-606.404786,23,64.222164
-614.165205,40,65.093704
-628.765469,55,66.253352
-604.46544,17,66.652698
-643.682363,84,68.52605
-628.28095,56,69.738784
-673.774973,151,73.000354
-606.334879,19,73.425129
-624.737326,57,74.691717
-627.555443,63,76.047011
-678.821072,153,79.341106
-616.316074,31,80.032517
-606.574672,22,80.530182
-655.502497,100,82.842553
-613.235291,22,83.321284
-619.640944,32,84.002244
-613.828571,37,84.806309
-638.940382,69,86.319175
-605.60019,21,86.789582
-619.622785,86,88.721963
-612.170862,28,89.33361
-610.279819,39,90.207757
-656.094595,115,92.758194
-644.385506,80,94.452644
-607.497113,27,95.069971
-631.627482,84,96.861306
-614.970377,33,97.631588
-618.970674,49,98.780462
-603.331497,21,99.289576
-609.987399,34,100.115282
-607.146489,24,100.627642
-612.59926,42,101.519031
-613.381339,26,102.103884
-605.46343,27,102.693706
-621.13111,67,104.154015
-625.362029,42,105.049354
-641.572837,66,106.463867
-620.289851,54,107.623034
-615.379726,47,108.7083
-614.979753,47,109.708651
-603.062495,21,110.158095
-603.448004,25,110.725612
-605.829309,20,111.173344
-608.681489,34,111.895062
-615.633114,30,112.542623
-645.182483,64,113.895657
-609.530977,33,114.603841
-637.38072,73,116.195705
-619.204026,42,117.132175
-621.037955,53,118.258021
-623.715404,34,119.07794
-606.690104,21,119.582262
-630.685184,84,121.518444
-601.45151,28,122.137875
-616.953805,44,123.111173
-615.319954,24,123.669897
-621.307231,53,124.8609
-628.062325,53,126.019169
-617.045797,50,127.130218
-618.814561,29,127.740468
-611.005076,50,128.889042
-629.148676,90,130.837831
-607.13662,24,131.376507
-617.202759,32,132.103624
-641.07834,79,133.888798
-618.413488,44,134.866175
-617.275098,49,135.942002
-616.810094,48,137.005015
-608.918667,22,137.490606
-607.79539,29,138.107395
-616.810838,45,139.148229
-621.397271,65,140.597916
-604.028504,19,141.070859
-605.537563,25,141.651727
-612.612033,34,142.39045
-626.06479,68,143.899065
-621.011571,33,144.598544
-614.740094,39,145.436509
-628.586432,72,146.998303
-613.190529,30,147.672618
-613.453176,50,148.769318
-606.184439,24,149.285511
-616.43149,47,150.362334
-613.979248,32,151.035801
-610.798981,38,151.866891
-644.450625,87,153.80486
-607.654622,26,154.392915
-604.497304,19,154.803267
-636.178484,89,156.751642
-621.279726,54,157.90489
-610.093678,28,158.532757
-605.788795,22,159.044988
-611.559132,19,159.462783
-608.475192,33,160.188256
-625.765312,41,161.164568
-609.599044,38,162.013027
-678.500726,170,165.713516
-619.861779,45,166.694631
-606.215256,17,167.061781
-615.625918,36,167.851501
-610.04691,29,168.563545
-611.683898,20,169.025824
-629.795602,51,170.178427
-621.40828,49,171.221364
-616.19219,40,172.104656
-605.579689,27,172.685451
-628.823348,80,174.474583
-639.08177,63,175.988251
-611.495548,29,176.603361
-644.324541,95,178.669412
-616.382288,52,179.80607
-623.090528,39,180.672791
-620.0033,36,181.486333
-607.091094,23,181.984456
-661.066044,147,185.41115
-626.17937,61,186.795347
-611.042773,17,187.193865
-617.368353,53,188.348209
-618.873872,34,189.103811
-609.134358,31,189.764992
-607.151243,23,190.281255
-650.478756,95,192.36137
-605.96956,25,192.993643
-609.921935,26,193.601161
-611.831903,41,194.580788
-622.496418,52,195.83222
-605.093995,16,196.180138
-611.850463,44,197.117453
-611.112995,42,198.07621
-616.614966,39,198.905691
-615.978417,30,199.563503
-629.116414,63,200.962733
-603.722849,16,201.320435
-605.936143,18,201.737987
-605.839632,24,202.269472
-614.539909,39,203.109368
-615.922517,28,203.707745
-619.162135,32,204.449234
-607.855261,19,204.885314
-609.803223,31,205.537419
-610.468564,35,206.329186
-609.828259,30,207.003744
-648.536675,133,209.784195
-613.237255,36,210.571581
-614.760696,52,211.705157
-605.758821,24,212.216874
-700.532658,225,217.131404
-611.142326,33,217.83081
-606.889992,25,218.369879
-609.102662,26,218.954913
-613.318182,30,219.592928
-627.074568,54,220.760092
-605.743579,20,221.198857
-612.982602,40,222.063226
-606.445357,25,222.633048
-617.067329,32,223.32383
-609.615403,20,223.781604
-617.823174,61,225.126112
-619.803974,35,225.889883
-641.675823,80,227.672946
-620.462675,43,228.643751
-610.619114,43,229.583236
-613.719263,47,230.631319
-615.592691,29,231.268735
-663.721693,145,234.488739
-609.679355,19,234.923692
-618.117203,48,235.937148
-631.952273,67,237.391624
-618.058287,56,238.675439
-618.644621,41,239.598744
-610.905369,29,240.248374
-603.527703,17,240.621956
-613.516976,35,241.386556
-626.65623,58,242.680317
-610.124352,30,243.304528
-607.943358,28,243.904479
-614.118749,32,244.612294
-609.930572,34,245.370312
-627.776667,68,246.895962
-619.077691,50,247.98978
-621.540858,53,249.151716
-604.801904,16,249.521459
-604.891897,18,249.965267
-641.565172,78,251.847056
-607.246223,28,252.519212
-616.445952,35,253.360285
-614.305797,37,254.244275
-604.382606,26,254.879966
-615.050472,48,255.956262
-143.825544,300,262.166465
-616.705809,38,262.985256
-614.434365,45,264.01013
-611.627449,26,264.567704
-618.62553,51,265.692511
-605.863357,25,266.253348
-606.974642,22,266.730538
-604.948807,20,267.160475
-624.053516,56,268.414274
-622.581059,57,269.64835
-618.672415,51,270.786303
-615.185748,40,271.664536
-610.354986,18,272.074932
-612.430984,38,272.873299
-614.404175,33,273.605787
-607.216369,21,274.063025
-639.436788,95,276.124568
-608.573329,29,276.761007
-616.85957,44,277.733891
-601.090031,18,278.122755
-611.308308,42,279.059005
-605.921176,22,279.547377
-616.023468,40,280.406451
-622.586846,52,281.549705
-602.612107,18,281.941176
-611.754236,25,282.501228
-610.44903,33,283.238479
-615.623822,39,284.068166
-606.808519,23,284.587656
-626.195494,81,286.35398
-628.075085,55,287.573302
-616.040513,50,288.645992
-623.413374,44,289.641868
-648.239431,88,291.555604
-609.685021,42,292.493671
-617.523015,66,293.878303
-607.451651,28,294.537777
-652.555863,89,296.535417
-680.487741,167,300.240131
-629.36626,49,301.286106
-605.109491,18,301.699756
-633.539679,55,302.900199
-609.695894,29,303.500406
-609.060321,22,304.005403
-608.971578,24,304.532982
-603.481784,22,305.036113
-605.736869,33,305.725976
-616.094653,42,306.636867
-633.948586,71,308.159779
-617.681614,40,309.047866
