# {"t_start": 1565706996.6539547, "env_id": "highway-discrete-v0"} 
r,l,t
-616.460903,43,1.850091
-617.046387,34,2.406556
-687.137226,160,5.173628
-631.678084,65,6.29573
-664.351787,113,8.225623
-630.08401,62,9.281419
-627.055194,48,10.088054
-606.427773,26,10.543189
-609.421794,33,11.092419
-629.742183,67,12.256651
-658.732996,104,14.067723
-605.937897,22,14.432191
-604.228575,16,14.694306
-622.321803,54,15.604671
-623.448796,101,17.362056
-616.485169,39,18.020255
-607.13611,25,18.443191
-647.427278,81,19.77589
-620.411335,49,20.682889
-617.493682,58,21.634623
-607.607734,19,21.958278
-629.921335,59,22.949635
-627.874353,46,23.724823
-629.546372,66,24.833987
-633.37574,60,25.825151
-606.284582,20,26.158293
-642.46753,86,27.547715
-622.413665,49,28.352975
-618.575294,62,29.423261
-622.587234,38,30.04723
-625.427312,73,31.313411
-614.559433,28,31.799738
-616.81923,47,32.6106
-615.584455,50,33.461019
-629.697931,54,34.423639
-615.251274,30,34.918341
-604.660642,17,35.208443
-625.916017,56,36.125716
-638.194535,72,37.331047
-608.901756,29,37.815591
-609.806605,28,38.273876
-633.991919,97,39.853169
-655.336782,103,41.53058
-634.776036,75,42.727906
-627.586646,54,43.60467
-616.517939,74,44.762224
-621.677019,55,45.638532
-627.787226,69,46.758684
-630.461381,52,47.593643
-618.460885,52,48.422135
-632.192262,58,49.423456
-621.19917,61,50.431088
-618.871398,56,51.330717
-625.512713,75,52.521345
-606.997626,21,52.868714
-720.253708,218,56.40791
-610.468983,24,56.794299
-616.074587,23,57.202768
-615.124448,30,57.734952
-606.949921,27,58.182067
-653.612549,110,59.986817
-612.714847,28,60.442814
-609.09031,17,60.739533
-617.596618,49,61.584044
-641.831405,84,62.97116
-609.108465,27,63.420853
-617.013907,46,64.193586
-608.523615,20,64.539262
-611.809655,32,65.075243
-609.299443,23,65.464085
-605.395501,32,66.003355
-667.185377,142,68.380335
-609.382051,22,68.764446
-614.330466,37,69.394957
-624.121952,41,70.105386
-612.383636,45,70.857638
-628.576915,58,71.831578
-612.433505,44,72.575009
-630.574817,48,73.384305
-605.398756,23,73.815112
-641.690704,97,75.474954
-647.5402,78,76.779379
-608.442644,39,77.477185
-633.570438,56,78.460975
-628.251314,78,79.789611
-613.327599,44,80.515182
-615.885614,48,81.300229
-612.635538,45,82.047365
-622.228296,65,83.107178
-610.420531,42,83.81019
-616.248669,38,84.437615
-673.959229,172,87.327401
-611.60878,47,88.118977
-644.722283,112,89.988607
-605.666325,24,90.380482
-614.109071,54,91.310631
-614.323632,36,91.899576
-651.139341,89,93.430274
-623.765332,47,94.281897
-615.097606,35,94.850365
-608.827069,34,95.477093
-604.562915,15,95.739564
-621.131957,60,96.758527
-619.753848,47,97.545784
-673.605503,162,100.135387
-604.522693,25,100.540159
-615.825335,30,101.024662
-606.294364,26,101.445511
-680.849769,132,103.666019
-630.546187,74,104.853962
-615.95761,30,105.376456
-605.922326,24,105.791861
-633.713693,61,106.816352
-614.971444,47,107.660898
-631.212245,46,108.408922
-669.089306,144,110.905605
-602.421612,19,111.226074
-613.711704,39,111.903132
-625.110562,53,112.800544
-613.785069,58,113.778886
-604.234117,19,114.111747
-623.3618,41,114.807605
-619.186762,40,115.458357
-611.517281,25,115.903802
-637.942531,87,117.485039
-634.538831,79,118.870111
-619.147403,43,119.589144
-643.904798,76,120.900977
-619.728846,38,121.551048
-619.494006,75,122.839787
-621.857018,35,123.434825
-632.999252,65,124.553573
-648.220163,111,126.429177
-620.451419,40,127.1221
-616.145683,45,127.896868
-689.775207,173,130.667518
-620.207821,50,131.531257
-610.631526,26,131.978932
-609.645292,38,132.637303
-615.963039,45,133.404528
-649.518709,100,135.127779
-607.745741,26,135.593268
-607.361401,35,136.18442
-639.91572,77,137.482543
-604.50588,20,137.830987
-628.058982,78,139.079427
-650.336701,98,140.768164
