# {"t_start": 1565275177.5335448, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-596.250593,30,2.808775
-490.301676,30,5.0043
-557.466655,25,5.845279
-568.115443,15,6.354899
-401.825984,60,8.283722
-462.710396,30,9.195045
-533.679973,30,10.111912
-516.971622,27,10.947058
120.915717,127,14.822188
644.229828,206,20.936142
-395.452983,26,21.741769
-322.760772,58,23.509608
-417.317605,26,24.311323
-540.518404,20,24.946973
535.903196,205,31.237729
-466.891513,28,32.091879
-442.489323,41,33.34037
-520.079201,35,34.402663
-523.217065,26,35.80184
-514.778116,32,37.371231
-580.400494,92,40.18547
-593.941477,37,41.320297
-596.88574,44,42.660934
-590.673692,22,43.333002
-496.21684,165,48.375581
-606.03973,29,49.262062
-605.528232,39,50.441473
-608.230755,110,53.757262
-600.529105,23,54.460114
-589.555895,31,55.408547
-588.273325,23,56.11417
-585.865858,165,61.209624
-598.223916,92,63.99776
-591.833176,17,64.526525
-602.054999,38,65.681583
-49.413263,117,70.556262
-570.492048,96,73.48972
-582.317568,40,74.700077
-594.134934,37,76.433481
-580.959823,43,77.752552
-596.497015,35,78.820014
-594.801506,57,80.56041
-610.134878,37,81.686319
-601.848133,54,83.338278
-610.792683,38,84.503599
-607.764461,68,86.572448
-608.331289,69,88.675585
-638.784314,252,96.369007
-597.181477,35,100.005702
-616.124714,75,102.317858
-593.046471,30,103.241767
-620.382125,81,105.720983
-618.596339,71,107.877064
-595.749994,41,109.1196
-646.247179,115,112.651303
-604.825695,18,113.212106
-599.512407,69,115.294472
-620.249213,75,118.175518
-602.102836,37,119.299313
-600.912188,23,120.0147
-611.569602,68,122.067798
-611.816538,55,123.750904
-620.16848,123,127.569658
-622.019169,70,129.702528
-603.248338,32,130.66997
-609.078551,56,132.690737
-607.694871,86,135.283625
-605.672502,25,136.058726
-601.193555,23,136.784351
-634.996082,99,139.846044
-598.029885,18,140.410276
-610.853118,62,142.297071
-617.456479,71,144.424865
-640.084781,106,147.640103
-605.854827,37,148.760939
-628.585078,83,151.25936
-632.731919,92,154.645679
-612.802831,46,156.042689
-609.555199,28,156.902656
-572.960728,60,158.788898
