# {"t_start": 1565275177.7974799, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-606.892222,24,2.751835
135.864177,137,7.856555
-557.430356,18,8.409418
-492.778082,36,9.500505
738.872918,291,18.297948
-489.772106,46,19.705806
-600.550042,30,20.627769
-491.951965,43,21.938376
-522.299899,24,22.672043
677.697079,119,26.354141
-441.382343,32,27.334133
-78.531475,83,29.863137
-477.505407,37,30.997519
-544.168307,16,31.494674
-498.849836,39,32.698443
-456.856715,73,36.818055
-440.948408,29,37.704637
-452.029495,27,38.528533
-275.614129,19,39.131089
-437.124971,36,40.834536
-609.925213,153,45.543676
-603.917692,30,46.470502
-607.015642,25,47.232262
-566.775196,56,48.955908
-612.328653,138,53.150078
-592.760235,33,54.1493
-596.228665,38,55.320535
-603.071242,31,56.284967
-589.680752,29,57.171316
-602.285548,54,58.856012
-590.818827,26,59.642406
-599.775047,111,63.078788
-599.54168,21,63.729696
-594.6658,18,64.304538
-590.873907,38,65.456302
-593.807419,38,66.594784
-609.391251,68,68.815612
-606.927801,67,70.898429
-600.318238,32,72.549541
-619.215856,112,75.940606
-596.498117,30,76.864135
-604.953546,40,78.081044
-601.921958,45,79.458869
-620.91032,216,86.01899
-598.394437,38,87.173389
-612.582995,58,88.919761
-596.310296,47,90.330973
-628.465667,215,96.893052
-618.477782,47,98.32743
-592.552583,16,99.223642
-632.474251,165,104.240291
-608.752709,44,105.581903
-603.727335,48,107.040579
-607.167524,30,107.952821
-611.007355,77,110.313016
-582.507598,123,114.082017
-592.651111,95,117.020611
-609.221092,112,121.117497
-601.793386,52,122.716017
-600.838142,32,123.687215
-605.11223,18,124.244531
-611.540042,32,125.216766
-627.537339,140,129.43594
-620.859957,81,133.236051
-600.123912,26,134.029343
-598.503873,28,134.887792
-608.1414,64,136.878524
-608.757862,46,138.277361
-608.926043,48,139.731195
-613.44369,79,142.10192
-598.725425,26,142.888462
-628.865891,125,146.712497
-605.490154,43,148.027672
-603.479198,95,150.884912
-610.489797,114,154.380149
-617.174827,56,156.109258
-593.472559,64,158.646846
-618.479747,57,160.387551
-600.184497,17,160.907869
-612.814482,63,164.596736
-610.252711,45,165.976442
-609.294189,42,167.259727
-648.977023,133,171.3727
-624.578082,73,173.612553
-605.355257,38,174.761047
-627.074887,96,177.694293
-599.871331,14,178.128917
-601.073048,28,178.982327
-633.14468,65,180.946708
-631.844746,121,184.644511
-599.416216,38,185.812792
-610.560894,38,186.974233
-613.671442,59,188.767044
-616.278368,83,191.28254
-608.455664,30,195.034623
-612.244695,43,197.104336
-617.219481,61,198.94572
-606.673748,19,199.52763
-600.003477,40,200.737092
-603.846388,14,201.176849
-609.376459,62,203.076319
-613.378805,42,204.377627
-604.385026,21,205.019712
-610.457196,57,206.755088
-621.790859,81,209.286662
-640.16603,189,215.090444
-603.844988,32,216.058334
-611.339188,33,217.075587
-601.318579,45,218.433415
-614.469722,57,220.186869
-614.053793,60,222.035379
-583.950781,58,223.838187
-619.487362,57,225.572953
-612.905934,55,228.073472
-607.645025,35,229.919672
-630.085944,56,231.613717
-700.03987,299,240.737169
-602.860853,23,241.44853
-629.882441,86,244.109486
-616.896444,61,245.953249
-603.87733,20,246.573896
-605.253821,51,248.129864
-710.70478,291,257.140316
-621.098007,47,260.205831
-603.308659,17,260.727991
-621.281003,77,263.085299
-614.414166,53,264.692039
-116.534198,300,273.845685
-601.657187,18,274.404839
-658.480381,156,279.329855
-717.965823,234,286.325698
-614.974302,36,287.421479
-602.036153,36,288.546062
-610.160965,37,291.926919
-605.595498,36,293.016678
-628.849489,55,294.714144
-613.34394,34,295.747715
-600.775951,21,296.409918
-600.854861,24,297.141247
-612.40473,24,297.886425
-664.598276,153,302.510468
-602.255441,30,303.440648
-604.919104,70,305.544387
