# {"t_start": 1565275177.530448, "env_id": "highway-discrete-v0"} 
r,l,t
-623.760775,53,3.197583
-608.124712,31,3.88719
-682.087732,136,6.581897
-605.398969,25,7.08474
-637.666176,76,8.718861
-631.524914,69,10.25665
-668.751795,136,13.170155
-614.359896,34,13.92415
-614.231241,24,14.466533
-612.534794,35,15.24699
-609.305497,24,15.784236
-626.17629,45,16.778965
-615.035155,32,17.502069
-606.634245,21,17.978931
-606.405586,34,18.749048
-612.867711,36,19.546876
-660.723815,131,27.714227
-605.159456,24,28.258257
-633.640647,89,30.260462
-628.793025,70,31.845128
-621.965451,44,32.840675
-616.178261,28,33.465687
-603.257377,25,34.028691
-621.698279,47,35.078105
-694.324748,185,39.021907
-617.865156,29,39.594204
-612.220373,36,40.32508
-613.815505,21,40.756301
-616.236807,51,41.796489
-603.541787,19,42.232613
-604.849476,20,42.679226
-661.899581,136,45.630325
-618.575197,37,48.145867
-639.156287,74,49.798034
-627.371122,44,50.776952
-602.967277,20,51.231604
-610.619548,30,51.902126
-658.577503,110,54.348541
-616.315837,29,54.994657
-620.013223,39,55.876752
-601.992461,19,56.307414
-642.158237,100,58.517825
-616.263631,46,59.54798
-650.843601,103,61.825753
-620.217252,64,63.24991
-621.414837,43,64.212528
-607.941426,19,64.65131
-611.781142,43,65.618294
-612.499475,23,66.141461
-628.081628,76,67.863915
-631.039451,59,69.186747
-628.138189,45,71.331918
-614.116209,25,71.900121
-609.351205,29,72.559226
-629.579271,71,74.145874
-607.639843,21,74.630478
-644.70399,104,76.822515
-636.470029,69,78.177513
-623.227157,41,79.002678
-607.143679,29,79.589226
-622.637312,61,80.808695
-634.150507,86,82.525233
-625.918568,61,83.76669
-641.080097,99,85.739258
-617.617116,60,86.948165
-606.367898,34,87.622381
-610.915722,32,88.259517
-610.295733,23,92.000441
-618.895068,54,93.074014
-708.537959,223,97.600019
-608.195916,33,98.266385
-614.579055,37,99.020072
-639.92211,112,101.205609
-613.947991,34,101.879853
-617.117638,39,102.655978
-617.094116,52,103.691255
-626.072178,40,104.486912
-635.167334,101,106.527199
-610.053605,25,107.034721
-644.385266,116,109.346645
-611.055897,19,109.737434
-652.684618,104,111.758732
-619.904129,54,113.21125
-657.495059,128,115.742783
-637.445129,66,117.030623
-707.51128,169,120.44345
-609.19671,29,121.021557
-610.447488,40,121.813486
-635.309866,101,124.024571
-632.413288,83,125.843439
-622.565564,42,126.787576
-614.085067,50,127.896748
-610.004226,27,128.508688
-622.435079,38,129.352214
