# {"t_start": 1565275177.5304685, "env_id": "highway-discrete-v0"} 
r,l,t
-612.028052,20,2.457695
-608.805741,23,2.926386
-616.085928,40,3.754747
-613.474023,35,4.46649
-609.489708,37,5.239653
-609.763433,37,5.986239
-649.684141,80,7.641561
-685.026448,164,10.921545
-602.927496,16,11.257819
-689.790916,183,14.77875
-615.846513,53,15.856163
-621.899652,57,17.007249
-610.216886,18,17.388896
-644.738526,103,19.507437
-651.695412,125,22.120357
-608.648729,27,22.666379
-622.002809,38,24.040629
-635.609622,86,25.833726
-630.265038,46,26.760687
-612.76463,20,27.177158
-617.678582,30,27.790973
-613.527061,34,28.482938
-623.028406,59,29.692519
-666.144121,115,32.034091
-613.692084,48,33.033085
-623.142547,34,33.739725
-602.447005,23,34.210995
-607.276128,23,34.686139
-625.854852,46,35.620469
-610.169668,19,36.026801
-607.869677,25,36.543846
-620.083225,62,37.8418
-629.523768,54,38.988453
-646.80109,71,40.486056
-612.799953,27,41.043565
-608.817279,25,41.554456
-614.914066,35,42.274039
-616.609881,43,43.144707
-604.298486,22,43.597842
-605.682731,27,45.086076
-604.717846,21,45.51702
-624.46172,59,46.730558
-609.233105,17,47.091424
-636.401489,81,48.743769
-606.92521,20,49.159146
-615.563938,42,50.015572
-606.825386,25,50.529299
-626.062425,70,51.956041
-650.196208,108,54.13936
-631.161798,67,55.524533
-610.965191,32,56.187681
-628.763305,58,57.384583
-645.485053,117,59.757684
-605.341955,29,60.352916
-672.223096,122,62.812514
-612.128403,23,63.291209
-611.280361,30,63.926394
-612.27089,34,64.619521
-607.736067,27,65.16548
-610.464686,40,66.450768
-645.565471,83,68.139655
-655.9043,112,70.442013
-622.027262,50,71.450693
-614.581756,26,71.993017
-611.781699,25,72.503832
-669.34122,122,74.962632
-608.319989,18,75.340106
-613.764921,41,76.186335
-610.840672,34,76.884916
-612.430516,35,77.590318
-612.2326,29,78.179876
-681.199698,149,81.18241
-662.181236,103,83.224323
-604.886827,22,83.682543
-603.257075,16,84.014911
-635.485137,75,85.537676
-616.603108,40,87.381476
-607.628348,28,87.952353
-614.422309,51,88.987497
-637.454903,108,91.251344
-620.139387,49,92.248617
-633.948466,91,94.11738
-607.577921,22,94.577872
-608.022327,28,95.153919
-641.598133,108,97.420832
-603.526476,19,97.817904
-638.580032,76,99.405789
-611.79816,37,100.159043
-618.935373,71,101.664976
-619.718248,60,102.88924
-630.620723,46,103.849862
-619.304712,45,104.768459
-626.811757,47,105.74296
-622.225122,76,107.304283
-672.109682,138,110.68187
-637.979203,87,112.491867
-612.679729,48,113.48124
-602.757369,20,113.894228
-614.282194,43,114.764397
-624.950909,70,116.196745
-609.38875,26,116.729474
-606.475157,23,117.215123
-679.549441,147,120.295602
-602.293305,17,120.657559
-605.544938,19,121.062059
-622.887463,56,122.208825
-632.401787,49,123.208841
-625.58235,51,124.241714
-638.595662,63,125.552092
-624.173956,55,126.691432
-618.466839,36,127.427464
-605.848381,22,127.89388
-604.952872,17,129.457919
-612.640538,51,130.5228
-620.422424,72,132.016629
-658.86112,116,134.387512
-678.484017,156,137.656842
-631.541121,55,138.759694
-628.748013,51,139.802408
-673.868151,161,143.094911
-614.177165,43,143.974563
-629.358598,69,145.38708
-670.835984,125,147.813671
-630.000577,74,149.3586
-612.89103,36,150.928513
-616.371874,42,151.783889
-655.599757,96,153.735861
-612.749677,39,154.548057
-619.59577,32,155.206989
-610.365307,23,155.677908
-651.637536,90,157.517194
-609.426218,33,158.196129
-628.346626,86,159.961098
-619.186988,54,161.05753
-654.627951,98,163.051695
-618.33674,55,164.172833
-673.739798,115,166.554405
-664.291204,138,169.342816
-609.986436,29,171.775859
-707.66737,209,175.793327
-688.29971,182,179.463797
-628.637769,64,180.771669
-649.739538,94,182.720705
-620.213948,47,183.707402
-644.342268,79,185.351751
-682.934485,163,188.68256
-615.715053,40,189.490758
-607.329429,25,189.999277
-628.173295,59,191.219419
-614.244917,52,193.084803
-614.857109,56,194.201372
-634.141051,56,195.35642
-615.722139,32,196.016391
-715.647896,273,201.651584
-614.378988,38,202.434736
-629.170098,56,203.576401
-667.073647,147,206.580868
-645.970553,103,208.743522
-658.315418,105,210.892489
-627.913197,66,212.225031
-618.640965,58,214.347656
-637.693168,87,216.130234
-661.576319,140,219.018175
-638.030565,77,220.615664
-626.858783,76,222.160567
-614.103021,54,223.239469
-612.383854,40,224.053078
-615.184262,47,225.020863
-608.947199,30,225.638034
-632.123164,53,226.736293
-653.457474,165,230.147373
-606.015316,20,230.567953
-616.56133,53,231.674942
-622.20332,62,232.914961
-623.113363,62,234.204892
-608.505094,30,234.948699
-645.41721,82,236.562112
-627.357601,51,237.584442
-612.666084,43,238.475267
-632.790515,67,239.862508
-624.090233,48,240.835792
-635.443298,67,242.204465
-619.082195,44,243.121396
-613.398155,21,243.558228
-602.83153,17,243.908831
-605.006199,21,244.340979
-709.629341,194,248.450321
-614.029946,47,249.410592
-611.802878,41,250.25913
-613.131832,22,250.716399
-627.419875,78,252.316081
-635.520967,91,254.160571
-615.35454,38,254.928377
-604.434811,18,255.315539
-654.291011,101,257.584219
-615.885626,29,258.180853
-609.527588,37,258.951087
-643.379543,104,261.067724
-142.663121,300,267.463334
-649.956073,106,269.66037
-615.301766,29,270.257456
-625.4407,42,271.133533
-606.30819,27,271.683662
-655.273168,126,274.281787
-632.205062,73,275.82562
-605.909567,17,276.187464
-608.127902,25,277.490546
-630.8315,52,278.573529
-625.004321,56,279.72282
-639.725241,99,281.790335
-632.040846,66,283.133136
-612.453957,39,283.954599
-602.560516,17,284.30882
-614.295754,41,285.155595
-635.005436,90,286.956476
-624.732436,55,288.064049
-617.207776,31,288.712467
-150.606481,300,294.914967
-617.555298,51,299.267263
-637.915317,99,301.321908
-604.757827,21,301.758198
-619.377741,68,303.151185
-661.43972,206,307.407977
-613.484452,38,308.279728
-635.619656,66,309.615388
-605.79522,36,310.343542
-608.28413,30,310.953688
-610.497272,34,311.654119
-623.018204,70,313.07725
-675.530256,154,316.260796
-642.767194,125,318.628213
-635.256864,58,320.463577
-653.924979,120,322.867086
-678.29748,178,326.477818
-612.587745,26,327.009589
-616.882524,28,327.58689
-623.87492,72,329.074428
-612.660052,42,329.929801
-639.233462,73,331.393661
-677.622223,125,333.885051
-659.23754,137,336.729201
-125.02655,300,346.583436
-612.377192,44,347.490518
-706.995604,251,352.445887
-608.209436,36,353.199742
-612.377059,21,353.629317
-641.520197,83,355.273962
-704.512819,191,359.2951
-627.479986,58,360.474005
-608.545027,17,361.758392
-705.608599,253,366.790791
-618.09704,32,367.437787
-637.664517,99,369.453385
-126.862156,300,375.697818
-135.907214,300,381.981516
-604.902291,23,382.452228
-623.896816,56,383.709072
-651.437322,118,386.112881
-662.355679,138,388.927499
-640.58132,90,390.746936
-712.803946,270,396.37897
-628.382232,54,397.482466
-653.365556,134,400.236712
-650.461319,114,402.604214
-605.071256,20,404.173125
-629.845495,74,405.698604
-615.691387,47,406.649387
-604.513697,17,407.003692
-135.914479,300,413.310622
-676.60195,155,416.369272
-609.422791,25,416.885187
-604.024567,18,417.255077
-626.754986,67,418.617176
-630.02347,85,420.338057
-666.016094,165,423.524324
-143.618238,300,430.809807
-608.903427,42,431.671465
-622.545226,73,433.128392
-604.957098,20,433.545041
-666.055142,118,435.987971
-143.655574,300,441.402108
-613.399003,47,446.043577
-688.985052,211,450.408936
-670.750419,132,453.104712
-152.773071,300,459.21298
-607.924055,35,459.941551
-707.060109,258,465.25205
-608.174563,35,465.982011
-718.145095,272,472.041207
-648.360387,81,473.656054
-135.631521,300,479.751603
-122.541063,300,485.620576
-612.406706,30,487.792529
-619.190177,48,488.789605
-683.921019,200,492.920147
-651.367746,119,495.334427
-702.858186,255,500.288959
-710.947758,219,505.004363
-648.734584,88,510.059593
-646.167201,99,512.086498
-609.858067,29,512.691975
-611.108334,38,513.480821
-665.760607,127,516.121125
-144.276573,300,522.259221
-635.727789,107,524.431978
-610.863553,28,525.006693
-698.900391,239,534.184433
-705.169447,253,539.539886
-153.977651,300,545.551345
-640.525843,84,547.264351
-621.866132,48,551.421838
-606.708461,26,551.960046
-611.492391,47,552.911045
-613.42353,35,553.611468
-132.370097,300,560.006123
-612.387578,34,560.694942
-617.352222,50,561.732707
-651.006078,133,564.450701
-665.650105,174,568.043373
-615.635751,37,568.794263
-626.936091,87,570.622516
-614.200428,42,572.647948
-663.173868,194,576.677205
-648.66064,82,578.400083
-617.42242,57,579.58377
-146.766774,300,585.794894
-621.201334,55,586.921584
-611.758221,31,587.568025
-603.752811,16,587.909608
-636.469725,72,589.402603
-608.278592,42,590.261509
-603.697156,25,590.771536
-611.205316,51,591.794859
-645.831276,100,595.120242
-146.59619,300,601.156884
-665.65185,147,604.133922
-155.406398,300,610.34022
-609.914193,31,610.985417
-630.834061,61,612.215215
-603.932881,21,614.558656
-611.094315,35,615.277794
-622.001739,38,616.044478
-631.929521,70,617.478653
-626.012072,80,619.160831
-606.892735,26,619.695618
-121.249274,300,625.736856
-133.624201,300,631.835023
-602.011182,20,632.260845
-652.049264,103,637.307502
-142.301495,300,643.346963
-604.896162,18,643.726301
-624.343122,80,645.378033
-132.908233,300,651.244903
-631.356524,86,653.040764
-673.802106,183,659.592979
-153.610986,300,665.735147
-655.62753,114,668.094535
-134.825439,300,674.137995
-623.736301,61,678.094674
-608.488237,33,678.771138
-635.900016,78,680.35731
-629.493915,43,681.218149
-139.974671,300,686.925351
-618.617323,29,687.515588
-636.364771,80,689.139053
-130.525692,300,694.995514
-631.876997,75,696.502656
-637.942411,87,698.966893
-621.452064,74,700.432153
-647.364712,95,702.362673
-139.421371,300,708.370214
-124.819823,300,714.814435
-603.409504,28,715.395874
-613.397661,25,715.909692
-613.870572,52,716.972125
-623.45548,51,718.016125
-635.868757,75,719.938103
-618.32253,36,720.680789
-663.631127,121,723.190764
-627.200962,78,724.83559
-629.27564,70,726.238064
-161.694321,300,731.950753
-143.470869,300,738.093757
-605.795872,30,738.708578
-152.35332,300,745.246505
-165.50553,300,751.544195
-618.910288,54,752.647416
-624.250443,45,753.558805
-133.216747,300,759.67892
-643.616226,105,762.469573
-125.923215,300,768.810722
-607.098346,29,769.415674
-133.271818,300,775.155346
-605.202959,22,781.950247
-712.394188,247,786.890115
-631.09597,78,788.463274
-628.604023,75,790.020303
-615.798957,51,791.050391
