EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
0.0,60.23529411764706,-15.727639487419648,17,-591.2607832970543,17,0.0,21.176268815994263,1024,0.0,1.6086442,-0.0002843141555786133,0.000741822,0.0138030825,0.0138030825
0.0,50.7,-16.27591769831283,24,-592.8557146340195,41,0.0,42.51411056518555,2048,0.0,1.6075592,9.799003601074219e-05,0.00064729084,0.011388666,0.011388666
0.0,45.7,-16.861126373117134,21,-589.6320546888567,62,0.0,63.60094976425171,3072,0.0,1.605868,-0.0006700754165649414,0.00076696475,0.011312493,0.011312493
0.0,52.175,-15.860310563790113,18,-578.208364639689,80,0.0,84.55293130874634,4096,0.0,1.6044695,-0.00018584728240966797,0.0007485589,0.012493681,0.012493681
0.0,53.1,-14.529813310936234,19,-577.5291404861524,99,0.0,105.86808896064758,5120,0.0,1.6049141,0.00023680925369262695,0.0006901176,0.010399254,0.010399254
0.0,54.175,-14.16724087780184,19,-577.2239591198082,118,0.0,127.09236979484558,6144,0.0,1.6033227,0.0002492666244506836,0.0007461272,0.013533914,0.013533914
0.0,61.3,-12.992625830648933,13,-581.9347656832404,131,0.0,148.16502356529236,7168,0.0,1.6008986,-0.00018525123596191406,0.00073153124,0.011832742,0.011832742
0.0,66.0,-12.672823458832301,15,-586.2364458496137,146,0.0,169.17084169387817,8192,0.0,1.5986514,0.00425344705581665,0.0008046857,0.014873147,0.014873147
0.0,76.8,-10.672312042685103,12,-591.5768996125014,158,0.0,189.99418950080872,9216,0.0,1.5988194,0.00010859966278076172,0.0007168613,0.010307312,0.010307312
0.0,77.65,-10.14901294364702,12,-576.7839452006796,170,0.0,211.15744471549988,10240,0.0,1.5971916,-0.00044167041778564453,0.0008070105,0.010693757,0.010693757
0.0,78.975,-10.238142796931326,15,-589.8942144453231,185,0.0,232.3148295879364,11264,0.0,1.5979834,-0.0004335641860961914,0.0007528697,0.012530272,0.012530272
0.0,62.725,-13.083060656821328,20,-596.7583549358108,205,0.0,253.51495933532715,12288,0.0,1.5910363,-0.000720977783203125,0.0007995044,0.012976572,0.012976572
0.0,62.325,-14.561710571594677,13,-582.2254478272058,218,0.0,274.9625518321991,13312,0.0,1.592048,-0.00019860267639160156,0.00079251383,0.012036998,0.012036998
0.0,68.775,-14.404431889112027,13,-555.9333912416557,231,0.0,296.22756791114807,14336,0.0,1.587208,0.003824591636657715,0.00079592166,0.008936339,0.008936339
0.0,76.8,-12.342444934451454,14,-557.32480100467,245,0.0,317.2597916126251,15360,0.0,1.592418,-5.3882598876953125e-05,0.0006904636,0.011108748,0.011108748
0.0,78.05,-11.820843123331558,11,-558.359957227917,256,0.0,338.25160241127014,16384,0.0,1.5852628,-0.000512242317199707,0.00073172944,0.0123163,0.0123163
0.0,93.55,-10.201129886420286,9,-550.67898213236,265,0.0,359.3912649154663,17408,0.0,1.5851641,-0.0001652240753173828,0.00076701737,0.011594057,0.011594057
0.0,101.125,-10.82986548089024,7,-553.4092368047856,272,0.0,380.56436800956726,18432,0.0,1.5787294,0.00026923418045043945,0.0007538332,0.013286485,0.013286485
0.0,111.775,-8.966572822709413,9,-544.5951225783105,281,0.0,401.7476933002472,19456,0.0,1.587843,8.624792098999023e-05,0.0007752215,0.010110393,0.010110393
0.0,113.075,-10.340543553314372,12,-529.8222520920964,293,0.0,422.6472291946411,20480,0.0,1.5807648,-0.0004553794860839844,0.0007631811,0.0117728915,0.0117728915
0.0,112.225,-10.731570342050087,7,-515.0922736534296,300,0.0,443.0615358352661,21504,0.0,1.5778668,-0.0003986358642578125,0.0007500432,0.01384871,0.01384871
0.0,120.45,-9.477619691645272,8,-502.86126428461574,308,0.0,464.2213022708893,22528,0.0,1.5784923,-0.0004451274871826172,0.0007855189,0.011931879,0.011931879
0.0,126.6,-8.657462535776734,5,-491.03996012116113,313,0.0,485.1587908267975,23552,0.0,1.5815539,-0.00047957897186279297,0.0007896161,0.011737488,0.011737488
0.0,129.25,-8.818490365989868,7,-477.5926409540596,320,0.0,506.23149490356445,24576,0.0,1.5733359,0.000697791576385498,0.000820862,0.012267176,0.012267176
0.0,137.2,-7.17606156905187,9,-481.49977537324423,329,0.0,527.3755569458008,25600,0.0,1.5814028,-0.0008817911148071289,0.0007756457,0.010158803,0.010158803
