#{"t_start": 1565376180.1980972, "env_id": "highway-continuous-v0"}
r,l,t
-609.231499,36,2.852884
-682.198102,63,4.194188
-718.438003,29,5.447518
-741.069853,31,6.187645
-709.493903,46,7.329339
-797.607246,53,8.623946
-744.005077,35,9.45177
-662.359557,40,10.413732
-607.730304,31,11.151643
-671.02872,48,12.35063
-629.956237,122,15.588771
-725.864032,53,16.949947
-647.191163,38,17.884096
-703.966918,28,18.547836
-683.188675,70,20.19358
-660.98065,55,21.543185
-677.335932,108,24.161324
-677.294875,49,25.312566
-840.306421,203,29.984666
-645.277555,59,31.361999
-649.328146,24,31.925845
-634.961834,27,32.556985
-665.810717,39,33.468908
-639.552905,17,33.872783
-667.073306,38,34.756152
-677.055668,26,35.371816
-666.039749,25,35.969531
-720.251891,61,37.408679
-662.526431,41,38.354394
-665.714994,44,39.370904
-669.150801,28,40.022225
-644.016405,25,40.610602
-698.427541,37,41.483136
-645.531348,35,42.294466
-658.023375,23,42.834574
-637.869161,37,43.697665
-654.012216,27,44.331654
-658.828605,44,45.357709
-682.219092,54,46.617069
-758.655703,44,47.636684
-694.220224,38,48.525791
-656.184879,49,49.684022
-657.973836,20,50.158129
-632.583198,29,50.850817
-647.136143,18,51.276661
-654.034926,34,52.064888
-742.728774,36,52.904779
-648.877153,33,53.673169
-620.789716,55,54.93837
-706.283695,35,55.751933
-932.069914,143,59.119341
-641.769305,34,59.914255
-689.213372,51,61.108952
-718.10491,52,62.319286
-646.932506,41,63.272079
-610.503049,30,63.970331
-656.461169,45,65.015891
-682.575145,24,65.580333
-668.001496,39,66.489422
-650.289481,35,67.31748
-609.678817,35,68.139235
-645.992541,18,68.563919
-660.912505,30,69.275209
-683.138827,56,70.591025
-645.52781,35,71.404881
-724.413141,91,73.565732
-619.513778,53,74.837418
-669.143628,60,76.239224
-652.347557,46,77.3066
-652.995393,54,78.560987
-724.618554,46,79.659606
-649.417281,19,80.10543
-630.96086,62,81.526808
-864.160243,99,83.887306
-657.8277,31,84.611565
-651.22027,26,85.225389
-653.814636,51,86.42064
-639.039162,16,86.808334
-620.347852,70,88.447997
-649.060676,24,89.012537
-678.191758,53,90.236129
-631.714065,21,90.72775
-633.878061,27,91.356213
-647.423741,46,92.435407
-651.968721,74,94.207669
-740.497527,37,95.066178
-637.531312,34,95.859309
-645.979556,32,96.600225
-647.564709,53,97.8424
-640.292081,31,98.583655
-641.838024,26,99.200237
-635.313737,23,99.742272
-701.5282,29,100.449211
-642.780291,26,101.062266
-663.870244,79,102.920849
-648.150365,37,103.789865
-649.20991,28,104.486053
-653.397694,62,105.920303
-634.664142,33,106.690903
-637.642038,32,107.477194
-655.677391,18,107.903018
-704.556261,35,108.717113
-658.113155,20,109.193894
-707.191654,60,110.61179
-695.879146,29,111.289904
-646.543467,17,111.700095
-608.120393,30,112.397882
-647.930898,17,112.798805
-845.025908,69,114.422554
-648.213179,61,115.840329
-637.814176,37,116.704655
-652.113486,28,117.362331
-694.150703,33,118.146492
-648.542131,60,119.555734
-634.91106,38,120.443784
-674.072142,22,120.962965
-639.434687,29,121.638181
-618.308984,46,122.734701
-805.801385,84,124.725692
-656.200846,54,126.066211
-658.343436,56,127.402439
-659.530121,20,127.871332
-642.978163,27,128.501736
-809.324063,60,129.886809
-650.651706,20,130.353278
-648.641653,34,131.148501
-657.460788,21,131.648092
-645.706236,17,132.055994
-639.728156,53,133.331264
-645.950089,18,133.769952
-638.07072,27,134.40231
-644.910208,29,135.078584
-723.109931,70,136.77324
-638.321318,29,137.451121
-643.847451,26,138.059621
-650.52949,29,138.737442
-758.577352,42,139.74626
-658.862222,23,140.290588
-657.148811,71,141.984183
-669.852465,38,142.879498
-748.119897,139,146.145308
-638.557474,16,146.525632
-734.485455,75,148.303391
-650.383691,41,149.266633
-668.745782,52,150.51367
-675.485971,24,151.076397
-640.168443,37,151.943191
-669.442465,47,153.060015
-712.462825,50,154.240127
-829.528952,90,156.34094
-667.553219,28,157.002108
-632.833335,22,157.521292
-655.672529,43,158.519362
-631.734962,43,159.524152
-623.331003,62,161.001646
-677.554237,54,162.293197
-640.772243,34,163.098791
-656.572165,27,163.732656
-639.726158,15,164.092544
-656.571029,44,165.13324
-659.433046,20,165.620115
-703.993861,27,166.257099
-692.956096,35,167.102427
-679.469941,43,168.219477
-646.784659,35,169.198222
-653.437936,67,170.77188
-648.921865,16,171.161678
-639.817704,35,172.050285
-628.058202,34,172.881624
-623.451206,20,173.373621
-651.172013,33,174.224169
-623.472745,25,174.818001
-623.169276,25,175.408263
-635.543877,29,176.092735
-629.691711,21,176.593748
-636.642862,15,177.032165
-629.901415,36,178.11157
-634.628897,30,178.822856
-641.322204,15,179.177434
-640.305346,17,179.586693
-638.814368,32,180.339741
-644.631141,31,181.291427
-635.270845,30,182.092435
-635.318309,31,182.828178
-638.753602,16,183.207736
-626.978939,27,183.843818
-646.723867,23,184.461968
-638.281622,37,185.534682
-653.540609,27,186.187299
-641.853441,43,187.199054
-640.32752,90,189.645698
-652.610967,66,191.200471
-640.933261,109,194.087508
-638.138269,32,194.897238
-685.395945,51,196.133084
-132.043279,300,203.902203
-161.326766,300,211.603134
-638.994803,99,214.243471
-821.413203,297,222.063465
-702.478728,235,228.040587
-675.649022,183,232.993123
-269.279007,300,240.719309
-149.525352,300,248.602415
-129.692716,300,256.815497
-131.487471,300,264.782849
-166.611079,300,272.621469
-110.008056,300,280.42115
-145.685684,300,288.230818
-138.800047,300,296.030139
-109.942943,300,303.738713
-143.008846,300,311.420353
-132.71082,300,318.998712
-725.899706,247,324.980372
-703.083797,183,329.764374
-646.008234,90,332.108216
-175.248841,300,339.665129
-204.692819,300,347.243531
-109.073608,300,355.063952
-170.462601,300,362.856526
-112.765943,300,370.238015
-625.721426,65,371.994929
-183.313155,300,379.586576
-134.636094,300,386.949277
-162.622031,300,394.491866
-629.994955,62,396.18884
-158.622541,300,403.762542
-137.643721,300,411.164261
-160.513864,300,418.748071
-156.557266,300,426.315965
-612.563075,37,427.207419
-109.609411,300,434.915951
-135.427147,300,442.915381
-167.147349,300,450.3443
-191.944466,300,457.919168
-151.58945,300,465.526731
-125.483992,300,472.967668
-140.0398,300,480.269811
-156.031395,300,487.569683
-124.55264,300,494.735393
-159.669585,300,502.193934
-166.345166,300,509.445136
-737.150437,266,516.175542
-147.629044,300,523.96875
-143.435131,300,531.521222
-228.887565,300,539.114979
-411.57725,300,546.71885
-118.135122,300,554.038132
-116.826482,300,561.484313
-613.383079,44,562.517131
-117.140344,300,570.049138
-105.929107,300,577.751451
-645.837819,134,581.107992
-174.160128,300,588.72822
-612.643049,37,589.598449
-137.101503,300,597.150995
-144.187786,300,604.802982
-648.564207,300,612.264938
-400.591914,300,619.906681
-574.448238,300,627.468424
-236.710697,300,634.973418
-310.969176,300,642.455866
-129.594019,300,649.698494
-613.730693,38,650.616761
-149.824252,300,657.904369
-158.314361,300,665.524869
-171.725576,300,673.147018
-678.981204,191,678.163054
-640.132712,104,680.877194
-145.471953,300,688.524626
-149.050778,300,696.174885
-124.664774,300,703.877178
-144.458121,300,711.428591
-141.946953,300,718.980216
-140.275534,300,726.57637
-163.457322,300,733.601341
-175.507789,300,740.709286
-149.535118,300,748.448497
-140.414948,300,755.602021
-164.744349,300,762.842934
-612.465048,31,763.568068
-154.95062,300,770.512159
-145.078721,300,777.725847
-621.88821,84,779.639191
-618.796004,62,781.059405
-155.457166,300,788.066965
-129.805419,300,795.067816
-644.649608,80,796.920511
-144.529029,300,804.04041
-139.761177,300,811.258751
-132.683964,300,818.355201
-117.876116,300,825.653337
-158.42718,300,832.895333
-128.455294,300,840.517894
-139.103537,300,847.660013
-150.612508,300,855.051287
-632.756146,87,857.23836
-173.913971,300,864.866623
-144.391594,300,872.41765
-150.194663,300,880.084145
-159.867978,300,887.864066
-126.556801,300,895.514824
-148.699766,300,902.941979
-168.612331,300,910.287539
-193.887446,300,918.041906
-614.901921,75,919.854144
-155.973305,300,927.539135
-154.569037,300,935.279754
-763.919023,300,942.726203
-154.183054,300,950.167398
-111.381357,300,957.896805
-112.276086,300,965.532263
-143.675513,300,972.772323
-142.382532,300,980.073499
-139.57696,300,987.549957
-394.49634,300,995.051567
-686.389358,174,999.569095
-149.08323,300,1007.111787
-139.383502,300,1014.589635
-150.971405,300,1022.321521
-160.979831,300,1029.697009
-174.507024,300,1037.437829
-163.511237,300,1044.953153
-89.89803,300,1052.479959
-305.223323,300,1059.953273
-139.411154,300,1067.541892
-623.561115,63,1069.008896
-124.492697,300,1076.571189
-144.348383,300,1084.158882
-1058.983675,300,1091.789794
-167.336421,300,1099.289
-122.480329,300,1106.897482
-139.416812,300,1114.02077
-618.535259,54,1115.338506
-138.22725,300,1122.729705
-151.954971,300,1130.33895
-608.888127,29,1131.008603
-1070.594578,300,1138.453692
-326.120699,300,1145.644192
-343.819968,300,1152.448849
-699.095121,217,1157.533378
-246.15659,300,1164.494254
-635.129817,102,1166.889162
-1595.378914,300,1173.919182
-611.445782,27,1174.586413
-690.289568,86,1176.611727
-272.833658,300,1183.206247
-158.112229,300,1190.474991
-290.97605,300,1197.777119
-141.679962,300,1205.378603
-609.927152,33,1206.167437
-245.029478,300,1214.123152
-833.509849,77,1216.017613
-141.298726,300,1223.532409
-293.343333,300,1231.194267
-154.999847,300,1238.725299
-598.913502,300,1246.465788
-123.489011,300,1254.185109
-803.518525,208,1259.458089
-631.852445,79,1261.563895
-159.546419,300,1269.049209
-132.721564,300,1276.334988
-129.6355,300,1284.262246
-150.988168,300,1291.927543
-611.076966,27,1292.549622
-164.941423,300,1299.90734
