total timesteps,episodes,current_lr,n_updates,eplenmean,fps,time_elapsed,mean 100 episode reward,ep_rewmean,value_loss,qf2_loss,ent_coef_loss,entropy,ent_coef,qf1_loss,policy_loss
36,2,0.0003,0,36.0,44,0,-609.2,-609.231499,,,,,,,
99,3,0.0003,0,49.5,45,2,-645.7,-645.7148004999999,,,,,,,
128,4,0.0003,28,42.666666666666664,37,3,-670.0,-669.9558679999999,0.13240899,10.817139,-0.026680484,2.5162864,0.99191135,8.334425,1.9618111
159,5,0.0003,59,39.75,38,4,-687.7,-687.73436425,0.13860092,8182.082,-0.057367407,2.5221012,0.9826927,8213.133,7.4515696
205,6,0.0003,105,41.0,38,5,-692.1,-692.086272,0.16757104,8084.1055,-0.10498844,2.580392,0.96916044,8110.1875,11.553208
258,7,0.0003,158,43.0,39,6,-709.7,-709.673101,0.19208384,35.767776,-0.161496,2.5676825,0.95381665,31.8145,13.280922
293,8,0.0003,193,41.857142857142854,39,7,-714.6,-714.577669,0.25020325,2684.7334,-0.19173637,2.7544265,0.94382244,2692.4429,14.493578
333,9,0.0003,233,41.625,39,8,-708.1,-708.050405,0.19360751,2671.6536,-0.23192555,2.5557234,0.93251675,2678.5625,15.634479
364,10,0.0003,264,40.44444444444444,39,9,-696.9,-696.903727111111,0.18863402,5302.712,-0.26295364,2.5030155,0.92383766,5319.5684,16.37296
412,11,0.0003,312,41.2,39,10,-694.3,-694.3162264,0.16937503,7885.856,-0.3156464,2.5242481,0.9105492,7916.633,18.09302
534,12,0.0003,434,48.54545454545455,39,13,-688.5,-688.4653182727272,0.19008382,2612.8518,-0.4361056,2.5944543,0.8776613,2622.2373,20.69209
587,13,0.0003,487,48.916666666666664,39,14,-691.6,-691.58187775,0.20551297,2601.081,-0.49681237,2.6171575,0.8637566,2611.9219,21.77314
625,14,0.0003,525,48.07692307692308,39,15,-688.2,-688.1672073846154,0.18140602,7748.3086,-0.5248169,2.509316,0.8539442,7783.795,22.920536
653,15,0.0003,553,46.642857142857146,39,16,-689.3,-689.2957581428572,0.24236484,2585.3804,-0.55487216,2.7759194,0.84676874,2596.6433,23.65773
723,16,0.0003,623,48.2,39,18,-688.9,-688.8886192666666,0.2189776,2567.076,-0.6335118,2.4861302,0.82910633,2580.949,25.247604
778,17,0.0003,678,48.625,39,19,-687.1,-687.1443711875,0.2454085,11.00213,-0.6860005,2.5987377,0.8155367,10.866282,26.45274
886,18,0.0003,786,52.11764705882353,40,22,-686.6,-686.5674041764706,0.2619107,9.659214,-0.803493,2.6608174,0.7894804,12.298488,29.076683
935,19,0.0003,835,51.94444444444444,40,23,-686.1,-686.0522636666667,0.4404422,2522.3008,-0.8432399,2.4851556,0.7779318,2539.9485,29.90219
1138,20,0.0003,1038,59.89473684210526,40,27,-694.2,-694.1709035263158,0.64945984,4952.0107,-1.0420766,2.6659513,0.73193985,4994.6694,34.002815
1197,21,0.0003,1097,59.85,40,29,-691.7,-691.7262361,2.1882577,7393.55,-0.2967118,2.3313153,0.72219354,7461.707,33.853745
1221,22,0.0003,1121,58.142857142857146,40,29,-689.7,-689.7072794285714,1.3070958,10.407872,-0.7626976,2.4699228,0.71943605,8.330793,34.21817
1248,23,0.0003,1148,56.72727272727273,40,30,-687.2,-687.2188500909091,1.9152142,2459.4634,-0.6501358,2.4796348,0.71566325,2481.1482,34.955536
1287,24,0.0003,1187,55.95652173913044,40,31,-686.3,-686.2880616956521,1.991786,9780.902,-0.5885901,2.2715633,0.7101673,9869.34,34.95677
1304,25,0.0003,1204,54.333333333333336,40,31,-684.3,-684.3407635,1.4904335,7.2440996,-0.5404932,2.320105,0.7082884,9.214258,35.10851
1342,26,0.0003,1242,53.68,41,32,-683.7,-683.6500652,1.3115904,11.191811,-0.89409655,2.456585,0.7030623,7.8235745,36.83525
1368,27,0.0003,1268,52.61538461538461,41,33,-683.4,-683.3964345384616,1.4823916,9.648705,-0.6958333,2.3519657,0.69893324,7.525338,36.8456
1393,28,0.0003,1293,51.592592592592595,41,33,-682.8,-682.7535943333334,1.8722098,10.856377,-0.9058503,2.4914205,0.695099,9.303746,37.993492
1454,29,0.0003,1354,51.92857142857143,41,35,-684.1,-684.0928192142857,0.9450476,2424.2422,-1.0220706,2.4874334,0.6861838,2441.6968,39.90584
1495,30,0.0003,1395,51.55172413793103,41,36,-683.3,-683.3491506551724,0.93672884,9619.822,-0.9628135,2.37895,0.6796414,9696.376,40.32391
1539,31,0.0003,1439,51.3,41,37,-682.8,-682.7613454333333,1.4877527,9573.121,-0.7280557,2.3070173,0.6724559,9643.333,39.95764
1567,32,0.0003,1467,50.54838709677419,41,37,-682.3,-682.3222956129032,1.5709879,4782.244,-0.8014083,2.2594995,0.66879386,4823.349,41.174812
1592,33,0.0003,1492,49.75,41,38,-681.1,-681.12523653125,1.0091729,2390.3638,-0.71220076,2.4465308,0.6653894,2406.6865,40.541473
1629,34,0.0003,1529,49.36363636363637,41,39,-681.6,-681.6495487878789,1.5085979,2382.062,-0.585504,2.3473163,0.6599443,2396.6633,40.947437
1664,35,0.0003,1564,48.94117647058823,41,40,-680.6,-680.5872487647059,1.4186872,2376.332,-0.7927339,2.1997538,0.6550175,2390.0872,43.13641
1687,36,0.0003,1587,48.2,41,40,-679.9,-679.942566657143,1.2411306,12.473167,-0.7149875,2.1264956,0.65220565,11.094088,40.690666
1724,37,0.0003,1624,47.888888888888886,41,41,-678.8,-678.7738609444446,1.2369844,2369.0806,-1.0533403,2.4717643,0.6473022,2383.703,45.477722
1751,38,0.0003,1651,47.32432432432432,41,42,-678.1,-678.1046272972974,1.0905464,2350.8381,-0.77817166,2.2472546,0.64337516,2366.9414,43.156967
1795,39,0.0003,1695,47.23684210526316,41,43,-677.6,-677.5973635526316,1.8620731,4681.8604,-1.1197697,2.2732189,0.63683623,4706.7524,46.564346
1849,40,0.0003,1749,47.41025641025641,41,44,-677.7,-677.7158694102563,2.4006147,2337.3772,-1.1349146,2.2843246,0.62795997,2346.6006,48.381172
1893,41,0.0003,1793,47.325,41,45,-679.7,-679.7393652500001,0.8705821,11.4531765,-1.0952814,2.2831743,0.62099755,10.588525,46.138027
1931,42,0.0003,1831,47.09756097560975,41,46,-680.1,-680.0925569268294,1.9299619,14.785942,-1.1632235,2.3600821,0.614829,10.866604,47.198097
1980,43,0.0003,1880,47.142857142857146,41,47,-679.5,-679.5233265,1.151828,2314.4846,-1.0044218,2.1084332,0.60746926,2325.3557,48.68655
2000,44,0.0003,1900,46.51162790697674,41,48,-679.0,-679.0221755581397,1.6880131,11472.162,-1.1128172,2.332263,0.60452926,11534.332,50.08173
2029,45,0.0003,1929,46.11363636363637,41,48,-678.0,-677.9667442500001,1.0527277,11.737311,-0.9495721,2.1251323,0.60047734,11.844955,46.79663
2047,46,0.0003,1947,45.48888888888889,41,49,-677.3,-677.2816197777779,1.4783485,2294.395,-0.9702173,2.1927512,0.5980928,2304.3103,48.65667
2081,47,0.0003,1981,45.23913043478261,41,50,-676.8,-676.7762568695654,1.2654895,4651.266,-1.0588902,2.1421113,0.5935445,4667.8687,51.381058
2117,48,0.0003,2017,45.04255319148936,41,50,-678.2,-678.1795019148938,0.93157715,4542.666,-1.0467112,2.3315883,0.58818567,4564.8335,51.8504
2150,49,0.0003,2050,44.791666666666664,41,51,-677.6,-677.5690363125,0.9512434,4526.011,-1.0924639,2.262896,0.58344376,4548.3945,49.38707
2205,50,0.0003,2105,45.0,41,52,-676.4,-676.4102746734693,0.83556104,4516.5674,-1.250326,2.2996194,0.57476354,4537.492,54.257267
2240,51,0.0003,2140,44.8,41,53,-677.0,-677.00774308,0.8378565,4497.9805,-1.3596425,2.3360434,0.5688735,4519.446,52.879288
2383,52,0.0003,2283,46.72549019607843,41,57,-682.0,-682.008962117647,1.3160396,6663.698,-1.4178876,2.2991533,0.54426324,6690.1807,56.792778
2417,53,0.0003,2317,46.48076923076923,41,57,-681.2,-681.2351225576923,0.50620925,2219.3347,-1.6128523,2.327292,0.53885067,2228.937,55.176365
2468,54,0.0003,2368,46.56603773584906,41,59,-681.4,-681.3856555660377,1.1329632,2209.916,-1.6143783,2.3939486,0.53040826,2216.5938,59.76037
2520,55,0.0003,2420,46.666666666666664,41,60,-682.1,-682.0656417592592,0.98777694,4417.037,-1.7477124,2.340787,0.5220342,4440.4395,55.624527
2561,56,0.0003,2461,46.56363636363636,41,61,-681.4,-681.4268574727272,5.038825,4373.5938,-1.6586337,2.4549053,0.5150883,4389.9326,56.786697
2591,57,0.0003,2491,46.267857142857146,41,61,-680.2,-680.160360892857,1.4946891,4367.198,-1.8360484,2.3594568,0.51019144,4385.6333,61.926548
2636,58,0.0003,2536,46.24561403508772,41,62,-679.7,-679.7445855964911,1.0902748,4350.312,-1.82695,2.316941,0.503124,4372.8755,59.822823
2660,59,0.0003,2560,45.86206896551724,41,63,-679.8,-679.7933883448276,0.6502949,13.772957,-1.8461866,2.421906,0.49943125,13.258816,59.12043
2699,60,0.0003,2599,45.74576271186441,41,64,-679.6,-679.5935257627118,0.7731995,4317.4795,-2.0265865,2.4032829,0.493533,4333.876,63.905342
2734,61,0.0003,2634,45.56666666666667,41,65,-679.1,-679.1051250166666,1.0249872,2160.5183,-2.019474,2.458013,0.48802403,2167.0093,62.79075
2769,62,0.0003,2669,45.39344262295082,41,66,-678.0,-677.9669888196721,0.6954087,2158.8672,-1.7455552,2.2419431,0.48252773,2168.3813,61.632217
2787,63,0.0003,2687,44.95161290322581,41,66,-677.5,-677.4512719193548,0.95792294,6455.741,-1.952044,2.3495922,0.47982815,6462.9443,64.39694
2817,64,0.0003,2717,44.714285714285715,41,67,-677.2,-677.1887518095238,2.535214,6412.5537,-2.0054064,2.3359601,0.47523203,6434.7686,64.85997
2873,65,0.0003,2773,44.890625,41,68,-677.3,-677.281721734375,0.7034736,30.575016,-2.0438612,2.3770459,0.4666,28.348343,66.67267
2908,66,0.0003,2808,44.738461538461536,41,69,-676.8,-676.7932000153846,0.7422475,15.899827,-2.111812,2.3501785,0.46140778,15.839556,62.056812
2999,67,0.0003,2899,45.43939393939394,41,71,-677.5,-677.5147142727272,1.5402448,9.210766,-2.3118863,2.4041977,0.44796556,8.475403,68.55581
3052,68,0.0003,2952,45.55223880597015,41,72,-676.6,-676.6490286567164,1.2721071,20.818253,-2.3781452,2.394979,0.44014877,19.392548,70.72189
3112,69,0.0003,3012,45.76470588235294,41,74,-676.5,-676.538655117647,1.2617706,14.792472,-2.216799,2.253242,0.43149877,15.550783,69.6136
3158,70,0.0003,3058,45.768115942028984,41,75,-676.2,-676.1880594927535,1.6588726,2122.5435,-2.3676121,2.4003658,0.425451,2112.7368,70.69591
3212,71,0.0003,3112,45.885714285714286,41,76,-675.9,-675.8567356857142,0.69470656,2067.1118,-2.2534463,2.416438,0.41841742,2071.115,74.290565
3258,72,0.0003,3158,45.88732394366197,41,77,-676.5,-676.5435218591548,2.7250137,2056.8162,-2.3005672,2.369811,0.41257325,2062.4062,75.68228
3277,73,0.0003,3177,45.513888888888886,41,78,-676.2,-676.1667685138889,0.9531975,2068.8992,-2.40754,2.341076,0.41030788,2074.3845,70.500496
3339,74,0.0003,3239,45.73972602739726,42,79,-675.5,-675.5475094931506,0.79443216,2041.8668,-2.3603768,2.2846081,0.40302074,2048.2776,73.98846
3438,75,0.0003,3338,46.45945945945946,42,81,-678.1,-678.0963302162162,1.8165879,6226.503,-2.4256806,2.3015513,0.39148617,6257.4326,79.10341
3469,76,0.0003,3369,46.25333333333333,42,82,-677.8,-677.8260818133333,2.5436912,4026.0764,-2.0652828,2.2640018,0.38811436,4039.8154,77.96477
3495,77,0.0003,3395,45.98684210526316,42,83,-677.5,-677.4760053421053,4.629358,13.6956005,-2.5006626,2.4480832,0.38537136,13.483906,80.0861
3546,78,0.0003,3446,46.05194805194805,42,84,-677.2,-677.1687148311688,6.9859324,3998.7231,-1.8533942,2.085091,0.3804507,4007.1497,77.65077
3562,79,0.0003,3462,45.666666666666664,42,84,-676.7,-676.6798744102564,7.6966424,4193.122,-2.1080267,2.2345567,0.37916204,4177.4478,82.02963
3632,80,0.0003,3532,45.9746835443038,42,86,-676.0,-675.9668108354431,1.5049115,15.904458,-1.754628,2.2468452,0.37317967,15.953675,79.704094
3656,81,0.0003,3556,45.7,42,86,-675.6,-675.63048415,1.898479,1997.775,-2.2809184,2.24784,0.37101522,2003.2393,86.235466
