#{"t_start": 1565376180.198251, "env_id": "highway-continuous-v0"}
r,l,t
-666.742203,27,2.566844
-706.052333,100,5.107448
-661.032669,53,6.42354
-658.027492,20,6.934748
-642.481174,27,7.596709
-645.936047,37,8.503635
-648.609766,39,9.408241
-656.885432,48,10.5416
-675.423993,29,11.245647
-634.452844,37,12.183245
-626.1538,28,13.03805
-613.994485,43,14.126353
-652.819128,45,15.231364
-660.11327,22,15.781751
-643.33096,39,16.777149
-652.610983,31,17.566815
-646.232294,33,18.34216
-632.992397,29,19.023853
-648.394775,22,19.549798
-656.89604,20,20.030613
-705.490851,59,21.479866
-647.49845,19,21.930871
-676.22209,27,22.585984
-636.744714,30,23.308972
-646.826242,36,24.162727
-649.590904,22,24.678671
-645.652578,33,25.459275
-610.545746,30,26.17698
-633.855872,31,26.911231
-671.621283,23,27.455317
-674.569156,38,28.359845
-695.462289,53,29.612245
-668.382087,27,30.250761
-664.694402,45,31.295626
-628.645356,73,33.061072
-730.313316,30,33.771279
-671.919277,60,35.196268
-675.678083,25,35.804917
-608.876998,28,36.47647
-663.144658,34,37.288296
-715.633507,38,38.188949
-780.771575,157,41.855354
-810.765537,266,48.155614
-1001.109912,154,51.892626
-120.625049,300,58.974787
-245.705212,300,66.196312
-655.70208,31,66.92238
-609.83735,38,67.836699
-856.494217,129,70.891336
-100.825262,300,78.206724
-133.956114,300,85.167372
-622.559541,66,86.755487
-568.812598,300,94.162827
-772.332229,248,100.318998
-613.326673,59,101.732187
-645.165431,137,105.090662
-171.298768,300,112.564857
-609.535661,29,113.254841
-623.021658,49,114.442046
-649.259973,138,117.867887
-607.532918,27,118.516196
-627.409174,77,120.370532
-700.926396,91,122.565568
-608.774772,28,123.231057
-831.72424,123,126.22246
-130.974897,300,133.522718
-572.367531,300,140.745755
-632.987229,104,143.201228
-620.258345,66,144.805032
-635.462481,102,147.201985
-605.635503,25,147.779251
-650.944615,125,150.784079
-637.561827,124,153.791977
-638.936388,122,156.772411
-629.680841,98,159.16274
-654.113768,173,163.424693
-89.603539,300,170.941213
-236.871185,300,178.599988
-632.551267,117,181.721495
-631.776403,102,184.262984
-215.985631,300,192.025117
-610.252242,50,193.380308
-625.145819,71,195.110949
-675.636041,209,200.478696
-639.537187,103,203.223615
-612.500604,48,204.453947
-651.966111,101,206.948601
-221.593912,300,214.639892
-693.61102,194,219.640983
-659.263389,164,223.995795
-608.023503,25,224.665851
-622.860221,58,226.242167
-196.925141,300,234.161213
-665.275355,271,241.240612
-607.085878,40,242.326905
-623.840188,93,244.601411
-636.308177,104,247.38455
-305.118259,300,255.376067
-113.020849,300,263.334822
-619.86381,76,265.386048
-616.836959,38,266.390742
-821.591126,299,274.729358
-88.713679,300,282.785288
-232.235239,300,290.629791
-612.751468,47,291.7479
-612.84141,32,292.780068
-637.2309,136,296.303727
-620.681124,88,298.744998
-630.851713,171,303.363715
-641.775751,124,306.679112
-235.661905,300,314.307494
-605.018455,32,315.089939
-625.077421,89,317.287269
-690.808178,230,323.051924
-620.944414,72,324.843419
-59.536055,300,332.959576
