ep_rewmean,current_lr,time_elapsed,n_updates,fps,mean 100 episode reward,episodes,total timesteps,eplenmean,ent_coef_loss,qf2_loss,qf1_loss,ent_coef,entropy,value_loss,policy_loss
-666.742203,0.0003,0,0,48,-666.7,2,27,27.0,,,,,,,
-686.3972679999999,0.0003,3,27,40,-686.4,3,127,63.5,-0.02569954,5567.7637,5578.737,0.99218756,2.5460408,0.23446408,0.70569026
-677.9424016666667,0.0003,4,80,40,-677.9,4,180,60.0,-0.07293879,10.823338,12.437183,0.9765856,2.6186576,0.9507079,5.230978
-672.96367425,0.0003,4,100,40,-673.0,5,200,50.0,-0.0838696,5413.981,5419.054,0.9710926,2.3974333,1.6062481,5.648664
-666.8671742,0.0003,5,127,40,-666.9,6,227,45.4,-0.1040702,2707.6824,2707.3499,0.9641062,2.5974107,0.98846155,7.7802105
-663.3786530000001,0.0003,6,164,40,-663.4,7,264,44.0,-0.1354723,33.50537,29.767529,0.95407647,2.5670176,0.68725026,9.873144
-661.268812,0.0003,7,203,40,-661.3,8,303,43.285714285714285,-0.15924254,2681.514,2679.447,0.9432978,2.3140724,1.039087,7.9231963
-660.7208895,0.0003,8,251,41,-660.7,9,351,43.875,-0.20278692,2660.4285,2656.6565,0.93048114,2.5347447,1.752325,7.7636337
-662.3545676666668,0.0003,9,280,41,-662.4,10,380,42.22222222222222,-0.23302467,13190.272,13173.906,0.92254716,2.5034018,0.9980662,13.47669
-659.5643953000001,0.0003,10,317,40,-659.6,11,417,41.7,-0.25891185,23.789478,25.805616,0.9128736,2.4838412,1.1853483,13.586905
-656.5270684545455,0.0003,11,345,40,-656.5,12,445,40.45454545454545,-0.27290052,10550.9,10557.216,0.9056747,2.478514,1.7765911,12.669186
-652.9826865000001,0.0003,12,388,40,-653.0,13,488,40.666666666666664,-0.29483303,2621.2605,2618.4631,0.8945986,2.3214245,1.7256228,13.813199
-652.9701050769231,0.0003,13,433,40,-653.0,14,533,41.0,-0.3662265,5184.2173,5179.009,0.882851,2.5582137,1.3596747,11.913008
-653.4803311428572,0.0003,13,455,40,-653.5,15,555,39.642857142857146,-0.3752251,13.653023,13.693425,0.87721914,2.4604902,1.8938332,16.584812
-652.8037064,0.0003,14,494,40,-652.8,16,594,39.6,-0.39714247,2578.1313,2575.4287,0.8675897,2.4989705,1.271404,15.570262
-652.7916611875,0.0003,15,525,40,-652.8,17,625,39.0625,-0.41878992,2576.2566,2573.817,0.85947615,2.5157979,0.922667,17.816225
-652.4058160588236,0.0003,16,558,40,-652.4,18,658,38.705882352941174,-0.4878751,5120.8765,5116.7163,0.85058254,2.4574542,1.3014274,18.384369
-651.3272927777778,0.0003,16,587,40,-651.3,19,687,38.166666666666664,-0.55591583,5104.4824,5100.1943,0.8430766,2.5691433,1.5017934,19.089722
-651.1729497368422,0.0003,17,609,40,-651.2,20,709,37.31578947368421,-0.53328586,2549.3252,2547.4507,0.83786386,2.4882755,1.9043702,15.136644
-651.45910425,0.0003,18,629,40,-651.5,21,729,36.45,-0.5086587,5117.497,5113.3594,0.8334161,2.336701,2.1978247,19.217068
-654.0320445714286,0.0003,19,688,40,-654.0,22,788,37.523809523809526,-0.37555102,2537.8333,2536.1448,0.8216618,2.10536,1.3389716,19.425228
-653.7350630000001,0.0003,19,707,40,-653.7,23,807,36.68181818181818,-0.3467082,7591.476,7583.542,0.817979,2.259005,1.7769618,24.03413
-654.712759826087,0.0003,20,734,40,-654.7,24,834,36.26086956521739,-0.49187204,5016.9404,5011.992,0.8128137,2.318374,2.184468,21.346096
-653.96409125,0.0003,21,764,40,-654.0,25,864,36.0,-0.6403985,5022.795,5018.9795,0.80667275,2.4515636,0.8729347,24.855995
-653.6785772799999,0.0003,22,800,40,-653.7,26,900,36.0,-0.48333287,2502.4841,2501.2654,0.79854935,2.105579,1.3932478,19.436932
-653.521359076923,0.0003,22,822,40,-653.5,27,922,35.46153846153846,-0.5034507,18.176613,18.479668,0.79414594,2.4056196,2.595507,24.548355
-653.2299227407407,0.0003,23,855,40,-653.2,28,955,35.370370370370374,-0.58459365,7426.826,7420.5815,0.78780746,2.2354019,3.1652627,23.918854
-651.7054878571428,0.0003,24,885,40,-651.7,29,985,35.17857142857143,-0.52059364,4952.1514,4947.199,0.7818249,2.3020737,3.9854934,24.938414
-651.089983862069,0.0003,24,916,40,-651.1,30,1016,35.03448275862069,-0.6716268,2465.1785,2463.2126,0.77577066,2.507055,3.143939,25.697523
-651.7743605,0.0003,25,939,40,-651.8,31,1039,34.63333333333333,-0.62413514,23.469841,24.413334,0.7709666,2.3316936,2.028434,26.96207
-652.509676483871,0.0003,26,977,40,-652.5,32,1077,34.74193548387097,-0.7332893,4887.374,4880.8667,0.76287705,2.2681751,2.9014997,25.250835
-653.8519456250001,0.0003,27,1030,40,-653.9,33,1130,35.3125,-0.6630945,18.655655,19.195648,0.75156754,2.1119022,1.4348007,27.702307
-654.292252939394,0.0003,28,1057,40,-654.3,34,1157,35.06060606060606,-0.729859,12089.822,12083.083,0.7458983,2.2721753,2.005515,25.222715
-654.5981985000001,0.0003,29,1102,41,-654.6,35,1202,35.35294117647059,-0.6647403,4808.3647,4804.647,0.7372527,2.3790169,1.8446479,26.91631
-653.8566887142858,0.0003,31,1175,41,-653.9,36,1275,36.42857142857143,-0.82714933,9543.306,9536.769,0.72289306,2.2944722,3.3535154,29.49696
-655.9804839166668,0.0003,31,1205,41,-656.0,37,1305,36.25,-0.8217695,4763.592,4759.465,0.7170648,2.41003,2.191216,27.787039
-656.4112621081082,0.0003,33,1265,41,-656.4,38,1365,36.891891891891895,-0.8552462,16.769547,16.77178,0.70407265,2.354459,2.908442,31.506649
-656.9182837105263,0.0003,33,1290,41,-656.9,39,1390,36.578947368421055,-0.85869634,4757.0947,4753.662,0.6992738,2.3209918,2.7436893,35.970253
