# {"t_start": 1565275176.018891, "env_id": "highway-continuous-intrinsic-rew-v0"} 
r,l,t
-663.558032,108,6.555641
-633.016743,115,10.079318
-241.292252,32,11.052349
-406.954043,51,12.582726
119.986695,218,19.148191
-390.081606,53,20.750365
-208.938253,83,23.253572
-448.232769,65,25.203964
-275.133926,120,28.817246
-598.396588,18,29.372987
-514.503239,25,30.131403
-742.825705,94,32.946347
-365.966002,64,36.628412
-11.6395,109,39.914383
-284.136761,73,42.138866
-511.179618,24,42.879661
-56.666517,125,46.707712
-170.641224,70,48.849919
-259.880167,81,51.278003
-329.501825,42,53.156989
-575.650041,58,54.918893
-626.224217,39,56.089598
-576.948001,63,57.991131
-522.33292,67,60.004805
-637.237576,39,61.197376
-562.522883,103,64.311705
-612.295617,49,65.782588
-584.064114,36,67.548031
-589.988063,115,70.966846
-628.461537,31,71.909684
-606.680607,116,75.400007
-590.722641,113,78.824977
-594.978002,79,81.210598
200.282745,300,90.404671
-548.947767,63,92.312614
-648.434325,62,94.164814
-652.876522,34,95.191857
-787.311643,86,100.175432
-687.549086,98,103.697772
-540.019441,85,106.528835
-561.630281,84,109.324257
-658.04576,57,111.187962
-648.993584,50,112.825563
-611.807864,52,114.527181
-667.07756,25,115.352946
-659.400455,52,117.061381
-641.781645,47,118.590415
-431.628723,31,119.619786
-571.305912,48,121.181224
-597.460976,127,125.313412
-636.831522,51,127.006698
-664.432934,56,128.824227
-655.303617,57,130.691605
-555.665424,145,136.149033
-623.139255,49,137.750947
-625.943733,113,141.467557
-694.092948,33,142.546625
-571.430932,52,144.827994
-643.81102,75,147.108568
-642.058432,48,148.549138
-673.642731,88,151.246251
-589.799893,55,152.916451
-629.01642,137,157.165388
-707.78596,44,158.50367
-632.098431,124,168.004503
-689.806102,233,175.077396
-641.686372,39,176.295693
-683.607381,101,179.342432
-682.558315,38,180.499617
-591.23663,115,183.952724
-722.058771,89,186.66115
-628.390539,181,192.155402
-721.26456,59,193.95467
-660.968388,34,194.997443
-576.978979,72,197.672432
-631.863323,256,205.378664
-580.595863,80,208.431989
-679.158356,43,209.741707
-592.147936,300,219.288021
-668.769225,110,222.864156
-621.221388,67,225.07654
-665.447908,26,225.92792
-589.536295,29,229.228224
-623.055655,85,231.818283
-599.916111,88,234.490517
-645.518761,67,236.52932
-598.901551,65,238.518525
-1105.718878,199,244.490877
-671.220589,182,250.04816
-666.917406,74,252.29701
-589.075633,65,254.266573
-774.022564,90,257.055761
-649.505496,18,260.160568
-599.857398,65,262.125415
110.552941,102,265.256122
-706.541916,63,267.738208
-665.803719,71,269.858727
