# {"t_start": 1565275176.162483, "env_id": "highway-continuous-intrinsic-rew-v0"} 
r,l,t
-662.60878,48,4.197014
48.801023,73,6.427026
82.003042,59,8.230821
-118.851026,264,16.311209
-58.24511,112,19.711345
939.263343,130,23.715467
10.847415,94,26.560658
-272.780755,42,27.850133
-106.396054,39,29.030758
2379.400742,95,31.995147
-141.589805,38,33.148309
-394.755463,46,35.935197
344.793101,130,39.860007
265.934893,146,44.010024
-462.893485,41,45.265653
-25.405402,44,46.612733
-346.945431,39,47.795289
-294.850866,37,48.951219
-196.213806,61,50.798471
1202.301109,233,58.295891
-637.774941,26,59.104746
-638.018568,44,60.443308
-640.287594,20,61.061372
-594.745755,47,62.500965
-565.615087,58,64.262233
-687.673873,31,66.917602
-718.78505,70,69.0269
-583.568626,96,71.990436
-557.39446,45,73.36685
-603.688419,54,75.012785
-598.295469,51,76.591118
-552.419022,43,77.910995
-568.70805,43,79.215247
-615.512255,33,80.235553
-526.987888,250,87.844405
-561.908535,91,90.672438
-674.541486,29,91.565637
-465.778596,161,96.506345
-609.655591,53,99.656585
-627.560091,101,102.703084
-599.91924,99,105.725793
-650.299642,26,106.527087
-622.349673,69,108.663615
-659.852996,26,109.459034
-706.408764,39,110.660177
-682.87967,52,112.242289
-753.341077,61,114.113086
-643.51083,38,115.267852
-657.545928,93,118.065508
-562.269868,73,120.28
-620.179561,44,121.631046
-585.589538,42,122.909226
-670.143224,30,123.819359
-679.037889,33,124.829602
-594.493299,84,127.376821
-580.002762,28,128.243274
-726.513441,91,132.137249
-614.153998,57,134.460411
-577.641651,131,138.489528
-681.315196,51,139.997638
-569.691282,93,142.819871
-617.713423,98,145.783922
-633.543805,48,147.272503
-607.615576,171,152.468692
-589.633444,33,153.481069
-715.57662,92,156.281353
-658.845368,34,157.308719
-587.315336,32,158.274824
-716.026602,43,162.551177
-619.003705,72,164.772521
-587.109995,67,166.858474
-667.479525,81,169.301998
-691.357012,54,170.963534
-653.313307,71,173.094895
-586.802173,40,174.308069
-579.019882,30,175.226181
-544.107283,228,182.691518
-670.11696,82,185.202557
-698.562463,76,187.547189
-827.818126,92,190.361842
-664.650523,48,194.663893
-1080.600856,92,197.452993
-742.748225,120,201.063688
-625.260744,118,204.678619
-630.593357,251,212.741292
-599.609549,48,214.349204
-804.142627,97,217.331855
-589.338038,25,218.094515
-663.979516,61,219.942166
-650.188187,68,222.041147
-655.879877,67,224.072945
-563.310172,130,229.091838
-852.642962,92,232.047162
-602.117031,68,234.173398
-595.395127,27,234.99671
-598.416174,24,236.340249
-656.589142,77,238.698987
-594.935353,49,240.189279
-642.829159,29,241.078078
-600.437181,67,243.090837
-604.782516,179,248.457313
-700.027073,55,250.125358
-702.177705,95,252.955025
-810.593208,120,256.548939
-660.127428,62,258.932514
-669.844729,140,263.200612
-677.075868,54,264.810879
-611.952038,98,267.736359
-754.993264,90,270.426246
-683.464957,45,271.802675
-695.072021,47,273.260928
-694.834851,32,274.229521
-608.846343,81,276.685193
-700.791834,83,279.273447
-595.653184,47,281.298978
-794.442919,40,282.520846
-697.310662,105,285.779173
-649.890076,25,289.649193
-656.696484,58,291.425025
-606.465351,75,293.661602
-712.934275,61,295.528502
-600.9708,120,299.066732
-584.064858,75,301.373099
-616.126599,199,307.439692
-608.706673,183,313.051054
-653.998372,26,313.845903
-652.767139,134,317.976701
-594.253269,75,322.424605
-691.174512,148,326.774481
-267.329338,300,335.88002
-816.584804,99,338.915915
-604.672889,125,342.708571
-601.182853,39,343.888825
-464.851768,53,346.125708
-661.117313,92,348.942982
-604.786234,65,353.834106
