# {"t_start": 1565275118.440173, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-603.969229,32,2.451001
-546.502184,26,4.077458
-580.715584,15,4.538638
-436.621638,48,5.999618
-551.703102,30,6.90745
-249.406459,119,10.550574
-451.353001,35,11.609229
-533.275829,34,12.646339
-537.697561,38,13.807658
-471.832846,69,15.885818
-558.324727,33,16.896697
-558.374096,46,18.288977
-468.504161,49,19.773218
-371.791101,91,22.503883
-465.911188,82,24.971356
-519.622006,18,25.530874
-184.12024,105,28.732317
-427.006075,48,30.212138
-542.621755,23,30.911556
-508.031451,17,31.994261
-576.439041,38,33.148865
-588.164137,22,35.118847
-566.491658,37,36.236645
-588.558276,36,37.325827
-570.580822,63,39.241664
-595.436157,17,39.765032
-591.737036,18,40.314739
-555.212678,84,42.86793
-567.644162,58,44.626455
-586.706357,74,46.916522
-596.483906,22,47.599763
-591.236905,41,48.840692
-577.606688,35,49.897167
-523.786521,166,54.904742
-589.038655,36,55.991981
-589.905724,73,58.201498
-597.739035,36,59.287781
-522.176563,80,61.671578
-594.312949,46,63.727015
-605.913268,98,69.253974
-601.070435,57,70.974869
-592.004153,30,71.889756
-607.692838,28,72.744861
-596.248988,51,74.300043
-617.480124,254,82.353821
-601.621679,34,83.389045
-621.771893,115,86.909397
-602.760339,39,88.077747
-594.931543,41,89.328293
-600.909325,64,91.272755
-596.794688,33,92.26788
-589.61222,53,93.868253
-602.247503,96,96.77635
-600.140739,23,97.484278
-597.560959,29,98.760284
-611.764492,73,100.980571
-596.54946,44,102.306898
-596.874243,35,103.927131
-615.875872,89,106.603023
-254.914722,230,113.618324
-601.533814,37,114.746804
-632.018532,125,118.581562
-611.514672,42,119.849887
-626.250488,119,123.447826
-616.768177,74,125.679723
-600.763828,39,126.864027
-610.887663,58,128.60846
-603.099641,61,131.484082
-609.001904,72,133.662428
-612.462321,75,135.935672
-600.161266,21,136.582518
-618.892475,171,141.690185
-620.85009,78,144.063168
-613.890398,77,146.367456
-605.320489,60,148.172489
-638.769876,147,152.641584
-599.700839,89,155.921089
-604.969661,17,156.448228
-631.546529,108,159.762883
-602.237491,36,162.422921
-631.312851,181,167.98316
-638.094338,85,170.57372
-633.720559,87,173.188315
-604.943276,39,174.358867
-594.737289,58,176.0901
-651.218171,173,181.340625
-602.463488,37,182.463903
-599.341739,45,183.820225
-630.641519,109,187.140772
-600.521577,39,188.310495
-613.237463,55,189.983783
-604.598406,33,190.985109
-613.863802,46,192.369821
-599.077502,23,193.24821
-616.909362,68,195.305376
-613.184895,159,200.757694
-625.631607,91,203.517038
-606.731093,28,204.366284
-607.214206,36,205.444028
-613.691321,88,208.085768
-613.303128,35,209.161553
-598.466719,20,209.778794
-615.520465,41,211.012598
-608.034199,29,211.894946
-643.41695,118,215.510946
-615.227686,59,217.305593
-557.509425,107,220.578967
-602.80089,22,225.040514
-605.303562,39,226.2218
-619.304168,43,227.53276
-608.319654,44,228.873025
-607.399631,25,229.643101
-603.938131,28,230.492896
-627.445991,61,232.345658
-612.740208,27,233.746341
-114.199729,300,242.964798
-603.649366,23,243.663552
-606.480617,27,244.485141
-642.437197,100,247.487024
-635.352578,93,250.294619
-630.924837,105,253.439015
-621.160733,73,258.338084
-613.595957,32,259.31987
-620.399603,61,261.144235
-603.253401,39,262.32488
-607.477097,30,263.2351
-660.298688,200,269.268359
-613.780431,57,270.982838
-634.443637,105,274.147726
-625.625919,70,276.302839
-599.993715,25,277.070473
-600.152535,25,277.836407
-669.025891,161,282.836729
-634.054912,78,285.76814
-605.606844,45,287.132618
-616.76206,43,289.280776
-612.089748,42,290.560808
-605.312878,26,291.359969
-616.029372,57,293.075402
-612.744808,60,294.883547
-605.16853,31,295.822872
