# {"t_start": 1565275067.554263, "env_id": "highway-continuous-v0"} 
r,l,t
-749.486248,81,3.462732
-757.897769,87,5.229686
-797.283312,103,7.315226
-678.225269,180,10.965796
-678.029067,37,11.727149
-642.516559,39,12.528024
-645.73515,19,12.927354
-682.205106,69,14.341356
-720.319664,45,15.266807
-816.764423,54,16.365849
-617.535496,55,17.498686
-701.901804,33,18.165891
-612.14618,40,19.000206
-607.875281,38,19.769705
-768.601362,46,20.694284
-713.535032,53,21.796321
-764.338243,77,24.765477
-656.642774,40,25.57732
-754.476642,44,26.470066
-769.137087,124,29.000129
-645.374624,110,31.254664
-733.40039,149,34.377188
-681.509982,65,35.725754
-614.41238,52,36.772543
-719.393281,77,38.349013
-724.898508,93,40.262157
-807.27059,46,41.192515
-615.239102,46,42.129567
-672.167762,60,45.545742
-695.66812,52,46.61177
-608.148468,35,47.315189
-694.928735,97,49.351607
-660.883086,204,53.451517
-652.471977,54,54.546315
-825.492882,81,56.184513
-747.178145,138,59.000493
-697.646046,135,61.782553
-678.639358,52,62.837684
-635.00082,30,63.460763
-659.738007,54,64.553106
-662.162052,55,66.456365
-734.31989,58,67.62688
-720.861153,59,68.838142
-632.866249,102,70.905587
-677.85529,66,72.27334
-731.088651,88,74.103934
-670.625681,51,75.143117
-651.86889,121,77.641616
-692.534797,63,78.928868
-659.377016,45,79.845267
-697.808999,76,81.398892
-608.26146,43,82.276304
-641.100348,131,84.934286
-702.370051,30,85.553131
-667.394122,49,87.397117
-871.165681,202,91.455328
-747.10704,34,92.142953
-619.240165,63,93.427427
-689.63871,113,95.689716
-667.340259,70,97.100346
-625.504147,96,99.050923
-753.392657,47,100.013131
-765.610621,79,101.619049
-694.479632,102,103.766358
-616.936605,42,104.631894
-659.178,56,105.767508
-774.166761,43,106.649768
-719.139644,44,108.245763
-614.093326,51,109.27545
-699.428558,62,110.559486
-678.337869,92,112.432056
-682.344817,71,113.892529
-724.531047,79,115.4905
-695.306672,72,116.956176
-707.691762,86,118.771287
-710.188434,107,120.955206
-129.951562,300,127.153225
-691.393161,29,129.083153
-679.407271,53,130.15502
-628.592359,67,131.546519
-649.366986,41,132.387019
-698.772425,175,136.071618
-608.754947,35,136.785182
-776.464671,57,137.938186
-673.689223,61,139.170902
-613.637727,60,140.392582
-691.573847,51,141.438321
-648.732115,117,143.822008
-669.846085,87,145.584364
-877.20086,92,151.385756
-618.091689,58,152.561598
-794.187165,73,154.042167
-638.029761,120,156.470016
-618.921304,54,157.567618
-1049.380435,207,161.74333
-609.766657,27,162.299939
-637.09248,89,164.119369
-697.186916,47,165.067818
-685.612739,71,171.932223
-675.77524,120,174.338577
-780.365331,99,176.314031
-1079.840586,157,179.441402
-612.769935,39,180.232184
-863.211484,154,183.452195
-685.70761,67,184.823822
-635.217054,111,187.046196
-702.922717,138,189.836797
-694.416644,56,190.964963
-834.427404,177,194.999268
-658.729403,138,197.823914
-814.514587,191,201.643596
-426.684384,300,207.91526
-693.369438,49,208.938972
-773.25926,51,209.97473
-665.307583,44,210.868408
-783.91075,61,213.691148
-606.910612,36,214.429908
-986.036898,213,218.900871
-617.484935,66,220.213013
-660.141369,171,223.740673
-890.733419,185,227.443187
-691.12119,32,228.10708
-719.254114,175,231.760964
-740.329767,66,233.111221
-631.118908,88,235.421791
-593.365433,300,241.666433
-626.545042,66,243.040178
-610.851222,43,243.935463
-626.838218,75,245.446539
-686.092856,132,248.145375
-611.559619,41,249.004055
-690.046484,88,250.762692
-649.153513,110,256.989791
-282.624733,300,263.369082
-784.039292,160,266.642108
-724.463037,133,269.338099
-749.982669,150,272.435556
-641.33083,96,274.422362
-692.313876,75,277.562178
-804.187922,263,282.911355
-633.923133,129,285.611889
-648.32868,142,288.485544
-731.939549,92,290.367469
-619.052562,49,291.382457
-648.010429,47,292.339511
-956.146113,85,294.080537
-608.664325,32,297.898265
-633.029089,79,299.513004
-727.964704,217,303.828482
-619.793141,44,304.712369
-674.797936,190,308.592031
-812.239796,124,311.13587
-702.466263,47,312.100292
-705.284422,59,313.285918
-709.808781,60,314.493817
-620.124234,53,315.565741
-610.65876,37,316.330948
-610.146864,34,317.016245
-619.223445,46,317.96518
-609.623131,39,318.938682
-666.050756,172,322.347704
-612.621128,37,323.099745
-920.874304,149,326.240167
-650.676556,149,329.338966
-688.785745,46,330.268482
-970.712919,200,334.382831
-699.909805,73,335.862406
-718.012737,68,340.604158
-732.838904,60,341.825982
