# {"t_start": 1565275176.0163898, "env_id": "highway-discrete-v0"} 
r,l,t
-620.102369,53,3.17887
-619.602794,33,3.855627
-609.297125,18,4.223529
-635.383784,107,6.366048
-620.43119,78,7.950029
-609.920569,39,8.726858
-605.164841,18,9.102221
-647.070329,89,10.877664
-622.853185,55,11.982285
-628.009837,86,13.705906
-606.179186,19,14.088021
-612.244818,27,14.640419
-608.716822,40,15.444337
-613.307188,33,16.127225
-636.770444,62,17.358649
-608.817998,28,17.928264
-630.745076,49,18.909189
-604.910975,25,19.41796
-608.403979,20,23.715769
-620.93927,53,24.780928
-613.926172,40,25.588133
-605.732387,15,25.90261
-625.024207,43,26.761055
-606.647057,25,27.2693
-619.114568,51,28.310855
-612.673119,21,28.738578
-612.208203,44,29.61889
-611.420435,45,30.507558
-607.803377,24,30.997447
-626.607727,56,32.143779
-649.759033,77,33.657993
-621.52187,51,34.699529
-608.902054,30,35.313596
-634.904492,53,36.399792
-620.317877,41,37.225334
-616.025294,51,38.266576
-667.492428,137,41.0202
-623.313243,40,41.832797
-647.744896,102,43.89538
-608.497236,28,44.696346
-633.357001,77,46.258138
-619.662173,51,47.266142
-635.010068,64,48.543617
-657.979244,103,50.506916
-653.851099,86,52.187602
-604.172807,20,52.608627
-608.034879,33,53.290263
-700.846577,213,57.587772
-611.051227,39,58.367832
-611.688182,37,59.116916
-675.238135,136,61.827207
-610.870206,30,62.4203
-649.73009,78,63.998756
-630.824314,48,65.686196
-646.835844,91,67.461034
-622.119171,45,68.383352
-613.946527,68,69.763933
-617.720649,45,70.678566
-621.723113,72,72.109652
-619.097757,34,72.810442
-610.141901,27,73.348231
-626.850784,68,74.707522
-610.147137,23,75.178605
-618.597764,46,76.125498
-611.97115,31,76.755723
-641.911593,72,78.203449
-633.782854,96,80.123367
-611.902355,33,80.79548
-623.412206,71,82.247085
-619.496132,48,83.204956
-652.88487,94,85.135459
-630.798064,61,86.749721
-611.063113,31,87.378442
-612.152867,51,88.395309
-612.253233,36,89.129804
-648.027045,94,91.038259
-623.303991,61,92.259163
-132.10598,300,98.367039
-617.40636,32,99.005499
-641.619948,79,100.652776
-722.342586,220,104.981675
-628.863638,50,105.982968
-674.815571,142,109.205025
-634.061485,65,110.497829
-630.573848,79,112.147598
-635.790278,69,113.594786
-608.431871,20,114.012491
-614.033639,26,114.542021
-620.554335,37,115.30028
-645.762402,86,117.027286
-604.969313,17,117.37367
-691.351247,206,121.544958
-655.284477,89,123.307159
-621.782599,41,124.130887
-602.834072,18,124.507113
-633.116989,86,126.266962
-611.921966,19,126.650549
-618.509183,55,128.353768
-620.504553,43,129.225883
-633.541579,80,130.888785
-691.612048,174,134.427679
-642.013505,107,136.581124
-605.613195,18,136.94506
-649.238746,95,138.875089
-604.174698,15,139.189481
-618.874046,50,140.195912
