#{"t_start": 1569267511.948684, "env_id": "highway-continuous-v0"}
r,l,t
-716.575017,90,16.783216
-666.955941,34,23.153761
-653.441859,95,41.566076
-657.182058,48,50.433591
-655.528304,18,53.765514
-704.919451,52,64.188645
-635.115221,36,70.758745
-635.741183,44,80.162546
-633.890433,26,85.107663
-745.509539,60,97.120119
-649.188655,20,100.657913
-645.766471,27,106.1306
-807.345636,58,117.308289
-699.508439,25,121.903458
-681.099016,53,131.130527
-717.307931,45,140.419496
-665.773315,84,156.559335
-676.698994,22,160.734308
-652.292636,58,171.047218
-608.696989,38,179.019376
-689.145794,31,184.889807
-682.26196,67,198.903217
-698.923602,57,208.767257
-626.718585,102,227.996723
-657.906748,54,239.76024
-678.893806,40,246.695848
-686.71312,102,266.191002
-707.210321,29,272.697093
-691.702761,63,284.40148
-685.064458,62,296.340278
-808.289993,119,318.568695
-681.724441,54,329.191759
-665.920439,76,343.011076
-753.957736,137,370.998603
-613.675828,50,379.236301
-611.418158,34,385.926118
-831.646724,43,393.434449
-668.993441,85,408.255369
-607.522043,25,412.35249
-637.750255,39,419.657809
-702.627154,27,424.081432
-626.122979,27,428.467923
-637.832362,32,433.621452
-733.780285,44,441.970315
-624.572462,21,445.72051
-696.809434,40,452.320433
-628.869646,30,458.606435
-660.397346,28,463.171592
-654.755553,21,466.596177
-709.233205,47,475.259262
-633.800523,25,479.40479
-629.79651,34,485.648342
-641.343817,27,491.220133
-644.833854,27,495.589255
-826.265258,115,515.353466
-627.833888,28,519.981384
-653.203726,28,525.621646
-659.413197,43,532.594263
-633.186671,31,537.769063
-660.233738,48,546.886473
-635.481038,27,551.902773
-656.584825,45,559.622716
-626.843107,26,565.096523
-645.948015,19,568.238625
-640.840669,20,571.578364
-689.873899,71,584.963567
-671.757356,45,592.387706
-622.848866,51,602.76271
-716.456465,31,608.05929
-636.178129,28,613.109304
-648.075558,17,617.429867
-655.371483,34,623.085266
-654.242768,24,627.13103
-643.149455,30,632.101191
-645.505303,34,639.992538
-666.07079,54,649.259934
-663.829514,47,660.437096
-644.763723,19,663.77351
-696.748873,39,670.029669
-647.980735,38,677.17802
-639.914594,25,681.685859
-691.110425,53,692.124128
-703.037217,34,697.531544
-641.737466,42,704.631158
-688.558692,35,711.790545
-658.850201,43,718.991254
-649.986541,27,723.323063
-663.948335,21,727.89618
-703.975792,30,732.859374
-679.730636,56,741.872622
-677.811615,37,749.301242
-606.713928,30,754.160981
-657.530704,38,760.422779
-669.334753,101,777.985753
-648.049521,23,782.745896
-724.015173,148,807.204127
-660.788556,51,816.681615
-664.391944,45,824.082681
-659.298905,84,838.623823
-682.666118,35,844.214194
-689.93566,29,849.964048
-627.633275,32,855.332192
-655.419414,29,860.307306
-641.098652,27,864.924637
-689.761688,68,876.694711
-648.6784,16,879.480787
-635.586215,27,884.813519
-639.743176,15,887.386272
-677.740051,36,893.632409
-649.576166,16,896.264996
-748.587,55,906.073152
-722.163399,32,911.341178
-645.221425,70,924.637282
-639.090093,18,927.731136
-609.296954,33,933.449595
-671.693104,70,946.285396
-894.622579,76,960.831536
-658.675765,84,976.504875
-677.037406,69,987.724268
-1226.807343,177,1019.110138
-647.277645,88,1034.692794
-660.54785,18,1037.642452
-628.240797,73,1051.568204
-622.57159,62,1063.157564
-655.924939,40,1069.735934
-924.681372,80,1084.371656
-623.919428,24,1088.515554
-614.681232,41,1095.662155
-637.192297,38,1103.460632
-632.504227,27,1107.882986
-640.916142,15,1110.443614
-662.255515,71,1123.307044
-644.409046,36,1129.245924
-650.530386,33,1135.938758
-642.20547,49,1144.089996
-647.775399,38,1150.744933
-661.048444,73,1164.183283
-647.388375,21,1167.636305
-636.537539,28,1173.235805
-678.288714,25,1177.492095
-757.868244,104,1196.395091
-648.39612,34,1201.834103
-683.633365,104,1221.928126
-643.775387,32,1228.32529
-635.014373,22,1232.317462
-663.749581,44,1239.331431
-713.297305,95,1256.039665
