fps,ep_rewmean,mean 100 episode reward per step,time_elapsed,n_updates,mean 100 episode reward,episodes,total timesteps,current_lr,eplenmean,value_loss,policy_loss,ent_coef,qf2_loss,qf1_loss,ent_coef_loss,entropy
6,-716.575017,-7.961944626602862,16,0,-716.6,2,100,0.0003,90.0,,,,,,,
5,-691.765479,-13.789147911079569,35,100,-691.8,3,200,0.0003,62.0,1.453285,3.4953883,0.9715402,2743.3755,2740.621,-0.06725103,2.3292103
5,-669.9366358,-16.913232648553404,55,200,-669.9,6,300,0.0003,57.0,2.331397,0.47598985,0.95223176,2722.474,2722.484,-0.096916944,2.182136
5,-669.959693,-16.537770861197508,74,300,-670.0,8,400,0.0003,53.285714285714285,2.116339,5.486027,0.93104035,22.7878,21.88367,-0.11056066,2.2175665
5,-662.1499407777778,-17.17705117625528,94,400,-662.1,10,500,0.0003,49.22222222222222,0.4337237,15.156551,0.90162915,47.939556,42.55774,-0.3228719,2.6383638
5,-666.6511776666666,-18.616277419181532,113,500,-666.7,13,600,0.0003,45.833333333333336,0.6677975,17.270718,0.87027407,7871.2812,7880.622,-0.4078212,2.6124935
5,-679.1844815333333,-18.543089578568985,132,600,-679.2,16,700,0.0003,45.733333333333334,0.23060724,20.17238,0.8396203,7775.4326,7782.1143,-0.55954516,2.5800176
5,-681.567197125,-18.380407496022315,151,700,-681.6,17,800,0.0003,45.6875,0.56506675,22.409433,0.8115911,12839.646,12848.594,-0.5970161,2.405611
5,-678.9389525789475,-18.106203299446776,170,800,-678.9,20,900,0.0003,47.10526315789474,0.17413038,26.474607,0.7845624,5094.951,5097.2256,-0.80829024,2.5482895
5,-676.0801372380953,-18.203176857024847,191,900,-676.1,22,1000,0.0003,45.904761904761905,0.4249125,27.604012,0.75848037,21.872015,20.430796,-0.92924595,2.5216126
5,-677.3421062608696,-17.596154169742647,209,1000,-677.3,24,1100,0.0003,47.30434782608695,0.15046746,30.484108,0.7340764,5004.2974,5005.796,-1.0505886,2.5125697
5,-675.232792875,-17.118993573382507,229,1100,-675.2,25,1200,0.0003,49.583333333333336,0.078494206,33.60307,0.7104114,2497.0146,2497.6072,-1.1457809,2.492676
5,-674.7072147307692,-16.92352496958026,248,1200,-674.7,27,1300,0.0003,49.38461538461539,0.047781978,36.096954,0.68739873,2478.7737,2479.4666,-1.270854,2.5220232
5,-675.1518778888889,-16.5460789176926,267,1300,-675.2,28,1400,0.0003,51.333333333333336,0.181537,37.31894,0.66542184,2474.8186,2472.4363,-1.3740625,2.576783
5,-676.8280615517241,-16.624486292226823,287,1400,-676.8,30,1500,0.0003,50.96551724137931,0.17491017,39.489525,0.64467907,4852.131,4853.2603,-1.4398623,2.4989977
5,-677.1026081,-16.43865097381043,305,1500,-677.1,31,1600,0.0003,51.333333333333336,0.06937507,43.47623,0.62487054,4828.5195,4829.3584,-1.5544353,2.551157
5,-681.3344592258064,-16.12748006799066,324,1600,-681.3,32,1700,0.0003,53.516129032258064,0.06637688,44.042076,0.6054261,12.7348,12.772671,-1.6659143,2.5188255
5,-680.8791853333333,-15.798136964803454,343,1700,-680.9,34,1800,0.0003,54.21212121212121,0.08033992,46.066925,0.5866545,4753.912,4754.9473,-1.7995033,2.599759
5,-680.8791853333333,-15.798136964803454,363,1800,-680.9,34,1900,0.0003,54.21212121212121,0.115768276,47.584538,0.56857187,2365.0771,2365.4912,-1.8882924,2.609671
5,-681.047048,-15.403296500670299,381,1900,-681.0,36,2000,0.0003,56.457142857142856,0.11131595,48.37658,0.5510856,11.314959,11.220473,-1.9385543,2.6437607
5,-683.2354476216217,-15.579429350596868,399,2000,-683.2,38,2100,0.0003,55.486486486486484,0.089104295,51.57392,0.53422,2331.258,2331.8604,-2.1296086,2.6803312
5,-680.9288986153846,-15.605391763294211,416,2100,-680.9,40,2200,0.0003,55.46153846153846,0.8403792,52.715267,0.51811445,11.229805,10.97136,-1.9210804,2.452507
5,-678.1525533953488,-16.142048338325615,434,2200,-678.2,44,2300,0.0003,53.2093023255814,0.29461837,53.412422,0.5035306,11434.105,11437.329,-2.1578782,2.445325
5,-678.6026516739131,-16.47710184580913,452,2300,-678.6,47,2400,0.0003,52.02173913043478,0.57151794,56.125343,0.48954105,24.844343,24.644724,-1.995492,2.3717604
5,-676.7294800408164,-17.01374411854729,469,2400,-676.7,50,2500,0.0003,50.44897959183673,0.24792403,59.133522,0.476457,4513.1406,4514.9463,-2.325067,2.5643365
5,-675.6264376923076,-17.166134187384447,488,2500,-675.6,53,2600,0.0003,49.57692307692308,0.36829618,58.20939,0.4634239,2244.7307,2245.259,-2.0877533,2.4543667
5,-674.4213413148146,-17.412503476609075,505,2600,-674.4,55,2700,0.0003,48.74074074074074,0.3574853,61.54535,0.4503288,6653.728,6657.166,-2.3918283,2.5383387
5,-676.300921017857,-17.319334676133504,522,2700,-676.3,57,2800,0.0003,49.55357142857143,0.23217796,64.82092,0.43797028,16.151562,15.676026,-2.3626893,2.4936047
5,-674.8924605254238,-17.440203618015445,540,2800,-674.9,60,2900,0.0003,48.76271186440678,0.77858984,64.36798,0.42550418,18.221363,17.775436,-2.730272,2.5661044
