episodes,n_updates,total timesteps,ep_rewmean,mean 100 episode reward per step,mean 100 episode reward,fps,current_lr,time_elapsed,eplenmean,value_loss,ent_coef,policy_loss,entropy,qf1_loss,ent_coef_loss,qf2_loss
2,0,100,-663.548514,-19.51613276276518,-663.5,9,0.0003,10,34.0,,,,,,,
3,100,200,-822.905289,-13.010589772538598,-822.9,6,0.0003,28,92.5,0.24150695,0.97057635,4.57244,2.610425,5500.7944,-0.100809485,5498.656
5,200,300,-726.72537975,-14.230340679494905,-726.7,6,0.0003,45,69.5,1.9415352,0.9436942,5.7414126,2.297885,2691.082,-0.14830174,2690.1987
10,300,400,-677.0570892222222,-23.017751151753345,-677.1,6,0.0003,62,43.22222222222222,3.8360627,0.926087,6.764503,2.0408797,5220.0093,-0.080919616,5225.023
14,400,500,-664.8584624615385,-25.67421717521829,-664.9,6,0.0003,79,36.53846153846154,2.0838132,0.907614,12.636525,2.3855402,7833.8906,-0.22109309,7841.2246
19,500,600,-656.0611705555555,-26.366892388522228,-656.1,4,0.0003,127,32.888888888888886,3.268861,0.88728625,13.837835,2.1239457,2662.0408,-0.14833191,2664.2622
24,600,700,-651.3649153913044,-27.5022663053752,-651.4,3,0.0003,177,30.17391304347826,2.8075385,0.8689647,16.560255,2.0750744,10140.788,-0.2483074,10149.642
28,700,800,-648.5672497407407,-27.48486586358419,-648.6,3,0.0003,228,29.40740740740741,2.2827206,0.84515804,16.633144,2.3389583,4989.7466,-0.39553225,4992.824
32,800,900,-646.5356957096774,-27.491545244599028,-646.5,3,0.0003,278,28.774193548387096,1.5568916,0.8171136,16.404152,2.366375,7384.8613,-0.561729,7387.5938
36,900,1000,-645.7602417142857,-27.4391428437938,-645.8,3,0.0003,327,28.285714285714285,1.2716773,0.78877395,19.525726,2.4662738,4861.1113,-0.712303,4861.662
39,1000,1100,-645.9106764473684,-27.196473353185375,-645.9,2,0.0003,372,28.473684210526315,1.3593903,0.75993216,22.22749,2.4073806,4788.3267,-0.77802944,4793.774
43,1100,1200,-645.4316702857143,-27.029256152175442,-645.4,2,0.0003,422,28.261904761904763,1.4867172,0.7330544,24.752659,2.5365348,4738.776,-0.96663857,4740.8247
45,1200,1300,-645.6141115681819,-26.785427763459996,-645.6,2,0.0003,477,28.65909090909091,0.75420463,0.70725375,21.02209,2.5674384,5017.904,-1.10333,5017.5283
46,1300,1400,-645.7496080222222,-26.512028850869083,-645.7,2,0.0003,557,29.022222222222222,1.246662,0.6827372,24.884766,2.4854345,2314.3008,-1.1864214,2315.9573
49,1400,1500,-642.9888952291666,-25.972470471701104,-643.0,2,0.0003,623,30.916666666666668,1.270391,0.6597396,25.252718,2.4881036,11376.762,-1.3079783,11382.39
52,1500,1600,-645.9345234705883,-25.532521214306932,-645.9,2,0.0003,681,31.333333333333332,1.8252984,0.6381642,30.230137,2.5968118,6759.332,-1.4372221,6762.5547
54,1600,1700,-646.5213069433962,-25.16194299849048,-646.5,2,0.0003,737,31.79245283018868,1.0785322,0.6173442,23.989992,2.5555978,2232.2375,-1.5662315,2232.8997
57,1700,1800,-639.6544113749999,-24.802576294635628,-639.7,2,0.0003,791,31.857142857142858,1.8087642,0.59778863,32.192062,2.4963598,6608.3145,-1.5689517,6612.796
59,1800,1900,-647.5003262931034,-24.617871430114043,-647.5,2,0.0003,844,32.62068965517241,1.3563275,0.57907563,32.019173,2.560501,2182.0505,-1.8202322,2182.5896
62,1900,2000,-649.1204384754097,-24.39480880659882,-649.1,2,0.0003,902,32.68852459016394,1.5948659,0.5615881,33.66501,2.534766,6455.627,-1.6323676,6460.873
64,2000,2100,-650.059202984127,-24.131590610485848,-650.1,2,0.0003,966,33.0,2.1136827,0.5453433,34.92951,2.4401934,11.772404,-1.7395,11.407717
65,2100,2200,-640.39005453125,-23.76204260870474,-640.4,2,0.0003,1028,33.5,5.3450747,0.53015536,31.118511,2.342013,13.64764,-1.5630767,16.464024
66,2200,2300,-631.5209109384616,-23.411595970009383,-631.5,2,0.0003,1076,33.98461538461538,3.7533565,0.5163486,36.07406,2.2861128,6269.923,-1.5976572,6275.3574
67,2300,2400,-625.3557826060606,-23.081536922663627,-625.4,2,0.0003,1137,35.56060606060606,1.3285681,0.5030063,28.963905,2.3705068,4137.1377,-1.7055407,4140.7583
67,2400,2500,-625.3557826060606,-23.081536922663627,-625.4,2,0.0003,1193,35.56060606060606,1.7852323,0.4894792,32.440636,2.3448925,4098.834,-1.6811967,4102.9595
67,2500,2600,-625.3557826060606,-23.081536922663627,-625.4,2,0.0003,1247,35.56060606060606,2.1713283,0.47631603,30.930838,2.304797,2032.2844,-1.7548578,2033.5454
68,2600,2700,-616.8601345373136,-22.739829772661082,-616.9,2,0.0003,1294,39.507462686567166,2.6006775,0.46369565,34.136047,2.2343915,4019.687,-1.9009712,4023.71
68,2700,2800,-616.8601345373136,-22.739829772661082,-616.9,2,0.0003,1336,39.507462686567166,3.1014557,0.45091578,27.986,2.356176,1993.7197,-2.0028193,1995.4406
68,2800,2900,-616.8601345373136,-22.739829772661082,-616.9,2,0.0003,1373,39.507462686567166,1.773341,0.4377241,28.701807,2.351737,1979.947,-2.4528632,1980.6564
70,2900,3000,-600.299693826087,-22.08821125670018,-600.3,2,0.0003,1412,43.20289855072464,2.1368737,0.42491782,32.261574,2.3268116,5871.051,-2.2147195,5877.4995
70,3000,3100,-600.299693826087,-22.08821125670018,-600.3,2,0.0003,1451,43.20289855072464,1.9913696,0.41226766,22.407494,2.3274703,4500.094,-2.6020026,4535.329
71,3100,3200,-592.5286598857144,-21.77905169881159,-592.5,2,0.0003,1489,44.385714285714286,4.588437,0.40052867,29.84334,2.301445,1932.4082,-2.4249895,1934.5437
71,3200,3300,-592.5286598857144,-21.77905169881159,-592.5,2,0.0003,1530,44.385714285714286,9.87767,0.38885438,30.213474,2.3046575,4.746348,-2.237661,5.213495
71,3300,3400,-592.5286598857144,-21.77905169881159,-592.5,2,0.0003,1566,44.385714285714286,3.5777266,0.37730667,27.557102,2.4819145,5706.917,-2.9113803,5713.0225
72,3400,3500,-586.0770477887326,-21.478617365049878,-586.1,2,0.0003,1599,47.985915492957744,4.0646305,0.3664258,27.162228,2.344784,1891.9655,-2.5892115,1892.9397
72,3500,3600,-586.0770477887326,-21.478617365049878,-586.1,2,0.0003,1626,47.985915492957744,4.8893247,0.35555834,30.413994,2.4412534,1875.4739,-2.2468998,1878.2146
72,3600,3700,-586.0770477887326,-21.478617365049878,-586.1,2,0.0003,1652,47.985915492957744,6.736083,0.34509933,26.39567,2.3538861,1860.0402,-2.899106,1862.1128
74,3700,3800,-572.0593803013697,-20.905499245217882,-572.1,2,0.0003,1676,51.863013698630134,4.645817,0.33557492,22.889668,2.111045,1841.8839,-2.6333687,1843.1984
75,3800,3900,-573.3487005,-20.743257196950687,-573.3,2,0.0003,1701,52.17567567567568,7.772085,0.3261529,28.931122,2.3028803,1836.5913,-2.8700533,1838.4762
75,3900,4000,-573.3487005,-20.743257196950687,-573.3,2,0.0003,1725,52.17567567567568,1.7246909,0.3170653,19.753563,2.1985466,1.6169312,-3.0156727,1.7858248
76,4000,4100,-566.4313606133333,-20.470177114384743,-566.4,2,0.0003,1749,54.25333333333333,6.5494633,0.3078479,27.910875,2.2267525,1800.2627,-2.7993631,1802.0127
76,4100,4200,-566.4313606133333,-20.470177114384743,-566.4,2,0.0003,1773,54.25333333333333,3.0765467,0.2991766,26.569592,2.109205,3566.819,-2.9084136,3569.792
79,4200,4300,-545.4743167692307,-19.69534826239626,-545.5,2,0.0003,1796,55.1025641025641,9.090378,0.2912642,24.812202,2.1075573,3534.6665,-2.9088385,3537.791
79,4300,4400,-545.4743167692307,-19.69534826239626,-545.5,2,0.0003,1815,55.1025641025641,3.7399435,0.28328514,25.95153,2.0566168,3506.6436,-2.8136783,3508.9705
80,4400,4500,-539.0919874936708,-19.45005858660774,-539.1,2,0.0003,1836,56.050632911392405,3.5875316,0.2757181,18.056747,2.181265,3.557323,-3.0988698,4.0173426
82,4500,4600,-526.5761233580247,-18.97918853739873,-526.6,2,0.0003,1857,56.72839506172839,9.0620575,0.26813903,23.33892,2.1389198,5181.2563,-3.6440296,5186.324
84,4600,4700,-514.2066402530121,-18.53158313273518,-514.2,2,0.0003,1878,56.1566265060241,4.754413,0.26061925,22.629278,2.095416,3451.0828,-3.563546,3453.3267
