#{"env_id": "highway-discrete-v0", "t_start": 1571343750.6930275}
r,l,t
-12.80896,32,7.137537
-638.766139,88,20.409853
-15.689605,51,28.164659
-18.257816,33,33.845819
-21.160283,41,40.735665
-16.240254,48,48.488576
-11.018275,27,52.954672
-6.503714,25,57.421296
-617.002838,28,62.963571
-8.533489,22,67.059454
-17.208862,28,71.805767
-624.701439,43,79.392198
-9.931723,30,84.692842
-56.409289,115,103.570652
-19.70649,39,110.044521
-25.964663,52,118.435775
-16.255377,28,122.982443
-84.008125,183,151.671057
-21.944769,48,159.447555
-622.589971,42,166.497352
-40.03519,88,180.118513
-10.660796,49,188.525276
-10.719357,26,192.48696
-9.886673,26,196.590895
-6.925084,21,200.971932
-42.404654,71,212.277776
-6.385152,21,216.620464
-12.286638,42,223.286133
-16.352992,29,228.280235
-12.322483,41,235.698896
-21.686619,57,245.169067
-641.186896,118,264.732658
-21.286864,46,273.04969
-16.815901,58,282.097184
-658.737695,121,302.837121
-653.479086,105,320.659536
-622.440562,36,326.495014
-8.661606,19,329.649055
-9.816972,26,334.70616
-27.235064,87,348.4504
-615.251743,36,355.115184
-8.069585,31,360.044208
-14.570727,36,365.932676
-7.566179,19,369.940144
-60.948188,97,386.133972
-27.490496,49,393.717132
-627.381927,64,404.726018
-20.015043,70,415.802289
-616.271106,37,422.759773
-39.752725,62,432.970546
-49.076538,71,445.621984
-93.432829,180,475.801418
-17.038535,31,480.821767
-20.811605,35,487.377421
-56.606685,130,509.008202
-609.561335,15,511.388478
-4.751352,22,515.228568
-25.197107,53,524.537716
-22.119194,50,532.402863
-36.363206,67,544.066081
-7.363419,19,547.066427
-14.007543,53,556.696594
-12.324961,34,562.017764
-17.123822,35,567.580357
-31.693681,70,579.67775
-31.583886,53,589.161809
-4.316966,15,591.602148
-19.207326,58,600.937167
-17.700198,58,610.888624
-5.405125,14,613.054791
-6.022081,17,615.75235
-13.806989,52,625.037221
-10.702025,25,629.089181
-633.43019,78,642.319125
-30.745748,70,653.30506
-4.832035,20,657.522402
-7.906486,24,661.174352
-26.485228,42,667.628702
-7.755026,22,672.418126
-15.65147,45,679.405653
-16.822232,26,683.556359
-28.402435,67,695.283179
-8.268734,17,697.98155
-67.538791,160,725.151441
-79.283191,180,755.403711
-44.511745,71,767.214285
-9.274234,26,771.514242
-55.259236,129,793.416605
-26.001982,55,802.241819
-19.533454,59,812.586136
-606.925899,15,815.15979
-6.828343,25,818.99205
-13.117244,33,825.306647
-7.80535,20,828.533353
-16.147032,40,835.464327
-7.737293,22,839.108216
-12.336527,40,846.244833
-36.900211,86,860.689955
-8.919552,33,865.754671
-24.695648,65,877.039801
-16.880736,43,883.748568
-16.506698,40,891.521054
-10.130817,28,896.060579
-8.918202,32,901.203904
-610.948428,23,904.818582
-6.524759,20,909.29405
-9.321146,21,912.589478
-9.911219,22,916.258186
-21.47696,49,924.235177
-29.155665,64,935.309999
-9.628391,25,939.221497
-36.61254,73,951.91098
-17.928937,28,956.269059
-61.822578,119,976.978706
-20.88858,66,987.058003
-10.190893,27,991.406579
-7.470257,21,996.378124
-7.534121,23,1000.175313
-614.205519,27,1004.510012
-24.473175,64,1015.818302
-37.584742,112,1034.62456
-97.126177,183,1065.608399
-32.278982,53,1074.106197
-10.489353,26,1080.104662
-18.411588,41,1086.521281
-9.097031,23,1090.110047
-5.549906,19,1093.023817
-9.078229,22,1099.130458
-621.257368,42,1105.798671
-18.216483,27,1110.140225
-32.370558,79,1124.647125
-24.430712,54,1135.203392
-31.270738,79,1147.44747
-16.475912,41,1155.570754
-11.095556,42,1161.98271
-67.276021,131,1186.722615
-13.305713,36,1192.357372
-25.673491,40,1199.372021
-28.851156,64,1211.602395
-38.34013,72,1224.002749
-8.191755,18,1226.905462
-11.591095,48,1234.93994
-6.997642,18,1238.949146
-7.2863,23,1242.889161
-606.330116,16,1245.573302
-16.734237,43,1252.649145
-25.370909,55,1262.446291
-21.845607,78,1275.599979
-18.876762,50,1283.290279
-8.816159,19,1286.444222
-613.475052,25,1291.451088
-20.90014,35,1296.91876
-19.069994,39,1303.388984
-13.793766,37,1310.005231
-27.68631,95,1325.881416
-56.727018,89,1340.781101
-43.961824,100,1358.994845
-13.417202,37,1364.79351
-26.11149,63,1375.830265
-13.922906,44,1382.573344
-17.417608,40,1388.915427
-35.404429,68,1400.260602
-21.784475,49,1409.662744
-22.888471,76,1421.719514
-14.559585,36,1428.488492
-9.291652,28,1432.923532
-34.314949,67,1444.35063
-63.212953,160,1470.853223
-31.796513,74,1483.873146
-9.074311,26,1487.929268
-55.746716,112,1507.050996
-25.388473,71,1519.408616
-40.306046,98,1536.119527
-16.042273,32,1541.274373
-8.457631,22,1545.633318
-647.800213,114,1564.661857
-16.475278,41,1571.177276
-13.789971,56,1580.975147
-613.094039,27,1585.145208
-53.337727,197,1618.643322
-14.030034,37,1624.698442
-16.238585,36,1631.557684
-7.189452,24,1635.285562
-14.759492,35,1640.703012
-8.043831,39,1647.665407
-21.306387,95,1664.92314
-20.995183,65,1676.552695
-17.863291,55,1686.405075
-10.702584,35,1692.33152
-46.251298,103,1710.200679
-7.670056,29,1714.854483
-7.582349,24,1720.599586
-16.585008,62,1730.32662
-42.025837,92,1745.633165
-9.133878,25,1750.513545
-17.536549,60,1760.174035
-7.070446,29,1764.79397
-17.120953,42,1772.695827
-7.609348,28,1777.15559
-4.335227,16,1779.64689
-12.756396,29,1785.086405
-12.603153,30,1789.978848
-15.973792,57,1798.87553
-17.819533,42,1806.559249
-637.404324,102,1823.566398
-13.409662,43,1830.249281
-19.736732,32,1836.172261
-13.657154,43,1843.074643
-11.073557,33,1848.401656
-18.786063,63,1859.425335
-8.120958,28,1863.931524
-25.882198,63,1874.973196
-8.620616,30,1879.794076
-6.076683,25,1883.980283
-17.244456,58,1894.119139
-7.420926,19,1897.24154
-34.368845,123,1917.321461
-15.958128,41,1925.055949
-24.726385,83,1938.878742
-9.376561,29,1944.621169
-14.573714,34,1950.097673
-26.628508,75,1962.81825
-14.750117,48,1972.258987
-19.288793,48,1979.950177
-6.640044,20,1983.077875
-33.100008,86,1997.657658
-40.851821,101,2015.531991
-12.411387,34,2021.415879
-7.643689,18,2025.564831
-612.512007,25,2029.635783
-4.490527,15,2031.980677
-6.971758,18,2034.771527
-10.702393,29,2039.371815
-7.941422,22,2043.964263
-7.067237,26,2048.003379
-27.227836,62,2058.670836
-6.944871,28,2063.142135
-24.852685,67,2074.368899
-20.297153,63,2084.485816
-31.073802,64,2095.509057
-13.29174,36,2101.229229
-5.781277,18,2104.047519
-12.241263,29,2109.658679
-23.351092,53,2118.259283
-14.256297,35,2124.658952
-5.050637,24,2128.416844
-14.996866,38,2134.79788
-29.309686,65,2145.755036
-7.424472,21,2149.362282
-6.580569,39,2155.486994
-620.671318,43,2163.744746
-14.29396,31,2168.59658
-6.893521,16,2171.168616
-11.108746,36,2177.767551
-25.69778,65,2188.271663
-11.304312,26,2193.376024
-6.4701,19,2196.350641
-11.297086,44,2203.545512
-25.509821,68,2215.332482
-22.096203,75,2228.340936
-28.314568,74,2240.083553
-14.55593,47,2248.331061
-19.862201,58,2257.320412
-12.736593,37,2264.018234
-41.149066,89,2278.878668
-20.811958,50,2286.823671
-6.39948,21,2290.272042
-37.933349,94,2305.792699
-5.000911,19,2309.909808
-11.245526,36,2315.390775
-12.669759,43,2322.238039
-15.622364,59,2332.415601
-7.36751,18,2335.279055
-19.482471,54,2344.91375
-14.684584,37,2351.285846
-21.946148,45,2358.683925
-11.71758,38,2365.533161
-27.173764,76,2378.707119
-18.076505,49,2386.563781
-14.951499,37,2392.710703
-11.530196,38,2399.65132
-5.565056,25,2403.596523
-16.760512,55,2413.507987
-6.908479,37,2419.388821
-32.672229,71,2431.748716
-19.34536,45,2439.250307
-8.860225,39,2446.336409
-15.420326,35,2451.767294
-25.832935,70,2463.866556
-7.425012,27,2468.072995
-8.827552,30,2472.82496
-26.211855,82,2486.571842
-11.084191,28,2490.94271
-16.094252,41,2498.705825
-22.072186,87,2513.143765
-15.533239,39,2519.187468
-5.334395,22,2522.785542
-17.665096,46,2531.132603
-5.689706,20,2534.137366
-9.783361,24,2537.961812
-14.033376,46,2546.327042
-7.660035,28,2550.774385
-3.955205,23,2554.587059
-17.747399,48,2562.386989
-16.827804,32,2568.409584
-11.041223,30,2573.172482
-25.449749,83,2586.805209
-6.116814,17,2589.502748
-9.228183,28,2593.907621
-30.123203,79,2609.094483
-17.273009,62,2620.945225
-16.740211,42,2627.565852
-17.427,69,2640.331218
-17.356048,64,2652.955055
-7.192852,26,2657.197662
-6.78437,24,2661.057918
-7.794225,17,2663.693128
-21.089917,47,2672.786863
-16.210932,52,2680.864133
-8.857216,36,2687.512101
-15.910439,54,2695.740192
-15.297477,30,2700.55477
-10.131335,37,2707.390053
-7.284019,25,2711.346163
-637.418939,115,2730.600457
-9.458648,24,2734.511516
-23.332181,70,2746.415464
-42.781146,127,2767.437125
-21.793573,55,2777.14336
-5.323868,22,2780.569849
-27.778626,72,2792.96711
-14.077199,32,2797.934697
-50.998613,143,2823.211145
-10.507745,24,2826.904301
-30.128754,83,2841.508035
-15.702354,41,2848.557625
-14.952626,52,2858.61572
-28.182382,79,2871.102198
-19.126097,52,2879.993062
-52.107907,132,2901.714731
-21.681351,56,2911.406046
-24.037274,59,2920.754169
-7.705574,28,2926.066149
-8.278283,33,2931.067132
-14.06952,50,2939.917894
-9.524948,30,2944.577754
-8.085661,46,2951.613451
-4.516254,22,2956.241002
