steps,episodes,mean 100 episode reward per step,% time spent exploring,mean 100 episode reward
0,1,-inf,100,-inf
100,2,-0.40028000343590975,99,-12.8
200,4,-2.6555418146600416,99,-222.4
300,7,-1.5623892743610368,99,-120.5
400,11,-3.246626998124068,99,-136.6
500,14,-3.6876823135132573,99,-155.2
600,14,-3.6876823135132573,98,-155.2
700,16,-3.262378682934676,98,-139.6
800,18,-2.942091168905859,98,-125.7
900,18,-2.942091168905859,98,-125.7
1000,20,-2.6806207024660167,98,-118.0
1100,22,-3.1528718773083346,97,-138.3
1200,25,-2.80085067929172,97,-122.3
1300,27,-2.621055033107271,97,-114.8
1400,30,-2.389928310580518,97,-104.2
1500,32,-2.257707624929774,97,-98.5
1600,33,-2.356960113421615,96,-115.5
1700,35,-2.2404532607811687,96,-109.8
1800,35,-2.2404532607811687,96,-109.8
1900,36,-2.331986401269883,96,-125.5
2000,39,-2.778658525895612,96,-149.4
2100,41,-2.6569911633734264,95,-142.9
2200,44,-2.8845354499249907,95,-147.7
2300,45,-2.828028279802059,95,-144.5
2400,47,-2.730926232409086,95,-140.2
2500,49,-2.8273203852585578,95,-147.8
2600,51,-3.0601705463405158,94,-155.0
2700,52,-3.0137205130389337,94,-152.9
2800,52,-3.0137205130389337,94,-152.9
2900,54,-2.9201593885543913,94,-149.3
3000,55,-2.8770937940213477,94,-146.9
3100,58,-3.4500332242587946,93,-150.9
3200,60,-3.348638894513266,93,-146.6
3300,62,-3.2540979926802684,93,-142.5
3400,65,-3.119000339262284,93,-136.5
3500,66,-3.077981362747856,93,-134.9
3600,69,-2.9600539629725695,92,-129.8
3700,72,-2.8497065602310214,92,-124.7
3800,74,-2.781133778102198,92,-121.6
3900,76,-2.8211052086198367,92,-127.2
4000,79,-2.7280067949335196,92,-122.8
4100,82,-2.6436030932724623,91,-118.8
4200,84,-2.5908694412575173,91,-116.4
4300,84,-2.5908694412575173,91,-116.4
4400,85,-2.565050965093684,91,-115.8
4500,86,-2.5400558028115965,91,-115.3
4600,88,-2.492969776253712,90,-113.3
4700,88,-2.492969776253712,90,-113.3
4800,90,-2.4470730338752693,90,-111.7
4900,93,-2.813646042048671,90,-114.9
5000,97,-2.712485068434969,90,-110.6
5100,98,-2.6877008221596705,90,-109.6
5200,100,-2.6404680952149286,89,-107.8
5300,103,-2.5493253107928995,89,-100.8
5400,106,-2.8075900399338467,89,-106.6
5500,110,-2.5937553423599358,89,-100.5
5600,112,-2.5921373906867236,89,-100.7
5700,114,-2.45496602007725,88,-94.9
5800,114,-2.45496602007725,88,-94.9
5900,117,-2.4521492298436662,88,-94.8
6000,120,-2.671497798627513,88,-99.8
6100,121,-2.527086024822957,88,-93.9
6200,122,-2.52589235198026,87,-93.8
6300,122,-2.52589235198026,87,-93.8
6400,124,-2.5309916651293634,87,-94.9
6500,128,-2.5302796355131503,87,-94.7
6600,131,-2.6775015332460255,87,-100.8
6700,132,-2.677794402239432,86,-100.9
6800,134,-2.6273114776700273,86,-94.8
6900,136,-2.576631366860553,86,-88.3
7000,136,-2.576631366860553,86,-88.3
7100,139,-2.3521863458429895,86,-76.6
7200,140,-2.3529185805383266,85,-76.7
7300,143,-2.1885725639207827,85,-70.8
7400,147,-2.558552857316655,85,-76.1
7500,148,-2.465137323768056,85,-70.1
7600,151,-2.300522698512569,85,-63.8
