#{"t_start": 1565715864.7392898, "env_id": "highway-continuous-v0"}
r,l,t
-691.391258,74,3.651025
-711.424194,80,6.109061
-667.294035,54,7.495095
-642.673527,50,8.728114
-674.54006,70,10.506974
-654.121073,48,11.743373
-637.572189,33,12.579663
-659.173783,22,13.144991
-609.600439,30,14.129422
-648.989952,20,14.63615
-661.819619,19,15.111655
-674.319346,61,16.69816
-885.206746,48,17.948571
-652.76904,52,19.271288
-702.70137,38,20.303652
-668.26356,22,20.88124
-618.62928,49,22.136603
-640.723894,60,23.630011
-761.046572,34,24.504085
-647.356719,54,25.856038
-641.321588,25,26.497474
-644.668344,36,27.382549
-610.118238,44,28.495651
-656.804447,39,29.446239
-658.018663,26,30.118247
-646.670408,18,30.590503
-653.466472,19,31.095356
-730.686778,60,32.61686
-687.847594,72,34.482367
-609.76979,30,35.219753
-732.981401,65,36.846322
-686.318437,39,37.851135
-647.42696,29,38.586299
-632.284428,22,39.172925
-1010.163387,78,41.16045
-635.022517,25,41.799235
-642.838829,41,42.812073
-643.26816,50,44.076437
-676.13144,43,45.191396
-666.007977,38,46.124858
-647.234099,17,46.572557
-659.463901,45,47.707886
-665.295328,43,48.795647
-678.664557,80,50.816485
-648.390144,19,51.312874
-664.733216,20,51.807291
-607.793868,28,52.489637
-753.695968,125,55.634367
-609.564403,28,56.358754
-612.904119,38,57.350652
-632.723378,27,58.050899
-649.383468,37,58.984419
-648.757523,55,60.353559
-649.637913,19,60.848972
-645.493467,32,61.62877
-715.478418,37,62.530493
-658.108897,38,63.490822
-657.998508,47,64.633702
-636.563884,32,65.413873
-637.452548,28,66.128822
-634.84061,26,66.776858
-636.837308,36,67.682007
-743.058976,95,70.104702
-648.514905,18,70.562008
-654.416791,50,71.798459
-635.800434,29,72.517008
-639.578035,18,72.976295
-655.991638,19,73.449057
-660.460223,67,75.134756
-651.805143,45,76.252745
-686.353304,120,79.260303
-679.348543,43,80.315123
-654.012812,74,82.171248
-664.432197,40,83.12896
-686.838501,70,84.880397
-665.183857,24,85.481364
-643.73887,23,86.079025
-624.34172,22,86.610141
-665.735647,24,87.199954
-671.689137,22,87.758126
-655.594833,39,88.727303
-650.760106,28,89.424082
-632.325438,29,90.153437
-643.247793,47,91.294405
-645.029628,34,92.147024
-679.224325,50,93.40664
-638.217245,53,94.752395
-661.994727,49,95.991102
-655.551161,48,97.208271
-616.990271,49,98.402646
-979.169962,95,100.82114
-645.404397,31,101.60198
-634.045082,27,102.278883
-633.50268,32,103.113923
-663.876334,33,103.957945
-641.292757,37,104.912036
-644.849004,41,105.942845
-632.415389,45,107.093329
-911.384525,94,109.458045
