total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
100,2,74.0,0,46,-691.391258,0.0003,-9.343125095439923,-691.4,2,,,,,,,
200,5,77.0,100,38,-701.407726,0.0003,-9.117963758873678,-701.4,3,2.9182599,2.4901714,4.563039,4.3083878,-0.09912201,0.3039235,0.97069246
300,7,64.5,200,38,-678.1957535,0.0003,-10.861673754146508,-678.2,5,9.474396,2.5427165,23.947418,24.945473,-0.19597936,0.42059913,0.9425108
400,10,62.666666666666664,300,38,-673.5740245000001,0.0003,-11.1184173212586,-673.6,7,8.272025,2.255196,5337.2236,5327.169,-0.18179093,1.7753942,0.9172346
500,13,45.45454545454545,400,38,-659.872739,0.0003,-18.50867652698348,-659.9,12,15.890818,2.5977902,25.801895,28.264427,-0.36625856,0.39820686,0.89307547
600,15,46.75,500,38,-661.0766229166667,0.0003,-17.88748810896941,-661.1,13,17.683397,2.5874803,2645.3374,2647.9973,-0.38741827,0.6737259,0.8676284
700,18,46.6,600,38,-678.2397754,0.0003,-17.609137107737105,-678.2,16,19.688171,2.4705458,5179.8086,5171.666,-0.5003711,0.992889,0.8440161
800,20,45.294117647058826,700,38,-674.1464394705881,0.0003,-18.066927076923,-674.1,18,22.832026,2.4546404,21.31148,21.657894,-0.589126,1.0943654,0.81933796
900,23,45.473684210526315,800,38,-676.9610493157894,0.0003,-17.90527445277155,-677.0,20,25.13757,2.4781346,19.723322,21.363337,-0.60120225,1.3206398,0.7961339
1000,25,44.5,900,38,-672.5275721818181,0.0003,-17.98857361418778,-672.5,23,29.687252,2.5011737,2534.901,2534.0745,-0.7725469,0.5278671,0.77335036
1100,28,43.52,1000,38,-668.82191744,0.0003,-18.0705797158963,-668.8,26,27.58262,2.439702,5002.661,5000.245,-0.66972387,0.96817666,0.75133324
