n_updates,mean 100 episode reward,episodes,fps,total timesteps,time_elapsed,mean 100 episode reward per step,current_lr,entropy,value_loss,qf1_loss,policy_loss,qf2_loss,eplenmean,ent_coef,ep_rewmean,ent_coef_loss
0,-inf,1,49,100,2,-inf,0.0003,,,,,,,,,
100,-643.7,3,39,200,5,-8.726124671904982,0.0003,2.377208,1.6797152,2730.7139,1.4997563,2731.775,96.5,0.9711943,-643.6630425,-0.073030666
200,-645.2,7,39,300,7,-24.557003497455877,0.0003,2.0972652,1.7472227,5345.6436,3.4033854,5336.536,46.0,0.94951946,-645.199159,-0.10594201
300,-647.7,11,39,400,9,-26.21995620079391,0.0003,2.3670115,2.701071,5257.3833,10.988079,5244.942,37.6,0.9249045,-647.7488012,-0.17670491
400,-644.4,15,39,500,12,-24.82465276414693,0.0003,2.2758918,1.2822936,4.8694677,6.155693,5.374633,35.5,0.89828855,-644.4193331428571,-0.282635
500,-642.0,17,39,600,15,-23.887730836661547,0.0003,2.3953996,2.9284785,7631.5693,11.278398,7610.427,35.625,0.8723846,-641.9626715625,-0.38137084
600,-647.9,21,39,700,17,-24.05142525761695,0.0003,2.1606507,1.7908599,5032.365,9.9236145,5018.887,34.2,0.8472115,-647.94180415,-0.3795184
700,-645.7,25,39,800,20,-24.275699738751612,0.0003,2.2309065,2.50485,10225.025,13.820923,10203.012,33.083333333333336,0.8236227,-645.6822629166667,-0.473731
800,-645.5,29,39,900,22,-24.908871728993656,0.0003,2.2930703,2.4752398,2464.8062,15.253681,2457.6328,32.0,0.8014766,-645.5498924642858,-0.5747084
900,-645.3,31,39,1000,25,-25.198066442719234,0.0003,2.1481917,2.1545784,4864.6074,18.07183,4850.815,31.4,0.7798736,-645.27157,-0.5333405
1000,-645.4,33,39,1100,27,-24.747777789381438,0.0003,1.9761314,7.6687455,2404.7043,19.82896,2398.3494,32.65625,0.7589364,-645.3992604687501,-0.4476741
1100,-643.9,36,39,1200,30,-24.198561767925884,0.0003,2.2786908,1.8391881,7117.4546,19.606823,7096.1562,33.42857142857143,0.7381843,-643.8567489142858,-0.7236086
