mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-9.980313209730845,1,100,65.0,-648.7,-648.720359,0.0003,67,2,0,,,,,,,
-12.23490721057155,3,200,62.333333333333336,-649.3,-649.251088,0.0003,52,4,100,0.97154784,-0.084013805,4.6103325,2.4746017,12.883919,1.7173171,14.140703
-13.89105891326686,5,300,56.4,-652.1,-652.1024206,0.0003,51,6,200,0.9436962,-0.14730348,5.361695,2.3481686,5343.6216,1.5382017,5329.4727
-18.730849108157315,7,400,43.111111111111114,-645.5,-645.5171453333334,0.0003,51,10,300,0.91803104,-0.25394735,7.6702914,2.5119183,7890.7266,1.3773575,7861.967
-20.629937556475795,9,500,39.25,-651.4,-651.438606,0.0003,50,13,400,0.88902116,-0.38466662,9.426493,2.4212284,2592.6663,0.86060625,2584.067
-20.70731861563715,11,600,37.25,-650.2,-650.1820176250001,0.0003,50,17,500,0.8619881,-0.46370214,9.554266,2.415018,10188.45,0.8713156,10148.348
-20.240651229867286,13,700,38.166666666666664,-650.6,-650.5591124444445,0.0003,51,19,600,0.83538616,-0.59054685,8.385718,2.6711903,2.6769872,0.52080953,2.1370847
-21.30330986767453,15,800,36.18181818181818,-657.4,-657.4133433181819,0.0003,51,23,700,0.80932707,-0.6983937,13.985725,2.6371484,4962.1914,1.0426794,4940.9023
-20.8363215994557,17,900,37.56521739130435,-660.1,-660.0586510434783,0.0003,51,24,800,0.78422916,-0.8027683,10.806694,2.493249,5250.559,0.4749868,5249.697
-20.691900447630015,19,1000,39.08,-670.2,-670.1659942800001,0.0003,51,26,900,0.7598822,-0.92740405,11.950039,2.4795318,2433.8208,0.38302082,2423.3936
-20.214792196205003,21,1100,40.84615384615385,-671.5,-671.4827753461539,0.0003,51,27,1000,0.7364422,-1.0084426,11.633134,2.5963445,4817.769,0.32943845,4797.1562
-19.78603803534774,23,1200,41.464285714285715,-673.4,-673.4485344999999,0.0003,51,29,1100,0.7138674,-1.1205567,18.619282,2.4537332,2390.46,0.7966852,2380.145
