#{"t_start": 1565707008.910125, "env_id": "highway-continuous-v0"}
r,l,t
-721.992266,42,2.161039
-950.835493,93,3.982638
-657.890879,58,5.147316
-637.986449,34,5.796673
-640.8975,40,6.565426
-637.543753,25,7.04148
-644.697509,16,7.352619
-634.935396,29,7.913002
-632.368895,22,8.335021
-643.980959,18,8.677796
-633.235358,21,9.090132
-635.4723,27,9.614002
-665.892707,20,10.188474
-626.24398,27,10.7026
-626.311913,28,11.239124
-636.860704,15,11.528224
-639.20842,30,12.108214
-637.645939,29,12.661463
-634.603931,28,13.196606
-637.074631,30,13.787966
-656.108067,17,14.114971
-675.482676,26,14.612624
-646.532098,34,15.261468
-729.675156,29,15.819916
-627.738537,32,16.432406
-676.437782,78,17.938205
-666.136287,22,18.367951
-643.855264,16,18.674741
-643.950664,61,19.844651
-668.815949,21,20.250541
-766.075525,75,21.729798
-648.183206,49,22.673163
-632.589054,23,23.112824
-611.248546,33,23.751544
-648.808316,20,24.133769
-655.774722,39,24.88841
-636.474125,25,25.371794
-675.5156,27,25.889081
-648.978764,17,26.219175
-638.565269,15,26.510082
-651.524392,31,27.120893
-657.206082,18,27.466916
-646.839839,33,28.10389
-644.814232,29,28.653254
-635.684936,31,29.252759
-711.320796,32,29.87853
-745.326197,39,30.633123
-645.98345,28,31.171905
-660.373381,33,31.808895
-720.776429,76,33.30646
-621.017586,62,34.493219
-615.50974,38,35.23191
-612.593469,39,35.990309
-673.48328,43,36.822248
-930.720503,71,38.19942
-675.495066,69,39.552016
-635.063352,26,40.05206
-638.798283,29,40.609817
-661.512454,32,41.235935
-636.916125,15,41.531928
-644.711154,25,42.026285
-645.072736,34,42.671551
-633.99805,28,43.224555
-626.030331,26,43.722929
-657.065728,23,44.175071
-647.413995,32,44.784747
-708.125118,40,45.559133
-656.546205,18,45.907934
-647.283598,18,46.254124
-677.842121,23,46.699793
-639.992421,23,47.150082
-646.860095,39,47.907578
-675.689977,43,48.748141
-635.046664,37,49.465583
-631.630694,22,49.893659
-658.336801,19,50.262814
-653.902915,27,50.795254
-653.659376,32,51.412361
-660.969083,30,51.996654
-659.504209,28,52.532334
-669.124586,38,53.279031
-739.406462,99,55.156108
-634.345946,28,55.692468
-672.636991,46,56.574682
-641.855999,31,57.164239
-645.474343,29,57.721615
-658.679054,22,58.145207
-647.668499,38,58.903371
-638.010691,29,59.463796
-676.695654,35,60.138966
-884.019182,138,62.796207
-613.44292,37,63.510873
-764.563962,68,64.839989
-678.972694,135,67.508529
-641.037908,52,68.506645
-664.773366,163,71.623602
-146.06406,300,77.388291
-769.007803,258,82.417955
-145.840996,300,88.198557
-623.547318,69,89.577944
-626.559285,77,91.055405
-705.314168,203,94.992394
-606.242173,25,95.477236
-614.080471,44,96.322254
-651.815367,125,98.758324
-610.857322,26,99.257507
-671.744939,181,102.858463
-609.734788,29,103.410932
-652.388531,46,104.309012
-270.17887,300,110.150187
-617.503969,44,110.982494
-700.940105,213,115.14171
-665.670411,202,119.080121
-613.188319,32,119.694615
-121.698043,300,125.179232
-621.652627,50,126.136225
-76.211726,300,131.989903
-692.23242,289,137.591558
-108.141157,300,143.418646
-652.610336,156,146.334836
-118.913084,300,152.094997
-697.983664,241,156.855053
-137.286269,300,162.696337
-610.055089,36,163.386189
-685.71776,241,167.729397
-138.728785,300,173.207074
-120.330479,300,179.026499
-119.888142,300,184.833506
-94.609087,300,190.723081
-152.215167,300,196.470777
-134.95816,300,202.430428
-631.638414,95,204.240082
-775.86236,300,210.00843
-625.73666,72,211.405742
-558.402203,300,217.200954
-149.806116,300,222.730386
-627.246873,62,223.91479
-610.963713,30,224.488765
-620.937952,51,225.483462
-703.24328,230,229.974509
-663.958,151,232.98831
-611.03193,28,233.519612
-167.092712,300,239.418012
-643.455719,93,241.203752
-657.094049,45,242.074985
-162.245839,300,248.01587
-629.074816,144,250.84923
-103.014934,300,256.735357
-129.179322,300,262.619462
-607.851997,27,263.152111
-152.108283,300,268.678317
-153.727215,300,274.547464
-628.024846,68,275.830782
-174.207686,300,281.664002
-651.418059,152,284.584499
-616.239948,35,285.26223
-644.107724,89,286.959975
-160.054671,300,292.738518
-620.608498,82,294.324796
-636.658303,74,295.73706
-658.472497,165,298.882745
-643.7975,143,301.597984
-653.997614,149,304.425875
-644.047829,145,307.307366
-117.018785,300,313.230213
-629.48984,75,314.653145
-649.975649,131,317.164229
-676.07661,88,318.862299
-619.617851,65,320.083798
-613.166074,33,320.72123
-609.818335,33,321.34625
-258.746196,300,326.897237
-621.859981,51,327.857122
-81.980007,300,333.521938
-640.636944,106,335.542636
-157.204615,300,341.534691
-634.249488,98,343.405058
-658.42406,159,346.421174
-349.110246,300,352.29815
-647.57208,123,354.625744
-99.926945,300,360.351939
-607.395109,28,360.892241
-952.295051,96,362.73434
-630.619052,65,363.949288
-673.640792,202,367.922163
-625.035434,76,369.378974
-74.355688,300,375.253386
-734.314436,119,377.526609
-624.534843,83,379.108176
-605.100081,24,379.557617
