#{"t_start": 1571343743.9311638, "env_id": "highway-discrete-v0"}
r,l,t
-634.015103,84,14.172383
-9.772545,25,17.931162
-25.265102,42,24.202244
-35.779336,61,33.207277
-23.183942,57,41.922825
-17.846407,31,46.855147
-36.102546,77,59.051341
-677.395782,145,80.853833
-43.765345,67,92.098417
-35.667683,73,103.20322
-129.84843,235,137.774703
-640.91046,85,150.436146
-18.06597,32,155.545631
-645.869565,90,169.475864
-8.352624,23,173.119544
-11.774456,19,176.104282
-28.162795,78,187.987189
-101.842384,188,217.063952
-40.903794,93,231.540879
-139.339113,300,300.922206
-633.957407,71,312.219909
-18.167861,30,316.829722
-16.607005,32,321.959336
-41.432754,66,332.250241
-619.654653,31,337.43355
-32.968708,75,349.177391
-11.950512,40,355.536358
-21.537476,55,364.172204
-30.884249,85,377.581966
-610.023267,17,380.176101
-604.627392,13,382.223765
-610.758182,20,385.598283
-10.065844,32,390.934908
-16.696523,58,399.947236
-7.226824,19,403.08114
-11.821226,52,411.203463
-3.535714,19,414.329292
-6.385985,17,417.018031
-41.326278,101,432.651141
-666.090908,142,454.671837
-26.549719,70,465.7705
-28.669594,51,473.818348
-77.451759,201,505.257041
-15.996633,52,513.274387
-10.44154,42,519.838224
-21.402812,58,529.443794
-15.018317,60,538.786604
-618.272054,33,544.414912
-29.706369,61,553.866489
-17.867721,43,560.922908
-611.30855,20,564.102207
-22.742446,39,570.213533
-131.459931,242,608.206919
-39.799926,86,621.804836
-12.879534,42,628.64526
-30.049909,74,640.00136
-10.635795,31,645.213197
-15.200469,49,652.854761
-30.727032,99,668.233809
-12.152395,25,672.077628
-46.446506,77,684.375379
-78.865897,146,707.423605
-8.86493,24,711.1837
-5.501069,19,714.530917
-11.943285,34,719.850748
-9.536909,30,724.365302
-20.17045,40,730.862259
-15.939803,46,737.979111
-66.610534,118,756.278459
-13.156094,47,763.886955
-12.159265,25,767.768086
-16.487654,36,773.244299
-5.285314,18,776.278611
-634.055892,51,784.251127
-38.587583,84,797.491457
-8.115925,18,800.32586
-9.345133,31,805.210921
-10.008134,33,810.56382
-57.429585,141,832.603187
-623.847285,40,838.836003
-32.954208,72,850.24842
-7.692477,33,855.300443
-21.843015,40,861.65087
-8.233453,22,865.274489
-12.106942,27,869.697147
-24.896478,50,877.427488
-5.318309,22,881.302049
-11.149331,39,887.543125
-5.515591,23,891.11918
-37.738025,95,906.059492
-8.356543,28,910.419709
-20.364084,38,916.629423
-30.128564,79,929.016029
-21.066933,32,934.430433
-5.420962,18,937.278483
-29.631185,76,949.546338
-9.382576,19,952.512461
-11.0531,33,957.709876
-10.177371,23,961.240983
-16.78079,50,969.418248
-22.745219,54,977.855038
