#{"t_start": 1571870523.6393092, "env_id": "highway-continuous-v0"}
r,l,t
-14.706708,35,11.734268
-686.702269,56,21.205337
-10.766751,24,26.093772
-689.433858,41,32.932662
-13.309898,54,42.238769
-714.528111,65,52.111024
-754.395238,110,68.266586
-663.299704,22,71.632168
-656.862094,70,82.415681
-718.334782,40,88.388007
-678.634364,112,105.686368
-723.184891,110,123.464854
-669.523351,32,129.287915
-700.044616,28,134.25844
-752.852837,75,147.048502
-664.47546,78,158.97087
-652.938484,24,162.639864
-680.860147,90,178.694826
-10.886065,24,182.436296
-706.671723,122,202.392657
-666.12248,44,209.335221
-1053.641493,77,221.094148
-22.172331,86,234.816625
-701.423634,135,256.581248
-1074.9609,92,270.608629
-12.05483,30,275.545479
-689.266151,73,287.627268
-11.130446,26,291.916556
-6.781693,26,296.216879
-12.374323,27,300.590507
-546.80146,223,336.284343
-11.189129,38,342.87973
-723.380175,54,351.668494
-628.011917,20,354.97203
-15.837578,57,363.808524
-703.551826,62,373.187782
-692.434402,114,390.626593
-17.999252,64,401.194709
-664.766301,59,410.208451
-11.644847,26,414.374994
-693.266988,46,421.70345
-1004.206918,95,436.733844
-667.720013,84,449.831302
-642.671064,38,455.727614
-764.283515,126,475.132864
-30.65498,100,490.821348
-693.14107,67,500.83975
-78.039903,55,509.293175
-18.41686,66,519.276149
-999.084568,139,541.171764
-657.989651,63,551.26952
-13.782501,35,556.82481
-737.42619,73,567.913359
-28.076755,75,579.5661
-354.416274,105,595.526693
-661.076803,90,610.21397
-716.776162,40,616.447388
-705.031411,95,630.91163
-25.951538,81,643.594544
-7.573785,38,649.621583
-692.056896,54,658.333567
-24.199971,72,669.638123
-11.404785,48,677.141812
-29.664368,90,690.741263
-672.738283,85,703.932359
-11.172431,52,712.17612
-114.379281,51,720.238258
-24.792924,69,730.929713
-694.975227,110,748.092936
-699.541651,127,767.664702
-24.023068,44,774.429555
-678.94562,28,779.302271
-19.687284,58,788.111214
-524.278089,300,836.835162
-28.693778,96,851.272758
-709.159756,55,859.524621
-654.119708,56,868.285914
-658.824477,66,879.613313
-698.099971,173,906.965664
-36.379867,113,924.179031
-705.986205,62,934.047839
-34.020954,89,948.584345
-669.295523,62,958.446909
-731.354887,89,972.616389
-10.676812,25,976.525488
-14.042546,52,985.389568
-665.517166,56,994.032678
-695.992734,137,1016.135104
-17.266783,65,1026.585382
-1459.252555,243,1064.934016
-21.338479,77,1076.866779
-52.402156,155,1101.321691
-36.038488,127,1120.482501
-695.679231,113,1138.446718
-122.98303,300,1184.085795
-12.285962,68,1194.738042
-14.536035,72,1206.250802
-844.277902,244,1243.376745
-25.546193,65,1253.052561
-372.260575,66,1262.851804
-8.648448,27,1266.998967
-669.893485,59,1276.524719
-205.802468,254,1316.848182
-236.337912,94,1330.93147
-347.469837,104,1347.49001
-211.79076,241,1385.563983
-71.656351,78,1397.816313
-8.58039,33,1403.00622
-29.165488,57,1411.782084
-29.050461,81,1424.487568
-17.44424,40,1431.065431
-749.36639,117,1449.276972
-665.179298,82,1462.599637
-15.120308,64,1473.666636
-664.053592,44,1480.755932
-714.276577,62,1490.390477
-18.987199,76,1502.075558
-716.537762,250,1543.253068
-23.426702,72,1554.702065
