EpisodesSoFar,TimeElapsed,entloss,EpRewMean,surrgain,EpThisIter,explained_variance_tdlam_before,entropy,optimgain,EpLenMean,EpRew/step,TimestepsSoFar,meankl
17,166.43791127204895,0.0,-574.3525538823529,0.04073396,17,8.940696716308594e-05,2.7940218,0.04073396,57.411764705882355,-12.34451947783107,1024,0.0095245885
30,329.8886249065399,0.0,-513.7446544,0.019969655,13,-0.0002923011779785156,2.8223944,0.019969655,60.93333333333333,-11.060809066022415,2048,0.008371646
46,490.90782475471497,0.0,-527.5328100500001,0.034505606,16,-0.0011920928955078125,2.826746,0.034505606,68.975,-9.338695447761674,3072,0.008955357
60,650.3713746070862,0.0,-444.128302925,0.025482574,14,-0.005257248878479004,2.8181098,0.025482574,71.1,-6.70480627152142,4096,0.009793543
73,811.4878237247467,0.0,-398.28537152499996,0.032501582,13,6.9141387939453125e-06,2.8029115,0.032501582,70.025,-6.412708907693519,5120,0.009369941
85,973.6119966506958,0.0,-372.14775667500004,0.038379688,12,2.199411392211914e-05,2.7843683,0.038379688,79.9,-5.275308293216413,6144,0.0113416575
94,1134.956264257431,0.0,-382.170698175,0.0402134,9,-1.1563301086425781e-05,2.7918723,0.0402134,88.7,-5.0180343752295276,7168,0.010391213
102,1292.9557774066925,0.0,-354.254417925,0.026480962,8,-0.00011086463928222656,2.7901545,0.026480962,96.85,-4.323716301300493,8192,0.0034830472
112,1453.3236815929413,0.0,-327.8800844,0.015852775,10,-9.131431579589844e-05,2.7752337,0.015852775,106.725,-3.536601740506927,9216,0.012179955
122,1618.9721765518188,0.0,-343.616130075,0.030843195,10,5.137920379638672e-05,2.7665884,0.030843195,105.9,-3.5370673725597386,10240,0.007915858
130,1782.3865189552307,0.0,-290.91606459999997,0.012593964,8,0.0011265277862548828,2.7207944,0.012593964,114.4,-3.226822932354699,11264,0.009524
141,1940.2799897193909,0.0,-312.251536675,0.031376418,11,6.002187728881836e-05,2.70767,0.031376418,106.15,-4.000259949906157,12288,0.011306757
151,2096.389018058777,0.0,-431.57673109999996,0.028255247,10,0.00023233890533447266,2.7174087,0.028255247,103.2,-5.852065160435574,13312,0.009993836
159,2257.872611761093,0.0,-424.1404878,0.030326592,8,-5.7220458984375e-05,2.707923,0.030326592,109.175,-6.165978175227553,14336,0.010181089
170,2471.3606131076813,0.0,-400.52346374999996,0.036113165,11,3.55839729309082e-05,2.733208,0.036113165,101.625,-6.499151637803085,15360,0.008628283
176,2631.4043419361115,0.0,-424.6415172249999,0.023995243,6,7.814168930053711e-05,2.6931283,0.023995243,107.65,-6.596872892169216,16384,0.010962747
187,2790.624261856079,0.0,-371.00413987499996,0.028774653,11,0.00020766258239746094,2.7122793,0.028774653,111.25,-5.494519632598786,17408,0.009292956
194,2953.680177927017,0.0,-354.42242,0.03095084,7,3.337860107421875e-05,2.701275,0.03095084,118.3,-4.975347400585152,18432,0.008270773
200,3115.190058708191,0.0,-317.8396778,0.04639946,6,-0.00010669231414794922,2.724785,0.04639946,120.5,-4.4099205577825344,19456,0.009522317
207,3268.6969814300537,0.0,-265.29488127499997,0.032773875,7,0.0009312033653259277,2.740357,0.032773875,134.475,-3.0770075992973274,20480,0.011953437
213,3417.9120330810547,0.0,-249.95810125000003,0.022232376,6,0.0005258917808532715,2.7301025,0.022232376,142.475,-2.7028270565671764,21504,0.009876717
221,3569.8876674175262,0.0,-215.872056925,0.040931996,8,-0.0011777877807617188,2.7589324,0.040931996,143.35,-2.376636365818278,22528,0.010216555
229,3722.624992609024,0.0,-144.9057552,0.027219035,8,0.002042233943939209,2.8032682,0.027219035,146.075,-1.5627324086470644,23552,0.010411127
234,3922.8628578186035,0.0,-138.481091725,0.035404343,5,-0.002732992172241211,2.8184054,0.035404343,155.75,-1.1767456785461752,24576,0.0095788855
240,4076.640208005905,0.0,-118.941105375,0.03529958,6,-0.007574796676635742,2.8400629,0.03529958,153.725,-0.8140518528940743,25600,0.010494446
245,4229.4832944869995,0.0,-129.29039389999997,0.03401632,5,0.0020360946655273438,2.8386488,0.03401632,162.375,-0.9591038064017233,26624,0.008819099
254,4378.248863220215,0.0,-213.49137014999997,0.032006048,9,0.0004792213439941406,2.8356218,0.032006048,146.3,-2.296971388468436,27648,0.009778308
261,4531.002452611923,0.0,-250.48029605000002,0.023535833,7,0.0004532933235168457,2.8289354,0.023535833,155.075,-2.5895672413440787,28672,0.009918554
266,4684.929898023605,0.0,-282.8773586,0.033669725,5,0.0018234848976135254,2.832165,0.033669725,158.575,-2.821982193568018,29696,0.010171874
271,4836.067561626434,0.0,-298.499660825,0.022928674,5,0.005461633205413818,2.8357184,0.022928674,170.075,-2.996551739825,30720,0.009761878
277,4987.187004327774,0.0,-290.83967137499997,0.043021552,6,0.02607262134552002,2.8699408,0.043021552,166.125,-2.976474405055006,31744,0.010135547
282,5139.682813405991,0.0,-275.43041732499995,0.032947548,5,0.0005601048469543457,2.8987634,0.032947548,173.3,-2.7926265467116567,32768,0.009916953
286,5291.809522390366,0.0,-273.52464265,0.038489833,4,-0.004222750663757324,2.9045908,0.038489833,171.6,-2.7874071511847744,33792,0.010039907
292,5451.989993572235,0.0,-211.42962575,0.023730919,6,0.030079543590545654,2.9248633,0.023730919,186.525,-1.5576706902631827,34816,0.009817293
297,5605.654865264893,0.0,-147.507910825,0.041310437,5,0.011495709419250488,2.9711375,0.041310437,183.975,-1.19101322642953,35840,0.009391654
303,5760.5513117313385,0.0,-118.54768429999999,0.04152213,6,0.05006676912307739,2.9886014,0.04152213,189.55,-0.735515050970207,36864,0.010505809
308,5911.653365850449,0.0,-87.43227212500001,0.038946666,5,0.004002749919891357,3.015766,0.038946666,189.875,-0.4442464611110615,37888,0.009734965
313,6062.159209489822,0.0,-95.517524725,0.026417699,5,0.04525482654571533,3.022106,0.026417699,192.625,-0.46688009052585666,38912,0.009783474
318,6216.503986120224,0.0,-97.06909552500001,0.028439933,5,0.0074179768562316895,3.0479734,0.028439933,202.8,-0.4563644661330809,39936,0.009447162
321,6374.935116291046,0.0,-98.28026940000001,0.041214056,3,0.02214294672012329,3.058587,0.041214056,208.3,-0.4554025565914143,40960,0.010251596
324,6530.2904760837555,0.0,-94.3982799,0.025786076,3,0.024549782276153564,3.0751455,0.025786076,211.6,-0.4388290065080809,41984,0.010127439
329,6682.915013790131,0.0,-88.59045175000001,0.04185999,5,0.03378653526306152,3.0731485,0.04185999,216.1,-0.41094343722209,43008,0.009881791
334,6883.155295848846,0.0,-83.04692025,0.060750708,5,0.10608720779418945,3.0827913,0.060750708,211.225,-0.3970328116152041,44032,0.011209947
340,7035.242883682251,0.0,-84.3536665,0.05341237,6,-0.403400182723999,3.1136913,0.05341237,223.75,-0.3851531305789789,45056,0.0096311495
345,7188.244562864304,0.0,-77.84837125,0.03713942,5,-0.5135281085968018,3.1428442,0.03713942,219.6,-0.36619897290292014,46080,0.009600148
351,7342.169985532761,0.0,-76.310418525,0.03815885,6,-0.02724587917327881,3.1437776,0.03815885,218.15,-0.34899559323986595,47104,0.010112904
355,7495.709590673447,0.0,-72.78375355,0.020241752,4,-0.20116400718688965,3.1523268,0.020241752,216.625,-0.33883596041734154,48128,0.0090714
358,7651.65696644783,0.0,-81.02188065,0.020797715,3,0.0384407639503479,3.1175687,0.020797715,225.775,-0.3555792381049402,49152,0.010267489
363,7806.800831317902,0.0,-86.471758775,0.027308227,5,0.17099684476852417,3.1181092,0.027308227,213.775,-0.4407470461818024,50176,0.009565006
369,7958.735075473785,0.0,-87.37364840000001,0.040086783,6,0.0692797303199768,3.127242,0.040086783,206.35,-0.499617780722874,51200,0.009685872
374,8152.648113012314,0.0,-89.212553375,0.03837304,5,-0.003311634063720703,3.127564,0.03837304,205.8,-0.5116885203809762,52224,0.010740945
378,8305.874915599823,0.0,-103.4293128,0.026227985,4,0.3087763786315918,3.1184614,0.026227985,216.4,-0.5437608260155915,53248,0.009269421
383,8461.435095310211,0.0,-147.13029584999998,0.031216009,5,0.010212719440460205,3.113678,0.031216009,216.525,-1.2774485131493367,54272,0.0097814705
389,8616.693359136581,0.0,-152.861735725,0.022351915,6,0.1715383529663086,3.0863588,0.022351915,220.125,-1.3259416951080891,55296,0.010805055
394,8808.847219944,0.0,-159.424457175,0.04302929,5,0.20577770471572876,3.0847242,0.04302929,212.0,-1.4058738053608828,56320,0.011121734
397,8962.572872161865,0.0,-164.22849827500002,0.01903838,3,0.1323125958442688,3.0773623,0.01903838,213.525,-1.4202913586000738,57344,0.011203288
404,9119.211952209473,0.0,-150.710354075,0.025803842,7,0.06330710649490356,3.060356,0.025803842,198.925,-1.409811307550105,58368,0.009844181
407,9274.411545753479,0.0,-166.17405642499997,0.030765805,3,0.15966933965682983,3.0730078,0.030765805,209.6,-1.4276942313022292,59392,0.010017143
412,9430.437222242355,0.0,-165.45393795,0.025874842,5,0.6574597358703613,3.0680716,0.025874842,219.775,-1.3818861061406982,60416,0.009780059
416,9581.65265417099,0.0,-162.80350345,0.024603136,4,0.5484194457530975,3.0445135,0.024603136,219.3,-1.373917266738993,61440,0.010901772
421,9736.20341014862,0.0,-116.68550325000001,0.038555525,5,-0.30018293857574463,3.055767,0.038555525,218.55,-0.6671553698604052,62464,0.009234247
428,9893.087667703629,0.0,-104.71756055,0.034674473,7,0.12731170654296875,3.0800076,0.034674473,211.4,-0.615410763870595,63488,0.011478083
433,10047.048953771591,0.0,-94.969916,0.018788315,5,0.5559059083461761,3.106616,0.018788315,210.875,-0.5479152640821882,64512,0.00991013
439,10198.730762004852,0.0,-106.22378822499999,0.025523648,6,0.204267680644989,3.0985456,0.025523648,195.725,-1.0221171041681067,65536,0.01236137
445,10385.355932474136,0.0,-101.71648515000001,0.020275034,6,0.653933048248291,3.0858126,0.020275034,197.4,-0.9422376914059383,66560,0.009855343
452,10539.957431793213,0.0,-79.9463868,0.028668167,7,-2.110682249069214,3.0685358,0.028668167,178.35,-0.8944406174264878,67584,0.010120699
457,10694.585556268692,0.0,-96.01479575,0.059416518,5,0.09307807683944702,3.0678396,0.059416518,175.825,-1.496404019881339,68608,0.009957403
465,10848.194824457169,0.0,-111.9396226,0.04679504,8,0.12963777780532837,3.0632956,0.04679504,158.95,-1.5901916540315808,69632,0.008893165
472,11000.895937919617,0.0,-104.006151825,0.028835203,7,-0.25632381439208984,3.0599592,0.028835203,156.525,-1.5170630558421492,70656,0.010636007
477,11156.675804138184,0.0,-92.466050775,0.032224197,5,0.24960339069366455,3.0488684,0.032224197,168.7,-1.0448421422176764,71680,0.010110439
486,11311.697454690933,0.0,-85.146714175,0.03621265,9,-2.5818614959716797,3.0913522,0.03621265,147.875,-1.0499960131769648,72704,0.009607561
491,11464.09949707985,0.0,-87.000112725,0.028046764,5,-0.7834546566009521,3.0983381,0.028046764,155.4,-1.0435040180938107,73728,0.009688127
499,11617.42990899086,0.0,-90.42916014999999,0.020940308,8,0.08963114023208618,3.1172328,0.020940308,150.8,-0.99908998311252,74752,0.011091643
505,11807.682874202728,0.0,-69.41471185,0.026227683,6,-1.224651575088501,3.148617,0.026227683,149.175,-0.9133246298027142,75776,0.009111637
511,11964.133063077927,0.0,-68.654775575,0.020050827,6,-7.20961856842041,3.1488588,0.020050827,150.575,-0.9072453435354431,76800,0.0102688335
520,12120.312374830246,0.0,-64.489715375,0.028091999,9,-0.5121264457702637,3.1627312,0.028091999,141.525,-0.9118866376422149,77824,0.010702434
531,12274.653740882874,0.0,-76.66207325,0.022584315,11,0.04359978437423706,3.157675,0.022584315,122.8,-1.3294188764457728,78848,0.007487253
537,12428.337498188019,0.0,-58.77424599999999,0.05008066,6,-2.297377586364746,3.1539385,0.05008066,133.35,-0.771316045358083,79872,0.008861207
544,12582.754760026932,0.0,-60.37638082499999,0.022862725,7,-4.469274997711182,3.143178,0.022862725,139.15,-0.7652216890315431,80896,0.010581471
550,12737.46087384224,0.0,-59.94686385,0.022095148,6,-5.2359490394592285,3.1583471,0.022095148,133.4,-0.76900542019369,81920,0.010695873
558,12894.804190635681,0.0,-82.8681164,0.02025693,8,-0.12572455406188965,3.1778104,0.02025693,138.025,-0.9976862301707079,82944,0.0068102395
563,13049.605027675629,0.0,-83.44290705,0.031202175,5,-0.26308512687683105,3.15786,0.031202175,143.175,-0.9839052242856852,83968,0.009560934
571,13202.268092393875,0.0,-70.01461055,0.05531501,8,-3.2018661499023438,3.1636026,0.05531501,156.9,-0.565478056211441,84992,0.010602471
576,13359.11287689209,0.0,-88.8210515,0.04329831,5,-0.14350497722625732,3.1534617,0.04329831,157.225,-0.7223478978164272,86016,0.008706173
585,13515.358733654022,0.0,-99.1629836,0.030397141,9,-0.14202880859375,3.1536274,0.030397141,142.025,-1.084994972642193,87040,0.008780798
592,13673.06395149231,0.0,-99.141317925,0.03386958,7,-0.0029011964797973633,3.169796,0.03386958,144.075,-1.082914014395119,88064,0.009940159
600,13829.901587724686,0.0,-76.88493872500001,0.024808168,8,0.16744780540466309,3.1735363,0.024808168,137.675,-0.8557613380017953,89088,0.0100483475
608,13983.202678918839,0.0,-97.97560742499999,0.032705,8,-0.13187921047210693,3.17412,0.032705,137.675,-1.3607169930337808,90112,0.010224343
615,14141.394341468811,0.0,-83.14024252499999,0.024692575,7,0.43024587631225586,3.2003198,0.024692575,134.65,-1.2196077460561756,91136,0.009656259
621,14296.195881843567,0.0,-115.58099502499999,0.03955911,6,-0.08521747589111328,3.2166753,0.03955911,135.1,-1.3705407212813632,92160,0.010105636
628,14454.624547243118,0.0,-131.054572575,0.0042906124,7,-0.02025151252746582,3.1953123,0.0042906124,136.425,-1.6472647892460295,93184,0.010334501
633,14611.014567375183,0.0,-135.041309925,0.017960005,5,0.19764220714569092,3.1929839,0.017960005,146.975,-1.6497983427473173,94208,0.009295597
638,14763.965610980988,0.0,-137.64304855,0.032688916,5,-0.9380751848220825,3.2110724,0.032688916,156.775,-1.646831376533934,95232,0.010211756
643,14921.812623977661,0.0,-138.47460675,0.026928518,5,-0.09788107872009277,3.2672215,0.026928518,166.1,-1.634872134329764,96256,0.009902984
652,15079.741141796112,0.0,-120.03455182500002,0.04448984,9,0.38074010610580444,3.2618103,0.04448984,168.75,-1.185374312362884,97280,0.009130324
657,15234.431410551071,0.0,-124.750309475,0.03008119,5,0.5013807117938995,3.261417,0.03008119,170.175,-1.2169525759668691,98304,0.008549471
663,15388.276411294937,0.0,-76.63769232500002,0.032256123,6,-0.06855714321136475,3.2911391,0.032256123,166.175,-0.7069950911706384,99328,0.009158811
671,15542.48062968254,0.0,-85.92603875,0.029587092,8,0.019029319286346436,3.2964993,0.029587092,158.025,-0.6172060356526301,100352,0.009025009
678,15700.733493566513,0.0,-83.90300455,0.03794162,7,-0.3210744857788086,3.2932856,0.03794162,155.925,-0.6114091215472219,101376,0.009704941
685,15862.319155693054,0.0,-82.79743392499999,0.02734357,7,-0.40468645095825195,3.285488,0.02734357,150.1,-0.6140879712688596,102400,0.01006579
697,16018.733310699463,0.0,-68.15247797500001,0.040638506,12,0.000274658203125,3.2953067,0.040638506,130.3,-0.5287887207971966,103424,0.0107463
704,16172.318092823029,0.0,-85.71544122499999,0.033985093,7,-0.004621386528015137,3.2954135,0.033985093,125.875,-1.0635339426478638,104448,0.0067869704
713,16328.318754196167,0.0,-58.01084304999999,0.03526573,9,-0.20169925689697266,3.329849,0.03526573,121.275,-0.8849946749672213,105472,0.008951473
719,16484.05142903328,0.0,-58.147855925,0.02913377,6,-0.16111087799072266,3.3474011,0.02913377,120.55,-0.88278489679522,106496,0.011687151
727,16682.955281734467,0.0,-58.20579095000001,0.02966417,8,-0.015415549278259277,3.368059,0.02966417,125.35,-0.8763811639886955,107520,0.009611081
