#{"env_id": "highway-discrete-v0", "t_start": 1571870520.4654775}
r,l,t
-14.092667,30,9.490367
-13.009606,27,13.762987
-10.332496,29,18.320091
-78.935093,193,50.59182
-22.169246,65,60.338995
-16.47741,38,66.070364
-59.395162,143,87.153729
-36.983974,97,101.649728
-17.87646,62,111.705613
-26.142235,47,119.178853
-21.292621,45,125.876481
-12.373868,25,130.05091
-22.199171,73,142.017197
-15.551059,41,148.943413
-26.400415,71,159.380585
-23.215301,45,167.439463
-68.214052,190,197.851087
-21.331416,60,206.932138
-24.980574,56,215.785327
-49.763585,108,232.539421
-12.184233,27,236.890642
-12.442855,34,242.594702
-12.800138,36,248.31689
-13.756598,28,252.983883
-92.138557,232,288.852274
-16.679403,42,295.509259
-50.205755,109,312.770166
-48.337892,118,331.88681
-15.781844,43,339.040796
-15.369584,35,344.821597
-25.320923,68,356.46255
-71.954031,186,384.7692
-21.159918,40,391.109346
-27.871713,56,400.342094
-8.041186,27,404.611554
-11.897787,28,408.9243
-24.344159,54,417.175027
-16.686044,35,422.44961
-25.596575,73,433.709048
-77.586311,199,464.184602
-12.25709,30,468.552788
-96.022482,300,515.303535
-44.438684,123,533.965336
-9.088963,21,537.557284
-24.728644,58,547.026674
-27.960205,71,558.405606
-83.807356,214,591.781878
-21.486795,52,600.361842
-8.525421,24,604.024978
-63.622419,161,628.875825
-54.179958,124,647.773401
-8.04904,20,651.480174
-4.612713,24,655.485893
-9.014051,25,659.51832
-7.121602,19,662.520064
-37.623859,110,679.848211
-27.052052,74,691.087035
-5.76059,24,694.701606
-8.994733,18,697.798373
-23.988036,72,708.864168
-29.992508,83,721.926091
-21.208374,51,729.75036
-13.876188,44,736.831696
-47.839363,115,754.883537
-27.561725,76,767.28476
-27.048049,91,782.061727
-21.063637,50,789.970986
-17.216415,41,796.519662
-73.116145,195,828.793113
-17.349624,53,837.669563
-14.378279,43,844.879793
-36.55691,143,867.204198
-26.86114,76,879.157654
-75.96312,289,924.080986
-35.956189,85,937.260883
-90.691765,300,984.343928
-40.106025,131,1005.315571
-33.03408,137,1026.636096
-56.505871,169,1053.224774
-36.516961,157,1078.362386
-95.584237,300,1124.903873
-93.004152,300,1171.227248
-30.369832,92,1186.090732
-8.471339,21,1189.270864
-66.47332,219,1223.263558
-29.562543,72,1234.384103
-69.91805,213,1266.945688
-24.570182,100,1282.393954
-28.569686,76,1294.353317
-36.93292,120,1312.586329
-57.742951,171,1339.341048
-79.064804,300,1386.310192
-7.736542,19,1389.385936
-82.304724,300,1436.619969
-12.008182,78,1448.723025
-24.014757,105,1465.4723
-49.527392,147,1488.591789
-13.544377,36,1494.31651
-11.733864,31,1499.128459
-71.560333,300,1546.874669
-10.616538,29,1551.605361
-32.31045,114,1569.002368
-30.135569,86,1582.550227
-44.177353,155,1607.34717
-35.027227,85,1621.560676
-64.336107,300,1669.516164
-11.289615,52,1677.646528
-10.501409,26,1681.910837
-30.785672,157,1706.622723
-43.156056,121,1724.961989
-41.810155,129,1745.80103
-14.844744,38,1751.929764
-9.157856,40,1758.042881
-88.772042,300,1806.334238
-45.166407,219,1840.063872
-14.531147,31,1844.782114
-9.169404,26,1849.070681
-83.887969,300,1895.418316
-66.742697,300,1942.047795
-53.259698,300,1987.641394
-10.446882,49,1995.442322
-76.775887,300,2041.618075
-29.117878,103,2057.098022
-12.282765,59,2065.916975
-81.090931,300,2112.823256
-63.563339,264,2154.814306
-46.182577,300,2200.763407
-65.420834,300,2246.63774
-16.788821,40,2252.879494
-32.985817,139,2275.208337
-26.766664,121,2293.455669
-72.593856,300,2340.212736
-30.170767,89,2353.883766
-6.809117,15,2356.763827
-45.169411,224,2391.921986
-16.225947,51,2399.634102
-40.16744,147,2475.813996
-32.341598,110,2492.741604
-43.928197,168,2519.195869
-11.692071,28,2523.28694
-52.621113,300,2569.978851
-48.517943,216,2604.36869
-19.651233,60,2613.884257
-23.153708,88,2627.816503
-50.178722,202,2659.148108
-48.936387,300,2705.892783
-46.498195,300,2752.925249
-37.514751,171,2779.31745
-59.13741,300,2826.885371
-20.533303,134,2847.759832
-10.729926,45,2854.999706
-15.515402,76,2866.642206
-16.882798,84,2880.58753
-45.299755,157,2905.174846
-15.245138,116,2923.267294
-18.089515,51,2932.321927
-26.747336,63,2942.29928
-38.804925,300,2989.20712
-14.609255,54,2997.923153
-27.098431,137,3019.940686
-7.851557,17,3022.815923
-37.729464,134,3044.875134
-43.663844,143,3066.45577
-37.287168,205,3098.654356
-7.621722,18,3101.369435
-8.44738,25,3105.262826
-48.969853,285,3148.956137
-50.088228,300,3192.943599
-23.266267,142,3213.529904
-21.155542,62,3222.832323
-12.944178,31,3227.885321
-9.083442,28,3232.281892
-30.630571,136,3252.148942
-32.181942,265,3290.961406
-50.43818,300,3334.421663
-40.081171,300,3378.268871
-31.467464,88,3391.076927
-7.172844,18,3393.832803
-45.448761,251,3431.429997
-60.716353,222,3464.373884
-6.077089,13,3466.507784
-24.735722,300,3509.524895
-6.833452,17,3512.474607
-49.904378,300,3555.93804
-25.608816,146,3577.897574
-28.427269,151,3600.567205
-27.612568,82,3613.06124
-69.227618,300,3658.811658
-13.560952,66,3668.637339
-7.834061,20,3671.624496
-24.882304,69,3681.751581
-18.64658,67,3691.978513
-65.663063,300,3736.67483
-21.678159,102,3751.820881
-19.214185,51,3759.728787
-42.264254,215,3791.500259
-17.28801,82,3803.988284
-17.971593,45,3811.168008
-31.697194,102,3826.447717
-26.860014,64,3835.979803
-14.785116,47,3842.805303
-54.89172,300,3888.846055
-3.894011,21,3892.734605
-39.899715,162,3920.374662
-59.781552,221,3954.059521
-24.609369,71,3964.484254
-11.818962,50,3972.253743
-31.725244,107,3988.15182
-6.059266,19,3990.820235
-31.630616,100,4004.810287
-15.584912,39,4010.9355
-15.252624,49,4018.684208
-27.77084,149,4040.971409
-6.606412,15,4043.290819
-43.346891,135,4062.582213
-26.385034,196,4091.741828
-44.33177,229,4124.922406
-9.866335,31,4129.703326
-43.024076,109,4145.79571
-44.879296,171,4170.537078
-48.244371,226,4204.0041
-41.074162,175,4229.579827
-29.765106,85,4241.974424
-22.784527,83,4253.717726
-8.250911,28,4258.181685
-28.072203,82,4270.489525
-50.64792,250,4307.20993
-42.236932,218,4339.086169
-35.432597,114,4356.205753
-62.961595,300,4400.625687
-53.348373,227,4433.980175
-53.969972,300,4478.308177
-18.72472,43,4485.459862
-15.080084,125,4503.398089
-70.390351,300,4548.84994
-12.051162,28,4553.07104
-8.563001,17,4555.452691
-6.267665,16,4557.89892
-19.766075,64,4567.168787
-8.861038,24,4571.050772
-28.271493,133,4590.975449
-35.417085,115,4608.776744
-48.426692,300,4653.826488
-11.76362,31,4658.380794
-82.207894,300,4703.52183
-19.438002,120,4721.567777
-14.480426,56,4730.00973
-30.489786,92,4744.449279
-6.807115,17,4747.147551
-42.838043,153,4769.456411
-7.787018,20,4772.506153
-15.774307,42,4779.257265
-21.216461,70,4790.407953
-3.589952,13,4792.929289
-48.749956,300,4837.89026
-62.458618,300,4882.231815
-45.597799,181,4908.609251
-16.724518,71,4919.190068
-37.802108,104,4935.12326
-13.315842,41,4941.331595
-27.490001,98,4955.830178
-24.615339,60,4964.562589
-11.16818,57,4972.792256
-34.430578,102,4987.789195
-5.429625,16,4990.15454
-11.075572,38,4995.746232
-67.946173,300,5039.079283
-8.463068,25,5042.747986
-30.587192,91,5056.264605
-18.590538,50,5063.663287
-56.510251,300,5108.761929
-17.343466,54,5116.61579
-41.307376,138,5136.845033
-8.763169,19,5139.880178
-8.727154,24,5143.480557
-58.455287,185,5170.626143
-11.472127,74,5181.253087
-50.641192,184,5208.300336
-16.452504,47,5215.727755
-89.036546,300,5260.771234
-23.063264,77,5272.519988
-7.842414,48,5279.85172
-12.738147,29,5284.284526
-20.485158,67,5293.976515
-48.172769,195,5322.677818
-11.791438,26,5326.748548
-43.043853,248,5364.591947
-36.507848,95,5379.504464
-26.755241,97,5393.859398
-93.147386,300,5486.292151
-32.063409,109,5502.48624
-45.739295,203,5533.453316
-8.575764,56,5542.084371
-73.285912,300,5585.844993
-57.9321,215,5650.670817
-28.168741,97,5664.996349
-79.12968,300,5708.843447
-4.33746,24,5712.425004
-82.385711,300,5757.053302
-24.804023,110,5773.431336
-82.005134,300,5817.167823
-90.639779,300,5861.652009
-64.067311,197,5891.032909
-40.598391,161,5914.784915
-52.12884,240,5950.569683
-63.713322,226,5984.477181
-11.710367,34,5989.664283
-68.652401,300,6032.677748
-34.747014,192,6060.03683
-67.178839,300,6103.756355
-14.996088,50,6111.580084
-44.181114,133,6132.57958
-50.118011,136,6152.722195
-49.106359,198,6183.184443
-49.35037,300,6228.440802
-36.725518,135,6285.597857
-41.956782,300,6330.899289
-29.500452,109,6347.30101
-26.500566,106,6362.419685
-76.67085,300,6405.66945
-15.097041,40,6411.847255
-48.497878,300,6455.713136
-35.81316,89,6468.964429
-2.929015,15,6471.201132
-46.050748,300,6516.083116
-62.228581,202,6544.921052
-6.514071,12,6546.624265
-66.874873,300,6591.556456
-29.542394,163,6615.780951
-23.462181,127,6634.812955
-9.691231,32,6639.624885
-29.86943,101,6654.25963
-72.780936,300,6698.881967
-63.952358,300,6743.916274
-43.135095,161,6767.914078
-11.373724,34,6773.163553
-60.517937,300,6817.216798
-21.308015,59,6826.314839
-43.218966,150,6848.661138
-7.421974,17,6851.398743
-39.181727,162,6879.471208
-63.382752,300,6926.57182
-16.54083,60,6935.97783
-22.106569,64,6945.430933
-17.625545,122,6963.656464
-23.876126,73,6974.941092
-14.830532,35,6980.481481
-11.746106,37,6986.068267
-21.418368,67,6996.127915
-19.40155,104,7011.601003
-4.22101,16,7014.176672
-34.166644,201,7043.97521
-40.792371,156,7067.052821
-8.564736,16,7069.392948
-11.736435,37,7074.984008
-8.320809,23,7078.428898
-58.52962,300,7122.314736
-22.800691,71,7133.18715
-19.856589,75,7144.900849
-6.901622,14,7147.076584
-55.870488,300,7191.357396
-32.651343,196,7221.193351
-20.922104,71,7231.536695
-4.238695,17,7234.011981
-29.325983,168,7259.175758
-8.546662,23,7262.797426
-45.652915,200,7292.063488
-24.199902,109,7308.475801
-39.904286,157,7330.92193
-22.167696,103,7345.659058
-28.202646,103,7361.327923
-31.529673,101,7376.653997
-34.853802,180,7403.227181
-13.653228,61,7412.616472
-23.159379,79,7424.003108
-46.151549,135,7444.388421
-13.3317,27,7448.837428
-13.346487,51,7456.635998
-25.17371,75,7467.771955
-48.040644,212,7499.851111
-27.381537,185,7528.132979
-53.462148,255,7566.840412
-39.36465,186,7595.231164
-23.550289,86,7608.770764
-17.8583,62,7617.980187
-65.004973,300,7663.843922
-31.049273,102,7678.860864
-59.123075,273,7719.809469
-41.849327,300,7764.345774
-55.893106,300,7809.388175
-46.045775,300,7853.209772
-11.193613,28,7857.503399
-16.0365,49,7864.951816
-56.776388,300,7909.239869
-48.592354,300,7953.607984
-7.306627,18,7956.608116
-21.246615,136,7977.059644
-63.90543,300,8021.025898
-34.115923,300,8064.432396
-12.094325,100,8079.76954
-49.262239,300,8125.714843
-20.280625,59,8136.018053
-60.924729,300,8181.943697
-12.718781,59,8190.719798
-42.010976,211,8222.01457
-23.341161,71,8233.250884
-28.530323,89,8246.615085
-68.747306,300,8291.680803
-16.629686,83,8303.494906
-19.379749,46,8310.498458
-20.63885,63,8320.192713
-38.518114,300,8365.459835
-9.547421,29,8370.183734
-38.430115,300,8415.703945
-29.504937,128,8436.213089
-36.583614,300,8482.623456
-42.43216,300,8528.291692
-36.256647,156,8552.048735
-54.619762,300,8597.025924
-43.068084,300,8641.37103
-43.192707,300,8686.823058
-9.680538,28,8691.00716
-6.760797,43,8697.442093
-29.986738,300,8741.791921
-19.360276,122,8759.558505
-25.746796,75,8770.905388
-46.499208,300,8818.97925
-35.395299,106,8835.036133
-48.686227,300,8879.104897
-51.849719,300,8923.340866
-40.53525,140,8943.938129
-47.00688,230,8977.362098
-45.965388,300,9022.678377
-52.282826,286,9102.63394
-12.178751,29,9107.062866
-19.961234,60,9115.781122
-28.274214,83,9128.311613
-14.340716,40,9134.117797
-15.034434,113,9150.679863
-23.958518,114,9167.936112
-42.940145,270,9208.727255
-17.438883,60,9217.957422
-37.737425,300,9262.31634
-47.154403,300,9307.817636
-10.894283,58,9316.423324
-69.859125,244,9353.47373
-32.96319,147,9374.436791
-13.687029,63,9383.341127
-65.337338,300,9428.235234
-86.249185,300,9472.075321
-64.437784,300,9516.915536
-31.435542,93,9531.072965
-20.945442,62,9540.955362
-26.272296,144,9562.222762
-23.323179,300,9605.804643
-43.645082,300,9650.477567
-56.827598,300,9696.052548
-42.090077,288,9739.544132
-39.337971,300,9784.577615
-33.08688,236,9820.441842
-31.17968,87,9833.332622
-41.226575,300,9878.559426
-25.110905,64,9888.378619
-21.281212,56,9896.654618
-28.334989,300,9942.067353
-43.632233,300,9987.0298
-77.039489,270,10027.051034
-10.704736,37,10032.621636
-13.26594,50,10040.394393
-19.080624,68,10050.173866
-39.165794,170,10074.38753
-23.665075,140,10095.393528
-31.973672,108,10111.931206
-7.780464,16,10114.27207
-27.253576,196,10142.924905
-45.201039,300,10187.237472
-32.894107,128,10205.720116
-39.794678,150,10228.454111
-12.394706,76,10239.422743
-24.362045,128,10258.926886
-22.552817,103,10274.466217
-16.981022,56,10282.731176
-32.492029,123,10301.497856
-14.444536,36,10307.714903
-12.709934,36,10312.887699
-8.174776,20,10315.910753
-11.530994,30,10320.358224
-35.906634,300,10366.01303
-17.161149,132,10386.505309
-25.672962,65,10396.427615
-26.241755,120,10414.837049
-17.516548,54,10423.36894
-17.426665,49,10430.575907
-11.174883,32,10435.327195
-9.61727,56,10443.5609
-22.243116,62,10453.141543
-16.065512,45,10460.048419
-42.578999,300,10505.546566
-21.402079,85,10518.562809
-14.619466,55,10527.243283
-42.535199,300,10572.388672
-20.072993,108,10588.423987
-24.911035,110,10605.171834
-27.530634,197,10635.755589
-38.011353,300,10681.171326
-18.755471,74,10692.17939
-11.97253,33,10697.000937
-49.36555,300,10741.973978
