# {"t_start": 1565275119.5286434, "env_id": "highway-discrete-intrinsic-rew-v0"} 
r,l,t
-606.57133,25,2.404783
-548.283972,27,4.07027
-501.847255,30,4.976014
-485.638797,50,6.484973
-479.131988,42,7.736846
-554.069437,16,8.236233
-384.459153,66,10.200579
-208.788673,109,13.466765
-555.179393,19,14.046347
-473.291863,37,15.150219
-488.812547,51,16.693043
-238.869994,102,19.75563
-424.709628,33,20.754905
-531.491808,28,21.603008
-515.486099,28,22.439808
-505.214224,45,23.80744
-514.287645,36,24.886337
-402.422888,51,26.439731
-541.049369,33,27.431911
114.764572,139,32.188658
-602.568065,43,33.489491
-600.138867,27,35.171851
-600.994441,49,36.667083
-597.566533,58,38.446265
-598.438708,28,39.289621
-597.794106,22,39.96386
-582.223145,19,40.549991
-599.201482,21,41.184892
-581.487522,41,42.430122
-604.495161,89,45.087706
-572.849708,62,46.960526
-572.81449,37,48.073543
-591.867196,18,48.624687
-566.42727,29,49.501672
-606.04262,35,50.57942
-578.260561,24,51.310979
-540.547174,33,52.336322
-606.722566,66,54.311944
-552.843344,72,57.081892
-605.043037,33,58.15914
-600.211568,50,59.791291
-599.983684,22,60.516573
-594.168743,60,62.499334
-620.040021,120,66.475021
-604.902626,35,68.072646
-600.249489,36,69.25721
-604.102732,55,71.086322
-603.159417,25,71.912108
-572.008207,121,75.891349
-593.619667,59,77.82449
-599.97422,24,78.616863
-613.340745,81,81.301073
-593.92852,37,82.537519
-610.375232,41,83.899751
-594.058999,24,84.695139
-608.462226,65,86.821634
-618.311227,66,88.96894
-619.535351,47,91.063928
-596.857911,40,92.414506
-630.502384,98,95.621314
-652.805501,108,99.161047
-598.830173,26,100.01682
-600.03462,17,101.88042
-600.056003,17,102.448177
-610.835385,67,104.640957
-624.311605,87,107.456059
-609.360134,88,110.391244
-641.595328,131,114.705044
-597.855067,20,115.36471
-603.705415,23,116.121394
-611.998426,80,118.743886
-602.872909,56,120.572372
-608.636019,78,123.147327
-599.859151,31,124.170259
-609.15056,25,124.996202
-611.084778,28,125.907455
-598.249939,89,129.380903
-623.169588,68,131.443513
-604.7169,24,132.172918
-612.433264,49,133.65454
-634.751588,146,139.573391
-630.486535,68,141.649846
-619.835979,96,144.603288
-646.19087,108,147.852431
-627.272653,77,150.187217
-93.917315,300,159.346753
-606.91644,43,160.648583
-614.537935,62,162.524491
-609.353221,42,163.797162
-612.088088,50,165.28634
-614.57534,28,166.141152
-604.86934,19,166.974955
-612.404077,47,168.3922
-627.24156,61,170.288322
-629.4083,106,173.563937
-603.306851,40,175.37281
-632.707345,108,178.932927
-622.948169,81,181.597531
-602.841815,29,182.562401
-622.117524,65,184.694288
-636.389788,95,187.828884
-615.50198,43,189.240268
-82.975067,300,199.348552
-613.331121,55,202.043696
-629.180084,81,204.480951
-644.432076,117,208.064875
-622.999251,53,209.639721
-78.200858,300,218.900732
-623.263753,75,221.204016
-608.945297,30,222.117101
-635.473236,89,224.735289
-611.806396,38,225.884482
-601.536209,34,226.92099
-638.508048,121,230.446673
-116.683072,300,241.169025
-622.21066,59,242.94295
-625.188933,49,244.41367
-639.548259,88,247.078992
-612.822102,26,247.864381
-608.298038,27,248.671862
-678.93131,181,254.09318
-647.182295,132,258.053216
-607.193494,35,259.096848
-639.866119,142,267.306997
-618.933642,67,269.322948
-643.090399,111,272.661227
-606.773569,30,273.577415
-611.155031,58,275.337581
-617.658297,74,277.562099
-629.669948,113,280.982329
-619.297002,59,282.782929
-609.269247,50,284.338262
-607.157593,33,285.328041
-605.1697,29,286.779149
-609.707425,36,287.872092
-605.844429,38,289.027729
-618.054336,64,290.970084
-623.385313,74,293.1988
-610.402737,42,295.947025
-592.61609,295,305.038455
-605.917573,35,306.097799
-698.619507,236,313.137948
-615.946316,38,314.287155
-614.427974,70,316.410422
-619.243004,66,318.387482
-601.008605,35,319.437778
-609.090886,28,320.285696
-607.811622,41,321.607168
-600.151024,20,322.221796
-643.974875,103,325.296065
-604.639462,21,326.53264
-640.498483,110,329.846944
-602.192028,16,330.921809
-596.088964,98,334.145444
-612.996545,58,336.037035
-603.951645,29,336.989492
-665.490707,165,342.512732
-618.057508,34,343.625715
-605.807743,149,348.537667
-629.414947,79,351.167639
-614.324438,41,352.517283
-634.402833,126,356.663335
-632.689023,121,364.076221
-643.707666,123,368.103963
-688.292719,249,376.304211
-628.701564,71,378.565958
-653.751151,100,381.909632
-682.497285,224,389.011063
-601.472711,20,394.149149
-602.803906,28,395.062521
-614.65689,64,397.190222
-625.019904,59,399.669167
-671.571443,148,404.135695
-625.609198,75,406.390371
-636.876568,107,409.7188
-632.540371,92,412.524062
-624.619452,61,414.344851
-666.118487,212,420.465174
-606.387618,27,421.278898
-604.043003,19,421.854037
-607.935492,21,422.496918
-615.144178,30,423.414513
-644.563912,113,428.806452
-602.493467,28,429.653845
-654.432126,111,433.014766
-639.242148,92,435.781813
-611.438698,54,437.41956
-667.123845,144,441.761466
-609.818693,30,442.67673
-631.041991,53,444.267964
-695.180944,219,451.539317
-607.712034,34,452.669235
-636.253931,117,456.519637
-607.1095,36,458.777886
-635.962876,96,461.921643
-622.997632,55,463.693738
-611.451322,46,465.225782
-706.18541,228,472.640054
-607.305355,27,473.538962
-647.869265,113,477.249887
-656.89692,133,481.475369
-664.151203,116,485.266886
-608.636539,36,486.45812
-600.486082,21,487.167664
-611.913437,41,488.451442
-618.689301,36,489.538919
-610.45228,34,491.895197
-121.391358,300,501.025899
-630.028272,94,503.862929
-628.437644,70,506.561602
-605.764313,29,507.446154
-674.338849,163,512.37677
-604.723696,20,512.985365
-642.125435,116,516.534672
-623.851497,53,518.149944
-673.104854,200,528.782166
-632.754033,109,532.05544
-663.26131,142,536.375203
-616.71438,35,537.434666
-603.042676,36,538.533387
-692.320286,267,546.673705
-622.966541,38,547.825126
-626.104953,71,549.963732
-608.487989,33,550.961705
-132.861721,300,563.129121
-658.847138,160,567.906164
-633.249865,70,569.988965
-614.501854,60,571.78071
-605.789163,24,573.064408
-130.087958,300,582.104678
-617.886029,51,583.634761
-628.216027,76,587.853408
-626.306564,80,590.323396
-600.740378,17,590.84602
-636.206031,93,593.643036
-605.699024,19,594.226627
-608.579496,33,595.251243
-647.872889,94,598.099293
-129.358931,300,607.146187
-603.851303,20,607.759567
-628.422173,55,618.417791
-643.64421,105,621.548276
-630.639793,50,623.06924
-605.405153,30,623.99281
-695.167446,270,632.429644
-613.073163,34,633.48307
-641.146997,108,636.732502
-643.282448,121,640.987416
-646.693797,138,645.127786
-638.157462,91,651.426246
-621.224895,41,652.66774
-619.470349,49,654.140732
-652.598914,146,658.459903
-643.686525,91,661.154397
-130.975711,300,670.199451
-145.634407,300,679.446213
-677.700822,181,685.354193
-665.974494,170,690.527078
-608.392334,21,691.174098
-697.186968,226,697.905292
-678.001006,168,703.01852
-618.530037,55,704.675569
-168.879183,300,720.259972
-120.187434,300,729.577965
-620.210788,38,730.718676
-655.187885,120,734.332659
-705.993783,232,742.102005
-655.79577,152,747.860967
-632.440359,67,749.904825
-635.734439,108,753.203792
-118.307684,300,761.919611
-616.413987,51,763.456081
-624.385546,81,765.916868
-619.125032,86,768.519372
-627.283541,47,769.920517
-617.548815,45,775.312354
-647.307215,104,778.496618
-643.431538,80,780.94045
-633.126275,87,783.557586
-605.707251,26,784.33975
-606.171085,30,785.266723
-609.031225,45,786.63767
-644.221855,81,789.099633
-148.738177,300,798.141887
-620.106068,41,799.369151
-641.302548,77,802.219029
-625.961181,42,806.864325
-613.018221,38,808.007871
-642.429696,80,810.459537
-127.492771,300,819.634648
-634.133706,70,821.73867
-646.560868,115,825.178723
-137.266674,300,834.235034
-145.321917,300,846.011587
-122.460519,300,855.113578
-665.617794,159,859.684829
-626.732753,73,861.909827
-607.054264,30,862.834634
-605.816506,22,868.529002
-631.527121,58,870.290443
-673.631631,153,874.998808
-148.880752,300,884.048586
-649.227413,116,887.499066
-137.062975,300,896.84182
-636.137062,65,899.40207
-130.01218,300,909.121458
-670.542532,142,913.404412
-609.198598,31,914.337405
-614.558781,35,915.424684
-128.952548,300,924.576792
-624.66882,67,926.605584
-601.873028,19,927.190938
-703.247096,243,938.808511
-639.927648,121,942.468839
-620.877193,46,943.834638
-611.64038,21,944.472771
-117.150572,300,953.573523
-618.903134,41,954.820771
-650.310937,124,958.594497
-119.918428,300,971.623909
-649.162796,132,975.642512
-628.826981,49,977.120841
-605.212733,28,977.974297
-617.383651,66,980.51714
-126.830307,300,989.677437
-632.825722,86,992.283178
-148.035356,300,1003.466706
-663.918917,127,1007.394237
-646.105767,127,1011.208
-129.850355,300,1020.47527
-643.865951,101,1023.464749
-608.24805,20,1026.299111
-617.07349,35,1027.358171
-622.164574,43,1028.669495
-130.284699,300,1037.939721
-619.57804,63,1039.811161
-602.77631,19,1040.401182
-626.981472,50,1041.901055
-606.218638,28,1042.746634
-714.364435,253,1050.416773
-620.624545,38,1058.298189
-654.515451,99,1061.294112
-131.876986,300,1070.922565
-659.256171,136,1075.008905
-143.583859,300,1084.319371
-610.564843,28,1085.169522
-609.930259,37,1090.063501
-625.002868,62,1091.940112
-614.133099,38,1093.092291
-686.793834,262,1101.021379
-634.59864,77,1103.349484
-650.861387,98,1106.295206
-647.060498,85,1108.771821
-626.42282,71,1110.920752
-143.117299,300,1129.038206
-137.65765,300,1138.21169
-130.09562,300,1147.134834
-650.08154,109,1150.412571
-611.181687,34,1152.031283
-637.209656,81,1154.469627
-154.140088,300,1163.619007
-694.892195,194,1170.208275
-641.592601,106,1173.414048
-634.762608,96,1176.296556
-664.407848,121,1186.481829
-655.847683,127,1190.30011
-612.36505,36,1191.390171
-611.252554,34,1192.418337
-633.063478,61,1194.265224
-662.374848,150,1198.818138
-633.713927,69,1200.888996
-607.038122,32,1201.858367
-681.033537,159,1206.693601
-648.423754,121,1217.571175
-620.851652,62,1219.415256
-644.176067,122,1223.073109
-650.227891,103,1226.191594
-608.336043,39,1227.371368
-616.343061,51,1228.908848
-124.78407,300,1238.186756
-614.982981,29,1239.642114
-651.436499,124,1249.357396
-637.283595,97,1252.350555
-152.256952,300,1261.761232
-126.00621,300,1270.863233
-631.833936,51,1272.404094
-670.971463,113,1280.501021
-129.523194,300,1289.742213
-156.712575,300,1299.017177
-122.028302,300,1308.252372
-134.90025,300,1318.157973
-632.093261,83,1320.656765
-710.971165,289,1329.676526
-147.061391,300,1338.77145
-142.771115,300,1349.513866
-643.405529,75,1351.79591
-147.005948,300,1360.972095
-677.23911,180,1366.564921
-141.106955,300,1380.854027
-137.390287,300,1390.46494
-124.61989,300,1399.651305
-676.932936,120,1403.278466
-612.254701,29,1404.419994
-613.510925,34,1405.453989
-135.077625,300,1414.6208
-631.809,52,1416.212961
-135.403011,300,1425.220466
-628.062983,58,1426.984474
-692.690369,228,1433.872882
-153.021924,300,1443.854148
-116.693294,300,1453.110485
-642.654787,116,1456.600729
-145.423087,300,1465.46253
-679.11492,239,1473.204497
-693.076271,211,1479.580195
-150.634788,300,1488.54564
-646.495525,128,1500.837723
-627.80832,81,1503.328517
-129.831891,300,1513.041675
-634.196188,63,1514.956158
-671.939531,130,1518.88625
-122.581074,300,1528.111361
-642.223423,83,1531.444791
-129.336892,300,1540.75962
-719.980308,267,1548.638442
-615.917011,64,1550.575359
-156.532987,300,1560.090533
-146.980372,300,1569.721232
-626.532137,63,1571.628307
-145.677534,300,1580.917835
-144.319053,300,1590.02373
-610.572239,31,1590.967804
-699.509276,190,1597.760396
-143.994868,300,1606.881464
-626.194073,70,1608.994164
-663.16007,125,1612.851964
-635.371869,78,1615.187022
-637.292805,79,1626.477342
-123.069265,300,1636.145826
-148.944564,300,1645.929373
-731.541631,234,1653.611984
-619.884592,55,1655.412213
-653.685491,88,1660.048335
-131.952803,300,1668.668635
-157.244029,300,1677.771722
-720.163305,268,1686.125345
-611.069647,55,1687.789208
-124.259211,300,1697.342224
-159.622715,300,1706.443317
-157.820134,300,1715.737315
-614.858057,41,1716.979321
-608.749449,27,1720.445746
-765.083377,283,1729.125378
-139.891436,300,1737.583696
-152.034402,300,1746.759911
-622.50079,52,1748.337202
-672.464177,179,1756.166587
-135.403766,300,1765.165041
-666.279038,122,1768.835629
-137.851593,300,1778.205805
-156.548153,300,1790.984103
-665.074244,136,1795.07881
-131.922806,300,1804.209294
-631.890528,80,1806.694758
-725.043115,217,1819.624048
-678.932363,181,1825.128867
-616.887928,29,1826.032513
-117.909787,300,1835.210021
-693.202162,212,1841.695151
-134.019995,300,1853.587059
-97.294953,300,1862.7498
-139.449672,300,1871.809145
-150.752949,300,1884.875564
-623.910759,52,1886.445446
-643.019841,92,1889.234634
-715.081834,220,1896.342425
-625.351218,48,1897.939236
-623.358768,41,1899.281928
-633.66558,71,1901.610239
-154.947427,300,1917.273903
-125.074684,300,1926.303368
-670.878451,141,1930.646134
-667.20065,132,1934.639693
-147.79558,300,1948.35639
-162.975579,300,1957.372689
-126.067998,300,1966.492127
-124.658698,300,1979.465131
-118.044166,300,1989.040254
-637.531178,82,1991.534592
-688.325588,168,1996.571545
-108.128195,300,2011.013725
-718.513717,243,2018.236384
-663.984814,130,2022.224231
-644.351601,74,2024.478166
-612.134329,27,2034.350252
-620.776618,39,2035.559081
-132.971882,300,2044.719707
-125.337272,300,2053.767432
-622.726377,39,2054.938963
-624.469495,65,2056.936458
-136.157665,300,2074.126846
-631.237532,47,2075.570043
-613.565606,42,2076.854378
-110.838663,300,2085.987314
-91.20617,300,2095.054172
-133.047327,300,2105.280647
-120.710067,300,2114.138932
-646.227751,118,2117.726466
-695.827306,271,2126.015091
-639.174136,85,2129.790507
-137.912182,300,2139.019297
-630.380831,63,2140.940091
-134.762499,300,2150.038371
-633.957617,90,2153.382038
-123.536302,300,2168.36624
-117.917201,300,2177.475445
-682.938454,178,2182.947626
-677.828952,158,2195.434797
-120.476846,300,2204.850007
-119.611741,300,2213.734158
-625.661612,69,2215.871924
-141.88038,300,2230.944537
-616.404936,34,2231.971903
-642.852327,71,2234.163128
-641.230461,107,2237.450925
-663.915931,145,2241.804395
-142.475599,300,2251.04865
-627.132899,51,2252.587804
-140.90531,300,2261.929667
-644.142632,71,2264.04127
-131.109876,300,2273.658531
-168.790305,300,2282.944956
-116.409636,300,2294.493425
-610.68548,26,2295.360966
-129.17832,300,2305.289378
-127.193939,300,2315.173113
-612.743649,38,2316.418348
-130.439075,300,2328.468131
-619.759943,39,2329.773646
-117.157674,300,2339.645233
-121.526029,300,2349.413412
-608.841434,28,2353.30302
-612.446962,49,2354.891675
-109.896947,300,2364.555963
-609.283302,19,2365.183882
-628.762386,100,2368.540353
-133.796543,300,2378.120264
-607.386707,25,2386.320945
-131.117927,300,2396.29131
-121.068025,300,2406.020238
-139.515868,300,2415.926999
-702.08037,243,2428.117808
-636.753145,110,2431.754539
-660.233449,148,2436.675357
-126.500376,300,2446.647861
-639.018507,102,2449.976733
-631.314906,51,2451.689436
-118.503843,300,2464.086613
-684.637701,225,2471.674789
-154.632003,300,2481.65604
-137.861675,300,2498.31427
-636.754582,66,2500.487238
-112.557979,300,2509.976225
-126.960357,300,2520.066666
-627.489421,54,2521.852864
-613.094569,24,2522.92689
-130.173638,300,2532.715574
-631.91333,71,2535.096575
-610.54648,33,2536.192806
-126.204448,300,2546.449468
-106.130285,300,2566.899992
-124.074484,300,2576.01846
-136.66914,300,2585.173617
-632.004621,84,2587.683472
-138.330249,300,2598.141602
-113.699097,300,2607.288809
-630.428143,46,2608.693296
-129.216431,300,2617.730218
-688.524473,183,2625.766699
-96.17907,300,2634.844931
-147.710588,300,2644.160364
-642.611459,92,2646.923881
-111.13712,300,2660.543376
-109.750277,300,2669.819936
