# {"t_start": 1565275067.5543244, "env_id": "highway-continuous-v0"} 
r,l,t
-743.226921,54,2.914608
-694.768748,56,4.072418
-617.167283,46,5.019133
-773.238945,106,7.246305
-665.584172,190,11.632654
-704.434803,132,14.612037
-656.19222,34,15.424385
-630.853493,103,17.815213
-734.981369,87,19.803831
-665.76538,29,20.483114
-724.599627,111,23.102166
-676.839026,53,24.347494
-648.382886,43,26.379559
-608.605279,25,26.978609
-694.12352,33,27.740211
-713.924824,221,32.731417
-629.433479,77,34.318441
-682.360605,67,35.686726
-608.531004,24,36.188191
-921.741273,164,39.570015
-703.18506,65,40.935409
-676.662808,74,42.485202
-650.800574,44,43.408278
-627.308107,84,45.142445
-612.425572,55,46.275925
-680.0972,30,46.898107
-708.056041,48,48.438004
-682.965167,39,49.256758
-610.355434,43,50.165137
-748.30693,88,52.02507
-672.252173,68,53.450655
-681.482494,34,54.16166
-734.967916,58,55.37721
-671.480309,106,57.592378
-872.437217,176,61.278311
-623.385706,73,62.824255
-709.495101,80,64.457357
-911.222501,150,67.623559
-789.589086,49,68.65025
-662.774814,53,70.173475
-653.841771,126,72.797601
-751.459872,66,74.191364
-712.502032,62,75.493477
-722.894035,182,79.289307
-714.943717,168,82.709006
-608.256858,25,83.229238
-658.861045,94,85.20079
-808.419393,148,88.217194
-1426.380611,170,93.916874
-693.76261,41,94.760959
-667.272952,41,95.597209
-613.643076,43,96.491736
-679.41896,74,98.041733
-707.291158,117,100.537191
-840.04813,81,102.187649
-759.841008,59,103.39779
-631.481161,89,105.221173
-677.349366,42,106.110403
-673.413696,66,107.463833
-716.419438,57,108.639735
-676.558292,40,112.589078
-686.659559,31,113.235164
-611.614255,46,114.192071
-609.145065,30,114.804717
-686.665114,90,116.675597
-705.184506,94,118.598985
-731.932577,86,120.388352
-707.78952,132,123.030202
-936.680856,156,126.212199
-713.57831,57,127.3688
-686.165938,98,129.378613
-625.346909,86,131.160586
-607.26618,30,133.496981
-616.499776,55,134.647666
-619.636254,52,135.738029
-707.410607,33,136.421172
-641.884456,107,138.664816
-670.345265,51,139.725829
-743.811876,167,143.165875
-655.634216,62,144.46273
-711.200819,32,145.12559
-657.740499,43,146.018673
-730.630647,35,146.746892
-665.805016,77,148.332752
-838.499476,141,151.359335
-1353.705368,120,153.819599
-685.282036,66,155.721404
-660.059157,83,157.407472
-716.335536,56,158.573893
-716.464914,90,160.500001
-638.957232,97,162.475566
-605.979494,21,162.916803
-673.112701,23,163.392385
-709.900402,217,167.900016
-1062.544744,115,170.303618
-621.142914,86,172.099026
-734.531853,94,174.024796
-802.508117,70,177.133261
-604.603479,25,177.652799
-685.599001,41,178.488691
-754.272842,70,179.973887
-606.906864,35,180.697392
-788.79638,147,183.699259
-865.345949,96,185.659098
-653.373306,27,186.218775
-621.126649,74,187.761212
-610.667692,42,188.62103
-705.092864,85,190.398854
-689.514554,74,191.948121
-603.677454,26,192.49014
-633.238653,111,194.789051
-631.52155,120,199.384012
-757.175769,274,205.013116
-997.737953,137,207.8179
-665.528221,21,208.25849
-616.425534,73,209.798433
-606.589772,30,210.428214
-713.723657,68,211.822407
-803.679429,123,214.354403
-735.108876,89,216.202184
-724.029678,133,220.962074
-728.961072,120,223.433872
-723.254558,103,225.604233
-697.023317,113,227.855429
-613.700366,49,228.883254
-659.368595,25,229.403571
-888.601363,179,233.081817
-625.355469,77,234.685639
-615.331446,70,236.129858
-627.086623,83,241.21295
-627.897088,78,242.805575
-682.780487,188,246.723078
-617.202876,56,247.873228
-623.130805,71,249.346292
-699.55208,134,252.075844
-629.833868,99,254.135955
-724.011778,210,258.543962
-618.116528,57,262.011373
-679.026023,58,263.186749
-779.175039,209,267.493357
-609.598031,28,268.07019
-620.611308,89,269.949622
-717.988849,205,274.233508
-788.323277,102,276.356052
-725.834525,80,277.980012
-607.564792,41,278.840922
-608.559245,42,279.72266
-717.818115,32,280.390987
-623.153308,76,281.956402
-653.810076,156,285.465641
-669.050472,101,287.552949
-643.267304,138,290.412746
-698.583757,112,292.699574
-114.482599,300,298.795067
-624.417666,49,299.819308
-109.228683,300,309.356101
-605.484242,26,309.89549
-611.329997,35,310.637798
-613.148027,40,311.470513
-476.537387,300,317.871756
-790.578077,96,319.844615
-760.460882,93,321.792328
-727.146982,68,326.107017
-1230.738833,232,330.959389
-629.381756,83,332.674131
-642.81358,101,334.755791
-649.550134,108,336.994926
-118.551496,300,343.228971
-634.817833,115,345.580909
-614.21187,43,346.952643
-724.454855,138,349.824008
-1053.081841,285,355.351114
-696.044243,265,360.888712
-612.884966,50,361.935146
-695.831014,127,364.540427
-615.636057,48,368.058664
-553.521992,300,374.310506
-260.27269,300,380.525218
-634.574142,103,382.671679
-618.016497,48,383.671118
-609.835848,37,384.450305
-930.105161,152,387.575325
-826.157873,103,390.525841
-672.23407,164,393.898279
-641.712883,95,395.8809
-777.763482,243,401.084984
-938.063768,208,405.373554
-669.197932,47,406.337085
-608.063642,27,406.896795
-757.883335,69,408.340115
-659.993355,168,413.309031
-709.621219,141,416.264696
-653.596608,125,418.866899
-607.940065,39,419.660462
-632.321879,93,421.591913
-634.828589,113,423.850152
-836.735967,65,425.185639
-625.836291,69,426.620792
-619.0702,77,428.221407
-210.06775,300,437.189787
-981.063669,86,439.004031
